source,metric,mean
Ours (MAPPO),mean_cost_gap_v2v_minus_rsu,-0.013413074036314584
Ours (MAPPO),mean_cost_rsu,0.3211676213640569
Ours (MAPPO),mean_cost_v2v,0.3077545473277423
Ours (MAPPO),t_L,0.0
Ours (MAPPO),t_R,0.0
Ours (MAPPO),t_V,0.0
Ours (MAPPO),t_a,0.0
Ours (MAPPO),t_alt,0.0
Ours (MAPPO),A_t,0.0
Ours (MAPPO),r_lat,0.0
Ours (MAPPO),cp_rem,0.0
Ours (MAPPO),f_max,0.0
Ours (MAPPO),d_cp_lb,0.0
Ours (MAPPO),rate_best,0.0
Ours (MAPPO),comm_lb,0.0
Ours (MAPPO),queue_lb,0.0
Ours (MAPPO),lb,0.0
Ours (MAPPO),phi,0.0
Ours (MAPPO),delta_phi,0.0
Ours (MAPPO),r_shape,0.0
Ours (MAPPO),overtime_ratio,0.0
Ours (MAPPO),r_timeout,0.0
Ours (MAPPO),e_tx,0.0
Ours (MAPPO),r_energy,-0.01984078242248428
Ours (MAPPO),r_power,0.0
Ours (MAPPO),avg_power,0.45876396264933283
Ours (MAPPO),avg_rsu_queue,18.423133855768974
Ours (MAPPO),rsu_queue_p95,32.2553
Ours (MAPPO),time_limit_penalty_applied,0.193
Ours (MAPPO),time_limit_penalty_value,-0.193
Ours (MAPPO),remaining_time_seconds_used,0.6540048138618447
Ours (MAPPO),remaining_ratio_used,0.0
CP-EFT,reward_mean,-3.354438213883265
EFT,reward_mean,-2.992285538378478
Greedy,reward_mean,-0.008400106430147858
LB-Greedy,reward_mean,-3.0963557449716714
Local-Only,reward_mean,-0.32279427317065407
Random,reward_mean,-7.597087666163273
Static,reward_mean,-0.07178190204141394
CP-EFT,reward_total,-654.7380282172562
EFT,reward_total,-591.6942900800191
Greedy,reward_total,-1.2040756417609992
LB-Greedy,reward_total,-612.5876317332385
Local-Only,reward_total,-46.99292674647716
Random,reward_total,-1519.4175332326547
Static,reward_total,-9.546646017669705
CP-EFT,vehicle_sr,0.26916666666666667
EFT,vehicle_sr,0.2504166666666667
Greedy,vehicle_sr,0.6958333333333333
LB-Greedy,vehicle_sr,0.2125
Local-Only,vehicle_sr,0.7104166666666667
Random,vehicle_sr,0.0
Static,vehicle_sr,0.6829166666666667
CP-EFT,task_sr,0.26916666666666667
EFT,task_sr,0.2504166666666667
Greedy,task_sr,0.6958333333333333
LB-Greedy,task_sr,0.2125
Local-Only,task_sr,0.7104166666666667
Random,task_sr,0.0
Static,task_sr,0.6829166666666667
CP-EFT,subtask_sr,0.5944817602512347
EFT,subtask_sr,0.5733468287474106
Greedy,subtask_sr,0.9094121799833522
LB-Greedy,subtask_sr,0.5160434650032475
Local-Only,subtask_sr,0.9232782643962503
Random,subtask_sr,0.11342786557729038
Static,subtask_sr,0.9157718466316632
CP-EFT,v2v_subtask_sr,0.7825435311331111
EFT,v2v_subtask_sr,0.790327776877762
Greedy,v2v_subtask_sr,0.0
LB-Greedy,v2v_subtask_sr,0.7527282770985801
Local-Only,v2v_subtask_sr,0.0
Random,v2v_subtask_sr,0.47160508945648805
Static,v2v_subtask_sr,0.0
CP-EFT,ratio_local,0.9386758858682595
EFT,ratio_local,0.9289041049641182
Greedy,ratio_local,0.0
LB-Greedy,ratio_local,0.9315190616774284
Local-Only,ratio_local,1.0
Random,ratio_local,0.07602916666666666
Static,ratio_local,0.24792720577872004
CP-EFT,ratio_rsu,0.036723779704853854
EFT,ratio_rsu,0.04242605802728896
Greedy,ratio_rsu,1.0
LB-Greedy,ratio_rsu,0.03861780059973983
Local-Only,ratio_rsu,0.0
Random,ratio_rsu,0.11929791666666666
Static,ratio_rsu,0.75207279422128
CP-EFT,ratio_v2v,0.024600334426886663
EFT,ratio_v2v,0.02866983700859281
Greedy,ratio_v2v,0.0
LB-Greedy,ratio_v2v,0.029863137722831844
Local-Only,ratio_v2v,0.0
Random,ratio_v2v,0.8046729166666666
Static,ratio_v2v,0.0
CP-EFT,decision_frac_local,0.9386758858682595
EFT,decision_frac_local,0.9289041049641182
Greedy,decision_frac_local,0.0
LB-Greedy,decision_frac_local,0.9315190616774284
Local-Only,decision_frac_local,1.0
Random,decision_frac_local,0.07602916666666666
Static,decision_frac_local,0.24792720577872004
CP-EFT,decision_frac_rsu,0.036723779704853854
EFT,decision_frac_rsu,0.04242605802728896
Greedy,decision_frac_rsu,1.0
LB-Greedy,decision_frac_rsu,0.03861780059973983
Local-Only,decision_frac_rsu,0.0
Random,decision_frac_rsu,0.11929791666666666
Static,decision_frac_rsu,0.75207279422128
CP-EFT,decision_frac_v2v,0.024600334426886663
EFT,decision_frac_v2v,0.02866983700859281
Greedy,decision_frac_v2v,0.0
LB-Greedy,decision_frac_v2v,0.029863137722831844
Local-Only,decision_frac_v2v,0.0
Random,decision_frac_v2v,0.8046729166666666
Static,decision_frac_v2v,0.0
CP-EFT,avg_power,0.008889116198379437
EFT,avg_power,0.01168578372077448
Greedy,avg_power,1.0
LB-Greedy,avg_power,0.012418913004404753
Local-Only,avg_power,1.0
Random,avg_power,0.6300825461082907
Static,avg_power,1.0
CP-EFT,power_ratio_mean,0.1466123007318888
EFT,power_ratio_mean,0.166523135526299
Greedy,power_ratio_mean,1.0
LB-Greedy,power_ratio_mean,0.18457589399587285
Local-Only,power_ratio_mean,0.0
Random,power_ratio_mean,0.5996440100058577
Static,power_ratio_mean,1.0
CP-EFT,power_ratio_p95,0.9807167856871238
EFT,power_ratio_p95,0.9983751122610737
Greedy,power_ratio_p95,1.0
LB-Greedy,power_ratio_p95,0.9980544620764962
Local-Only,power_ratio_p95,0.0
Random,power_ratio_p95,0.9600567036458616
Static,power_ratio_p95,1.0
CP-EFT,episode_time_seconds,19.428333333333345
EFT,episode_time_seconds,19.727500000000013
Greedy,episode_time_seconds,12.435833333333305
LB-Greedy,episode_time_seconds,19.775000000000016
Local-Only,episode_time_seconds,14.742499999999968
Random,episode_time_seconds,20.000000000000018
Static,episode_time_seconds,13.413333333333302
CP-EFT,mean_cft_est,22.570087851842246
EFT,mean_cft_est,23.68301264293989
Greedy,mean_cft_est,12.946485356171907
LB-Greedy,mean_cft_est,23.732529706557596
Local-Only,mean_cft_est,15.589244191726026
Random,mean_cft_est,25.53347256978353
Static,mean_cft_est,13.999244620561578
CP-EFT,mean_cft_completed,7.6108792989417875
EFT,mean_cft_completed,7.805199164261652
Greedy,mean_cft_completed,8.583230946638343
LB-Greedy,mean_cft_completed,8.027846440596427
Local-Only,mean_cft_completed,7.740901917920676
Random,mean_cft_completed,0.0
Static,mean_cft_completed,8.488039714707076
CP-EFT,task_duration_mean,7.6108792989417875
EFT,task_duration_mean,7.805199164261652
Greedy,task_duration_mean,8.583230946638343
LB-Greedy,task_duration_mean,8.027846440596427
Local-Only,task_duration_mean,7.740901917920676
Random,task_duration_mean,0.0
Static,task_duration_mean,8.488039714707076
CP-EFT,task_duration_p95,9.900041666666647
EFT,task_duration_p95,10.116708333333314
Greedy,task_duration_p95,11.192291666666643
LB-Greedy,task_duration_p95,10.096458333333313
Local-Only,task_duration_p95,10.77495833333331
Random,task_duration_p95,0.0
Static,task_duration_p95,11.280708333333308
CP-EFT,deadline_miss_rate,0.7308333333333333
EFT,deadline_miss_rate,0.7495833333333334
Greedy,deadline_miss_rate,0.30416666666666664
LB-Greedy,deadline_miss_rate,0.7875
Local-Only,deadline_miss_rate,0.28958333333333336
Random,deadline_miss_rate,1.0
Static,deadline_miss_rate,0.31708333333333333
CP-EFT,time_limit_rate,0.875
EFT,time_limit_rate,0.9166666666666666
Greedy,time_limit_rate,0.0
LB-Greedy,time_limit_rate,0.925
Local-Only,time_limit_rate,0.0
Random,time_limit_rate,1.0
Static,time_limit_rate,0.0
CP-EFT,illegal_action_rate,0.0
EFT,illegal_action_rate,0.0
Greedy,illegal_action_rate,0.0
LB-Greedy,illegal_action_rate,0.0
Local-Only,illegal_action_rate,0.0
Random,illegal_action_rate,0.0
Static,illegal_action_rate,0.0
CP-EFT,no_task_rate,0.916937144090067
EFT,no_task_rate,0.9184300971397721
Greedy,no_task_rate,0.7898322057963377
LB-Greedy,no_task_rate,0.9252057157012412
Local-Only,no_task_rate,0.8636893384739593
Random,no_task_rate,0.9755145833333334
Static,no_task_rate,0.814387294349302
CP-EFT,unified_illegal_trigger_rate,0.0
EFT,unified_illegal_trigger_rate,0.0
Greedy,unified_illegal_trigger_rate,0.0
LB-Greedy,unified_illegal_trigger_rate,0.0
Local-Only,unified_illegal_trigger_rate,0.0
Random,unified_illegal_trigger_rate,0.0
Static,unified_illegal_trigger_rate,0.0
CP-EFT,I_total_mean,3.997059967749313e-06
EFT,I_total_mean,4.512985018341927e-06
Greedy,I_total_mean,0.0
LB-Greedy,I_total_mean,4.803410819202251e-06
Local-Only,I_total_mean,0.0
Random,I_total_mean,5.732067603977005e-06
Static,I_total_mean,0.0
CP-EFT,I_total_p50,3.0531758016456336e-13
EFT,I_total_p50,2.060903234985539e-13
Greedy,I_total_p50,0.0
LB-Greedy,I_total_p50,4.1713862854123375e-13
Local-Only,I_total_p50,0.0
Random,I_total_p50,1.1845810855437898e-11
Static,I_total_p50,0.0
CP-EFT,I_total_p95,6.1983625109252755e-06
