episode,steps,wall_time,sim_time,reward_mean,reward_total,reward_p95,reward_abs_mean,vehicle_sr,task_sr,subtask_sr,task_duration_mean,task_duration_p95,completed_tasks,energy_mean,energy_p95,t_tx_mean,dT_eff_mean,deadline_misses,deadline_miss_rate,ratio_local,ratio_rsu,ratio_v2v,avg_power,avg_rsu_queue,rsu_queue_p95,power_ratio_mean,tx_created,same_node_no_tx,service_rate_ghz,idle_fraction,time_limit_rate,illegal_action_rate,hard_trigger_rate,actor_loss,critic_loss,entropy,approx_kl,clip_frac,grad_norm,active_ratio,value_clip_fraction,skipped_update_count,early_stop,lr,bias_rsu,bias_local
1,200,49.30430197715759,20.0,-4.18278694152832,-837.5574536892384,-2.210498332977295,4.18278694152832,0.0,0.0,0.13672496025437203,0.0,0.0,0,0.0,0.0,0.0,0.0,30,1.0,0.1206896551724138,0.09195402298850575,0.7873563218390804,0.49612027721200136,0.095,1.0,0.0,127,21,9.651499839511054,0.0,1.0,0.0,0.0,-0.38049060106277466,13.785426139831543,2.6275055408477783,0.04355061054229736,0.0,1.5107961893081665,0.029,0.0,0,True,0.0003,1.4,1.7
2,200,47.491384506225586,20.0,-4.679193496704102,-936.8387058536961,-2.214563834667206,4.679193496704102,0.0,0.0,0.13765822784810128,0.0,0.0,0,0.0,0.0,0.0,0.0,30,1.0,0.0625,0.14772727272727273,0.7897727272727273,0.5007153274174003,0.205,1.0,0.0,142,11,9.295310361221484,0.0,1.0,0.0,0.0,-0.15304448952277502,11.51415197054545,2.6075820922851562,0.050835496823613845,0.13333333532015482,2.012535572052002,0.029333333333333333,0.0,0,True,0.0003,1.4,1.7
3,200,46.94926714897156,20.0,-4.013747692108154,-803.7494499960806,-2.647705578804016,4.013747692108154,0.0,0.0,0.1781701444622793,0.0,0.0,0,0.0,0.0,0.0,0.0,30,1.0,0.10752688172043011,0.16666666666666666,0.7258064516129032,0.5001860386930251,0.175,1.0,0.0,150,20,10.804587361649656,0.0,1.0,0.0,0.0,0.20376365957781672,4.083268880844116,2.6469717025756836,0.00034919753670692444,0.0714285746216774,2.5841662883758545,0.031,0.0,0,True,0.0003,1.4,1.7
4,200,46.834006786346436,20.0,-4.230013847351074,-847.0026870612471,-2.223471009731294,4.230013847351074,0.0,0.0,0.1389776357827476,0.0,0.0,0,0.0,0.0,0.0,0.0,30,1.0,0.11794871794871795,0.16923076923076924,0.7128205128205128,0.5007101829998816,0.155,1.0,0.0,132,23,9.45345646559688,0.0,1.0,0.0,0.0,0.46904731790224713,3.11153237024943,2.6482178370157876,-0.0060126328219970064,0.12121212482452393,2.218509316444397,0.0325,0.0,0,True,0.0003,1.4,1.7
5,200,47.3792200088501,20.0,-4.601540565490723,-921.3080330105033,-2.188824534416199,4.601540565490723,0.0,0.0,0.17133956386292834,0.0,0.0,0,0.0,0.0,0.0,0.0,30,1.0,0.13636363636363635,0.1919191919191919,0.6717171717171717,0.5002688632120068,0.185,1.0,0.0,146,27,10.934258153949546,0.0,1.0,0.0,0.0,-0.32849031686782837,11.43305778503418,2.6002862453460693,0.061333246529102325,0.0,1.7407172918319702,0.033,0.0,0,True,0.0003,1.4,1.7
6,200,47.33594107627869,20.0,-4.180493354797363,-837.0986862458216,-2.272802460193634,4.180493354797363,0.0,0.0,0.16267942583732056,0.0,0.0,0,0.0,0.0,0.0,0.0,30,1.0,0.12060301507537688,0.17587939698492464,0.7035175879396985,0.5030868698010842,0.27,2.0,0.0,146,24,11.12431671403911,0.0,1.0,0.0,0.0,0.18437866866588593,2.5970385551452635,2.7176769733428956,-0.004126671329140663,0.11936508268117904,1.952525782585144,0.033166666666666664,0.0,0,True,0.0003,1.4,1.7
7,200,49.880504846572876,20.0,-3.8885581493377686,-778.7116056413988,-2.3333396434783937,3.8885581493377686,0.0,0.0,0.13050314465408805,0.0,0.0,0,0.0,0.0,0.0,0.0,30,1.0,0.1317365269461078,0.17365269461077845,0.6946107784431138,0.5066069810857686,0.215,2.0,0.0,125,22,9.196148406617265,0.0,1.0,0.0,0.0,0.5864869008461634,2.7714229027430215,2.605250279108683,0.03578642879923185,0.047619049747784935,3.266618251800537,0.027833333333333335,0.0,0,True,0.0003,1.4,1.7
8,200,49.00123691558838,20.0,-4.536375999450684,-908.2752434291208,-2.790924894809724,4.536375999450684,0.0,0.0,0.1476725521669342,0.0,0.0,0,0.0,0.0,0.0,0.0,30,1.0,0.12371134020618557,0.1958762886597938,0.6804123711340206,0.5040924387885413,0.455,3.049999999999983,0.0,136,24,9.84771688617797,0.0,1.0,0.0,0.0,-0.022975757950916886,12.665390014648438,2.8461782932281494,0.0314301575999707,0.0555555559694767,1.854137659072876,0.03233333333333333,0.0,0,True,0.0003,1.4,1.7
