label,run_dir,lr_actor,lr_critic,episodes,reward_mean_last_tail,task_sr_last_tail,deadline_miss_rate_last_tail,avg_rsu_queue_last_tail,entropy_last_tail,approx_kl_last_tail,task_sr_convergence_ep,reward_convergence_ep
lr_c=2×10⁻⁴,/Users/qiutao/研/毕设/毕设/vecOffloadingSim/runs/run_1000ep_A_20260320,0.0002,0.0002,1000,0.010839307513087936,0.9285,0.07150000000000001,1.2607817400178944,1.426622525735507,0.01909641082469593,176.0,71.0
lr_c=3×10⁻⁴,/Users/qiutao/研/毕设/毕设/vecOffloadingSim/runs/run_1000ep_A_lrcritic_3e4_20260321,0.0002,0.0003,1000,0.010625377316027832,0.8959999999999999,0.10400000000000001,1.514313056279904,1.1118961439728736,0.01705553771505943,46.0,45.0
lr_c=5×10⁻⁴,/Users/qiutao/研/毕设/毕设/vecOffloadingSim/runs/run_1000ep_A_lrcritic_5e4_20260321,0.0002,0.0005,1000,0.009098491417244026,0.9130000000000001,0.08700000000000001,7.130853347230656,1.430001024067402,0.021098605886007094,337.0,474.0
