episode,steps,physical_steps,decision_steps,active_decision_ratio,wall_time,sim_time,termination_reason_raw,termination_reason_bucket,reward_mean,reward_total,episode_reward,reward_p95,reward_abs_mean,vehicle_sr,task_sr,subtask_sr,task_duration_mean,task_duration_p95,completed_tasks,mean_cft_completed,episode_time_seconds,mean_r_prog,mean_r_term,mean_cost_power,mean_cost_trust,energy_mean,energy_p95,t_tx_mean,dT_eff_mean,deadline_misses,deadline_miss_rate,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_rsu_queue,rsu_queue_p95,power_ratio_mean,power_ratio_p95,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,tx_created,same_node_no_tx,service_rate_ghz,idle_fraction,time_limit_rate,illegal_action_rate,illegal_action_ratio,no_task_rate,on_task_rate,has_task_available_rate,v2v_link_break_rate,unified_illegal_trigger_rate,hard_trigger_rate,abs_ratio_r_time,abs_ratio_r_energy,abs_ratio_r_interf,abs_ratio_r_term,reward_clip_hit_count,reward_clip_hit_rate,abs_ratio_basis,r_prog_on_task_mean,r_prog_on_task_abs_mean,abs_ratio_on_task_r_prog,abs_ratio_on_task_r_term,actor_loss,critic_loss,critic_loss_raw_mean,normalized_value_loss,entropy,approx_kl,clip_frac,cost_power_value_loss,cost_trust_value_loss,lambda_power,lambda_trust,grad_norm,active_ratio,actor_update_active_frac,value_clip_fraction,critic_loss_active,critic_loss_inactive,mode_aux_loss,mode_aux_acc,ppo_epochs_executed,num_minibatches_executed,mb_kl_max,mb_kl_p95,early_stop_epoch_idx,early_stop_batch_idx,skipped_update_count,early_stop,lr,bias_rsu,bias_local
1,300,300,161,0.5366666666666666,24.37617588043213,30.0,time_limit,time_limit,-0.0005515673547051847,-1.165470204765851,-1.165470204765851,0.0008647981390822784,0.0012943194014951587,0.1,0.1,0.6169154228855721,1.6402065223733433,1.6961078058302115,2,1.6402065223733433,30.000000000000156,0.002414148275696902,-0.00792982176789193,0.0508074833692577,0.0,0.05080748336925766,0.42653845209250757,0.006347945139302126,0.0,18,0.9,0.2732919254658385,0.4906832298136646,0.2360248447204969,0.2732919254658385,0.4906832298136646,0.2360248447204969,0.5009775496295964,0.13,0.0,0.502028812790584,0.8622718453407288,0.0,0.0,1.130296464063596e-11,0.0,112,40,1.221142472061192,0.0,1.0,0.0,0.0,0.9731666666666666,0.026833333333333376,0.026833333333333376,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.022693636410809997,0.03722974245101693,0.660785170764622,0.339214829235378,0.003370700275991112,6.452135848999023,6.452135848999023,6.452135848999023,2.3196906089782714,0.019894066825509073,0.03850931748747825,332.9647583007812,0.014339813403785229,0.0,0.0,13.669296717643737,1.0,1.0,0.8273291826248169,6.452135848999023,0.0,,,5,5,0.027992840856313705,0.027051971852779386,-1,-1,0,False,0.0002,0.0,0.0
2,300,300,139,0.4633333333333333,17.35209584236145,30.0,time_limit,time_limit,0.00038829236291348934,-0.8835122993478103,-0.8835122993478103,5.128392203914703e-05,0.0014042113907635212,0.5,0.5,0.7761194029850746,0.6613926121762447,0.957767132093046,12,0.6613926121762447,30.000000000000156,0.0003412072360874869,0.003551089085385056,0.06923657083294106,0.0,0.06923657083294109,0.9973790669005238,0.007144607480602256,0.0,9,0.45,0.2949640287769784,0.4892086330935252,0.2158273381294964,0.2949640287769784,0.4892086330935252,0.2158273381294964,0.5008884921083226,0.06666666666666667,0.0,0.5021137797977542,0.8636829674243925,0.0,0.0,6.903855959139449e-12,0.0,88,32,0.4910072616313669,0.0,1.0,0.0,0.0,0.9768333333333333,0.02316666666666667,0.02316666666666667,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.008787673596935483,0.009900306470903585,0.028174907534394642,0.9718250924656054,-0.003939637576695532,1.5143338441848755,1.5143338441848755,1.5143338441848755,2.0763423919677733,0.0126083311624825,0.037410072330385444,861.440478515625,0.00563825094141066,0.0008161496673851535,0.0,29.794466924667358,1.0,1.0,0.5741007149219512,1.5143338441848755,0.0,,,5,5,0.01647372357547283,0.016231172345578672,-1,-1,0,False,0.0002,0.0,0.0
3,300,300,309,1.03,17.35975193977356,30.0,time_limit,time_limit,0.0003790084447246045,-0.8862974741381413,-0.8862974741381413,0.005150924716144816,0.0019013589480891824,0.5,0.5,0.8301886792452831,2.168955878368195,2.472201868159928,12,2.168955878368195,30.000000000000156,0.003573910077459323,0.0002461875742954882,0.12115599112294868,0.0,0.12115599112294903,0.9973059140780149,0.012390984856253524,0.0,9,0.45,0.4110032362459547,0.3818770226537217,0.20711974110032363,0.4110032362459547,0.3818770226537217,0.20711974110032363,0.49681294717111935,0.23333333333333334,1.0,0.4916277071045167,0.8454677581787107,0.0,0.0,3.641272613291724e-12,0.0,138,95,3.1400489919805157,0.0,1.0,0.0,0.0,0.9485,0.05149999999999999,0.05149999999999999,0.00964630225080386,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.03199195676390962,0.08314901608941613,0.6386700663276776,0.36132993367232247,0.002442880906164646,1.4038083791732787,1.4038083791732787,1.4038083791732787,1.871740961074829,-0.00034997714683413503,0.03359375,743.7298461914063,0.005787853058427573,0.0020008810840439744,0.0,31.1859947681427,1.0,1.0,0.4203125,1.4038083791732787,0.0,,,5,5,0.002845179056748748,0.0027750507928431035,-1,-1,0,False,0.0002,0.0,0.0
4,300,300,316,1.0533333333333332,20.489871740341187,30.0,time_limit,time_limit,-8.252779662143439e-05,-1.0247583203258306,-1.0247583203258306,0.003554651152808253,0.001933016930706799,0.35,0.35,0.7798507462686567,2.0608450901177573,2.5324708281279515,8,2.0608450901177573,30.000000000000156,0.003302879565114315,-0.004112267159363869,0.09682489239744686,0.0,0.09682489239744686,0.9891435054724294,0.010028537740197827,0.0,12,0.6,0.43354430379746833,0.35443037974683544,0.2120253164556962,0.43354430379746833,0.35443037974683544,0.2120253164556962,0.49792049294665536,0.22,1.0,0.4942739594676145,0.8574645876884459,0.0,0.0,5.020925949311694e-12,0.0,131,97,3.100124174840451,0.0,1.0,0.0,0.0,0.9473333333333334,0.05266666666666664,0.05266666666666664,0.005063291139240506,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.018505956183211266,0.08587731197635268,0.5995228419790561,0.4004771580209438,-0.012240959890186786,1.415300726890564,1.415300726890564,1.4153007030487061,1.8823629140853881,-0.0006764375837519764,0.0296875,435.7889709472656,0.004412421863526106,0.004224000906502955,0.0,35.762566566467285,1.0,1.0,0.3453125,1.415300726890564,0.0,,,5,5,0.0056043099611997604,0.004773292806930839,-1,-1,0,False,0.0002,0.0,0.0
5,300,300,213,0.71,18.29479694366455,30.0,time_limit,time_limit,0.000419004907598719,-0.8742985361130086,-0.8742985361130086,0.002525929349940272,0.0011982627911493182,0.5,0.5,0.848780487804878,1.7723410236450476,2.4500289169602145,12,1.7723410236450476,30.000000000000156,0.0023499185436912534,0.0018401302525417943,0.01861442081653771,0.0,0.018614420816537705,0.0,0.002331840914042966,0.0,9,0.45,0.38028169014084506,0.4413145539906103,0.1784037558685446,0.38028169014084506,0.4413145539906103,0.1784037558685446,0.49689490600434755,0.14333333333333334,0.0,0.49120785088536345,0.8648689568042754,0.0,0.0,1.1350566320178501e-11,0.0,116,70,1.6417129877220749,0.0,1.0,0.0,0.0,0.9645,0.035499999999999976,0.035499999999999976,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.02289726955924794,0.052605694563180184,0.31595824132727346,0.6840417586727265,0.006510329712182283,1.33434739112854,1.33434739112854,1.3343475103378295,1.921143102645874,-0.0009611628018319606,0.04225352108478546,15.431739234924317,0.0019192157313227653,0.0059604987544518906,0.0,11.106607246398926,1.0,1.0,0.7859154909849166,1.33434739112854,0.0,,,5,5,0.006567283999174833,0.005450182245112955,-1,-1,0,False,0.0002,0.0,0.0
6,14,14,133,9.5,1.1682889461517334,1.4000000000000001,success_all_done,terminated,0.03116137720644474,0.436259278957052,0.436259278957052,0.12532590627670284,0.03116137720644474,1.0,1.0,1.0,0.794358015079269,1.2367896649699535,20,0.794358015079269,1.4000000000000001,0.009010039907586656,0.302603730776022,0.07930564170807892,0.0,0.07930564170807888,0.5599650450162786,0.009260251269677137,0.0,0,0.0,0.40601503759398494,0.41353383458646614,0.18045112781954886,0.40601503759398494,0.41353383458646614,0.18045112781954886,0.503903715272567,0.42857142857142855,2.3999999999999986,0.5084731804365797,0.9167941451072693,0.0,1.6011725278985978e-10,2.934728848824619e-11,1.695154738801108e-10,77,54,10.925269870460083,0.07142857142857142,0.0,0.0,0.0,0.525,0.475,0.475,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.014760767258851159,0.01566477389956048,0.033529118491678424,0.9664708815083215,0.009536776784807443,56.938479614257815,56.938479614257815,56.93848724365235,1.7593675613403321,0.007408037222921849,0.042105262726545335,3.0373583316802977,0.0023805356118828057,0.006132787170782645,0.0,66.5686653137207,1.0,1.0,0.9007518887519836,56.938479614257815,0.0,,,5,5,0.011342070996761322,0.011009019054472446,-1,-1,0,False,0.0002,0.0,0.0
7,15,15,130,8.666666666666666,1.2826423645019531,1.5,success_all_done,terminated,0.02928801439702511,0.43932023277371113,0.43932023277371113,0.11313735842704771,0.02928801439702511,1.0,1.0,1.0,0.7663345469414412,1.1229446802040035,20,0.7663345469414412,1.5000000000000002,0.008871012289296721,0.2840091428931774,0.10630920193220517,0.0,0.10630920193220517,0.9976311569019793,0.011605273312145397,0.0,0,0.0,0.5230769230769231,0.2923076923076923,0.18461538461538463,0.5230769230769231,0.2923076923076923,0.18461538461538463,0.49952931286146246,0.26666666666666666,1.1999999999999957,0.49873923087891725,0.8689629465341566,0.0,2.2192959969746795e-10,2.4679846707953423e-11,1.7975490124166927e-10,59,68,11.58804718588281,0.26666666666666666,0.0,0.0,0.0,0.5666666666666667,0.43333333333333335,0.43333333333333335,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.01780678959212693,0.01870913763456399,0.03072445134626935,0.9692755486537307,0.0007371946936473251,42.49233551025391,42.49233551025391,42.492346954345706,1.6861879110336304,-0.0033117143670096994,0.04000000068917871,2.8136406421661375,0.001726317941211164,0.007518900004944222,0.0,66.46359987258911,1.0,1.0,0.9246153831481934,42.49233551025391,0.0,,,5,5,0.0,-0.001005490100942552,-1,-1,0,False,0.0002,0.0,0.0
8,300,300,221,0.7366666666666667,12.471322059631348,30.0,time_limit,time_limit,0.0013224695576354861,-0.6032591570257038,-0.6032591570257038,0.0027967115165665893,0.0015425673918798566,0.8,0.8,0.8781725888324873,1.5072880041480092,2.048623534133334,20,1.5072880041480092,30.000000000000156,0.0021852151955076863,0.011061320726081418,0.005905018624099894,0.0,0.005905018624099899,0.0,0.0006772920142006505,0.0,2,0.1,0.45248868778280543,0.416289592760181,0.13122171945701358,0.45248868778280543,0.416289592760181,0.13122171945701358,0.49691538713802585,0.12333333333333334,0.0,0.48899662474920036,0.851953837275505,0.0,0.0,3.3486069819788078e-12,0.0,96,81,1.8463576757290427,0.0,1.0,0.0,0.0,0.9631666666666666,0.036833333333333385,0.036833333333333385,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.03229942486960207,0.05590255542139435,0.2643208924137563,0.7356791075862437,-0.0008932918659411371,2.3138150691986086,2.3138150691986086,2.3138153076171877,1.655238962173462,0.012546188570559025,0.03891402892768383,1.27770254611969,0.0014727003173902631,0.009445084043588327,0.0,13.010782146453858,1.0,1.0,0.2570135768502951,2.3138150691986086,0.0,,,5,5,0.017433444038033485,0.017297517135739328,-1,-1,0,False,0.0002,0.0,0.0
9,300,300,250,0.8333333333333334,16.001832008361816,30.0,time_limit,time_limit,0.0011208450887352228,-0.6637465017439561,-0.6637465017439561,0.016181467939168227,0.0018582796910777688,0.65,0.65,0.865979381443299,1.5113792964061852,1.9866568972465088,20,1.5113792964061852,30.000000000000156,0.0021554989851926606,0.009052950956675469,0.11185350475803585,0.0,0.11185350475803572,0.9976283005594203,0.011265486660231276,0.0,6,0.3,0.48,0.368,0.152,0.48,0.368,0.152,0.49636403808773805,0.11333333333333333,0.0,0.48041672219607573,0.8437730103731155,0.0,0.0,3.2675450886698876e-12,0.0,88,91,2.0028951078707062,0.0,1.0,0.0,0.0,0.9583333333333334,0.04166666666666663,0.04166666666666663,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.03071583909591649,0.050846244457419074,0.40572250155021056,0.5942774984497895,-0.0059918215265497565,1.5200919389724732,1.5200919389724732,1.5200917959213256,1.6733160495758057,0.004772518813842908,0.059200001507997514,903.4216674804687,0.001419757050462067,0.009363184416070324,0.0,51.91599617004395,1.0,1.0,0.549600007943809,1.5200919389724732,0.0,,,5,5,0.008605250157415867,0.008388753328472375,-1,-1,0,False,0.0002,0.0,0.0
10,300,300,245,0.8166666666666667,12.437927961349487,30.0,time_limit,time_limit,0.0011963790748268366,-0.6410862780248117,-0.6410862780248117,0.006365743279457219,0.0016799807781353593,0.9,0.9,0.9536082474226805,1.5368580239184502,2.100188592968091,21,1.5368580239184502,30.000000000000156,0.0018234089380474328,0.010140381794458845,0.02829539830820031,0.0,0.028295398308200315,0.0,0.002960174455126835,0.0,2,0.1,0.5469387755102041,0.34285714285714286,0.11020408163265306,0.5469387755102041,0.34285714285714286,0.11020408163265306,0.49850057282857596,0.11,0.0,0.49242713549785844,0.8638397097587585,0.0,0.0,2.658564991417367e-12,0.0,78,109,2.0029830264626387,0.0,1.0,0.0,0.0,0.9591666666666666,0.04083333333333339,0.04083333333333339,0.016129032258064516,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.017477738808587568,0.030135810944294173,0.1299611367969743,0.8700388632030257,-0.003089856306905858,1.6435774087905883,1.6435774087905883,1.6435771703720092,1.5737229108810424,0.005927213653922081,0.04489795789122582,124.02270050048828,0.0016321062343195082,0.011400254511231039,0.0,13.790337562561035,1.0,1.0,0.6742857083678245,1.6435774087905883,0.0,,,5,5,0.011671710759401321,0.010683741141110658,-1,-1,0,False,0.0002,0.0,0.0
