window,method,policy,metric_id,metric_cn,direction,mean,std,p10,p50,p90,ci95_low,ci95_high,n,rank
全程,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,20.78,27.262333627824944,0.0,10.0,65.0,19.077375,22.457874999999998,1000,1.0
全程,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,25.49,7.201511074889892,25.0,25.0,25.0,25.057375,25.947625,1000,2.0
全程,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,43.245,5.956547276355276,40.0,45.0,45.0,42.87,43.61,1000,3.0
全程,EFT,EFT,deadline_miss_rate,超时失败率,lower,56.475,5.650779265402807,55.00000000000001,55.00000000000001,55.00000000000001,56.142375,56.842625,1000,4.0
全程,Static,Static,deadline_miss_rate,超时失败率,lower,65.53,13.858613248126998,55.00000000000001,70.0,70.0,64.692375,66.385,1000,5.0
全程,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,74.205,4.68133419976505,75.0,75.0,75.0,73.892375,74.485,1000,6.0
全程,Random,Random,deadline_miss_rate,超时失败率,lower,99.995,0.158113883008419,100.0,100.0,100.0,99.985,100.0,1000,7.0
末100,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,9.95,14.813572128015549,0.0,5.0,26.000000000000085,7.2,13.0,100,1.0
末100,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,25.0,0.0,25.0,25.0,25.0,25.0,25.0,100,2.0
末100,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,45.0,0.0,45.0,45.0,45.0,45.0,45.0,100,3.0
末100,EFT,EFT,deadline_miss_rate,超时失败率,lower,55.00000000000001,0.0,55.00000000000001,55.00000000000001,55.00000000000001,55.00000000000001,55.00000000000001,100,4.0
末100,Static,Static,deadline_miss_rate,超时失败率,lower,70.0,0.0,70.0,70.0,70.0,70.0,70.0,100,5.0
末100,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,75.0,0.0,75.0,75.0,75.0,75.0,75.0,100,6.0
末100,Random,Random,deadline_miss_rate,超时失败率,lower,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100,7.0
末300,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,13.866666666666667,17.039661256649445,0.0,5.0,40.0,11.966666666666667,15.75,300,1.0
末300,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,25.0,0.0,25.0,25.0,25.0,25.0,25.0,300,2.0
末300,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,45.0,0.0,45.0,45.0,45.0,45.0,45.0,300,3.0
末300,EFT,EFT,deadline_miss_rate,超时失败率,lower,55.000000000000014,7.117299424956988e-15,55.00000000000001,55.00000000000001,55.00000000000001,55.000000000000014,55.000000000000014,300,4.0
末300,Static,Static,deadline_miss_rate,超时失败率,lower,70.0,0.0,70.0,70.0,70.0,70.0,70.0,300,5.0
末300,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,75.0,0.0,75.0,75.0,75.0,75.0,75.0,300,6.0
末300,Random,Random,deadline_miss_rate,超时失败率,lower,100.0,0.0,100.0,100.0,100.0,100.0,100.0,300,7.0
末500,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,14.38,17.510821160511888,0.0,5.0,40.0,12.88,15.945249999999998,500,1.0
末500,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,25.0,0.0,25.0,25.0,25.0,25.0,25.0,500,2.0
末500,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,45.0,0.0,45.0,45.0,45.0,45.0,45.0,500,3.0
末500,EFT,EFT,deadline_miss_rate,超时失败率,lower,55.00000000000001,0.0,55.00000000000001,55.00000000000001,55.00000000000001,55.00000000000001,55.00000000000001,500,4.0
末500,Static,Static,deadline_miss_rate,超时失败率,lower,70.0,0.0,70.0,70.0,70.0,70.0,70.0,500,5.0
末500,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,75.0,0.0,75.0,75.0,75.0,75.0,75.0,500,6.0
末500,Random,Random,deadline_miss_rate,超时失败率,lower,100.0,0.0,100.0,100.0,100.0,100.0,100.0,500,7.0
全程,Greedy,Greedy,mean_cft_est,平均完工时间估计,lower,12.129131792640665,0.6958437134173177,12.024721288681013,12.024721288681013,12.024721288681013,12.087619055499294,12.173412952826002,1000,1.0
全程,当前算法(MAPPO),MAPPO,mean_cft_est,平均完工时间估计,lower,12.563114565887433,4.119107694813625,9.199999999999983,11.297643628120401,20.83620253562928,12.32342433396147,12.823246216204149,1000,2.0
全程,Local-Only,Local-Only,mean_cft_est,平均完工时间估计,lower,16.120122941751458,0.521609707259183,16.167391347885108,16.167391347885108,16.167391347885108,16.08672654101632,16.1531180856931,1000,3.0
全程,Static,Static,mean_cft_est,平均完工时间估计,lower,16.30188550724982,1.0742339492479676,15.801821066856371,16.612932920455922,16.612932920455922,16.235321844149105,16.361579035228008,1000,4.0
全程,CP-EFT,CP-EFT,mean_cft_est,平均完工时间估计,lower,23.72098808854103,0.902358280571064,23.807608509063726,23.807608509063726,23.807608509063726,23.662215712430715,23.774663212434053,1000,5.0
全程,EFT,EFT,mean_cft_est,平均完工时间估计,lower,24.09226312212944,0.8706937667171304,24.254276275634773,24.254276275634773,24.254276275634773,24.039303093520168,24.14442619864321,1000,6.0
全程,Random,Random,mean_cft_est,平均完工时间估计,lower,24.828933989238738,0.29201957626735,24.761730194091797,24.761730194091797,24.761730194091797,24.811259321022035,24.847776322410105,1000,7.0
末100,当前算法(MAPPO),MAPPO,mean_cft_est,平均完工时间估计,lower,10.88065862617491,1.7483338326220665,8.989999999999982,10.499999999999975,13.572433973312355,10.560809123549442,11.236518278496245,100,1.0
末100,Greedy,Greedy,mean_cft_est,平均完工时间估计,lower,12.024721288681015,1.785305796991587e-15,12.024721288681013,12.024721288681013,12.024721288681013,12.024721288681015,12.024721288681015,100,2.0
末100,Local-Only,Local-Only,mean_cft_est,平均完工时间估计,lower,16.16739134788511,3.570611593983174e-15,16.167391347885108,16.167391347885108,16.167391347885108,16.16739134788511,16.16739134788511,100,3.0
末100,Static,Static,mean_cft_est,平均完工时间估计,lower,16.612932920455926,3.570611593983174e-15,16.612932920455922,16.612932920455922,16.612932920455922,16.612932920455926,16.612932920455926,100,4.0
末100,CP-EFT,CP-EFT,mean_cft_est,平均完工时间估计,lower,23.80760850906373,3.570611593983174e-15,23.807608509063726,23.807608509063726,23.807608509063726,23.80760850906373,23.80760850906373,100,5.0
末100,EFT,EFT,mean_cft_est,平均完工时间估计,lower,24.25427627563477,3.570611593983174e-15,24.254276275634773,24.254276275634773,24.254276275634773,24.25427627563477,24.25427627563477,100,6.0
末100,Random,Random,mean_cft_est,平均完工时间估计,lower,24.761730194091797,0.0,24.761730194091797,24.761730194091797,24.761730194091797,24.761730194091797,24.761730194091797,100,7.0
末300,当前算法(MAPPO),MAPPO,mean_cft_est,平均完工时间估计,lower,11.265997196769694,1.8070417613613534,9.099999999999984,10.973181600570657,13.756504418373083,11.067836617956143,11.460533785146852,300,1.0
末300,Greedy,Greedy,mean_cft_est,平均完工时间估计,lower,12.024721288681011,1.779324856239247e-15,12.024721288681013,12.024721288681013,12.024721288681013,12.024721288681011,12.024721288681011,300,2.0
末300,Local-Only,Local-Only,mean_cft_est,平均完工时间估计,lower,16.16739134788511,3.558649712478494e-15,16.167391347885108,16.167391347885108,16.167391347885108,16.16739134788511,16.16739134788511,300,3.0
末300,Static,Static,mean_cft_est,平均完工时间估计,lower,16.612932920455922,0.0,16.612932920455922,16.612932920455922,16.612932920455922,16.612932920455922,16.612932920455922,300,4.0
末300,CP-EFT,CP-EFT,mean_cft_est,平均完工时间估计,lower,23.807608509063726,0.0,23.807608509063726,23.807608509063726,23.807608509063726,23.807608509063726,23.807608509063726,300,5.0
末300,EFT,EFT,mean_cft_est,平均完工时间估计,lower,24.25427627563477,3.558649712478494e-15,24.254276275634773,24.254276275634773,24.254276275634773,24.25427627563477,24.25427627563477,300,6.0
末300,Random,Random,mean_cft_est,平均完工时间估计,lower,24.761730194091797,0.0,24.761730194091797,24.761730194091797,24.761730194091797,24.761730194091797,24.761730194091797,300,7.0
末500,当前算法(MAPPO),MAPPO,mean_cft_est,平均完工时间估计,lower,11.287232170181253,1.829977435838682,9.099999999999984,10.954073214530926,13.883238118171672,11.124081892832738,11.449593560161093,500,1.0
末500,Greedy,Greedy,mean_cft_est,平均完工时间估计,lower,12.02472128868101,3.556271730447175e-15,12.024721288681013,12.024721288681013,12.024721288681013,12.02472128868101,12.02472128868101,500,2.0
末500,Local-Only,Local-Only,mean_cft_est,平均完工时间估计,lower,16.16739134788511,3.556271730447175e-15,16.167391347885108,16.167391347885108,16.167391347885108,16.16739134788511,16.16739134788511,500,3.0
末500,Static,Static,mean_cft_est,平均完工时间估计,lower,16.612932920455926,3.556271730447175e-15,16.612932920455922,16.612932920455922,16.612932920455922,16.612932920455926,16.612932920455926,500,4.0
末500,CP-EFT,CP-EFT,mean_cft_est,平均完工时间估计,lower,23.80760850906372,7.11254346089435e-15,23.807608509063726,23.807608509063726,23.807608509063726,23.80760850906372,23.80760850906372,500,5.0
末500,EFT,EFT,mean_cft_est,平均完工时间估计,lower,24.25427627563477,3.556271730447175e-15,24.254276275634773,24.254276275634773,24.254276275634773,24.25427627563477,24.25427627563477,500,6.0
末500,Random,Random,mean_cft_est,平均完工时间估计,lower,24.761730194091797,0.0,24.761730194091797,24.761730194091797,24.761730194091797,24.761730194091797,24.761730194091797,500,7.0
全程,Local-Only,Local-Only,power_ratio_mean,远端功率比例,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,1.0
全程,CP-EFT,CP-EFT,power_ratio_mean,远端功率比例,lower,0.10097416171436117,0.009526129314034966,0.1023756182266629,0.1023756182266629,0.1023756182266629,0.10035705818096294,0.10158117339814085,1000,2.0
全程,EFT,EFT,power_ratio_mean,远端功率比例,lower,0.13898775713328893,0.011397270040279291,0.1387938649211191,0.1387938649211191,0.1387938649211191,0.13831698862588632,0.13972957500626113,1000,3.0
全程,当前算法(MAPPO),MAPPO,power_ratio_mean,远端功率比例,lower,0.5080088670911936,0.03556451097396223,0.4645087278070641,0.5038146268876638,0.5576858750056504,0.5057770386499656,0.5101907006144007,1000,4.0
全程,Random,Random,power_ratio_mean,远端功率比例,lower,0.6024207051593936,0.0013584909014433728,0.6026301518823968,0.6026301518823968,0.6026301518823968,0.6023353563091322,0.6024988668426376,1000,5.0
全程,Greedy,Greedy,power_ratio_mean,远端功率比例,lower,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1000,6.0
全程,Static,Static,power_ratio_mean,远端功率比例,lower,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1000,6.0
末100,Local-Only,Local-Only,power_ratio_mean,远端功率比例,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,1.0
末100,CP-EFT,CP-EFT,power_ratio_mean,远端功率比例,lower,0.10237561822666288,1.3947701538996772e-17,0.1023756182266629,0.1023756182266629,0.1023756182266629,0.10237561822666288,0.10237561822666288,100,2.0
末100,EFT,EFT,power_ratio_mean,远端功率比例,lower,0.13879386492111911,2.7895403077993544e-17,0.1387938649211191,0.1387938649211191,0.1387938649211191,0.13879386492111911,0.13879386492111911,100,3.0
末100,当前算法(MAPPO),MAPPO,power_ratio_mean,远端功率比例,lower,0.5481687927178747,0.014639190595790002,0.5319476226548587,0.5464158826759514,0.5689588925165477,0.5454128814577616,0.550865906517861,100,4.0
末100,Random,Random,power_ratio_mean,远端功率比例,lower,0.6026301518823967,1.1158161231197418e-16,0.6026301518823968,0.6026301518823968,0.6026301518823968,0.6026301518823967,0.6026301518823967,100,5.0
末100,Greedy,Greedy,power_ratio_mean,远端功率比例,lower,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100,6.0
末100,Static,Static,power_ratio_mean,远端功率比例,lower,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100,6.0
末300,Local-Only,Local-Only,power_ratio_mean,远端功率比例,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300,1.0
末300,CP-EFT,CP-EFT,power_ratio_mean,远端功率比例,lower,0.10237561822666288,1.3900975439369117e-17,0.1023756182266629,0.1023756182266629,0.1023756182266629,0.10237561822666288,0.10237561822666288,300,2.0
末300,EFT,EFT,power_ratio_mean,远端功率比例,lower,0.1387938649211191,0.0,0.1387938649211191,0.1387938649211191,0.1387938649211191,0.1387938649211191,0.1387938649211191,300,3.0
末300,当前算法(MAPPO),MAPPO,power_ratio_mean,远端功率比例,lower,0.5420631263947233,0.023694086115443012,0.5101777701306279,0.5422625389608138,0.5707915000975231,0.5394624378690452,0.5446247891906868,300,4.0
末300,Random,Random,power_ratio_mean,远端功率比例,lower,0.6026301518823968,0.0,0.6026301518823968,0.6026301518823968,0.6026301518823968,0.6026301518823968,0.6026301518823968,300,5.0
末300,Greedy,Greedy,power_ratio_mean,远端功率比例,lower,1.0,0.0,1.0,1.0,1.0,1.0,1.0,300,6.0
末300,Static,Static,power_ratio_mean,远端功率比例,lower,1.0,0.0,1.0,1.0,1.0,1.0,1.0,300,6.0
末500,Local-Only,Local-Only,power_ratio_mean,远端功率比例,lower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500,1.0
末500,CP-EFT,CP-EFT,power_ratio_mean,远端功率比例,lower,0.10237561822666288,1.3891686447059276e-17,0.1023756182266629,0.1023756182266629,0.1023756182266629,0.10237561822666288,0.10237561822666288,500,2.0
末500,EFT,EFT,power_ratio_mean,远端功率比例,lower,0.13879386492111911,2.778337289411855e-17,0.1387938649211191,0.1387938649211191,0.1387938649211191,0.13879386492111911,0.13879386492111911,500,3.0
末500,当前算法(MAPPO),MAPPO,power_ratio_mean,远端功率比例,lower,0.52995877327739,0.03145411539357824,0.4865321508817566,0.5356505436438654,0.5659737424271353,0.5270429899585581,0.5327420983164819,500,4.0
末500,Random,Random,power_ratio_mean,远端功率比例,lower,0.6026301518823968,0.0,0.6026301518823968,0.6026301518823968,0.6026301518823968,0.6026301518823968,0.6026301518823968,500,5.0
末500,Greedy,Greedy,power_ratio_mean,远端功率比例,lower,1.0,0.0,1.0,1.0,1.0,1.0,1.0,500,6.0
末500,Static,Static,power_ratio_mean,远端功率比例,lower,1.0,0.0,1.0,1.0,1.0,1.0,1.0,500,6.0
全程,Greedy,Greedy,reward_mean,平均步奖励,higher,-1.6024775725631861,0.015552378245551179,-1.6045607053295985,-1.6045607053295985,-1.6045607053295985,-1.6034224001670312,-1.6015080692548678,1000,1.0
全程,当前算法(MAPPO),MAPPO,reward_mean,平均步奖励,higher,-1.6408118772506715,0.4215370138489524,-1.861482310295105,-1.532476782798767,-1.4694736123085022,-1.6673042394131423,-1.6155249440222978,1000,2.0
全程,Static,Static,reward_mean,平均步奖励,higher,-1.723373535517748,0.020040646162171077,-1.7265678694296425,-1.7265678694296425,-1.7265678694296425,-1.724571571335591,-1.7222368363344835,1000,3.0
全程,Local-Only,Local-Only,reward_mean,平均步奖励,higher,-1.9835102992800657,0.03371867898048193,-1.986705954882276,-1.9744818929955432,-1.9744818929955432,-1.9856391539220002,-1.98147118050637,1000,4.0
全程,CP-EFT,CP-EFT,reward_mean,平均步奖励,higher,-2.144010014076548,0.15728788888613565,-2.1237808844569668,-2.1237808844569668,-2.1237808844569668,-2.154790487077003,-2.1350602595849053,1000,5.0
全程,EFT,EFT,reward_mean,平均步奖励,higher,-2.191267980448856,0.12973004104818336,-2.181783238748219,-2.181783238748219,-2.181783238748219,-2.200055283306884,-2.1835158730194384,1000,6.0
全程,Random,Random,reward_mean,平均步奖励,higher,-2.5149836865655715,0.33153946807706947,-2.450789662255189,-2.450789662255189,-2.450789662255189,-2.535902403156371,-2.4964653704693753,1000,7.0
末100,当前算法(MAPPO),MAPPO,reward_mean,平均步奖励,higher,-1.5026209187507629,0.05068954209232342,-1.57169851064682,-1.503891944885254,-1.4350515723228454,-1.5124266673624516,-1.4925104191303253,100,1.0
末100,Greedy,Greedy,reward_mean,平均步奖励,higher,-1.604560705329598,4.463264492478967e-16,-1.6045607053295985,-1.6045607053295985,-1.6045607053295985,-1.604560705329598,-1.604560705329598,100,2.0
末100,Static,Static,reward_mean,平均步奖励,higher,-1.7265678694296422,2.2316322462394835e-16,-1.7265678694296425,-1.7265678694296425,-1.7265678694296425,-1.7265678694296422,-1.7265678694296422,100,3.0
末100,Local-Only,Local-Only,reward_mean,平均步奖励,higher,-1.9744818929955432,0.0,-1.9744818929955432,-1.9744818929955432,-1.9744818929955432,-1.9744818929955432,-1.9744818929955432,100,4.0
末100,CP-EFT,CP-EFT,reward_mean,平均步奖励,higher,-2.123780884456967,4.463264492478967e-16,-2.1237808844569668,-2.1237808844569668,-2.1237808844569668,-2.123780884456967,-2.123780884456967,100,5.0
末100,EFT,EFT,reward_mean,平均步奖励,higher,-2.181783238748218,8.926528984957934e-16,-2.181783238748219,-2.181783238748219,-2.181783238748219,-2.181783238748218,-2.181783238748218,100,6.0
末100,Random,Random,reward_mean,平均步奖励,higher,-2.450789662255189,0.0,-2.450789662255189,-2.450789662255189,-2.450789662255189,-2.450789662255189,-2.450789662255189,100,7.0
末300,当前算法(MAPPO),MAPPO,reward_mean,平均步奖励,higher,-1.5139108697573345,0.04433438040130989,-1.570346438884735,-1.5162357687950134,-1.4548510074615477,-1.5191275128324826,-1.5090365185141563,300,1.0
末300,Greedy,Greedy,reward_mean,平均步奖励,higher,-1.6045607053295983,2.224156070299059e-16,-1.6045607053295985,-1.6045607053295985,-1.6045607053295985,-1.6045607053295983,-1.6045607053295983,300,2.0
末300,Static,Static,reward_mean,平均步奖励,higher,-1.7265678694296422,2.224156070299059e-16,-1.7265678694296425,-1.7265678694296425,-1.7265678694296425,-1.7265678694296422,-1.7265678694296422,300,3.0
末300,Local-Only,Local-Only,reward_mean,平均步奖励,higher,-1.9744818929955432,0.0,-1.9744818929955432,-1.9744818929955432,-1.9744818929955432,-1.9744818929955432,-1.9744818929955432,300,4.0
末300,CP-EFT,CP-EFT,reward_mean,平均步奖励,higher,-2.1237808844569668,0.0,-2.1237808844569668,-2.1237808844569668,-2.1237808844569668,-2.1237808844569668,-2.1237808844569668,300,5.0
末300,EFT,EFT,reward_mean,平均步奖励,higher,-2.1817832387482183,4.448312140598118e-16,-2.181783238748219,-2.181783238748219,-2.181783238748219,-2.1817832387482183,-2.1817832387482183,300,6.0
末300,Random,Random,reward_mean,平均步奖励,higher,-2.4507896622551892,4.448312140598118e-16,-2.450789662255189,-2.450789662255189,-2.450789662255189,-2.4507896622551892,-2.4507896622551892,300,7.0
末500,当前算法(MAPPO),MAPPO,reward_mean,平均步奖励,higher,-1.51658167886734,0.04464730805802251,-1.573713731765747,-1.5185487270355225,-1.4597161889076233,-1.5203851231575012,-1.5128117138564587,500,1.0
末500,Greedy,Greedy,reward_mean,平均步奖励,higher,-1.6045607053295983,2.222669831529484e-16,-1.6045607053295985,-1.6045607053295985,-1.6045607053295985,-1.6045607053295983,-1.6045607053295983,500,2.0
末500,Static,Static,reward_mean,平均步奖励,higher,-1.726567869429643,4.445339663058968e-16,-1.7265678694296425,-1.7265678694296425,-1.7265678694296425,-1.726567869429643,-1.726567869429643,500,3.0
末500,Local-Only,Local-Only,reward_mean,平均步奖励,higher,-1.9744818929955428,4.445339663058968e-16,-1.9744818929955432,-1.9744818929955432,-1.9744818929955432,-1.9744818929955428,-1.9744818929955428,500,4.0
末500,CP-EFT,CP-EFT,reward_mean,平均步奖励,higher,-2.1237808844569668,0.0,-2.1237808844569668,-2.1237808844569668,-2.1237808844569668,-2.1237808844569668,-2.1237808844569668,500,5.0
末500,EFT,EFT,reward_mean,平均步奖励,higher,-2.181783238748218,8.890679326117937e-16,-2.181783238748219,-2.181783238748219,-2.181783238748219,-2.181783238748218,-2.181783238748218,500,6.0
末500,Random,Random,reward_mean,平均步奖励,higher,-2.450789662255189,0.0,-2.450789662255189,-2.450789662255189,-2.450789662255189,-2.450789662255189,-2.450789662255189,500,7.0
