phase,method,policy,metric_id,metric_cn,direction,mean,std,n
中期,EFT,EFT,reward_mean,平均步奖励,higher,-2.1817832387482183,4.447575160368093e-16,333
中期,Greedy,Greedy,reward_mean,平均步奖励,higher,-1.6045607053295985,0.0,333
中期,Local-Only,Local-Only,reward_mean,平均步奖励,higher,-1.974481892995543,2.2237875801840463e-16,333
中期,Random,Random,reward_mean,平均步奖励,higher,-2.4507896622551892,4.447575160368093e-16,333
中期,Static,Static,reward_mean,平均步奖励,higher,-1.7265678694296427,2.2237875801840463e-16,333
中期,当前算法(MAPPO),MAPPO,reward_mean,平均步奖励,higher,-1.5236623229923192,0.04358784955317297,333
前期,CP-EFT,CP-EFT,reward_mean,平均步奖励,higher,-2.184529021452707,0.26827806704803536,333
前期,EFT,EFT,reward_mean,平均步奖励,higher,-2.2102659465579415,0.22382802446170633,333
前期,Greedy,Greedy,reward_mean,平均步奖励,higher,-1.5983050513764094,0.026488385555559903,333
前期,Local-Only,Local-Only,reward_mean,平均步奖励,higher,-2.0015942241802978,0.05412344607131047,333
前期,Random,Random,reward_mean,平均步奖励,higher,-2.643564510034116,0.5530702366296855,333
前期,Static,Static,reward_mean,平均步奖励,higher,-1.7169752750996272,0.03386666319713914,333
前期,当前算法(MAPPO),MAPPO,reward_mean,平均步奖励,higher,-1.884709636370341,0.664355920974559,333
后期,CP-EFT,CP-EFT,reward_mean,平均步奖励,higher,-2.1237808844569668,0.0,334
后期,EFT,EFT,reward_mean,平均步奖励,higher,-2.1817832387482183,4.447555106146359e-16,334
后期,Greedy,Greedy,reward_mean,平均步奖励,higher,-1.6045607053295983,2.2237775530731796e-16,334
后期,Local-Only,Local-Only,reward_mean,平均步奖励,higher,-1.974481892995543,2.2237775530731796e-16,334
后期,Random,Random,reward_mean,平均步奖励,higher,-2.4507896622551892,4.447555106146359e-16,334
后期,Static,Static,reward_mean,平均步奖励,higher,-1.7265678694296425,0.0,334
后期,当前算法(MAPPO),MAPPO,reward_mean,平均步奖励,higher,-1.5144431580326514,0.043768318470242755,334
中期,CP-EFT,CP-EFT,rho_selected_p10,远端信誉分位数(p10),higher,0.5,0.0,333
中期,EFT,EFT,rho_selected_p10,远端信誉分位数(p10),higher,0.4375,0.0,333
中期,Greedy,Greedy,rho_selected_p10,远端信誉分位数(p10),higher,0.6842105388641357,0.0,333
中期,Local-Only,Local-Only,rho_selected_p10,远端信誉分位数(p10),higher,0.0,0.0,333
中期,Random,Random,rho_selected_p10,远端信誉分位数(p10),higher,0.5,0.0,333
中期,Static,Static,rho_selected_p10,远端信誉分位数(p10),higher,0.3207547068595886,0.0,333
中期,当前算法(MAPPO),MAPPO,rho_selected_p10,远端信誉分位数(p10),higher,0.559411382344034,0.13354554035175628,333
前期,CP-EFT,CP-EFT,rho_selected_p10,远端信誉分位数(p10),higher,0.4843299477844983,0.04881315597650765,333
前期,EFT,EFT,rho_selected_p10,远端信誉分位数(p10),higher,0.44546276926994327,0.0455967396647249,333
前期,Greedy,Greedy,rho_selected_p10,远端信誉分位数(p10),higher,0.6402111717217319,0.10703706766542867,333
前期,Local-Only,Local-Only,rho_selected_p10,远端信誉分位数(p10),higher,0.0,0.0,333
前期,Random,Random,rho_selected_p10,远端信誉分位数(p10),higher,0.48316296906442613,0.047776456318497786,333
前期,Static,Static,rho_selected_p10,远端信誉分位数(p10),higher,0.41892176365351175,0.1591243883545696,333
前期,当前算法(MAPPO),MAPPO,rho_selected_p10,远端信誉分位数(p10),higher,0.5026440183097894,0.10059592293761625,333
后期,CP-EFT,CP-EFT,rho_selected_p10,远端信誉分位数(p10),higher,0.5,0.0,334
后期,EFT,EFT,rho_selected_p10,远端信誉分位数(p10),higher,0.4375,0.0,334
后期,Greedy,Greedy,rho_selected_p10,远端信誉分位数(p10),higher,0.6842105388641357,0.0,334
后期,Local-Only,Local-Only,rho_selected_p10,远端信誉分位数(p10),higher,0.0,0.0,334
后期,Random,Random,rho_selected_p10,远端信誉分位数(p10),higher,0.5,0.0,334
后期,Static,Static,rho_selected_p10,远端信誉分位数(p10),higher,0.3207547068595886,0.0,334
后期,当前算法(MAPPO),MAPPO,rho_selected_p10,远端信誉分位数(p10),higher,0.5643720161682831,0.14020789905575234,334
中期,CP-EFT,CP-EFT,subtask_success_rate,子任务成功率,higher,62.870159453302975,7.116120256588948e-15,333
中期,EFT,EFT,subtask_success_rate,子任务成功率,higher,66.5083135391924,0.0,333
中期,Greedy,Greedy,subtask_success_rate,子任务成功率,higher,95.02369668246445,0.0,333
中期,Local-Only,Local-Only,subtask_success_rate,子任务成功率,higher,89.08629441624365,0.0,333
中期,Random,Random,subtask_success_rate,子任务成功率,higher,17.321016166281755,3.558060128294474e-15,333
中期,Static,Static,subtask_success_rate,子任务成功率,higher,60.14319809069214,7.116120256588948e-15,333
中期,当前算法(MAPPO),MAPPO,subtask_success_rate,子任务成功率,higher,97.38887980869329,4.5922575126209715,333
前期,CP-EFT,CP-EFT,subtask_success_rate,子任务成功率,higher,63.49167729464982,5.668634378389328,333
前期,EFT,EFT,subtask_success_rate,子任务成功率,higher,66.0681794755089,5.625644834983274,333
前期,Greedy,Greedy,subtask_success_rate,子任务成功率,higher,93.82571497535194,5.701677093931755,333
前期,Local-Only,Local-Only,subtask_success_rate,子任务成功率,higher,90.22427581652364,2.4960799883063753,333
