policy,task_success_rate,deadline_miss_rate,mean_cft_est,reward_mean,decision_v2v,decision_rsu,trust_failure_rate,rho_selected_p10
MAPPO,27.916666666666668,72.08333333333333,21.72261784307162,-2.4840377012888593,31.45525908622363,41.403276262469355,22.128629505102307,0.4688542741412918
CP-EFT,31.625000000000004,68.37500000000001,23.08577167137464,-2.292356964620146,10.240379017955226,27.946267002466186,22.21031001547981,0.4565156051019828
EFT,32.708333333333336,67.29166666666667,22.90416666309039,-2.260822752920201,3.5084369333049557,4.919581503122512,22.620170860477774,0.4595966847240925
Greedy,70.91666666666666,29.083333333333332,12.894808821678142,-1.5872012656094996,0.0,100.0,23.505782350985786,0.5621122950439651
Local-Only,69.62499999999999,30.374999999999996,15.773487963438011,-2.0497186120332382,0.0,0.0,0.0,0.0
Random,0.04166666666666667,99.95833333333334,25.321761820316315,-2.9857398648417104,80.49854166666665,11.914375000000001,22.690859712879398,0.45327723915378254
Static,67.24999999999999,32.74999999999999,14.020871143738411,-1.6999484201638504,0.0,74.83176345735299,23.903021616955584,0.5931682894627254
