episode,steps,elapsed_sec,reward_mode,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,reward_step_p95,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,200,2.007431745529175,delta_cft,42,False,True,time_limit,1.0,10.000000000000007,10.18570327758789,,15,True,6.187049806423599,1.8865681204616533,614435231.7065065,15,15,73,0.006054033525288105,-7.152557373046875e-07,2.6702880859375e-05,-2.09808349609375e-05,0.5066365003585815,0.0066119361857734475,0.0006907095324750811,0.17798162939180123,0.17729091985932632,-0.04930929046752496,-0.04999732971191406,0.0006907095324750811,2.6702880866480427e-06,0.04999999999999821,0.049999999999999996,-0.04930929046752491,-0.049997329711913355,0.002507319520046928,0.0,0.0001612135917715894,7.629394538355427e-06,10.000000000000007,0.0006907095324750811,2.6702880866480427e-06,0.17729091985932632,0.0,0.0,0.3835616438356164,0.8666666666666667,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.44868571324540035,0.6777442097663879,0.5769325438886881,0.009878847695654258,0.14892578125,0.001628724901820533,0.03330849042686168,0.00674431943334639,0.5144392156042159,0.5769325438886881,-0.5769325438886881,1.0,1.0,0.9997402597402595,11.982857142857137,160950516.28813124,1.0,0.0,0.048056814532053516,0.014611046664657661,0.06266786119689043,True,-1.0,0.17729091985932632,0.0
2,200,2.2769739627838135,delta_cft,42,False,True,time_limit,1.0,10.000000000000007,10.258509993553162,,16,True,6.498339520618395,2.566229640670813,710826716.6430134,16,16,87,0.0074871075339615345,-1.1003935185271985e-07,0.03746357560157776,-2.4159749045793433e-06,0.5258264541625977,0.0073583139446777536,0.0007656021837629621,0.26971349445412235,0.26894789227035915,-0.049234397816237736,-0.04559048925127307,0.0007656021837629621,0.004409510748726753,0.049999999999999024,0.04999999999999999,-0.04923439781623703,-0.045174551010131306,0.0018011374650774776,0.0,7.402483471941126e-05,0.044095107487267526,10.000000000000007,0.0007656021837629621,0.004409510748726753,0.26894789227035915,0.0625,0.0625,0.3448275862068966,0.875,0.0,0.0,0.5333333333333333,0.4666666666666667,0.0,0.5333333333333333,0.4666666666666667,0.0,0.3911400280892849,0.6934738755226135,0.5830508671527685,0.01043654769810653,0.10192587209302326,0.0002047109287665334,0.03819172095702311,0.007639554480827132,0.45086491428488906,0.5830508671527685,-0.5830508671527685,1.0,1.0,0.9987062937062937,12.389751373626392,159019344.4500383,1.0,0.0,0.04741359822811645,0.014832666974744365,0.06224626520386896,True,-1.0,0.26894789227035915,0.0
3,200,2.02748966217041,delta_cft,42,False,True,time_limit,1.0,10.000000000000007,10.232352256774902,,15,True,6.714541913958547,2.043974375559264,577525432.1598662,15,15,75,0.003977843094617128,4.76837158203125e-07,1.71661376953125e-05,-1.621246337890625e-05,0.3440903425216675,0.004133825408349812,0.0004114408304196228,0.22659092102429207,0.2261794801938725,-0.04958855916958044,-0.04999828338623047,0.0004114408304196228,1.7166137702417927e-06,0.049999999999998004,0.05,-0.04958855916958038,-0.04999828338622976,0.0004406933029099266,0.0,1.2758937347981543e-05,1.7166137702417927e-05,10.000000000000007,0.0004114408304196228,1.7166137702417927e-06,0.2261794801938725,0.0,0.0,0.22666666666666666,0.8666666666666667,0.0,0.0,0.8823529411764706,0.11764705882352941,0.0,0.8823529411764706,0.11764705882352941,0.0,0.38792087313006907,0.6285358667373657,0.5860153088967005,0.008494002822165688,0.12259615384615384,0.0017379663156297726,0.02535360448886282,0.002694462145416018,0.4468738796810309,0.5860153088967005,-0.5860153088967005,1.0,1.0,0.9906738261738264,11.205540293040306,151831425.44039485,1.0,0.0,0.04255581227657955,0.013611848248066617,0.056167660524646376,True,-1.0,0.2261794801938725,0.0
4,200,2.0831010341644287,delta_cft,42,False,True,time_limit,1.0,10.000000000000007,10.197334289550781,,14,True,6.568571040629592,1.7615912392325142,552688305.0168883,14,14,68,0.0035642310976982117,-7.152557373046875e-07,1.71661376953125e-05,-0.003906802274286747,0.30205386877059937,0.003864230635179288,0.0003754389697108247,0.20266389291405978,0.20228845394434938,-0.04962456103028922,-0.04999828338623047,0.0003754389697108247,1.7166137693536143e-06,0.04999999999999825,0.05,-0.04962456103028918,-0.04999828338623065,0.0008892554147490139,0.0,2.8043312685290084e-05,1.7166137693536143e-05,10.000000000000007,0.0003754389697108247,1.7166137693536143e-06,0.20228845394434938,0.0,0.0,0.2647058823529412,1.0,0.0,0.0,0.7777777777777778,0.2222222222222222,0.0,0.7777777777777778,0.2222222222222222,0.0,0.4912339672446251,0.7449536323547363,0.5829795707017184,0.006910119306121487,0.08818359375,-0.0012921535992063582,0.026178372479625976,0.00013744167517870665,0.4538228659890592,0.5829795707017184,-0.5829795707017184,1.0,1.0,1.0,11.835879120879117,147139135.87006783,1.0,0.0,0.0398423160494977,0.013254786691439252,0.05309710274111539,True,-1.0,0.20228845394434938,0.0
5,200,1.9843330383300781,delta_cft,42,False,True,time_limit,1.0,10.000000000000007,10.236764907836914,,12,True,6.8024531376313915,2.031348612460639,591584144.9880403,12,12,59,0.003103293478488922,4.76837158203125e-07,7.62939453125e-06,-1.1444091796875e-05,0.3912888765335083,0.003107592165469817,0.00031032934784893014,0.2373619160056189,0.23705158665777,-0.04968967065215111,-0.049999237060546875,0.00031032934784893014,7.629394538355427e-07,0.04999999999999805,0.05,-0.049689670652151074,-0.04999923706054617,0.0,0.0,8.898515915234384e-09,7.629394538355427e-06,10.000000000000007,0.00031032934784893014,7.629394538355427e-07,0.23705158665777,0.0,0.0,0.2033898305084746,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.4109871132920186,0.563310444355011,0.5760594304348972,0.001847512017922929,0.08350929054054054,-0.0012244099147013716,0.023067682013985374,-0.0012117576458164163,0.5186797807848936,0.5760594304348972,-0.5760594304348972,1.0,1.0,1.0,11.0,157586653.44041708,1.0,0.0,0.041695235436988894,0.013461323992357471,0.05515655942934643,True,-1.0,0.23705158665777,0.0
