episode,steps,elapsed_sec,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,r_time,r_interf,r_risk,r_illegal,r_pbrs,r_term,r_step,r_total,abs_ratio_r_time,abs_ratio_r_energy,abs_ratio_r_interf,abs_ratio_r_risk,abs_ratio_r_illegal,abs_ratio_r_pbrs,abs_ratio_r_term,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,uncertainty_selected_mean,uncertainty_selected_p90,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,risk_penalty_mean,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,reward_step_p95,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,top_illegal_reason,top_illegal_reason_count,no_task_rate,unified_illegal_trigger_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,active_ratio,active_samples,total_samples,adv_mean,adv_std,value_target_mean,value_target_std,value_pred_mean,value_pred_std,value_clip_fraction,skipped_update_count,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,t_L,t_R,t_V,t_a,t_alt,A_t,r_lat,cp_rem,f_max,d_cp_lb,rate_best,comm_lb,queue_lb,lb,phi,delta_phi,r_shape,overtime_ratio,r_timeout,e_tx,r_energy,r_power,avg_power,avg_rsu_queue,rsu_queue_p95,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,200,30.63252902030945,42,False,True,time_limit,1.0,20.000000000000014,26.055892944335938,0.0,20,True,1.3406324935953386,11.482704431218782,23773150942.36216,-0.0017835024020501553,-271722408.9146053,-0.002429606871714764,0.0,0.0050605533256084505,-2.145402674925378e-05,-271722408.9410188,-8.1676802258515,6.563692736891551e-12,8.167857914527886e-11,0.9999999998841133,8.941503504029223e-12,0.0,1.8623982266447478e-11,7.895567698102492e-14,1.9447847989795264e-06,4.169377083168557e-12,1.3539757958368847e-06,1.9447847989795264e-06,1.3539757958368847e-06,0.5544270873069763,0.5,0.4242187440395355,0.5,0.5,0.75,0.671875,0.90625,0.15185041725635529,64,0.0,0.0,0.0,37,6,0.16216216216216217,6,20,20,415,-8.167680740356445,-5.122388124465942,-3.8579538345336912,-19.395280838012695,-3.8464553356170654,8.167680740356445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03609257840231845,0.0010809998126647476,0.0,0.0,26.055892944335938,,,6.055892944335923,0.0,0.0,0.08674698795180723,1.0,0.0,,0,0.98225,0.0,0.0,0.09859154929577464,0.14084507042253522,0.7605633802816901,0.09859154929577464,0.14084507042253522,0.7605633802816901,0.4910960185482854,0.865196931362152,2.342355728149414,0.04721534252166748,0.0,0.12750649452209473,1.9361989498138428,1.0932636260986328,2.719782590866089,2.342355728149414,-2.342355728149414,0.01775,71,4000,-140.1726531982422,164.5329132080078,-165.34278869628906,170.95199584960938,0.0823773667216301,0.06466044485569,0.0,0,1.0,1.0,0.6734736842105258,12.796000000000003,67300511.81552833,1.0,0.0,0.39421869868612436,0.1721734844733351,0.5663921831594598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022193900284649397,0.0,0.49244170732493514,0.045,0.0,True,-1.0,6.055892944335923,0.0
2,200,30.533015251159668,42,False,True,time_limit,1.0,20.000000000000014,26.898427963256836,0.0,20,True,1.3779989047582037,11.880689095581113,22828511309.266254,-0.0017116283330079606,-2112211622.233205,-0.002874643735889432,0.0,0.004361832476699181,-1.8391943804479503e-05,-2112211622.24851,-7.552226063651496,8.103488850148139e-13,5.074490165955475e-12,0.9999999999906805,1.3609638852490217e-12,0.0,2.0650808412011037e-12,8.707434241301358e-15,8.653906661493238e-06,5.327471753677204e-12,3.965538435295457e-05,8.653906661493238e-06,3.965538435295457e-05,0.5181372761726379,0.5,0.4470588266849518,0.5,0.5,0.6666666865348816,0.8676470588235294,0.9705882352941176,0.1690966933965683,68,0.0,0.0,0.0,35,7,0.2,7,20,20,420,-7.5522260665893555,-7.268046617507935,-2.907605957984925,-18.024625778198242,-2.7703726291656494,7.5522260665893555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02232448165384814,0.0008106885704078396,0.0,0.0,26.898427963256836,,,6.898427963256822,0.0,0.0,0.07857142857142857,1.0,0.0,,0,0.981,0.0,0.0,0.10526315789473684,0.11842105263157894,0.7763157894736842,0.10526315789473684,0.11842105263157894,0.7763157894736842,0.5017845837137554,0.8633936405181885,2.4580376148223877,0.044405777007341385,0.0,0.7081801295280457,4.23430061340332,2.8228724002838135,3.018169641494751,2.4580376148223877,-2.4580376148223877,0.019,76,4000,-155.14529418945312,141.8873291015625,-255.50509643554688,142.04551696777344,-0.0479457750916481,0.05722951516509056,0.0,0,1.0,1.0,0.6423552631578966,12.20475,66634710.16357027,1.0,0.0,0.39516403033289854,0.17177824960486424,0.5669422799377632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010718397105539151,0.0,0.5031587016419508,0.075,1.0,True,-1.0,6.898427963256822,0.0
3,200,29.316354513168335,42,False,True,time_limit,1.0,20.000000000000014,25.137283325195312,0.0,20,True,1.3424045855584399,11.470846345209585,23637905475.71218,-0.0017721015987762487,-2395604027.5410576,-0.003258112856206397,0.0,0.004651850969111336,-1.5807696062942588e-05,-2395604027.5665245,-9.640351409547609,7.397305975365864e-13,8.506901239083607e-12,0.9999999999874447,1.3600381443296146e-12,0.0,1.9419479260227998e-12,6.598626434507109e-15,8.118799087242223e-06,3.8787412951629685e-12,1.0645432894306871e-05,8.118799087242223e-06,1.0645432894306871e-05,0.5356849431991577,0.5,0.4070546627044678,0.5,0.5,0.7142857313156128,0.7530864197530864,0.9135802469135802,0.16089443862438202,81,0.0,0.0,0.0,48,9,0.1875,9,20,20,421,-9.640352249145508,-8.962323665618896,-5.319192266464233,-16.266111373901367,-1.4620522260665894,9.640352249145508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04325058386113334,0.4513510367825935,0.0,0.0,25.137283325195312,,,5.137283325195298,0.0,0.0,0.12589073634204276,1.0,0.0,,0,0.97575,0.0,0.0,0.16494845360824742,0.12371134020618557,0.711340206185567,0.16494845360824742,0.12371134020618557,0.711340206185567,0.5001885229756718,0.8630043357610703,2.2094364166259766,0.057155266404151917,0.0,0.16899457573890686,1.7976725101470947,1.0656214952468872,2.2989792823791504,2.2094364166259766,-2.2094364166259766,0.02425,97,4000,-134.81732177734375,148.22567749023438,-159.49752807617188,178.35902404785156,-0.19701619446277618,0.04254171624779701,0.0,0,1.0,1.0,0.5735263157894724,10.897000000000014,68312158.27889174,1.0,0.0,0.3069274669547222,0.17038990944482377,0.47731737639954586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020379166870498566,0.0,0.5003054815956857,0.085,1.0,True,-1.0,5.137283325195298,0.0
4,200,30.35781979560852,42,False,True,time_limit,1.0,20.000000000000014,25.82369041442871,0.0,20,True,1.3559129365171028,11.647018905437463,23424828122.481358,-0.0017457869607249855,-157097859.9162611,-0.004677746121193326,0.0,0.004513736986051036,-1.6675837140315987e-05,-157097859.94529486,-3.501743797227003,1.1112735471270017e-11,1.4389650728474162e-10,0.9999999997863757,2.9776001548890964e-11,0.0,2.8732751287434037e-11,1.0614935904055251e-13,9.456175575905945e-07,1.2822180925527171e-12,1.003456469028659e-08,9.456175575905945e-07,1.003456469028659e-08,0.515131950378418,0.3333333432674408,0.3875840902328491,0.5,0.5,0.800000011920929,0.7850467289719626,0.8878504672897196,0.17486900091171265,107,0.0,0.0,0.0,66,27,0.4090909090909091,27,20,20,428,-3.501743793487549,-1.7751500606536865,-0.4590338617563249,-10.322806358337402,-0.40552064776420593,3.501743793487549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04467916162635029,0.25034815056950255,0.0,0.0,25.82369041442871,,,5.823690414428697,0.0,0.0,0.11448598130841121,1.0,0.0,,0,0.97025,0.0,0.0,0.10084033613445378,0.17647058823529413,0.7226890756302521,0.10084033613445378,0.17647058823529413,0.7226890756302521,0.5068542726134005,0.8626210331916808,2.333786964416504,0.03403794765472412,0.0,-0.14751087129116058,1.5054872035980225,0.6028991341590881,1.6168041229248047,2.333786964416504,-2.333786964416504,0.02975,119,4000,-81.65419006347656,100.32926177978516,-66.19506072998047,92.61168670654297,-0.3297840356826782,0.0321478508412838,0.0,0,1.0,1.0,0.6066842105263166,11.526999999999978,66565918.28080515,1.0,0.0,0.3566499376926959,0.16744726031272036,0.5240971980054164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02260583334868674,0.0,0.5067637803074904,0.13,1.0,True,-1.0,5.823690414428697,0.0
5,200,29.557517051696777,42,False,True,time_limit,1.0,20.000000000000014,25.74373435974121,0.0,20,True,1.3714903344551357,10.844126558332071,21824469457.035122,-0.0019049420858011372,-156463312.0549766,-0.0034537510912351905,0.0,0.004838323555609102,-1.6763102919570017e-05,-156463312.08653843,-4.610921442735126,1.2175008059962113e-11,1.6749902698163326e-10,0.9999999997672214,2.2073871791859325e-11,0.0,3.0923564195674076e-11,1.0713759472110539e-13,9.916275303112343e-07,3.8287450467022754e-12,1.1465838989366232e-08,9.916275303112343e-07,1.1465838989366232e-08,0.5962514281272888,0.5,0.3758128583431244,0.5,0.5,0.8333333134651184,0.5533980582524272,0.7475728155339806,0.13412624597549438,103,0.0,0.0,0.0,66,11,0.16666666666666666,11,20,20,414,-4.610921382904053,-4.293525457382202,-1.3120678603649139,-13.0375394821167,-0.08394554257392883,4.610921382904053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047460253116254784,0.16873195924456005,0.0,0.0,25.74373435974121,,,5.743734359741197,0.0,0.0,0.1642512077294686,1.0,0.0,,0,0.971,0.0,0.0,0.11206896551724138,0.16379310344827586,0.7241379310344828,0.11206896551724138,0.16379310344827586,0.7241379310344828,0.4957157897999566,0.8640999853610992,2.4141717553138733,-0.013993810629472136,0.1180555559694767,0.2381514348089695,34.57616853713989,17.52382133156061,2.762954831123352,2.4141717553138733,-2.4141717553138733,0.029,116,4000,-103.85462951660156,123.45882415771484,-128.1383752822876,79.14990615844727,-0.5695589706301689,0.05060462933033705,0.0,0,1.0,0.9964999999999992,0.6040263157894734,11.476500000000003,62451896.911059596,1.0,0.0,0.3522918512760593,0.15876261232135197,0.5110544635974114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026207452533632766,0.0,0.49540487667312844,0.1,1.0,True,-1.0,5.743734359741197,0.0
6,200,29.61070156097412,42,False,True,time_limit,1.0,20.000000000000014,24.858505249023438,0.0,20,True,1.3501641029297173,11.285641546005772,22475495377.238304,-0.001813545069890701,-1263286968.783065,-0.0029279079974793153,0.0,0.00497509598986196,-1.9912713096822363e-05,-1263286968.8091962,-7.382344238687422,1.4355764878925627e-12,1.6917896367878336e-11,0.9999999999753704,2.317690334625774e-12,0.0,3.942467073911341e-12,1.5762620519638546e-14,5.108569894218817e-06,3.7632163010781206e-12,5.65914152161892e-07,5.108569894218817e-06,5.65914152161892e-07,0.5223469138145447,0.5,0.44835034012794495,0.5,0.5,0.75,0.8428571428571429,0.9142857142857143,0.16730903089046478,70,0.0,0.0,0.0,39,6,0.15384615384615385,6,20,20,409,-7.382343769073486,-6.1666436195373535,-1.6880154311656952,-14.362212181091309,-1.6777503490447998,7.382343769073486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037716751584011214,0.0005259184415014791,0.0,0.0,24.858505249023438,,,4.858505249023423,0.0,0.0,0.11246943765281174,1.0,0.0,,0,0.97725,0.0,0.0,0.23076923076923078,0.15384615384615385,0.6153846153846154,0.23076923076923078,0.15384615384615385,0.6153846153846154,0.5016757025521591,0.8599511474370956,2.6551811695098877,0.09834527969360352,0.0,1.1255674362182617,4.7726593017578125,3.5092413425445557,5.061142921447754,2.6551811695098877,-2.6551811695098877,0.02275,91,4000,-122.60586547851562,139.4456787109375,-295.0196838378906,151.4313507080078,-0.8870541453361511,0.005745886359363794,0.0,0,1.0,1.0,0.6591578947368426,12.524000000000031,73059946.08120996,1.0,0.0,0.36979868380407277,0.1685778351751513,0.5383765189792243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021372158021289438,0.0,0.5041107555858325,0.09,1.0,True,-1.0,4.858505249023423,0.0
7,200,29.693308353424072,42,False,True,time_limit,1.0,20.000000000000014,24.94452667236328,0.0,20,True,1.3471191896848875,11.67511713527789,23485108197.674847,-0.0017386264983228804,-1407301937.801919,-0.0031721968732401937,0.0,0.0045576318715945556,-1.5667367183012796e-05,-1407301937.834062,-10.59919699490741,1.2354324623421672e-12,1.9345895165392555e-11,0.999999999973915,2.254098276956925e-12,0.0,3.2386231014538127e-12,1.1132910970814943e-14,6.59647366774152e-06,1.6766996645267707e-11,4.715371323982254e-05,6.59647366774152e-06,4.715371323982254e-05,0.5598166584968567,0.5,0.3838340640068054,0.5,0.5,0.8333333134651184,0.7142857142857143,0.8571428571428571,0.15105697512626648,84,0.0,0.0,0.0,57,11,0.19298245614035087,11,20,20,425,-10.599196434020996,-12.72576379776001,-2.7279612183570863,-19.02962875366211,-2.7201356887817383,10.599196434020996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04918655842492969,0.22648150593719926,0.0,0.0,24.94452667236328,,,4.944526672363267,0.0,0.0,0.15294117647058825,1.0,0.0,,0,0.97175,0.0,0.0,0.25663716814159293,0.20353982300884957,0.5398230088495575,0.25663716814159293,0.20353982300884957,0.5398230088495575,0.4952380653060346,0.8624225914478301,2.545588493347168,0.05490543693304062,0.0,-0.23472611606121063,3.2603416442871094,1.3928989171981812,1.7552733421325684,2.545588493347168,-2.545588493347168,0.02825,113,4000,-238.99838256835938,158.2462158203125,-194.59112548828125,128.8495635986328,-0.8657870292663574,0.02975061908364296,0.0,0,1.0,1.0,0.6380263157894742,12.122499999999992,75674533.21201234,1.0,0.0,0.38067417809390824,0.1703989263852022,0.5510731044791104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0272255157554799,0.0,0.4937349553470267,0.17,1.0,True,-1.0,4.944526672363267,0.0
8,200,30.22006130218506,42,False,True,time_limit,1.0,20.000000000000014,25.97695541381836,0.0,20,True,1.3393140858809862,11.510893102830414,23057218425.72175,-0.0017686043163880885,-2739702453.6701164,-0.003890480125185194,0.0,0.004453017098978853,-1.5343512089094214e-05,-2739702453.6978183,-7.655576412524983,6.45546130017916e-13,8.038674991017849e-12,0.9999999999882642,1.4200374642610671e-12,0.0,1.6260249925784372e-12,5.60043010085271e-15,1.0775665032269899e-05,9.640360558449412e-12,0.0001995262282434851,1.0775665032269899e-05,0.0001995262282434851,0.5440115332603455,0.5,0.4133237302303314,0.5,0.5,0.75,0.696969696969697,0.9393939393939394,0.15719109773635864,99,0.0,0.0,0.0,64,13,0.203125,13,20,20,432,-7.655576229095459,-8.974660873413086,-1.4236123740673092,-15.265029907226562,-0.6356490254402161,7.655576229095459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04235698423968059,0.1993438112710616,0.0,0.0,25.97695541381836,,,5.976955413818345,0.0,0.0,0.1574074074074074,1.0,0.0,,0,0.97075,0.0,0.0,0.15384615384615385,0.15384615384615385,0.6923076923076923,0.15384615384615385,0.15384615384615385,0.6923076923076923,0.49671771939956544,0.8587294936180113,2.4970713456471763,0.021443433438738186,0.19166666766007742,0.11960229774316151,4.442514419555664,2.338362534840902,1.638142426808675,2.4970713456471763,-2.4970713456471763,0.02925,117,4000,-168.97116088867188,113.5853042602539,-186.46507263183594,102.18184153238933,-1.0138038595517476,0.07053566724061966,0.0,0,1.0,1.0,0.6505789473684213,12.361000000000013,72443659.12891537,1.0,0.0,0.35322293122909465,0.16679840732611606,0.5200213385552106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02202357759740667,0.0,0.495566552645294,0.145,1.0,True,-1.0,5.976955413818345,0.0
9,200,29.041804790496826,42,False,True,time_limit,1.0,20.000000000000014,25.364700317382812,0.0,20,True,1.3446853152483327,11.296465500574424,22739605904.46712,-0.001813420512715741,-1696340536.1420958,-0.004157620780762365,0.0,0.00449091575968162,-1.572662014937427e-05,-1696340536.184533,-7.639092695545929,1.0690191468216293e-12,2.149047274798826e-11,0.9999999999723327,2.4509352291390786e-12,0.0,2.647686393401698e-12,9.270909828462532e-15,7.642186574230436e-06,1.1032813985317746e-11,4.131425612285966e-05,7.642186574230436e-06,4.131425612285966e-05,0.5269060730934143,0.27500000894069676,0.36315232515335083,0.5,0.5,0.805000007152557,0.7244897959183674,0.8469387755102041,0.1696987897157669,98,0.0,0.0,0.0,68,18,0.2647058823529412,18,20,20,410,-7.639092922210693,-6.8640546798706055,-2.535737240314484,-15.308926582336426,-1.8550604581832886,7.639092922210693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05940752785932694,0.1494292486428428,0.0,0.0,25.364700317382812,,,5.364700317382798,0.0,0.0,0.17560975609756097,1.0,0.0,,0,0.96875,0.0,0.0,0.216,0.216,0.568,0.216,0.216,0.568,0.5023256314816668,0.8603575557470321,2.211742401123047,0.029828593134880066,0.30000000074505806,-0.07852284610271454,1.6332166194915771,0.7358736312016845,1.5138594508171082,2.211742401123047,-2.211742401123047,0.03125,125,4000,-92.41439056396484,124.40390014648438,-88.72450542449951,105.87939453125,-1.2336176633834839,0.07595132291316986,0.0,0,1.0,0.9917499999999981,0.6473289473684224,12.299249999999974,65609455.95567468,1.0,0.0,0.5047792704081714,0.17159707978533345,0.6763763501935051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03645516006427812,0.0,0.5002440582436976,0.21,1.0,True,-1.0,5.364700317382798,0.0
10,200,26.837543964385986,42,False,True,time_limit,1.0,20.000000000000014,24.262904739379884,7.499999999999989,20,True,1.3781957290390858,10.882925382346983,21106475593.309414,-0.0019045556025541264,-480718536.13384694,-0.004040862278208467,0.0,0.004478686176157802,0.0008380336608501624,-480718536.1882288,-7.071123246387557,3.961893414043773e-12,1.0076164313894531e-10,0.9999999998757323,8.40587989430309e-12,0.0,9.317095914677886e-12,1.8213261483750967e-12,2.4256376036646543e-06,1.7778861065645413e-12,5.996184242462723e-08,2.4256376036646543e-06,5.996184242462723e-08,0.5387623310089111,0.5,0.37178874015808105,0.5,0.5,0.75,0.7425742574257426,0.9207920792079208,0.16003413498401642,101,0.0,0.0,0.0,77,19,0.24675324675324675,19,20,20,401,-7.071123123168945,-7.140249013900757,-3.954953742027283,-14.062234878540039,-2.5720019340515137,7.071123123168945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07688951949346275,0.2900371139503245,0.0,0.0,24.262904739379884,,,4.26290473937987,0.05,0.05,0.2144638403990025,0.95,0.0,,0,0.96725,0.0,0.0,0.22900763358778625,0.24427480916030533,0.5267175572519084,0.22900763358778625,0.24427480916030533,0.5267175572519084,0.49482489288394216,0.8653260469436646,2.1763168573379517,-0.024489277508109808,0.10347222350537777,0.047526563284918666,1.4931225776672363,0.7919116094708443,1.7603215873241425,2.1763168573379517,-2.1763168573379517,0.03275,131,4000,-99.76972198486328,148.062744140625,-110.3931884765625,153.68985557556152,-1.503987580537796,0.07274921983480453,0.0,0,1.0,1.0,0.5355789473684213,10.176000000000004,72446342.95350854,1.0,0.0,0.29123145038843085,0.16361497516351828,0.4548464255519491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04843798959421415,0.0,0.49529374594264663,0.24,1.0,True,-1.0,4.26290473937987,0.0
