episode,steps,elapsed_sec,seed,terminated,truncated,termination_reason,termination_reason_raw,termination_reason_bucket,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,r_time,r_prog,r_interf,r_risk,r_illegal,r_pbrs,r_term,r_step,r_margin,r_margin_raw,r_margin_norm,r_total,abs_ratio_r_time,abs_ratio_r_energy,abs_ratio_r_interf,abs_ratio_r_risk,abs_ratio_r_illegal,abs_ratio_r_pbrs,abs_ratio_r_term,abs_ratio_r_margin,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,uncertainty_selected_mean,uncertainty_selected_p90,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,risk_penalty_mean,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,margin_pre_mean,margin_post_mean,r_margin_abs_mean,r_prog_abs_mean,r_margin_nonzero_rate,margin_valid_count,margin_skip_count,reward_clip_hit_count,reward_clip_hit_rate,abs_ratio_basis,r_prog_on_task_mean,r_margin_on_task_mean,r_time_on_task_mean,r_prog_on_task_abs_mean,r_margin_on_task_abs_mean,r_time_on_task_abs_mean,abs_ratio_on_task_r_prog,abs_ratio_on_task_r_margin,abs_ratio_on_task_r_time,abs_ratio_on_task_r_term,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,reward_step_p95,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,top_illegal_reason,top_illegal_reason_count,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,active_ratio,actor_update_active_frac,active_samples,total_samples,adv_mean,adv_std,value_target_mean,value_target_std,value_pred_mean,value_pred_std,value_clip_fraction,skipped_update_count,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,t_L,t_R,t_V,t_a,t_alt,A_t,r_lat,cp_rem,f_max,d_cp_lb,rate_best,comm_lb,queue_lb,lb,phi,delta_phi,r_shape,overtime_ratio,r_timeout,e_tx,r_energy,r_power,avg_power,avg_rsu_queue,rsu_queue_p95,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,200,16.610618114471436,42,False,True,time_limit,time_limit,time_limit,1.0,20.000000000000014,21.45997114181519,1.5000000000000002,20,True,3.0191248301777684,2.5092582917175306,2004938475.953219,-0.014257407244860174,0.0,-3.2414032628288226e-05,-0.00013325133768470485,0.0,0.0,0.0032073293482615243,-0.014474223768562616,0.002091520642084586,0.0009997572784361962,0.006971735473615337,-0.0008990971287142218,0.4516772426242858,0.0,0.001026882421778115,0.0,0.0,0.0,0.25240734776918405,0.294888527184752,6.863535347706451e-12,0.0,0.0,5.998432653364638e-12,0.0,0.861151933670044,0.800000011920929,0.13884806632995605,0.20000000298023224,0.8571428656578064,0.9610576659440994,0.0,0.0,0.005125051364302635,104,0.0,0.0,0.0,92,0,0.0,0,20,20,228,-0.0008990971837192774,-0.001445766829419881,0.0008830528182443079,-0.010160010308027267,0.056642062962055206,0.002294325502589345,0.002546515256166478,1.5053483082711714,1.5028017930150024,-0.09745348474383429,-6.771087646484375e-05,0.002546515256166478,0.09993228912353525,0.4157243229348308,0.41672408021326696,0.009308296781751496,0.0,0.86125,4000,0,0,0.0,unified_margin_term_illegal,0.0,-0.017050884211987596,-0.014022916719657188,0.0,0.08269535576334433,0.014022916719657188,0.0,0.4783519168632145,0.08111566884188416,0.44053241429490136,0.10000000000000561,0.10000000000000561,-0.09745348474383429,-6.771087646476048e-05,0.0018843217243934172,0.0,0.0006368562288225188,-0.011265136879719915,21.45997114181519,0.002546515256166478,0.09993228912353525,1.4599711418151742,0.15,0.15,0.6008771929824561,0.85,0.0,,0,0.96025,0.03974999999999995,0.03974999999999995,0.0,0.0,0.34591194968553457,0.3836477987421384,0.27044025157232704,0.34591194968553457,0.3836477987421384,0.27044025157232704,0.5002078924824697,0.8593244373798371,1.9822898308436077,0.012261482266088327,0.1261574092010657,-0.06240264574686686,1.2626946568489075,0.5451572487751642,2.8312611182530723,1.9822898308436077,-1.9822898308436077,0.03975,0.042317708333333336,159,4000,-0.5677511096000671,1.0618600845336914,-0.40894268453121185,0.9772022664546967,-0.03491975304981073,0.12877907107273737,0.3715277810891469,0,1.0,1.0,0.32576315789473675,6.189499999999998,24921230.897907227,0.9499999999999976,0.0,0.24947804304678778,0.038994930204299914,0.2884729732510878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.115115338944514e-05,0.0,0.5001321676457301,0.015,0.0,True,-1.0,1.5028017930150024,0.0
2,200,15.762975692749023,42,False,True,time_limit,time_limit,time_limit,1.0,20.000000000000014,21.39248857498169,2.700000000000001,20,True,3.0636923491569843,2.6421701734750824,2088451330.0378754,-0.01367984402102726,0.0,-1.4018970963109264e-05,-0.0006098513192795694,0.0,0.0,-0.0025668149405890096,-0.014336172083849925,0.0020690125709414927,0.0008035581828294278,0.00689670856980506,-0.0014191665361638014,0.5157051525981252,0.0,0.0005284896193762342,0.0,0.0,0.0,0.10835447905495328,0.37541187872754544,4.088345547520467e-12,0.0,0.0,3.0719025413683543e-12,0.0,0.8575624823570251,0.800000011920929,0.14243757724761963,0.20000000298023224,0.8333333134651184,0.9624643921852112,0.0,0.0,0.022587085142731667,108,0.0,0.0,0.0,96,1,0.010416666666666666,1,20,20,236,-0.0014191665686666965,-0.0014091177145019174,0.0014232902321964483,-0.01239421684294939,0.0038779904134571552,0.0017225381452590227,0.002523380801081676,1.411809416463973,1.4092860356628882,-0.0974766191989186,0.0,0.002523380801081676,0.09999999999999964,0.43503211987374213,0.4358356780565716,0.009958356861009756,0.0,0.9545,4000,0,0,0.0,unified_margin_term_illegal,0.0,-0.021972789565397846,-0.013082973655455618,0.0,0.09204149601374496,0.013082973655455618,0.0,0.835933200564722,0.11882131988680149,0.04524547954847656,0.10000000000000561,0.10000000000000561,-0.0974766191989186,-3.608224830031759e-16,0.0012390704718975144,0.0,0.0004994104492717871,-0.010870082568367368,21.39248857498169,0.002523380801081676,0.09999999999999964,1.3924885749816767,0.05,0.05,0.7076271186440678,0.95,0.0,,0,0.9525,0.04749999999999999,0.04749999999999999,0.0,0.0,0.43157894736842106,0.3157894736842105,0.25263157894736843,0.43157894736842106,0.3157894736842105,0.25263157894736843,0.49543581546999915,0.8580256402492523,1.8180770054459572,0.009231094354618108,0.1505853859707713,-0.006443070946261287,1.0834956541657448,0.5134878046810627,2.3140451684594154,1.8180770054459572,-1.8180770054459572,0.0475,0.0478515625,190,4000,-0.2347775548696518,1.8162264823913574,-0.3115496560931206,1.691904429346323,-0.21844787965528667,0.13886354654096067,0.18965061008930206,0,1.0,1.0,0.26923684210526316,5.11550000000001,23960016.08122861,1.0,0.0,0.20535763303888352,0.036495297571256,0.2418529306101396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2457772580006274e-05,0.0,0.49715194885327946,0.015,0.0,True,-1.0,1.4092860356628882,0.0
3,73,5.783461093902588,42,True,False,idle,idle,terminated,0.0,7.29999999999999,8.22149812221527,2.2333333333333343,20,True,3.134001252229153,2.6888842986088273,2177905398.27408,-0.01342432270833968,0.0,-5.024138645138676e-05,-0.0016112892392948924,0.0,0.0,0.009800131559682857,-0.015195786157053606,0.007308274957224774,0.004227063005820671,0.024360916524082607,0.000363384242211667,0.22257620274097373,0.0,0.0008330056763194817,0.0,0.0,0.0,0.2918436665451299,0.4847471250375769,1.1606181293810636e-11,0.0,0.0,1.016577273749153e-11,0.0,0.8644201159477234,0.800000011920929,0.13557998836040497,0.20000000298023224,0.8333333134651184,0.9664285480976105,0.0,0.0,0.022839631885290146,103,0.0,0.0,0.0,96,3,0.03125,3,20,20,247,0.0003633843152783811,-0.0011664426419883966,0.009554601274430717,-0.011118779890239239,0.052916865795850754,0.0033902134746313095,0.011242372499753664,1.274485551935353,1.2632431794356003,-0.08875762750024598,0.0002205371856689453,0.011242372499753664,0.10022053718566903,0.5320667536082322,0.5362938166140532,0.029236736714469875,0.0,0.7917808219178082,1460,0,0,0.0,unified_margin_term_illegal,0.0,-0.026892119282892573,-0.013134908899620977,0.0,0.08259599086576493,0.013134908899620977,0.0,0.5212823330876004,0.08289743708281498,0.39582022982958465,0.09999999999999726,0.09999999999999726,-0.08875762750024598,0.00022053718566902858,0.003923784396539277,0.0,0.001187606521552046,-0.009972887960006654,8.22149812221527,0.011242372499753664,0.10022053718566903,0.9214981222152794,0.3,0.3,0.7692307692307693,0.7,0.0,,0,0.8561643835616438,0.14383561643835618,0.14383561643835618,0.0,0.0,0.5095238095238095,0.3,0.19047619047619047,0.5095238095238095,0.3,0.19047619047619047,0.4987873914612441,0.8600921988487243,1.7918334531784057,0.013769906498491764,0.11247979991137981,-0.005239142440259457,1.0118954253196717,0.47920655965805053,1.2328853225708007,1.7918334531784057,-1.7918334531784057,0.14383561643835616,0.14640625,210,1460,0.4048524796962738,1.8273459672927856,0.3237546284869313,1.7394593715667725,0.06625888885930181,0.22917997777462007,0.33152460046112536,0,1.0,1.0,0.2758471521268924,5.241095890410951,22239371.572555076,1.0,0.0,0.24464044195347198,0.03996481680473538,0.28460525875820725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00010993282296762119,0.0,0.4993081486898742,0.0547945205479452,0.0,False,0.0,0.0,0.0
4,46,3.68420672416687,42,True,False,idle,idle,terminated,0.0,4.6,5.529295921325684,2.0400000000000005,20,True,2.993245790032318,2.578339209161519,2133919461.117804,-0.013983109564326288,0.0,-0.0001592539830266363,-0.0023657792655760973,0.0,0.0,0.022345633977900292,-0.016696524659210968,0.01496011918805777,0.008336206777994997,0.04986706396019284,0.002316338961860508,0.14598989138356938,0.0,0.0016626825083151384,0.0,0.0,0.0,0.3623671998562331,0.4899802262518825,3.4104129242873427e-11,0.0,1.3852644101253085e-10,2.808408020027464e-11,6.843170578807397e-11,0.8599973320960999,0.800000011920929,0.14000271260738373,0.20000000298023224,0.8333333134651184,0.9561076700687408,0.0,0.0,0.021131236106157303,103,0.0,0.0,0.0,97,0,0.0,0,20,20,242,0.0023163389414548874,-0.0005357604240998626,0.02519229520112276,-0.006513096857815981,0.06284338980913162,0.004549576435238123,0.021656816809074084,1.5107018781485748,1.4890450613395045,-0.0783431831909263,0.16848242282867432,0.021656816809074084,0.2684824228286744,0.4284432232513189,0.4367794300293139,0.04693096983017936,0.0,0.8608695652173913,920,0,0,0.0,unified_margin_term_illegal,0.0,-0.016676896109869773,-0.01384472279055251,0.0,0.0895355861239132,0.01384472279055251,0.0,0.8276593145924799,0.12797943556982175,0.04436124983769846,0.09999999999999896,0.09999999999999896,-0.0783431831909263,0.1684824228286744,0.006681506299919046,0.0,0.0024652790912949485,-0.01049930597975783,5.529295921325684,0.021656816809074084,0.2684824228286744,0.929295921325684,0.25,0.25,0.7272727272727273,0.75,0.0,,0,0.7869565217391304,0.21304347826086956,0.21304347826086956,0.0,0.0,0.4744897959183674,0.3112244897959184,0.21428571428571427,0.4744897959183674,0.3112244897959184,0.21428571428571427,0.5117010210454463,0.8815809130668638,1.7685864528020223,0.0110570445501556,0.09174184203147888,-0.0045721822263052065,1.4636779149373373,0.7060437480608622,1.3196382482846578,1.7685864528020223,-1.7685864528020223,0.21304347826086956,0.2140625,196,920,-1.4496196508407593,1.833840012550354,-1.4586183786392213,1.8049078305562338,-0.46354305973897375,0.240950408577919,0.6495921413103739,0,1.0,1.0,0.24473684210526309,4.649999999999999,20035095.44296747,1.0,0.0,0.20278515738949807,0.03803662475194825,0.24082178214144637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000188381846281963,0.0,0.5063592505681774,0.043478260869565216,0.0,False,0.0,0.0,0.0
5,193,14.926812887191772,42,True,False,idle,idle,terminated,0.0,19.300000000000004,20.773332710266114,1.666666666666667,20,True,3.027628992505959,2.40092038014063,1919357870.1797347,-0.014966187463136615,0.0,-2.5288537207243675e-05,-0.0005325361995322003,0.0,0.0,0.003569079969399585,-0.01560761233325,0.002569563767839925,0.00109445737712492,0.008565212559466451,-0.0008852832263104509,0.40696180256964115,0.0,0.0006876479872752067,0.0,0.0,0.0,0.23900382950999863,0.35334671993308503,1.000348068269652e-11,0.0,0.0,5.71510720692725e-12,0.0,0.8502105474472046,0.800000011920929,0.14560076594352722,0.20000000298023224,0.8333333134651184,0.9537878692150116,0.0,0.009259259259259259,0.01903323270380497,108,0.0,0.0,0.0,93,3,0.03225806451612903,3,20,20,213,-0.0008852832252159715,-0.001552441157400608,0.001384798064827907,-0.013976656831800938,0.07452394813299179,0.002465265803039074,0.002500218548305284,1.4672984543767011,1.4647982358283935,-0.09749978145169534,0.0,0.002500218548305284,0.10000000000000009,0.3990924346001877,0.4001868919773126,0.012994470774927413,0.0,0.8515544041450778,3860,0,0,0.0,unified_margin_term_illegal,0.0,-0.029909671961400687,-0.014958389256556019,0.0,0.1078392756612996,0.014958389256556019,0.0,0.47597859202650855,0.06602300519601044,0.45799840277748105,0.10000000000000499,0.10000000000000499,-0.09749978145169537,8.326672684688674e-17,0.002811845550105301,0.0,0.0010317576637882675,-0.011673910623450162,20.773332710266114,0.002500218548305284,0.10000000000000009,1.47333271026611,0.15,0.15,0.6150234741784038,0.85,0.0,,0,0.9559585492227979,0.04404145077720212,0.04404145077720212,0.0,0.0,0.36470588235294116,0.35294117647058826,0.2823529411764706,0.36470588235294116,0.35294117647058826,0.2823529411764706,0.4990848502153613,0.8580528676509858,1.71736478805542,0.07835591584444046,0.0833333358168602,-0.22168846428394318,1.2857532501220703,0.4005797803401947,2.2351489067077637,1.71736478805542,-1.71736478805542,0.04404145077720207,0.046875,170,3860,-1.464317798614502,2.0722339153289795,-1.272465467453003,1.6645642518997192,-0.24946610629558563,0.17477339506149292,0.0,0,1.0,1.0,0.2422961548950096,4.603626943005185,24629586.411516465,1.0,0.0,0.2877309419100549,0.03774833356909495,0.32547927547914973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.360013337395917e-05,0.0,0.4994359737467214,0.010362694300518135,0.0,False,0.0,0.0,0.0
6,116,8.995105504989624,42,True,False,idle,idle,terminated,0.0,11.599999999999975,12.444196290969842,2.3000000000000007,20,True,3.112903427429218,2.558461493405917,2034415959.1397178,-0.013994410317596111,0.0,-5.252687973057389e-05,-0.001078861826464469,0.0,0.0,0.004264488742560824,-0.01521773970676923,0.004292607959489339,0.002191056760012055,0.014308693198297851,-0.0005489840495276642,0.3065768354284316,0.0,0.001150711190916071,0.0,0.0,0.0,0.287428325650107,0.40484412773054523,1.1327848381537109e-11,0.0,0.0,9.539196689500873e-12,0.0,0.8465805053710938,0.800000011920929,0.15173600614070892,0.20000000298023224,0.800000011920929,0.9523809552192688,0.0,0.010101010101010102,0.025282416492700577,99,0.0,0.0,0.0,85,1,0.011764705882352941,1,20,20,225,-0.0005489841569215059,-0.001389517157804221,0.0014593616069760174,-0.013990331441164017,0.06542904675006866,0.0023006557021290064,0.0058786940882943565,1.1073565699519785,1.1014778758636838,-0.09412130591170466,0.00018644332885742188,0.0058786940882943565,0.10018644332885707,0.5493784443642209,0.5515695011242331,0.018480048664515383,0.0,0.8396551724137931,2320,0,0,0.0,unified_margin_term_illegal,0.0,-0.026239697931413314,-0.013655481685804384,0.0,0.09044123713342204,0.013655481685804384,0.0,0.4845726842019587,0.07316433989949941,0.4422629758985418,0.09999999999999616,0.09999999999999616,-0.09412130591170466,0.00018644332885706105,0.0034506391527568446,0.0,0.001283298346072627,-0.011014245221496615,12.444196290969842,0.0058786940882943565,0.10018644332885707,0.844196290969867,0.2,0.2,0.6577777777777778,0.8,0.0,,0,0.9237068965517241,0.07629310344827589,0.07629310344827589,0.0,0.0,0.4406779661016949,0.2655367231638418,0.2937853107344633,0.4406779661016949,0.2655367231638418,0.2937853107344633,0.5128526519136752,0.8734265685081479,1.8016416629155476,-0.007968740660645481,0.18480986687872145,0.00919390164522661,1.4097912394338183,0.6924698174827628,1.5746016850074132,1.8016416629155476,-1.8016416629155476,0.07629310344827586,0.076171875,177,2320,-1.2165991067886353,1.7396903038024902,-1.5014096688893106,1.7027087228165732,-0.6886730827391148,0.3355059673388799,0.7301442594163947,0,1.0,1.0,0.25549001814882055,4.854310344827584,28238414.044386312,1.0,0.0,0.24060878756968881,0.0387755365466639,0.2793843241163528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.19406829781002e-05,0.0,0.5078556294886171,0.017241379310344827,0.0,False,0.0,0.0,0.0
7,185,13.621299266815186,42,True,False,idle,idle,terminated,0.0,18.499999999999993,19.40653944015503,2.7600000000000007,20,True,3.0353510058824846,2.649476249168879,2080747006.6325138,-0.013949789678182386,0.0,-2.6219322029850276e-05,-0.0006942928164639813,0.0,0.0,0.0012009209371334172,-0.01474211905510692,0.0018970111875742603,0.0009604860260478092,0.006323370625247475,-0.001087807687550432,0.45262551459721395,0.0,0.00085073211854312,0.0,0.0,0.0,0.16477765203734207,0.3817461012469009,4.784208185865113e-12,0.0,0.0,4.574184780947732e-12,0.0,0.8430168032646179,0.800000011920929,0.1540905088186264,0.20000000298023224,0.8333333134651184,0.9523809552192688,0.0,0.009345794392523364,0.024008259177207947,107,0.0,0.0,0.0,98,1,0.01020408163265306,1,20,20,245,-0.0010878077009692788,-0.0014187812339514494,0.001479529123753307,-0.012061784975230694,0.025647927075624466,0.0018634763546288013,0.00310776082245072,0.984929123646504,0.981821362824053,-0.09689223917755006,-0.0007131099700927734,0.00310776082245072,0.09928689002990776,0.5821385369200479,0.5830990229460956,0.011765306309785225,0.0,0.7872972972972972,3700,0,0,0.0,unified_margin_term_illegal,0.0,-0.02446424894987335,-0.013157135731997314,0.0,0.08839218859344225,0.013157135731997314,0.0,0.8378018302275033,0.12470640870223712,0.03749176107025954,0.10000000000000422,0.10000000000000422,-0.09689223917755006,-0.0007131099700922461,0.002489904043019585,0.0,0.0009057484422716699,-0.00906388619450615,19.40653944015503,0.00310776082245072,0.09928689002990776,0.9065394401550364,0.25,0.25,0.7795918367346939,0.75,0.0,,0,0.9421621621621622,0.0578378378378378,0.0578378378378378,0.0,0.0,0.5,0.2102803738317757,0.2897196261682243,0.5,0.2102803738317757,0.2897196261682243,0.4811805514690211,0.853524512052536,1.6562236717769079,0.008354452826703588,0.13968901868377412,0.019337117760663942,1.4554774590900965,0.7272011566729772,1.751071538243975,1.6562236717769079,-1.6562236717769079,0.05783783783783784,0.055989583333333336,214,3700,1.3443619012832642,3.2058537006378174,0.721064731922178,2.745564517520723,-0.08441217700462966,0.2696982565380278,0.43539822686995777,0,1.0,1.0,0.2448933143669989,4.652972972972988,21900010.970734976,1.0,0.0,0.17242687154734043,0.035345095818233925,0.20777196736557435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.181723843065343e-05,0.0,0.49005621030322605,0.021621621621621623,0.0,False,0.0,0.0,0.0
8,200,16.265040159225464,42,False,True,time_limit,time_limit,time_limit,1.0,20.000000000000014,29.971635246276854,2.2666666666666675,20,True,3.0531261933257623,2.540727443035953,2050031609.5404706,-0.014586009244365202,0.0,-1.9246077957417196e-05,-0.0004721465298043952,0.0,0.0,-0.0012127625995335793,-0.015091134828123978,0.0024476605694579903,0.0011121764228542164,0.008158868564860101,-0.0013370357352398565,0.47624209359414926,0.0,0.0006283961778961204,0.0,0.0,0.0,0.1207147693006298,0.4024147409273249,4.266551521803219e-12,0.0,0.0,3.41830209971139e-12,0.0,0.8388597965240479,0.800000011920929,0.16114023327827454,0.20000000298023224,0.800000011920929,0.9386029422283173,0.0,0.0,0.025181148201227188,75,0.0,0.0,0.0,63,0,0.0,0,20,20,236,-0.0013370357919484377,-0.001503117207903415,0.0002745162695646286,-0.008416032418608665,0.019387636333703995,0.001772083924151957,0.09760289417207366,2.1886071130633384,2.0910042188912636,-0.0023971058279280903,0.0,0.09760289417207366,0.09999999999999964,0.4070740414497579,0.40818621787261195,0.01232487680149678,0.0,0.8595,4000,0,0,0.0,unified_margin_term_illegal,0.0,-0.034180230078880325,-0.014157667590509147,0.0,0.09510289396413178,0.014157667590509147,0.0,0.8311330231569244,0.12372814932202363,0.0451388275210521,0.10000000000000561,0.10000000000000561,-0.0023971058279279945,-3.608224830031759e-16,0.0005562669396021769,0.0,0.00023829588453968013,-0.011528731050041749,29.971635246276854,0.09760289417207366,0.09999999999999964,9.97163524627684,0.15,0.15,0.6483050847457628,0.8,0.0,,0,0.95225,0.04774999999999996,0.04774999999999996,0.0,0.0,0.6073298429319371,0.17801047120418848,0.21465968586387435,0.6073298429319371,0.17801047120418848,0.21465968586387435,0.48687124397670867,0.8636108636856079,1.5612888932228088,0.046157573349773884,0.08522727526724339,-0.005302459001541138,1.6281328201293945,0.7900284677743912,2.9665939807891846,1.5612888932228088,-1.5612888932228088,0.04775,0.046875,191,4000,1.1144593954086304,1.4378561973571777,0.9339884519577026,1.5297861993312836,-0.1724127195775509,0.19715718552470207,0.0,0,1.0,1.0,0.30736842105263146,5.8399999999999945,26459834.670297794,0.9814999999999969,0.0,0.26657847602635387,0.0366802993195122,0.30325877534586587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.373297599697952e-05,0.0,0.49418724327068775,0.01,0.0,True,-1.0,2.0910042188912636,0.0
9,200,15.481114149093628,42,False,True,time_limit,time_limit,time_limit,1.0,20.000000000000014,21.405358982086184,2.2250000000000005,20,True,3.10066264963731,2.682155137459804,2223950973.934897,-0.013397023364359367,0.0,-2.51681433849922e-05,-0.0004755587841002619,0.0,0.0,0.0026256604297515244,-0.013938279800572013,0.0032595919669508714,0.0011300604927384661,0.01086530655650292,-0.0007536939111041916,0.4107817254227979,0.0,0.0007717097361253916,0.0,0.0,0.0,0.20170893866617878,0.38673762617489793,1.0340440309564158e-11,0.0,0.0,3.8125856638426825e-12,0.0,0.8402120471000671,0.800000011920929,0.15978798270225525,0.20000000298023224,0.8166666626930237,0.9423202544450759,0.0,0.0,0.02570587955415249,74,0.0,0.0,0.0,61,1,0.01639344262295082,1,20,20,249,-0.0007536938646808267,-0.0013481444329954684,0.001999515842180699,-0.00972461886703968,0.029071293771266937,0.001859417650848627,0.003429083049297422,1.6080705758213985,1.604641492772104,-0.09657091695070359,7.152557373046875e-06,0.003429083049297422,0.10000715255737269,0.40812769303395463,0.409257753526693,0.012612861510353936,0.0,0.8095,4000,0,0,0.0,unified_margin_term_illegal,0.0,-0.028450982895310794,-0.013348520413682712,0.0,0.0973354273911624,0.013348520413682712,0.0,0.5401875540450364,0.0740809876285826,0.3857314583263809,0.10000000000000561,0.10000000000000561,-0.09657091695070359,7.1525573726860525e-06,0.0014786810286190493,0.0,0.0005434860143191887,-0.009122425100509614,21.405358982086184,0.003429083049297422,0.10000715255737269,1.4053589820861703,0.2,0.2,0.5943775100401606,0.8,0.0,,0,0.955,0.04500000000000004,0.04500000000000004,0.0,0.0,0.5888888888888889,0.2,0.2111111111111111,0.5888888888888889,0.2,0.2111111111111111,0.4660568947329166,0.8330605983734131,1.5055355509122212,0.001164261841525634,0.10814521958430608,0.00785980352666229,1.378121825059255,0.6788543025652568,2.6484754224618277,1.5055355509122212,-1.5055355509122212,0.045,0.04544270833333333,180,4000,-0.39633387327194214,1.2625550031661987,-0.5023916892086466,1.1011083165804545,-0.20787966108570496,0.12934294107059638,0.2849942644437154,0,1.0,1.0,0.27807894736842065,5.283499999999979,20765066.472515374,1.0,0.0,0.22330122766693708,0.03823216349717836,0.2615333911641154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.052950872738431e-05,0.0,0.486040897958912,0.01,0.0,True,-1.0,1.604641492772104,0.0
