episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,ratio_local,ratio_rsu,ratio_v2v
1,Random,0.08962836178102603,17.925672356205204,0.65,0.65,0.9316239316239316,0.1385,0.13275,0.72875
1,Local-Only,0.06336313137801085,12.67262627560217,0.65,0.65,0.875,1.0,0.0,0.0
1,Greedy,-0.09066286451099495,-18.13257290219899,0.0,0.0,0.16923076923076924,0.0,1.0,0.0
2,Random,0.11135004078451562,22.270008156903124,0.8,0.8,0.9618320610687023,0.14175,0.13875,0.7195
2,Local-Only,0.11333792431209294,22.66758486241859,0.85,0.85,0.9491525423728814,1.0,0.0,0.0
2,Greedy,-0.09259565467901013,-18.519130935802025,0.0,0.0,0.15254237288135594,0.0,1.0,0.0
3,Random,0.10799592501578438,21.599185003156876,0.75,0.75,0.9495798319327731,0.14225,0.1275,0.73025
3,Local-Only,0.08841838170342806,17.68367634068561,0.75,0.75,0.926829268292683,1.0,0.0,0.0
3,Greedy,-0.09175945022763336,-18.351890045526673,0.0,0.0,0.18032786885245902,0.0,1.0,0.0
4,Random,0.09916542649225424,19.833085298450847,0.75,0.75,0.9421487603305785,0.14975,0.13975,0.7105
4,Local-Only,0.08832046873879061,17.664093747758123,0.75,0.75,0.9426229508196722,1.0,0.0,0.0
4,Greedy,-0.09088523443208478,-18.177046886416957,0.0,0.0,0.20168067226890757,0.0,1.0,0.0
5,Random,0.10058086668668606,20.116173337337212,0.75,0.75,0.9236641221374046,0.1495,0.1365,0.714
5,Local-Only,0.0883174054229216,17.66348108458432,0.75,0.75,0.9344262295081968,1.0,0.0,0.0
5,Greedy,-0.09061912060046363,-18.123824120092728,0.0,0.0,0.1885245901639344,0.0,1.0,0.0
6,Random,0.10561190807190099,21.1223816143802,0.75,0.75,0.9649122807017544,0.13525,0.13975,0.725
6,Local-Only,0.03845397198898924,7.690794397797848,0.55,0.55,0.8515625,1.0,0.0,0.0
6,Greedy,-0.09196635370107828,-18.393270740215655,0.0,0.0,0.15315315315315314,0.0,1.0,0.0
7,Random,0.13821413627163293,27.642827254326587,0.9,0.9,0.9743589743589743,0.147,0.14525,0.70775
7,Local-Only,0.07098213214093167,14.196426428186335,0.65,0.65,0.9112903225806451,1.0,0.0,0.0
7,Greedy,-0.09262841516342336,-18.52568303268467,0.0,0.0,0.16535433070866143,0.0,1.0,0.0
8,Random,0.12526192542390696,25.052385084781392,0.85,0.85,0.968503937007874,0.1415,0.13325,0.72525
8,Local-Only,0.08333339579309891,16.666679158619782,0.7,0.7,0.9024390243902439,1.0,0.0,0.0
8,Greedy,-0.09196633612090885,-18.39326722418177,0.0,0.0,0.18333333333333332,0.0,1.0,0.0
9,Random,0.12425800163800087,24.851600327600174,0.85,0.85,0.9754098360655737,0.144,0.1455,0.7105
9,Local-Only,0.038375905037127726,7.675181007425545,0.55,0.55,0.8230088495575221,1.0,0.0,0.0
9,Greedy,-0.09293377431264892,-18.586754862529784,0.0,0.0,0.13157894736842105,0.0,1.0,0.0
10,Random,0.08543852992322316,17.087705984644632,0.65,0.65,0.9333333333333333,0.1475,0.14575,0.70675
10,Local-Only,0.0883468897934504,17.66937795869008,0.75,0.75,0.9159663865546218,1.0,0.0,0.0
10,Greedy,-0.09057715610230524,-18.115431220461048,0.0,0.0,0.17829457364341086,0.0,1.0,0.0
11,Random,0.15184312682009599,30.3686253640192,0.95,0.95,0.9844961240310077,0.15425,0.145,0.70075
11,Local-Only,0.11343163863579943,22.686327727159885,0.85,0.85,0.9603174603174603,1.0,0.0,0.0
11,Greedy,-0.09259719557863534,-18.519439115727067,0.0,0.0,0.17829457364341086,0.0,1.0,0.0
12,Random,0.09601867530837938,19.203735061675875,0.7,0.7,0.9349593495934959,0.15075,0.14925,0.7
12,Local-Only,0.08330571555440279,16.66114311088056,0.7,0.7,0.9262295081967213,1.0,0.0,0.0
12,Greedy,-0.09032661246887042,-18.065322493774083,0.0,0.0,0.14960629921259844,0.0,1.0,0.0
13,Random,0.13410151191495767,26.82030238299153,0.85,0.85,0.9747899159663865,0.1405,0.1425,0.717
13,Local-Only,0.050970187023888724,10.194037404777745,0.6,0.6,0.8677685950413223,1.0,0.0,0.0
13,Greedy,-0.09060484324940457,-18.120968649880915,0.0,0.0,0.1415929203539823,0.0,1.0,0.0
14,Random,0.09026650502212247,18.053301004424494,0.7,0.7,0.9327731092436975,0.1435,0.1485,0.708
14,Local-Only,0.06343363387110328,12.686726774220654,0.65,0.65,0.9069767441860465,1.0,0.0,0.0
14,Greedy,-0.09109279702227088,-18.218559404454176,0.0,0.0,0.152,0.0,1.0,0.0
15,Random,0.04910490833260901,9.820981666521803,0.55,0.55,0.8760330578512396,0.15075,0.147,0.70225
15,Local-Only,0.08838319478075712,17.676638956151425,0.75,0.75,0.9504132231404959,1.0,0.0,0.0
15,Greedy,-0.09061341962076996,-18.122683924153993,0.0,0.0,0.14960629921259844,0.0,1.0,0.0
