episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,mean_cost_power,mean_cost_trust,episode_time_seconds,mean_cft_completed,act_seconds,makespan_seconds,task_duration_mean,task_duration_p95,deadline_miss_rate,deadline_meet_ratio,time_limit_rate,energy_mean,energy_p95,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,v2v_link_break_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,avg_queue_len,avg_rsu_queue
1,Local-Only,0.016021400418167218,0.4646206121268493,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,2.9000000000000012,0.9044659417271854,0.9044659417271854,2.9000000000000012,0.9044659417271854,1.9557573190422262,0.0,1.0,0.0,0.0,0.0,0.0,0.7362068965517241,0.2637931034482759,0.2637931034482759,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.5424836601307189,0.13793103448275862
1,Greedy,0.0009001280139863434,0.270038404195903,0.7,0.7,0.8714285714285714,1.0,0.13548387096774195,0.7870967741935484,0.07741935483870968,0.13548387096774195,0.7870967741935484,0.07741935483870968,0.864516129032258,1.0,1.0,,,30.000000000000156,0.9508396046035978,0.9508396046035978,30.000000000000156,0.9508396046035978,1.2938167487999999,0.25,0.75,1.0,0.005704701722365173,0.0,0.0,0.9741666666666666,0.025833333333333375,0.025833333333333375,,0.0,4.886545161564282e-12,0.0,0.0,4.127519940416713e-12,0.0,134,0.0,0.0,0.0,0.05161290322580645,0.3933333333333333
1,EFT,0.0007616246713860516,0.22848740141581547,0.65,0.65,0.9214285714285714,0.9767441860465116,0.2147239263803681,0.4723926380368098,0.3128834355828221,0.2147239263803681,0.4723926380368098,0.3128834355828221,0.0,0.0,0.0,,,30.000000000000156,1.0494932318702017,1.0494932318702017,30.000000000000156,1.0494932318702017,1.61519551076169,0.3,0.7,1.0,0.01281761591717612,0.0,0.0,0.9728333333333333,0.027166666666666672,0.027166666666666672,,0.0,3.459578543779651e-13,0.0,0.0,3.442373881605565e-13,0.0,128,0.0,0.0,0.0,0.3312883435582822,0.17
1,CP-EFT,0.0009323033964110862,0.2796910189233259,0.75,0.75,0.9571428571428572,0.9534883720930233,0.4909090909090909,0.2,0.3090909090909091,0.4909090909090909,0.2,0.3090909090909091,0.0,0.0,0.0,,,30.000000000000156,1.1657127569826577,1.1657127569826577,30.000000000000156,1.1657127569826577,2.209187545166582,0.25,0.75,1.0,0.014963960445886567,0.0,0.0,0.9725,0.02749999999999997,0.02749999999999997,,0.0,2.6622031402273594e-12,0.0,0.0,2.6609511577686817e-13,0.0,84,0.0,0.0,0.0,0.3151515151515151,0.06
2,Local-Only,0.018462618047036663,0.4800280692229532,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,2.600000000000001,1.062883026808556,1.062883026808556,2.600000000000001,1.062883026808556,1.2917145284933294,0.0,1.0,0.0,0.0,0.0,0.0,0.6076923076923076,0.39230769230769236,0.39230769230769236,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.3235294117647059,0.07692307692307693
2,Greedy,0.0013802223638977866,0.41406670916933597,0.7,0.7,0.8928571428571429,0.75,0.11567164179104478,0.8022388059701493,0.08208955223880597,0.11567164179104478,0.8022388059701493,0.08208955223880597,0.8843283582089553,1.0,1.0,,,30.000000000000156,1.2093977550094839,1.2093977550094839,30.000000000000156,1.2093977550094839,1.5483628318040945,0.3,0.7,1.0,0.05594323250629202,0.9152582007284035,0.0,0.9553333333333334,0.04466666666666663,0.04466666666666663,,0.0,7.407916294277506e-12,0.0,0.0,6.724798669310861e-12,0.0,237,0.0,0.0,0.0,0.04477611940298507,0.55
2,EFT,0.0013071073955015923,0.12548230996815285,0.5,0.5,0.8020833333333334,0.7857142857142857,0.2736318407960199,0.43781094527363185,0.2885572139303483,0.2736318407960199,0.43781094527363185,0.2885572139303483,0.00033171562989461054,0.00045667699732066246,0.0,,,9.599999999999982,1.3142923460852218,1.3142923460852218,9.599999999999982,1.3142923460852218,2.1003282949558355,0.5,0.5,0.0,0.19269887715600648,0.9892159878892534,0.0,0.8953125,0.10468750000000004,0.10468750000000004,,0.0,5.03272391209203e-13,0.0,0.0,2.662441393654763e-13,0.0,146,0.0,0.0,0.0,0.23880597014925373,0.84375
2,CP-EFT,0.0007348475339123035,0.22045426017369105,0.55,0.55,0.8367346938775511,0.9193548387096774,0.4591439688715953,0.14785992217898833,0.39299610894941633,0.4591439688715953,0.14785992217898833,0.39299610894941633,0.0002089564860368442,0.0003863440065573307,0.0,,,30.000000000000156,1.2238519876980827,1.2238519876980827,30.000000000000156,1.2238519876980827,2.028414793196593,0.45,0.55,1.0,0.07646305572795217,0.9848074514009688,0.0,0.9571666666666667,0.04283333333333328,0.04283333333333328,,0.0,1.6354643334048902e-12,0.0,0.0,1.7875897160082865e-13,0.0,139,0.0,0.0,0.0,0.25680933852140075,0.043333333333333335
3,Local-Only,0.026980670287008353,0.458671394879142,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,1.7000000000000004,1.1113666841389649,1.1113666841389649,1.7000000000000004,1.1113666841389649,1.5596706600464754,0.0,1.0,0.0,0.0,0.0,0.0,0.4235294117647059,0.5764705882352941,0.5764705882352941,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.673469387755102,0.11764705882352941
3,Greedy,0.001130486892975754,0.3391460678927262,0.65,0.65,0.8586387434554974,0.96,0.14285714285714285,0.7183673469387755,0.13877551020408163,0.14285714285714285,0.7183673469387755,0.13877551020408163,0.8571428571428571,1.0,1.0,,,30.000000000000156,1.1340214182755763,1.1340214182755763,30.000000000000156,1.1340214182755763,1.6477177331200004,0.25,0.75,1.0,0.011856591825024349,0.0,0.0,0.9591666666666666,0.04083333333333339,0.04083333333333339,,0.0,7.055276068229643e-12,0.0,0.0,4.928263092757179e-12,0.0,210,0.0,0.0,0.0,0.12244897959183673,0.5766666666666667
