episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,I_total_mean,I_total_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
1,Random,-2.543072128432545,-508.61442568650904,0.0,0.0,0.166270783847981,0.5531914893617021,0.07425,0.119,0.80675,0.630052405232838,0.6003806699787603,0.9587581212192291,20.000000000000014,25.44466781616211,0.0,0.0,0.0,1.0,1.0,4.3538037758361625e-11,1.984010135000491e-11,0.5520232319831848,0.4000000059604645,0.15566334128379822,,,,,132,0.0,0.0,0.0,90,25,0.2777777777777778,25,0.1515,0.145
1,Local-Only,-2.0482094952227152,-342.05098570219343,0.7,0.7,0.9043062200956937,0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.699999999999967,17.81564401626585,7.407142857142847,7.407142857142847,12.304999999999971,0.3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,0.0,0,0,0.0,0,1.0,0.0
1,Greedy,-1.5787220456156663,-197.34025570195828,0.8,0.8,0.9836065573770492,0.0,0.0,1.0,0.0,1.0,1.0,1.0,12.499999999999972,12.656977081298805,8.993749999999984,8.993749999999984,11.724999999999975,0.2,0.0,0.0,0.0,0.7808730006217957,0.6666666865348816,0.05437064170837402,,,,,529,0.0,0.0,0.0,526,106,0.20152091254752852,106,0.0,23.704
1,EFT,-2.186720260216109,-437.3440520432218,0.45,0.45,0.7493857493857494,0.9052631578947369,0.90825,0.05675,0.035,0.013772011052203615,0.15010366269431724,1.0,20.000000000000014,22.516233539581304,9.099999999999984,9.099999999999984,12.599999999999971,0.55,1.0,9.97652378487146e-08,4.330826344246798e-12,0.6471003293991089,0.4000000059604645,0.11731858551502228,,,,,363,0.0,0.0,0.0,351,87,0.24786324786324787,87,0.16075,3.225
1,CP-EFT,-2.242620774291942,-448.52415485838844,0.4,0.4,0.6211764705882353,0.8,0.63625,0.253,0.11075,0.03223159683732278,0.08860920092734788,0.8832010740436311,20.000000000000014,23.408478546142582,7.562499999999989,7.562499999999989,10.449999999999978,0.6,1.0,1.8320625572165739e-10,6.358980209801924e-13,0.6737948656082153,0.5,0.10167952626943588,,,,,311,0.0,0.0,0.0,292,69,0.2363013698630137,69,0.15675,2.47
1,Static,-1.7169045705333665,-221.48068959880428,0.95,0.95,0.9815668202764977,0.0,0.31356589147286823,0.6864341085271318,0.0,1.0,1.0,1.0,12.89999999999997,13.125255565643283,8.284210526315777,8.284210526315777,11.549999999999972,0.05,0.0,0.0,0.0,0.8413993120193481,0.7777777910232544,0.035705313086509705,,,,,393,0.0,0.0,0.0,393,43,0.10941475826972011,43,0.2531007751937985,16.333333333333332
2,Random,-3.5811981062986553,-716.239621259731,0.0,0.0,0.16864608076009502,0.5454545454545454,0.08125,0.118,0.80075,0.6332669575550958,0.6008347837334371,0.9632677458522535,20.000000000000014,25.50931167602539,0.0,0.0,0.0,1.0,1.0,1.4588020791350687e-09,2.936778487061523e-10,0.584943413734436,0.5,0.1398983597755432,,,,,122,0.0,0.0,0.0,82,19,0.23170731707317074,19,0.10175,0.095
2,Local-Only,-2.0181788800418765,-316.8540841665746,0.6,0.6,0.9019138755980861,0.0,1.0,0.0,0.0,1.0,0.0,0.0,15.69999999999996,16.858688755035377,7.7083333333333215,7.7083333333333215,10.889999999999977,0.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,0.0,0,0,0.0,0,1.142356687898089,0.0
2,Greedy,-1.582727953802602,-182.01371468729923,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,11.499999999999975,11.499999999999975,7.944999999999988,7.944999999999988,11.119999999999976,0.0,0.0,0.0,0.0,0.8638142347335815,0.7107142806053162,0.030845364555716515,,,,,465,0.0,0.0,0.0,465,40,0.08602150537634409,40,0.0,21.591304347826085
2,EFT,-2.0300919297463547,-406.01838594927096,0.35,0.35,0.568075117370892,0.7764705882352941,0.93125,0.042,0.02675,0.009528651436560308,0.1385985663499681,1.0,20.000000000000014,24.26651802062989,6.442857142857136,6.442857142857136,8.019999999999987,0.65,1.0,6.938021663259464e-13,5.379481338467131e-13,0.7055685520172119,0.5,0.09197445958852768,,,,,275,0.0,0.0,0.0,255,51,0.2,51,0.1185,2.46
