episode,steps,elapsed_sec,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,r_time,r_interf,r_risk,r_illegal,r_pbrs,r_term,r_step,r_total,abs_ratio_r_time,abs_ratio_r_energy,abs_ratio_r_interf,abs_ratio_r_risk,abs_ratio_r_illegal,abs_ratio_r_pbrs,abs_ratio_r_term,I_total_mean,I_total_p95,rho_selected_mean,rho_selected_p10,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,risk_penalty_mean,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,reward_step_p95,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,active_ratio,active_samples,total_samples,adv_mean,adv_std,value_target_mean,value_target_std,value_pred_mean,value_pred_std,value_clip_fraction,skipped_update_count,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,t_L,t_R,t_V,t_a,t_alt,A_t,r_lat,cp_rem,f_max,d_cp_lb,rate_best,comm_lb,queue_lb,lb,phi,delta_phi,r_shape,overtime_ratio,r_timeout,e_tx,r_energy,r_power,avg_power,avg_rsu_queue,rsu_queue_p95,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,200,30.313893795013428,42,False,True,time_limit,1.0,20.000000000000014,26.016719818115234,0.0,20,True,1.3406324935953386,11.482704431218782,23773150942.36216,-0.0017835024020501553,-201.184002968946,-0.0031105080470452155,-1.955,0.004722528255512712,-2.145402674925378e-05,-203.16689801673047,-3.5243015632718446,8.7783038220223e-06,0.00011320988059507092,0.9902169462524671,1.5309754921788028e-05,0.00962240586406061,2.3244348556399705e-05,1.055955768796587e-07,7.004398450138893e-11,8.408203092113974e-11,0.561904788017273,0.5,0.5,0.75,0.6666666666666666,0.8809523809523809,0.14811941981315613,84,0.0,0.0,0.0,49,11,0.22448979591836735,11,20,20,415,-3.524301767349243,-3.2752230167388916,-2.1398565530776983,-7.478320598602295,-1.2189931869506836,3.524301767349243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04041933445112993,0.061336567896217296,0.0,0.0,26.016719818115234,,,6.01671981811522,0.0,0.0,0.0963855421686747,1.0,0.0,0.0,0.06666666666666667,0.1111111111111111,0.8222222222222222,0.06666666666666667,0.1111111111111111,0.8222222222222222,0.4914067815222346,0.8653797656297684,2.489034334818522,-0.012689618393778801,0.041666666666666664,-0.18115228911240897,3.780842582384745,1.7067800760269165,1.1536314884821575,2.489034334818522,-2.489034334818522,0.0225,90,4000,-67.79956817626953,70.7447280883789,-57.605360666910805,40.082667668660484,-0.09075053036212921,0.04049192306896051,0.0,0,1.0,1.0,0.6734736842105258,12.796000000000003,34819097.48429498,1.0,0.0,0.4128341831298758,0.17211825843768405,0.5849524415675599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023001037338282196,0.0,0.49242286560777576,0.055,0.0,True,-1.0,6.01671981811522,0.0
2,200,29.56491470336914,42,False,True,time_limit,1.0,20.000000000000014,25.761398315429688,0.0,20,True,1.3779989047582037,11.880689095581113,22828511309.266254,-0.0017116283330079606,-793.1608352187549,-0.004160064749420036,-1.93,0.0037092387966946817,-1.8391943804479503e-05,-795.1400673296148,-3.5600181551807157,2.152602263711697e-06,5.453154265663822e-05,0.9975061620877079,5.231839543723629e-06,0.002427233932066637,4.664865424598629e-06,2.3130336828443215e-08,3.028499950818997e-10,9.194397847245292e-11,0.608013391494751,0.5,0.5,0.8333333134651184,0.5038759689922481,0.6976744186046512,0.12899425625801086,129,0.0,0.0,0.0,88,13,0.14772727272727273,13,20,20,420,-3.5600180625915527,-3.624698519706726,-2.0292073488235474,-5.423295974731445,-1.8415532112121582,3.5600180625915527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07078254825555502,0.3353674709218415,0.0,0.0,25.761398315429688,,,5.761398315429673,0.0,0.0,0.2,1.0,0.0,0.0,0.07857142857142857,0.18571428571428572,0.7357142857142858,0.07857142857142857,0.18571428571428572,0.7357142857142858,0.50100050166285,0.8626574277877808,2.5584189891815186,-0.0003700908273458481,0.1388888917863369,0.058052653446793556,4.834903240203857,2.4729456901550293,1.3562906980514526,2.5584189891815186,-2.5584189891815186,0.035,140,4000,-44.09984588623047,26.814926147460938,-46.439640045166016,23.52001190185547,-0.3790771961212158,0.04801557585597038,0.0,0,1.0,1.0,0.6430526315789493,12.218000000000002,34150221.14077085,1.0,0.0,0.4628512524236358,0.17152557987057307,0.6343768322942089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04336041777304157,0.0,0.5024328979796264,0.18,1.0,True,-1.0,5.761398315429673,0.0
3,200,28.00277853012085,42,False,True,time_limit,1.0,20.000000000000014,24.590749740600586,0.0,20,True,1.3424045855584399,11.470846345209585,23637905475.71218,-0.0017721015987762487,-1.2707100599608043,-0.004773286080242381,-1.9245,0.0040622882061144075,-1.5807696062942588e-05,-3.248257565981054,-2.3509247320593083,0.0005448704270930009,0.014298067954360113,0.39070690617306836,0.0014676485969962328,0.5917285654866565,0.0012490809485677142,4.860413257975623e-06,4.744511641202598e-12,8.395609814998323e-12,0.5625823140144348,0.4000000059604645,0.5,0.800000011920929,0.6299212598425197,0.84251968503937,0.15033970773220062,127,0.0,0.0,0.0,95,16,0.16842105263157894,16,20,20,421,-2.3509247303009033,-2.008893847465515,-1.9982282161712646,-7.776927471160889,-1.784700870513916,2.3509247303009033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083924895203991,0.606514761542572,0.0,0.0,24.590749740600586,,,4.590749740600572,0.0,0.0,0.22565320665083136,1.0,0.0,0.0,0.15894039735099338,0.12582781456953643,0.7152317880794702,0.15894039735099338,0.12582781456953643,0.7152317880794702,0.5001230396167853,0.8621714264154433,2.1882466077804565,0.04648681008256972,0.0,0.08834196627140045,6.983989477157593,3.578148663043976,1.8695151805877686,2.1882466077804565,-2.1882466077804565,0.03775,151,4000,-49.54241180419922,35.497371673583984,-52.55722236633301,30.770205974578857,-0.6277883946895599,0.04587674140930176,0.0,0,1.0,1.0,0.5735263157894724,10.897000000000014,34820270.373617604,1.0,0.0,0.29441671913854245,0.16975878032703973,0.46417549946558223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04650211834126256,0.0,0.5002551158479182,0.18,1.0,True,-1.0,4.590749740600572,0.0
4,200,29.51057243347168,42,False,True,time_limit,1.0,20.000000000000014,25.756603240966797,0.0,20,True,1.3559129365171028,11.647018905437463,23424828122.481358,-0.0017457869607249855,-0.12136740353353424,-0.003350174154437118,-1.941,0.004415086700808543,-1.6675837140315987e-05,-2.1021229926978062,-2.0977245818341186,0.0008287403652331146,0.016453229090634045,0.0576141697667432,0.0015903570222507402,0.9214097052537652,0.0020958823353848786,7.916165988829645e-06,2.3164935681468934e-12,8.837286197965752e-12,0.5605225563049316,0.5,0.5,0.800000011920929,0.6741573033707865,0.8314606741573034,0.1505696326494217,89,0.0,0.0,0.0,58,10,0.1724137931034483,10,20,20,428,-2.097724676132202,-2.100479483604431,-1.8545963168144226,-2.9155256748199463,-0.46610772609710693,2.097724676132202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060689021930298785,0.2597683388789463,0.0,0.0,25.756603240966797,,,5.756603240966783,0.0,0.0,0.14719626168224298,1.0,0.0,0.0,0.2457627118644068,0.059322033898305086,0.6949152542372882,0.2457627118644068,0.059322033898305086,0.6949152542372882,0.5088804288346946,0.8635226875543593,2.4239437580108643,0.024165738373994827,0.10000000149011612,-0.09114532172679901,27.713790893554688,13.763322830200195,4.010248184204102,2.4239437580108643,-2.4239437580108643,0.0295,118,4000,-34.20826721191406,7.261388778686523,-34.51759719848633,6.521121025085449,-0.8120694160461426,0.06914176046848297,0.0,0,1.0,1.0,0.6066842105263166,11.526999999999978,34465223.18572226,1.0,0.0,0.3542420152868192,0.16905621458082448,0.5232982298676436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03465962804909384,0.0,0.5085353145850823,0.03,0.0,True,-1.0,5.756603240966783,0.0
5,200,28.650235414505005,42,False,True,time_limit,1.0,20.000000000000014,25.691036224365234,0.0,20,True,1.3714903344551357,10.844126558332071,21824469457.035122,-0.0019049420858011372,-2.0912860083734293,-0.0037544624733910465,-1.942,0.004762728985295678,-1.6763102919570017e-05,-4.068707850361095,-2.156740035647405,0.0004676436064437865,0.007306370980700196,0.5133891147404023,0.0009216817584121222,0.47674094161865216,0.001170132126764184,4.115168625296698e-06,4.3848431829918155e-12,7.88498836536144e-12,0.550349235534668,0.5,0.5,0.75,0.7010309278350515,0.8969072164948454,0.1548231840133667,97,0.0,0.0,0.0,69,18,0.2608695652173913,18,20,20,414,-2.156740188598633,-2.0543915033340454,-1.9022912681102757,-5.503603935241699,-0.5563338398933411,2.156740188598633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05151863473982328,0.12126832459311743,0.0,0.0,25.691036224365234,,,5.69103622436522,0.0,0.0,0.14251207729468598,1.0,0.0,0.0,0.16379310344827586,0.1724137931034483,0.6637931034482759,0.16379310344827586,0.1724137931034483,0.6637931034482759,0.4977594889684446,0.86723792552948,2.4556002616882324,0.0885915756225586,0.0,1.124298095703125,11.413684844970703,6.8286848068237305,7.04753303527832,2.4556002616882324,-2.4556002616882324,0.029,116,4000,-34.18207550048828,7.193717002868652,-43.969329833984375,13.33494758605957,-0.9371026754379272,7.554888725280762e-05,0.0,0,1.0,0.9964999999999992,0.6037763157894733,11.471750000000004,32285523.651492357,1.0,0.0,0.30246557563444765,0.1589065776098446,0.4613721532442925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029762437428480018,0.0,0.4979513545788359,0.155,1.0,True,-1.0,5.69103622436522,0.0
6,200,29.520249128341675,42,False,True,time_limit,1.0,20.000000000000014,25.13065528869629,0.0,20,True,1.3501641029297173,11.285641546005772,22475495377.238304,-0.001813545069890701,-5.508210259632869,-0.0031089506166748267,-1.948,0.004606614086314888,-1.9912713096822363e-05,-7.494048413369447,-2.7253599877480097,0.0002418485722406669,0.004389526919352984,0.7345573093333096,0.00041459971427942676,0.2597790518397277,0.0006150081253357768,2.6554957535159354e-06,1.407438315198517e-11,2.3288964767081932e-11,0.5585675239562988,0.5,0.5,0.75,0.6867469879518072,0.8795180722891566,0.1498289406299591,83,0.0,0.0,0.0,45,9,0.2,9,20,20,409,-2.725360155105591,-2.5619490146636963,-2.0713226675987246,-3.946798086166382,-1.00827956199646,2.725360155105591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05482965944571435,0.21046829403949774,0.0,0.0,25.13065528869629,,,5.130655288696275,0.0,0.0,0.1295843520782396,1.0,0.0,0.0,0.20192307692307693,0.125,0.6730769230769231,0.20192307692307693,0.125,0.6730769230769231,0.5038927615249399,0.8620525479316711,2.5298473834991455,0.049016404896974564,0.0,-0.23723956942558289,45.50291442871094,22.511686325073242,6.769412517547607,2.5298473834991455,-2.5298473834991455,0.026,104,4000,-39.063968658447266,12.645648956298828,-37.1301383972168,5.409346103668213,-1.0465385913848877,0.04480759799480438,0.0,0,1.0,1.0,0.6591578947368426,12.524000000000031,37323265.674713045,1.0,0.0,0.5257540992995168,0.17046412887344445,0.6962182281729604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03291565804996116,0.0,0.5064842152216006,0.085,1.0,True,-1.0,5.130655288696275,0.0
7,200,29.724393367767334,42,False,True,time_limit,1.0,20.000000000000014,24.976177215576172,0.0,20,True,1.3471191896848875,11.67511713527789,23485108197.674847,-0.0017386264983228804,-2584.937589849537,-0.0035624094731633183,-1.9395,0.004240645335488584,-1.5667367183012796e-05,-2586.9220120909054,-3.9231803502391527,6.720819671711637e-07,1.5315939157163514e-05,0.9992312564409859,1.3770819488270327e-06,0.0007497314555977728,1.6409439792298714e-06,6.0563640131502775e-09,2.408921395691266e-10,2.27191927076875e-10,0.5729551315307617,0.5,0.5,0.8571428656578064,0.6530612244897959,0.826530612244898,0.14540445804595947,98,0.0,0.0,0.0,65,10,0.15384615384615385,10,20,20,425,-3.923180341720581,-4.568791627883911,-2.0171363592147826,-8.413568496704102,-1.9035332202911377,3.923180341720581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06826069554259272,0.4578803063901686,0.0,0.0,24.976177215576172,,,4.976177215576158,0.0,0.0,0.16,1.0,0.0,0.0,0.19008264462809918,0.1322314049586777,0.6776859504132231,0.19008264462809918,0.1322314049586777,0.6776859504132231,0.4992038384448995,0.8634690046310425,2.506588101387024,0.05163777549751103,0.05000000074505806,-0.155500253662467,5.729877948760986,2.7069318890571594,1.80891615152359,2.506588101387024,-2.506588101387024,0.03025,121,4000,-56.04682159423828,29.555763244628906,-53.02309226989746,24.15355396270752,-1.3569936156272888,0.061346545815467834,0.0,0,1.0,1.0,0.6380263157894742,12.122499999999992,38703790.54654652,1.0,0.0,0.46086024796198927,0.17041847436623275,0.6312787223282222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03962120539765022,0.0,0.497605262119323,0.085,1.0,True,-1.0,4.976177215576158,0.0
8,200,29.9262957572937,42,False,True,time_limit,1.0,20.000000000000014,25.895801544189453,0.0,20,True,1.3393140858809862,11.510893102830414,23057218425.72175,-0.0017686043163880885,-1822.7438147811724,-0.0038766084889765395,-1.928,0.004268257353643282,-1.5343512089094214e-05,-1824.7160184855827,-3.5605427462463513,9.692467903950768e-07,2.1131178904952293e-05,0.9989168158297436,2.1244946089650544e-06,0.0010566002777252375,2.3505635342567324e-06,8.40869249720824e-09,4.4170472834892394e-10,8.786925909109985e-11,0.6126693487167358,0.5,0.5,0.8333333134651184,0.5121951219512195,0.7073170731707317,0.12606856226921082,123,0.0,0.0,0.0,84,9,0.10714285714285714,9,20,20,432,-3.560542583465576,-2.8708525896072388,-2.0141111016273503,-7.081669330596924,-1.4569333791732788,3.560542583465576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06118108494648064,0.19887191604519017,0.0,0.0,25.895801544189453,,,5.895801544189439,0.0,0.0,0.20833333333333334,1.0,0.0,0.0,0.14583333333333334,0.1527777777777778,0.7013888888888888,0.14583333333333334,0.1527777777777778,0.7013888888888888,0.5008483170564076,0.8609407722949981,2.4712133407592773,0.0141299394890666,0.0,0.02514062076807022,2.481042742729187,1.2631906270980835,2.0933530926704407,2.4712133407592773,-2.4712133407592773,0.036,144,4000,-67.19696807861328,61.47579574584961,-68.90409469604492,55.20220947265625,-1.681158185005188,0.07782870531082153,0.0,0,1.0,1.0,0.650105263157895,12.352000000000011,37772405.67907485,1.0,0.0,0.4366623256443522,0.165941221475169,0.6026035471195212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.038558491595761676,0.0,0.500263152684085,0.12,1.0,True,-1.0,5.895801544189439,0.0
9,200,28.23266887664795,42,False,True,time_limit,1.0,20.000000000000014,24.78700647354126,9.89999999999998,20,True,1.3446853152483327,11.296465500574424,22739605904.46712,-0.001813420512715741,-8.195825980941146,-0.0040187134558193225,-1.9215,0.004015602803805715,0.00010562672145877141,-10.173212345780602,-4.421160698109691,0.00017818170683228456,0.0049181909150197815,0.8052992959683092,0.00039486771976313275,0.1888012996861381,0.0003947748006529162,1.3389203284677178e-05,2.7362343293924063e-11,1.4128153646986135e-10,0.5840998291969299,0.5,0.5,0.800000011920929,0.5948275862068966,0.8362068965517241,0.13857631385326385,116,0.0,0.0,0.0,86,14,0.16279069767441862,14,20,20,410,-4.421160697937012,-4.241939544677734,-2.309509885311127,-8.957900047302246,-1.6361669301986694,4.421160697937012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08242947174446943,0.40034254664699537,0.0,0.0,24.78700647354126,,,4.787006473541247,0.05,0.05,0.25365853658536586,0.95,0.0,0.0,0.2611464968152866,0.17834394904458598,0.5605095541401274,0.2611464968152866,0.17834394904458598,0.5605095541401274,0.5067329174506734,0.8627639532089233,2.301569700241089,0.03742247447371483,0.0833333358168602,-0.32799211144447327,2.4747960567474365,0.9071044921875,0.7256695032119751,2.301569700241089,-2.301569700241089,0.03925,157,4000,-76.34777069091797,88.83513641357422,-51.47880172729492,40.74860763549805,-1.9563316106796265,0.09099957346916199,0.0,0,1.0,0.9917499999999981,0.6471447368421065,12.295749999999975,34284027.69000601,1.0,0.0,0.32160799754146546,0.17112479028634967,0.49273278782781527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05005423087087126,0.0,0.504635331906844,0.225,2.0,True,-1.0,4.787006473541247,0.0
10,200,27.002232551574707,42,False,True,time_limit,1.0,20.000000000000014,25.10304069519043,0.0,20,True,1.3781957290390858,10.882925382346983,21106475593.309414,-0.0019045556025541264,-0.2321623075594892,-0.004065003256431568,-1.932,0.004526297950276117,-1.9105496607381747e-05,-2.2168033769850357,-2.121348273119502,0.0008573867649205133,0.02101043172746027,0.10451408693343973,0.0018299701971154,0.8697415962049109,0.0020379273206441264,8.60085150910544e-06,1.9797241103403085e-12,6.783463721293786e-12,0.5544025301933289,0.5,0.5,0.800000011920929,0.660377358490566,0.8679245283018868,0.1533963531255722,106,0.0,0.0,0.0,76,20,0.2631578947368421,20,20,20,401,-2.1213483810424805,-2.018239736557007,-2.0069102168083193,-3.5371036529541016,-0.5095089673995972,2.1213483810424805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07402839488284399,0.28662059337086704,0.0,0.0,25.10304069519043,,,5.1030406951904155,0.0,0.0,0.1970074812967581,1.0,0.0,0.0,0.22058823529411764,0.16911764705882354,0.6102941176470589,0.22058823529411764,0.16911764705882354,0.6102941176470589,0.5005882167725084,0.8684174329042434,2.2600061893463135,0.03019404411315918,0.0,0.007427013013511896,7.1142168045043945,3.5622758865356445,2.4306869506835938,2.2600061893463135,-2.2600061893463135,0.034,136,4000,-37.49615478515625,17.14990997314453,-39.44313430786133,15.080336570739746,-2.135942220687866,0.08377312868833542,0.0,0,1.0,1.0,0.5355394736842107,10.175250000000004,35292615.95703192,1.0,0.0,0.3641228146536856,0.163434396813325,0.5275572114670105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04667151056655883,0.0,0.5001679159200285,0.185,1.049999999999983,True,-1.0,5.1030406951904155,0.0
