policy,task_sr,subtask_sr,deadline_miss_rate,task_duration_mean,task_duration_p95,ratio_local,ratio_rsu,ratio_v2v,avg_power,mean_cft_est,reward_mean,I_total_p95,avg_rsu_queue
Greedy,0.7,0.963233321978007,0.3,2.904683473389357,3.7905000000000015,0.8156617377722999,0.18304762959108867,0.00129063263661135,1.0,4.133456945657731,0.1476291984851217,2.2917390207766175e-09,10.49982191013552
Static,0.41500000000000004,0.8051406091358047,0.585,3.1429148629148633,4.544499999999999,0.04419061480693949,0.9558093851930606,0.0,1.0,5.572301730155944,0.03680976697999832,1.9319953525887003e-09,21.19644633577605
EFT,0.315,0.783937317744049,0.6799999999999999,3.2873611111111125,4.383,0.9209984529657591,0.0365960170197488,0.042405530014491974,0.0039172384456520595,14.543136794090264,-0.034637533087872666,2.186081088760973e-11,1.9134980925834895
CP-EFT,0.305,0.7451947036839308,0.6900000000000001,3.272904761904763,4.156000000000001,0.9492354475678152,0.02351294553211037,0.027251606900074398,0.0021089398311798,16.9868833694458,-0.03221752858943183,4.336772984072807e-12,1.300268388704814
LB-Greedy,0.265,0.7891342820785382,0.735,3.181666666666668,3.9440000000000013,0.9325909359484992,0.030414553240855718,0.03699451081064492,0.0032115751603677897,16.53177635335922,-0.03658584744017175,1.676982228992032e-11,1.6855413285448364
Local-Only,0.23500000000000001,0.6691255127779648,0.765,3.4993888888888898,4.624999999999998,1.0,0.0,0.0,1.0,8.57241643285751,-0.02040089303062475,0.0,0.0
Oracle-Min,0.22000000000000003,0.7091004116676761,0.77,3.086607142857144,3.750500000000001,0.9499889582721128,0.02315267411107845,0.02685836761680869,0.05001104172788715,22.434926257133487,-0.04104537485575943,8.79582107059999e-11,1.2775493682045256
Random,0.030000000000000006,0.39657961349490606,0.96,2.5349999999999997,2.6744999999999997,0.15740653137185395,0.1645792242703533,0.6780142443577928,0.662917200207151,20.510475847244262,-0.05152821394475121,4.193925927909966e-12,0.28449556894718186
