episode,steps,wall_time,sim_time,reward_mean,reward_total,reward_p95,reward_abs_mean,vehicle_sr,task_sr,subtask_sr,task_duration_mean,task_duration_p95,completed_tasks,mean_cft_est,episode_time_seconds,energy_mean,energy_p95,t_tx_mean,dT_eff_mean,deadline_misses,deadline_miss_rate,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_rsu_queue,rsu_queue_p95,power_ratio_mean,power_ratio_p95,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,trust_failure_rate,rho_selected_p10,uncertainty_selected_p90,tx_created,same_node_no_tx,service_rate_ghz,idle_fraction,time_limit_rate,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,hard_trigger_rate,actor_loss,critic_loss,entropy,approx_kl,clip_frac,grad_norm,active_ratio,actor_update_active_frac,value_clip_fraction,skipped_update_count,early_stop,lr,bias_rsu,bias_local
1,153,11.182016849517822,15.3,-0.037132199853658676,-5.681226796887777,-0.02259921766817569,0.055688876658678055,0.15,0.15,0.5789473684210527,2.233333333333334,2.850000000000001,3,17.13607313156127,15.299999999999962,0.003120343457963124,0.0,0.001110242537252282,-0.09214390209297706,17,0.85,0.36470588235294116,0.3411764705882353,0.29411764705882354,0.36470588235294116,0.3411764705882353,0.29411764705882354,0.4954567528743711,0.7320261437908496,5.0,0.49284491188655455,0.8597309172153473,0.0,0.0,8.785821029033691e-12,0.0,0.12087912087912088,0.5,0.5,97,62,20.445432265115954,0.006535947712418317,0.0,0.0,0.9444444444444444,0.05555555555555558,0.05555555555555558,0.0,0.0,0.10773710533976555,1.6452027360598247,1.562481939792633,-0.013298324619730314,0.1911310963332653,1.758321573336919,0.05555555555555555,0.048177083333333336,0.662109375,0,True,0.0002,0.049974500000000005,0.0
2,200,13.899593353271484,20.0,-0.04290659725666046,-9.581319521209782,-0.024954287707805663,0.04594460502266884,0.05,0.05,0.5726872246696035,3.0000000000000013,3.0000000000000013,1,22.604411602020264,20.000000000000014,0.0008758913958600168,0.0,0.0002347970475512081,-0.09337530800700207,19,0.95,0.39285714285714285,0.27380952380952384,0.3333333333333333,0.39285714285714285,0.27380952380952384,0.3333333333333333,0.5051405724540818,0.35,3.0,0.5084271679575112,0.8850058108568191,0.0,0.0,5.207645512733672e-12,0.0,0.1,0.5,0.5,93,66,15.325580371999978,0.0,1.0,0.0,0.958,0.04200000000000004,0.04200000000000004,0.0,0.0,0.06777359305747918,9.448806422097343,1.4806085995265417,-0.015308912444327558,0.10177071126444,20.34181902238301,0.042,0.044642857142857144,0.45200892857142855,0,True,0.0002,0.04994116666666667,0.0
3,106,7.3500635623931885,10.600000000000001,-0.04875262826681137,-5.167778803843488,-0.02372893411666155,0.050818465650081635,0.05,0.05,0.5234042553191489,2.600000000000001,2.600000000000001,1,12.594787626266477,10.599999999999978,0.007121898343783819,0.0,0.002721308578642313,-0.09135440766811352,19,0.95,0.5029940119760479,0.18562874251497005,0.31137724550898205,0.5029940119760479,0.18562874251497005,0.31137724550898205,0.49475526528055164,0.330188679245283,1.75,0.4906090898604472,0.8556620121002197,0.0,6.4334054144687075e-15,9.161474530394731e-12,0.0,0.12121212121212122,0.5,0.5,75,84,27.700282481523885,0.009433962264150964,0.0,0.0,0.9212264150943397,0.07877358490566033,0.07877358490566033,0.0,0.0,-0.053833196146620646,1.6518190436893039,1.4333397017584906,0.0012793515084518327,0.03565339744091034,3.7973199023140802,0.07877358490566037,0.07855902777777778,0.7821180555555556,0,True,0.0002,0.0499235,0.0
4,66,4.474216938018799,6.6000000000000005,-0.04487060382962227,-2.9614599780121953,-0.014761877711862326,0.0457489900290966,0.05,0.05,0.5551020408163265,4.899999999999999,4.899999999999999,1,8.868883066177368,6.5999999999999925,0.005742434775909564,0.0,0.0015041525393613268,-0.08181901183995327,19,0.95,0.5380116959064327,0.18128654970760233,0.2807017543859649,0.5380116959064327,0.18128654970760233,0.2807017543859649,0.5080017824008157,0.6212121212121212,2.0,0.5154194930935428,0.88108434677124,0.0,0.0,7.614331040683986e-12,0.0,0.07936507936507936,0.5,0.5,74,92,54.43369699250028,0.01515151515151517,0.0,0.0,0.8704545454545455,0.12954545454545452,0.12954545454545452,0.0,0.0,0.024816211313009262,1.0592239499092102,1.3261813521385193,0.013236990043272575,0.13868822529911995,4.417072415351868,0.12954545454545455,0.13346354166666666,0.03515625,0,True,0.0002,0.049912500000000005,0.0
5,148,10.254903793334961,14.8,-0.04907903075218201,-7.263696635352237,-0.026602066401392222,0.04907903075218201,0.0,0.0,0.5726495726495726,0.0,0.0,0,16.907100677490234,14.799999999999963,0.002403404322805858,0.0,0.0006396295447847301,-0.09216258737283783,20,1.0,0.6108108108108108,0.14054054054054055,0.24864864864864866,0.6108108108108108,0.14054054054054055,0.24864864864864866,0.5049852364831856,0.22297297297297297,2.0,0.5101278654703015,0.8686538219451905,0.0,1.1834637111442209e-12,1.9658905579811314e-12,0.0,0.16071428571428573,0.5,0.5,63,113,21.989269231564677,0.006756756756756774,0.0,0.0,0.9375,0.0625,0.0625,0.0,0.0,-0.2884328365325928,2.4167940616607666,1.347712516784668,0.054773878306150436,0.05263157933950424,14.680164337158203,0.0625,0.07421875,0.03515625,0,True,0.0002,0.04988783333333334,0.0
6,200,15.406018733978271,20.0,-0.04777411371469498,-10.554822807738187,-0.03269115686416629,0.04777411371469498,0.0,0.0,0.6311111111111111,0.0,0.0,0,21.399446487426758,20.000000000000014,0.001067480151335402,0.0,0.00020405694474281134,-0.09391049206256867,20,1.0,0.6666666666666666,0.17486338797814208,0.15846994535519127,0.6666666666666666,0.17486338797814208,0.15846994535519127,0.5062576430798508,0.31,2.0,0.5132929221027102,0.8699478983879085,0.0,0.0,3.101208309250203e-12,0.0,0.07547169811320754,0.5,0.5,57,122,18.58219712599999,0.0,1.0,0.0,0.95425,0.04574999999999996,0.04574999999999996,0.0,0.0,-0.13820113490025202,9.066688776016235,1.466054360071818,0.013300113845616579,0.029040404905875523,16.102435688177746,0.04575,0.046223958333333336,0.7955729166666666,0,True,0.0002,0.0498545,0.0
7,157,10.81807279586792,15.700000000000001,-0.04754328355193138,-7.464295512704572,-0.024773444607853898,0.04754328355193138,0.0,0.0,0.5421686746987951,0.0,0.0,0,17.5167179107666,15.69999999999996,0.0014678618154578757,0.0,0.0004098272748181118,-0.09159808734040352,20,1.0,0.5185185185185185,0.19047619047619047,0.291005291005291,0.5185185185185185,0.19047619047619047,0.291005291005291,0.5067092019560373,0.3503184713375796,2.0,0.5140165629687007,0.8845720529556274,0.0,1.3076560030655392e-14,5.5497160686424074e-12,0.0,0.15714285714285714,0.5,0.5,80,98,23.986686369743648,0.0063694267515923735,0.0,0.0,0.9398089171974522,0.06019108280254781,0.06019108280254781,0.0,0.0,0.011713659200309352,1.2733183882453225,1.2661604447798296,0.010795428303853523,0.11032014577226205,3.6131974783810703,0.06019108280254777,0.060014204545454544,0.7922585227272727,0,True,0.0002,0.049828333333333336,0.0
8,139,9.437970876693726,13.9,-0.04669566825032234,-6.490697443889437,-0.01738871689885855,0.04908940941095352,0.1,0.1,0.6371308016877637,3.650000000000002,3.695000000000002,2,15.51847509384155,13.899999999999967,0.0014969954812406772,0.0,0.0006528861402212928,-0.09085792776491963,18,0.9,0.5425531914893617,0.23404255319148937,0.22340425531914893,0.5425531914893617,0.23404255319148937,0.22340425531914893,0.5009873610486532,0.5179856115107914,5.0,0.5022118160477483,0.8639530539512634,0.0,0.0,8.280374649838329e-12,0.0,0.056338028169014086,0.5,0.5,82,102,25.78746682782614,0.0071942446043165645,0.0,0.0,0.9323741007194245,0.0676258992805755,0.0676258992805755,0.0,0.0,-0.005914971604943276,1.1318201661109923,1.188770341873169,-0.0013628952205181123,0.10605462715029716,5.504392695426941,0.06762589928057554,0.06640625,0.229296875,0,True,0.0002,0.04980516666666667,0.0
9,74,4.843721151351929,7.4,-0.0435229167342186,-3.220695719295879,-0.012382553517818477,0.05874926224350929,0.1,0.1,0.6708860759493671,3.2000000000000015,3.3800000000000017,2,8.87149914741516,7.39999999999999,0.002278306313874815,0.0,0.0006843591893240958,-0.08295318527801593,18,0.9,0.62,0.215,0.165,0.62,0.215,0.165,0.5057256408992249,1.162162162162162,5.349999999999994,0.5150782002328341,0.8766018480062483,0.0,1.0624837293337404e-13,2.682712385571051e-11,0.0,0.10294117647058823,0.5,0.5,69,124,50.7255151511111,0.013513513513513533,0.0,0.0,0.8648648648648649,0.1351351351351351,0.1351351351351351,0.0,0.0,0.03987201563033618,0.8817955506475348,1.0280228288550126,0.012787700691995653,0.12217681776536138,0.9924829523814352,0.13513513513513514,0.13404605263157895,0.08881578947368421,0,True,0.0002,0.049792833333333335,0.0
10,90,6.720113515853882,9.0,-0.04047866538167,-3.6430802303749483,-0.014969193935394288,0.049312639981508255,0.1,0.1,0.5943775100401606,4.3500000000000005,4.3950000000000005,2,11.04132957458496,8.999999999999984,0.0032657506743353527,0.0,0.0010159901230347556,-0.08176992277304307,18,0.9,0.6808510638297872,0.2127659574468085,0.10638297872340426,0.6808510638297872,0.2127659574468085,0.10638297872340426,0.5011440504704499,0.6222222222222222,3.0,0.5031296213477352,0.8584333598613739,0.0,0.0,8.122221645257e-12,0.0,0.037037037037037035,0.5,0.5,58,128,41.03061967370794,0.01111111111111113,0.0,0.0,0.8955555555555555,0.10444444444444445,0.10444444444444445,0.0,0.0,-0.01322093712432044,0.7841555680547442,0.9553432771137782,-0.007773483225277492,0.10290392403091703,1.1662169243608203,0.10444444444444445,0.10457589285714286,0.10368303571428572,0,False,0.0002,0.049777833333333334,0.0
