source,metric,mean
Ours (MAPPO),avail_L,1.0
Ours (MAPPO),avail_R,1.0
Ours (MAPPO),avail_V,0.2712967632525918
Ours (MAPPO),neighbor_count_mean,5.154638501799244
Ours (MAPPO),best_v2v_rate_mean,34939457.157944426
Ours (MAPPO),best_v2v_valid_rate,0.9952470217272446
Ours (MAPPO),v2v_beats_rsu_rate,0.2019576109305625
Ours (MAPPO),mean_cost_gap_v2v_minus_rsu,0.09080487486471425
Ours (MAPPO),mean_cost_rsu,0.2597774775773627
Ours (MAPPO),mean_cost_v2v,0.3505823524420769
Ours (MAPPO),t_L,0.0
Ours (MAPPO),t_R,0.0
Ours (MAPPO),t_V,0.0
Ours (MAPPO),t_a,0.0
Ours (MAPPO),t_alt,0.0
Ours (MAPPO),A_t,0.0
Ours (MAPPO),r_lat,0.0
Ours (MAPPO),cp_rem,0.0
Ours (MAPPO),f_max,0.0
Ours (MAPPO),d_cp_lb,0.0
Ours (MAPPO),rate_best,0.0
Ours (MAPPO),comm_lb,0.0
Ours (MAPPO),queue_lb,0.0
Ours (MAPPO),lb,0.0
Ours (MAPPO),phi,0.0
Ours (MAPPO),delta_phi,0.0
Ours (MAPPO),r_shape,0.0
Ours (MAPPO),overtime_ratio,0.0
Ours (MAPPO),r_timeout,0.0
Ours (MAPPO),e_tx,0.0
Ours (MAPPO),r_energy,-0.0012250954463446915
Ours (MAPPO),r_power,0.0
Ours (MAPPO),avg_power,0.5324846164085333
Ours (MAPPO),avg_rsu_queue,12.283896521480251
Ours (MAPPO),rsu_queue_p95,31.236566666666665
Ours (MAPPO),time_limit_penalty_applied,0.04133333333333333
Ours (MAPPO),time_limit_penalty_value,-0.04133333333333333
Ours (MAPPO),remaining_time_seconds_used,0.04640113990141552
Ours (MAPPO),remaining_ratio_used,0.0
CP-EFT,reward_mean,0.007667476258159729
EFT,reward_mean,-0.0060296692386231695
Greedy,reward_mean,0.18169124942223025
LB-Greedy,reward_mean,0.0014618279291175207
Local-Only,reward_mean,0.01129681793143498
Oracle-Min,reward_mean,-0.01258020544897814
Random,reward_mean,-0.01592803717626897
Static,reward_mean,0.08153123397506519
CP-EFT,reward_total,0.8839992087028454
EFT,reward_total,-1.227161776734468
Greedy,reward_total,7.162528676048543
LB-Greedy,reward_total,-0.12213484200525507
Local-Only,reward_total,0.6747279382153379
Oracle-Min,reward_total,-2.2452623218195034
Random,reward_total,-2.7364203168024006
Static,reward_total,3.8893119111249796
CP-EFT,vehicle_sr,0.335
EFT,vehicle_sr,0.295
Greedy,vehicle_sr,0.675
LB-Greedy,vehicle_sr,0.33999999999999997
Local-Only,vehicle_sr,0.23500000000000001
Oracle-Min,vehicle_sr,0.22999999999999998
Random,vehicle_sr,0.015000000000000003
Static,vehicle_sr,0.41
CP-EFT,task_sr,0.335
EFT,task_sr,0.295
Greedy,task_sr,0.675
LB-Greedy,task_sr,0.33999999999999997
Local-Only,task_sr,0.23500000000000001
Oracle-Min,task_sr,0.22999999999999998
Random,task_sr,0.015000000000000003
Static,task_sr,0.41
CP-EFT,subtask_sr,0.7533620593481742
EFT,subtask_sr,0.7813895212928191
Greedy,subtask_sr,0.9537031751587695
LB-Greedy,subtask_sr,0.7867620710180802
Local-Only,subtask_sr,0.6691255127779648
Oracle-Min,subtask_sr,0.7139632945637561
Random,subtask_sr,0.40426416660980086
Static,subtask_sr,0.7968248444741592
CP-EFT,v2v_subtask_sr,0.7636713204898079
EFT,v2v_subtask_sr,0.833792650189739
Greedy,v2v_subtask_sr,0.7
LB-Greedy,v2v_subtask_sr,0.8430306402072862
Local-Only,v2v_subtask_sr,0.0
Oracle-Min,v2v_subtask_sr,0.7624626934558584
Random,v2v_subtask_sr,0.5866759631610485
Static,v2v_subtask_sr,0.0
CP-EFT,ratio_local,0.9468286826146267
EFT,ratio_local,0.9327324961004558
Greedy,ratio_local,0.8141095867417516
LB-Greedy,ratio_local,0.9050792426214876
Local-Only,ratio_local,1.0
Oracle-Min,ratio_local,0.9541072414118208
Random,ratio_local,0.15636388699059414
Static,ratio_local,0.04199206607090446
CP-EFT,ratio_rsu,0.024938511945497982
EFT,ratio_rsu,0.03124467303014878
Greedy,ratio_rsu,0.18404650939073425
LB-Greedy,ratio_rsu,0.04197409307050485
Local-Only,ratio_rsu,0.0
Oracle-Min,ratio_rsu,0.02110498349130117
Random,ratio_rsu,0.1634143411939386
Static,ratio_rsu,0.9580079339290956
CP-EFT,ratio_v2v,0.028232805439875303
EFT,ratio_v2v,0.036022830869395325
Greedy,ratio_v2v,0.0018439038675141697
LB-Greedy,ratio_v2v,0.05294666430800752
Local-Only,ratio_v2v,0.0
Oracle-Min,ratio_v2v,0.02478777509687796
Random,ratio_v2v,0.6802217718154673
Static,ratio_v2v,0.0
CP-EFT,decision_frac_local,0.9468286826146267
EFT,decision_frac_local,0.9327324961004558
Greedy,decision_frac_local,0.8141095867417516
LB-Greedy,decision_frac_local,0.9050792426214876
Local-Only,decision_frac_local,1.0
Oracle-Min,decision_frac_local,0.9541072414118208
Random,decision_frac_local,0.15636388699059414
Static,decision_frac_local,0.04199206607090446
CP-EFT,decision_frac_rsu,0.024938511945497982
EFT,decision_frac_rsu,0.03124467303014878
Greedy,decision_frac_rsu,0.18404650939073425
LB-Greedy,decision_frac_rsu,0.04197409307050485
Local-Only,decision_frac_rsu,0.0
Oracle-Min,decision_frac_rsu,0.02110498349130117
Random,decision_frac_rsu,0.1634143411939386
Static,decision_frac_rsu,0.9580079339290956
CP-EFT,decision_frac_v2v,0.028232805439875303
EFT,decision_frac_v2v,0.036022830869395325
Greedy,decision_frac_v2v,0.0018439038675141697
LB-Greedy,decision_frac_v2v,0.05294666430800752
Local-Only,decision_frac_v2v,0.0
Oracle-Min,decision_frac_v2v,0.02478777509687796
Random,decision_frac_v2v,0.6802217718154673
Static,decision_frac_v2v,0.0
CP-EFT,avg_power,0.00215603797755709
EFT,avg_power,0.0029626174409709905
Greedy,avg_power,1.0
LB-Greedy,avg_power,0.00449119144234098
Local-Only,avg_power,1.0
Oracle-Min,avg_power,0.045892758588179136
Random,avg_power,0.662294814579595
Static,avg_power,1.0
CP-EFT,power_ratio_mean,0.042239513220940286
EFT,power_ratio_mean,0.04479473791421365
Greedy,power_ratio_mean,1.0
LB-Greedy,power_ratio_mean,0.047405100829643984
Local-Only,power_ratio_mean,0.0
Oracle-Min,power_ratio_mean,1.0
Random,power_ratio_mean,0.599707025873277
Static,power_ratio_mean,1.0
CP-EFT,power_ratio_p95,0.3879583640148216
EFT,power_ratio_p95,0.3940197572555703
Greedy,power_ratio_p95,1.0
LB-Greedy,power_ratio_p95,0.38706743422814927
Local-Only,power_ratio_p95,0.0
Oracle-Min,power_ratio_p95,1.0
Random,power_ratio_p95,0.9597499289163828
Static,power_ratio_p95,1.0
CP-EFT,episode_time_seconds,15.369999999999994
EFT,episode_time_seconds,17.21
Greedy,episode_time_seconds,3.9700000000000015
LB-Greedy,episode_time_seconds,12.099999999999982
Local-Only,episode_time_seconds,7.30999999999999
Oracle-Min,episode_time_seconds,19.25000000000001
Random,episode_time_seconds,17.28000000000001
Static,episode_time_seconds,4.899999999999999
CP-EFT,mean_cft_est,16.409409651279447
EFT,mean_cft_est,18.316884341716765
Greedy,mean_cft_est,4.115168136596681
LB-Greedy,mean_cft_est,13.062054984092708
Local-Only,mean_cft_est,8.57241643285751
Oracle-Min,mean_cft_est,20.388832653045657
Random,mean_cft_est,19.96139489173889
Static,mean_cft_est,5.405324166297912
CP-EFT,mean_cft_completed,3.190642857142858
EFT,mean_cft_completed,3.296269841269843
Greedy,mean_cft_completed,2.9464482600732613
LB-Greedy,mean_cft_completed,3.212317460317462
Local-Only,mean_cft_completed,3.4993888888888898
Oracle-Min,mean_cft_completed,3.2601190476190487
Random,mean_cft_completed,1.0750000000000004
Static,mean_cft_completed,3.119019841269842
CP-EFT,task_duration_mean,3.190642857142858
EFT,task_duration_mean,3.296269841269843
Greedy,task_duration_mean,2.9464482600732613
LB-Greedy,task_duration_mean,3.212317460317462
Local-Only,task_duration_mean,3.4993888888888898
Oracle-Min,task_duration_mean,3.2601190476190487
Random,task_duration_mean,1.0750000000000004
Static,task_duration_mean,3.119019841269842
CP-EFT,task_duration_p95,4.117500000000001
EFT,task_duration_p95,4.044000000000001
Greedy,task_duration_p95,3.7300000000000018
LB-Greedy,task_duration_p95,4.056500000000001
Local-Only,task_duration_p95,4.624999999999998
Oracle-Min,task_duration_p95,3.9805000000000006
Random,task_duration_p95,1.1155000000000004
Static,task_duration_p95,4.4315
CP-EFT,deadline_miss_rate,0.6599999999999999
EFT,deadline_miss_rate,0.7
Greedy,deadline_miss_rate,0.325
LB-Greedy,deadline_miss_rate,0.6599999999999999
Local-Only,deadline_miss_rate,0.765
Oracle-Min,deadline_miss_rate,0.76
Random,deadline_miss_rate,0.975
Static,deadline_miss_rate,0.5900000000000001
CP-EFT,time_limit_rate,0.4
EFT,time_limit_rate,0.6
Greedy,time_limit_rate,0.0
LB-Greedy,time_limit_rate,0.1
Local-Only,time_limit_rate,0.0
Oracle-Min,time_limit_rate,0.7
Random,time_limit_rate,0.6
Static,time_limit_rate,0.0
CP-EFT,illegal_action_rate,0.00028174962292608
EFT,illegal_action_rate,0.0005726399231323501
Greedy,illegal_action_rate,0.0
LB-Greedy,illegal_action_rate,0.0006872645896303
Local-Only,illegal_action_rate,0.0
Oracle-Min,illegal_action_rate,0.00041893295698116
Random,illegal_action_rate,5.090673575129e-05
Static,illegal_action_rate,0.0
CP-EFT,no_task_rate,0.9234280041084656
EFT,no_task_rate,0.9212326046069004
Greedy,no_task_rate,0.7119019837964147
LB-Greedy,no_task_rate,0.8885727662196808
Local-Only,no_task_rate,0.8654519335208029
Oracle-Min,no_task_rate,0.9444451611041202
Random,no_task_rate,0.9498971668563299
Static,no_task_rate,0.7884903178943435
CP-EFT,on_task_rate,0.0765719958915344
EFT,on_task_rate,0.07876739539309953
Greedy,on_task_rate,0.2880980162035853
LB-Greedy,on_task_rate,0.11142723378031909
Local-Only,on_task_rate,0.13454806647919715
Oracle-Min,on_task_rate,0.05555483889587971
Random,on_task_rate,0.050102833143670214
Static,on_task_rate,0.2115096821056564
CP-EFT,has_task_available_rate,0.0765719958915344
EFT,has_task_available_rate,0.07876739539309953
Greedy,has_task_available_rate,0.2880980162035853
LB-Greedy,has_task_available_rate,0.11142723378031909
Local-Only,has_task_available_rate,0.13454806647919715
Oracle-Min,has_task_available_rate,0.05555483889587971
Random,has_task_available_rate,0.050102833143670214
Static,has_task_available_rate,0.2115096821056564
CP-EFT,unified_illegal_trigger_rate,0.00028174962292608
EFT,unified_illegal_trigger_rate,0.0005726399231323501
Greedy,unified_illegal_trigger_rate,0.0
LB-Greedy,unified_illegal_trigger_rate,0.0006872645896303
Local-Only,unified_illegal_trigger_rate,0.0
Oracle-Min,unified_illegal_trigger_rate,0.00041893295698116
Random,unified_illegal_trigger_rate,5.090673575129e-05
Static,unified_illegal_trigger_rate,0.0
CP-EFT,I_total_mean,6.350877050816106e-12
EFT,I_total_mean,2.1696982953020062e-08
Greedy,I_total_mean,3.4007995031171134e-10
LB-Greedy,I_total_mean,2.1079947089578873e-08
Local-Only,I_total_mean,0.0
Oracle-Min,I_total_mean,2.502002460682412e-08
Random,I_total_mean,4.601330114671621e-09
Static,I_total_mean,3.6217563254004047e-10
CP-EFT,I_total_p50,0.0
EFT,I_total_p50,0.0
Greedy,I_total_p50,0.0
LB-Greedy,I_total_p50,0.0
Local-Only,I_total_p50,0.0
Oracle-Min,I_total_p50,0.0
Random,I_total_p50,0.0
Static,I_total_p50,0.0
CP-EFT,I_total_p95,5.652989358627229e-12
EFT,I_total_p95,1.6322606435822385e-11
Greedy,I_total_p95,2.2218459849732138e-09
LB-Greedy,I_total_p95,3.0686779177701564e-11
Local-Only,I_total_p95,0.0
Oracle-Min,I_total_p95,5.2500199229209985e-12
Random,I_total_p95,9.499396517133525e-12
