strategy,eval_source,model_tag,policy_mode,episodes,task_success_rate,subtask_success_rate,deadline_miss_rate,mean_cft_est,reward_mean
Ours (MAPPO),training_log,best_model,stochastic,1500,0.4541333333333334,0.8406151861191359,0.5455666666666666,7.064355336233773,0.08425390359433364
CP-EFT,baseline_stats_log,N/A,deterministic,10,0.335,0.7533620593481742,0.6599999999999999,16.409409651279447,0.007667476258159729
EFT,baseline_stats_log,N/A,deterministic,10,0.29500000000000004,0.7813895212928191,0.7,18.316884341716765,-0.0060296692386231695
Greedy,baseline_stats_log,N/A,deterministic,10,0.675,0.9537031751587696,0.32499999999999996,4.11516813659668,0.18169124942223022
LB-Greedy,baseline_stats_log,N/A,deterministic,10,0.33999999999999997,0.7867620710180803,0.6599999999999999,13.062054984092708,0.001461827929117521
Local-Only,baseline_stats_log,N/A,deterministic,10,0.23500000000000001,0.6691255127779648,0.765,8.572416432857512,0.01129681793143498
Oracle-Min,baseline_stats_log,N/A,deterministic,10,0.23000000000000004,0.7139632945637561,0.76,20.388832653045657,-0.012580205448978138
Random,baseline_stats_log,N/A,deterministic,10,0.015000000000000003,0.40426416660980086,0.975,19.96139489173889,-0.015928037176268967
Static,baseline_stats_log,N/A,deterministic,10,0.41000000000000003,0.7968248444741592,0.5900000000000001,5.405324166297912,0.08153123397506519
