baseline,metric_id,metric_cn,direction,n_total,n_effective,matched_k,wins,losses,ties,win_rate,p_value_sign_test,welch_t,welch_p_value,bootstrap_ci95_low,bootstrap_ci95_high,mean_oriented_diff,median_oriented_diff,stat_basis
Random,reward_mean,平均步奖励,higher,120,120,120,120,0,0,1.0,1.5046327690525337e-36,26.58099507923942,6.1462918195368804e-52,1.645102082104625,1.9056241090811847,1.778785376114388,1.6719315467121514,matched_tail_raw_baseline
Static,reward_mean,平均步奖励,higher,120,120,120,120,0,0,1.0,1.5046327690525337e-36,35.687473914334134,1.0239449231245551e-92,0.12209628873107063,0.1363926808355017,0.12930322882049944,0.12517197399684735,matched_tail_raw_baseline
CP-EFT,rho_selected_p10,远端信誉分位数(p10),higher,120,116,120,3,113,4,0.02586206896551724,6.265218627961583e-30,-34.35556072835945,6.405013092212224e-85,-0.4553440891392529,-0.4065956510572384,-0.4316453567395608,-0.5,matched_tail_raw_baseline
EFT,rho_selected_p10,远端信誉分位数(p10),higher,120,116,120,3,113,4,0.02586206896551724,6.265218627961583e-30,-36.49256726366933,3.2318246336656614e-84,-0.46213303537418443,-0.41481117330491546,-0.4398592802385489,-0.5,matched_tail_raw_baseline
Greedy,rho_selected_p10,远端信誉分位数(p10),higher,120,120,120,1,119,0,0.008333333333333333,1.8206056505534481e-34,-31.73121086765848,1.5006169684277027e-82,-0.6302675995758424,-0.557621638396134,-0.596583079174161,-0.6666666865348816,matched_tail_raw_baseline
LB-Greedy,rho_selected_p10,远端信誉分位数(p10),higher,120,118,120,5,113,2,0.0423728813559322,1.1008568075906652e-27,-33.50271023762117,1.6528083776646204e-84,-0.4515582709852606,-0.40260787114190566,-0.42717662354310354,-0.5,matched_tail_raw_baseline
Local-Only,rho_selected_p10,远端信誉分位数(p10),higher,120,7,120,7,0,113,1.0,0.015625000000000003,2.7150840531978386,0.007612125755966731,0.0125,0.05,0.029166666666666667,0.0,matched_tail_raw_baseline
Random,rho_selected_p10,远端信誉分位数(p10),higher,120,115,120,2,113,5,0.017391304347826087,3.211969664751725e-31,-35.69914588510186,1.6363647740576068e-84,-0.4577559984847903,-0.40995501557985947,-0.43633102228244147,-0.5,matched_tail_raw_baseline
Static,rho_selected_p10,远端信誉分位数(p10),higher,120,120,120,2,118,0,0.016666666666666666,1.0925138536090759e-32,-34.40691128086507,5.418109649899837e-92,-0.6257623047009111,-0.5570475771743804,-0.5924483412255843,-0.660256415605545,matched_tail_raw_baseline
CP-EFT,subtask_success_rate,子任务成功率,higher,120,120,120,120,0,0,1.0,1.5046327690525337e-36,43.09387854067365,9.37197315462002e-75,38.269324463759645,41.80263339085917,40.05470358361417,39.24948453798204,matched_tail_raw_baseline
