episode,reward,task_sr,subtask_sr,task_duration,completed_tasks,energy,ratio_local,ratio_rsu,ratio_v2v,actor_loss,critic_loss,entropy
1,-3.5585198551416397,0.0,0.10619469026548672,0.0,0,0.0,0.0,0.8,0.2,-0.0006197456787857744,3.25048757650786,0.5592903302775489
2,4.18289378285408,0.0,0.09917355371900827,0.0,0,0.0,0.0,0.9166666666666666,0.08333333333333333,-0.00042712651710543367,0.5473216483162509,0.9805481851100921
3,4.455883055925369,0.0,0.09836065573770492,0.0,0,0.0,0.0,1.0,0.0,-0.005643011257052422,0.6144446735580762,1.199237502945794
4,4.696889966726303,0.0,0.1,0.0,0,0.0,0.0,0.9166666666666666,0.08333333333333333,-0.006150358097834719,0.8983399704098701,1.399303028318617
5,-9.378736466169357,0.0,0.10526315789473684,0.0,0,0.0,0.0,0.9444444444444444,0.05555555555555555,0.025284933221216003,24.39870908525255,1.4673175123002795
6,4.485258460044861,0.0,0.0967741935483871,0.0,0,0.0,0.0,1.0,0.0,-4.111955770187908e-05,0.6925678139759435,1.564446661207411
7,3.6630455404520035,0.0,0.09836065573770492,0.0,0,0.0,0.0,1.0,0.0,0.010239805995176236,0.3089902762737539,1.4599224156803554
8,4.976194351911545,0.0,0.1016949152542373,0.0,0,0.0,0.08333333333333333,0.9166666666666666,0.0,0.001315255421731207,0.5296250020464262,1.587731459405687
9,4.606994614005089,0.0,0.09917355371900827,0.0,0,0.0,0.08333333333333333,0.9166666666666666,0.0,-0.0004010645465718375,0.5124918338325288,1.405645215511322
10,4.04217354953289,0.0,0.10084033613445378,0.0,0,0.0,0.0,1.0,0.0,-0.0028440542829533417,0.300253447641929,1.6294891397158304
11,4.758666455745697,0.0,0.0916030534351145,0.0,0,0.0,0.0,1.0,0.0,0.004981480476756891,0.5275369722810056,1.5530312246746487
12,3.551219031214714,0.0,0.10526315789473684,0.0,0,0.0,0.0,1.0,0.0,0.0038784423015183873,0.28043130139509836,1.7584090153376262
13,3.956671804189682,0.0,0.09836065573770492,0.0,0,0.0,0.08333333333333333,0.9166666666666666,0.0,0.0008748952816757891,0.29767484540740646,1.6966409868664212
14,4.000798612833023,0.0,0.10084033613445378,0.0,0,0.0,0.0,1.0,0.0,0.002445791346124477,0.4158612293501695,1.8708208481470743
15,-5.101719871163368,0.0,0.09090909090909091,0.0,0,0.0,0.0625,0.875,0.0625,-0.004686842180995477,9.394829228189256,1.7494846794340346
16,3.6075271666049957,0.0,0.10256410256410256,0.0,0,0.0,0.0,1.0,0.0,0.0017072365308801333,0.27076195296314026,1.9276035534010993
17,4.746508970856667,0.0,0.0967741935483871,0.0,0,0.0,0.0,1.0,0.0,0.0016810790118243959,0.35921195331546996,1.9848608096440634
18,3.9627529680728912,0.0,0.1,0.0,0,0.0,0.0,1.0,0.0,-6.994199421670702e-05,0.3191124241385195,1.984495296743181
19,4.179706051945686,0.0,0.10084033613445378,0.0,0,0.0,0.0,1.0,0.0,0.004800137535979351,0.3601102186573876,1.9317034774356419
20,4.615894705057144,0.0,0.11009174311926606,0.0,0,0.0,0.0,1.0,0.0,-0.0017180890879697269,0.408427288217677,1.9446578688091702
21,2.8504429385066032,0.0,0.10434782608695652,0.0,0,0.0,0.0,1.0,0.0,0.007370149923695458,0.19974180050194262,2.0309180114004346
22,3.972487151622772,0.0,0.10084033613445378,0.0,0,0.0,0.0,1.0,0.0,0.00048161258714066613,0.43500737220876745,1.9979171143637764
23,3.530382737517357,0.0,0.09302325581395349,0.0,0,0.0,0.0,1.0,0.0,0.002523133831305636,0.22682306013173528,2.0088910778363545
24,3.328384831547737,0.0,0.1,0.0,0,0.0,0.0,1.0,0.0,-0.0020087570469412537,0.21622503971060117,1.8477506028281319
25,3.755496069788933,0.0,0.1016949152542373,0.0,0,0.0,0.0,1.0,0.0,0.0034653995806972187,0.25678264043397375,1.8833657251463995
26,3.983427956700325,0.0,0.10714285714285714,0.0,0,0.0,0.0,1.0,0.0,0.002314827549788687,0.321548310170571,1.9657066199514601
27,4.400158300995827,0.0,0.1,0.0,0,0.0,0.0,1.0,0.0,0.004062148235324356,0.3714734401139948,1.8500632047653198
28,4.182248190045357,0.0,0.10526315789473684,0.0,0,0.0,0.0,1.0,0.0,0.001474436569131083,0.46982620449529755,1.902077595392863
29,4.861724749207497,0.0,0.0967741935483871,0.0,0,0.0,0.0,1.0,0.0,0.0006264012617369492,0.5426054501699077,1.9529977997144063
30,3.493964672088623,0.0,0.0975609756097561,0.0,0,0.0,0.0,1.0,0.0,5.905148055818346e-05,0.23227087524202134,1.974954084555308
31,4.129379242658615,0.0,0.09090909090909091,0.0,0,0.0,0.0,1.0,0.0,0.0024683156982064245,0.28908634152677326,2.021261261569129
32,4.683609306812286,0.0,0.096,0.0,0,0.0,0.0,1.0,0.0,0.00826693857088685,0.43768398811419806,2.037477587329017
33,4.344792664051056,0.0,0.0967741935483871,0.0,0,0.0,0.0,1.0,0.0,0.0008515781826443142,0.3703895559741391,1.998466924826304
34,3.1657107174396515,0.0,0.09836065573770492,0.0,0,0.0,0.0,1.0,0.0,0.008641097094449731,0.20813078905145327,2.1375947766833834
