episode,steps,elapsed_sec,reward_mode,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,200,2.47692608833313,incremental_cost,42,False,True,time_limit,1.0,20.000000000000014,20.249671936035156,,18,True,6.469742248335116,2.3154873309167034,649934789.021775,18,18,94,-0.9923672676086426,-1.0000038146972656,-0.9751288294792175,-1.0000228881835938,-0.4277191162109375,0.993596823612814,0.0006615479883173623,0.2613970609467747,0.26073551295845704,-0.09933845201168265,-0.09771537780761752,0.00042460699197285185,0.0,7.704745487371286e-05,20.000000000000014,0.0006615479883173623,3.4332275404835855e-06,0.26073551295845704,0.0,0.0,0.3191489361702128,1.0,0.0,0.0,0.6,0.4,0.0,0.6,0.4,0.0,0.45138207972049715,0.7894312143325806,0.5765102105215192,0.014277372618380468,0.166015625,0.0036877227442649505,15.24118730938062,7.612751175494243,18.605235312444467,0.5765102105215192,-0.5765102105215192,1.0,1.0,0.9938742201426016,13.163543956043942,154156196.38362056,1.0,0.0,0.05000288751905488,0.014019359080358304,0.06402224660166694,True,-1.0,0.26073551295845704,0.0
2,200,2.921782970428467,incremental_cost,42,False,True,time_limit,1.0,20.000000000000014,20.159234005471934,,23,True,6.399882661070914,1.9295534008157385,587938087.5539864,23,23,111,-0.9895111918449402,-0.9999995231628418,-0.9470756649971008,-1.0000044107437134,-0.6106899976730347,0.9913822029007915,0.0009046027868441866,0.15702707911897354,0.1561224763321286,-0.09909539721315583,-0.09493515527248411,0.0008564615384665247,0.0,0.00015356006028475775,20.000000000000014,0.0009046027868441866,0.0029364212699540815,0.1561224763321286,0.17391304347826086,0.17391304347826086,0.4774774774774775,0.782608695652174,0.0,0.0,0.37735849056603776,0.6226415094339622,0.0,0.37735849056603776,0.6226415094339622,0.0,0.5269917289041123,0.8347005248069763,0.5779200076524701,0.008188522776306075,0.14027622767857142,0.0022573048481717706,6.132909970890198,3.057153890707663,21.045228315251215,0.5779200076524701,-0.5779200076524701,1.0,1.0,0.9931700648157089,14.862515202082696,161514324.3383342,1.0,0.0,0.03919470512475903,0.016121055531486822,0.055315760658552246,True,-1.0,0.1561224763321286,0.0
3,200,2.265166997909546,incremental_cost,42,False,True,time_limit,1.0,20.000000000000014,20.20965228361242,,17,True,7.046052290466089,2.3347027077482667,592162032.9918699,17,17,84,-0.9917687773704529,-1.0,-0.9748848676681519,-1.0000035762786865,-0.5190920829772949,0.9928684367171007,0.0007308356935976442,0.21088573523961707,0.21015489954601937,-0.09926916430640235,-0.09754267930984498,0.0003535873061805331,0.0,6.480923939033051e-05,20.000000000000014,0.0007308356935976442,0.0024573206901550293,0.21015489954601937,0.058823529411764705,0.058823529411764705,0.36904761904761907,0.9411764705882353,0.0,0.0,0.5483870967741935,0.45161290322580644,0.0,0.5483870967741935,0.45161290322580644,0.0,0.5158833999246839,0.8146030306816101,0.5801502852277323,0.006146793568570336,0.07705965909090909,-0.001290658054958013,6.799215955490416,3.386714285070246,15.88063544305888,0.5801502852277323,-0.5801502852277323,1.0,1.0,0.9821289641730823,11.895816593945288,164332720.12317827,1.0,0.0,0.042648092698156115,0.013962954741859256,0.0566110474400153,True,-1.0,0.21015489954601937,0.0
4,200,2.1822519302368164,incremental_cost,42,False,True,time_limit,1.0,20.000000000000014,20.207459688186646,,16,True,6.404569280639381,1.9884187573475507,620086440.1952982,16,16,78,-0.9936442375183105,-1.000000238418579,-0.9999857544898987,-1.0000035762786865,-0.5158737301826477,0.9941584164728761,0.0006102748047084237,0.2104512097215598,0.20984093491685107,-0.09938972519529157,-0.09999856948852184,0.0005223290399233307,0.0,9.761891212935478e-05,20.000000000000014,0.0006102748047084237,0.002050658634731306,0.20984093491685107,0.0625,0.0625,0.3333333333333333,0.875,0.0,0.0,0.6153846153846154,0.38461538461538464,0.0,0.6153846153846154,0.38461538461538464,0.0,0.4299840491551619,0.735724687576294,0.58308288029262,0.006944927561562508,0.09774925595238096,0.0003718701523861715,7.590835249849728,3.784127828620729,18.068617954140617,0.58308288029262,-0.58308288029262,1.0,1.0,0.9810511363636332,11.780789377289375,163607707.41445172,1.0,0.0,0.0481361043666299,0.014694174879688833,0.06283027924529348,True,-1.0,0.20984093491685107,0.0
5,200,2.115941286087036,incremental_cost,42,False,True,time_limit,1.0,20.000000000000014,20.183919270833332,,15,True,6.7945174934467385,2.282538631954337,652372236.2447346,15,15,79,-0.9912089705467224,-1.000000238418579,-0.9794315695762634,-1.0000056028366089,-0.49308210611343384,0.9917440804930356,0.0008571002326921961,0.19437107249010221,0.19351397225741016,-0.09914289976730781,-0.09693998972574605,0.0006301656399445837,0.0,0.00013111442592718552,20.000000000000014,0.0008571002326921961,1.0935465510897302e-06,0.19351397225741016,0.2,0.2,0.4430379746835443,0.8,0.0,0.0,0.4,0.6,0.0,0.4,0.6,0.0,0.47450748628803663,0.8008705973625183,0.5816203461187642,0.008065216314252012,0.1055640243902439,7.127081157594192e-05,7.79260692727275,3.8847423275796378,16.319783251460006,0.5816203461187642,-0.5816203461187642,1.0,1.0,0.9859680319680324,11.480260073260053,161072483.06414342,1.0,0.0,0.04386648447703948,0.01438221148265517,0.05824869595969463,True,-1.0,0.19351397225741016,0.0
