run_id,stage,episodes,seed,value_clip_range,min_active_samples,elapsed_sec,run_dir,reward_mean,reward_mean_std,value_loss,value_loss_std,policy_loss,policy_loss_std,value_clip_fraction,value_clip_fraction_std,skipped_update_count,skipped_update_count_std,active_ratio,active_ratio_std,active_samples_mean,active_samples_std,skipped_update_ratio,active_samples_p10,active_samples_p50,nan_inf_count
stage1_ep10_s0_clip0p2_min64_20260115_234448,1,10,0,0.2,64,94.56077790260315,runs/stage1_ep10/clip0p2_min64/seed0/stage1_ep10_s0_clip0p2_min64_20260115_234448,0.1397872097790241,0.018602808722011355,12.03792291191247,12.109919262399492,-0.02293691738801249,0.018693784243192693,0.8158719665888731,0.12616131565112884,0.0,0.0,0.030475000000000002,0.0014974515388189065,121.9,5.989806155275626,0.0,114.8,122.5,0
stage1_ep10_s0_clip0p2_min96_20260115_234448,1,10,0,0.2,96,98.61685919761658,runs/stage1_ep10/clip0p2_min96/seed0/stage1_ep10_s0_clip0p2_min96_20260115_234448,0.13987798541784283,0.018812337371982166,13.58900971945127,20.303867340407777,-0.01758588589941303,0.021679109836865957,0.8411854798297087,0.12421502388694604,0.0,0.0,0.0305,0.0014577379737113249,122.0,5.830951894845301,0.0,115.9,122.0,0
stage1_ep10_s0_clip0p2_min128_20260115_234448,1,10,0,0.2,128,63.46499300003052,runs/stage1_ep10/clip0p2_min128/seed0/stage1_ep10_s0_clip0p2_min128_20260115_234448,0.13280716985464092,0.023688315233041345,2.2166731559435524,3.6226006732807603,-0.00606514466895412,0.013179237002211502,0.2564016688764095,0.415108295674737,0.7,0.48304589153964794,0.030525000000000004,0.0018236486625565918,122.1,7.294594650226365,0.7,112.6,122.0,0
stage1_ep10_s0_clip0p3_min64_20260115_234448,1,10,0,0.3,64,104.3557620048523,runs/stage1_ep10/clip0p3_min64/seed0/stage1_ep10_s0_clip0p3_min64_20260115_234448,0.14109010398387906,0.012540695116457806,16.114514165321985,28.461567441809557,-0.02492698839962633,0.01729918334977223,0.7727249726206064,0.1137683804924264,0.0,0.0,0.030800000000000004,0.0015581327856693664,123.2,6.2325311426774626,0.0,117.3,123.0,0
stage1_ep10_s0_clip0p3_min96_20260115_234448,1,10,0,0.3,96,103.30224204063416,runs/stage1_ep10/clip0p3_min96/seed0/stage1_ep10_s0_clip0p3_min96_20260115_234448,0.1340402983129024,0.01932462950229115,7.578260554472605,4.468340131812923,-0.00714869246988867,0.024153701598675508,0.7538740351398786,0.11968607180404602,0.0,0.0,0.029324999999999997,0.0014862798450419011,117.3,5.945119380167605,0.0,110.6,117.0,0
stage1_ep10_s0_clip0p3_min128_20260115_234448,1,10,0,0.3,128,63.96680784225464,runs/stage1_ep10/clip0p3_min128/seed0/stage1_ep10_s0_clip0p3_min128_20260115_234448,0.1360418394207954,0.016822736772271234,2.241976301352183,4.836049840532818,-0.005143232127962009,0.025304771506663323,0.15566825395822526,0.33621244790529614,0.8,0.42163702135578396,0.029725,0.0019128585357463786,118.9,7.651434142985513,0.8,113.7,118.0,0
stage1_ep10_s0_clip0p4_min64_20260115_234448,1,10,0,0.4,64,110.14976096153259,runs/stage1_ep10/clip0p4_min64/seed0/stage1_ep10_s0_clip0p4_min64_20260115_234448,0.15456126928329467,0.01643357535622045,6.189057861447334,2.9369221131500804,0.0006362753003680413,0.03119800970875718,0.7939430720508098,0.13999001483434437,0.0,0.0,0.030500000000000006,0.0017360555546666384,122.0,6.944222218666553,0.0,114.6,122.0,0
stage1_ep10_s0_clip0p4_min96_20260115_234448,1,10,0,0.4,96,108.03390097618103,runs/stage1_ep10/clip0p4_min96/seed0/stage1_ep10_s0_clip0p4_min96_20260115_234448,0.1345568925142288,0.02602914622063088,6.293439617338482,5.487152824061636,-0.020990585426506253,0.021689514687648747,0.6984176901835311,0.1512751920118034,0.0,0.0,0.029700000000000004,0.002616188916046478,118.8,10.464755664185912,0.0,101.8,122.0,0
stage1_ep10_s0_clip0p4_min128_20260115_234448,1,10,0,0.4,128,68.18633484840393,runs/stage1_ep10/clip0p4_min128/seed0/stage1_ep10_s0_clip0p4_min128_20260115_234448,0.13503344804048537,0.021261073350263605,2.3600133485794066,5.037128423737419,-0.00449040368633964,0.009564876823217845,0.14724237623810768,0.31132406573727117,0.8,0.42163702135578396,0.030574999999999998,0.002034596602113878,122.3,8.138386408455508,0.8,111.9,122.0,0
