episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,act_seconds,makespan_seconds,task_duration_mean,task_duration_p95,deadline_miss_rate,deadline_meet_ratio,time_limit_rate,energy_mean,energy_p95,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
1,Random,-0.0040516706678529555,-0.8103341335705911,0.0,0.0,0.17058823529411765,0.6,0.303,0.294,0.403,0.303,0.294,0.403,0.7312719753607047,0.6144504668015845,0.9645146681556322,20.000000000000014,27.888858795166016,0.0,0.0,20.000000000000014,0.0,0.0,0.9,0.09999999999999998,1.0,0.008136122646387156,0.0,0.0,0.9725,0.02749999999999997,0.02749999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.8298617601394653,0.800000011920929,0.03207405284047127,,,,,0.1701381951570511,0.20000000298023224,39,0.0,0.0,0.0,28,0,0.0,0,0.1125,0.0
1,Local-Only,-0.004164203913071973,-0.8328407826143945,0.0,0.0,0.13125,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,20.000000000000014,25.467927932739258,0.0,0.0,20.000000000000014,0.0,0.0,0.8,0.19999999999999996,1.0,0.0,0.0,0.0,0.972,0.028000000000000025,0.028000000000000025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.1765,0.0
1,Greedy,-0.00290840524904927,-0.581681049809854,0.3,0.3,0.875,0.0,0.894,0.106,0.0,0.894,0.106,0.0,1.0,1.0,1.0,20.000000000000014,20.815407371521,1.2428571428571504,1.2428571428571504,20.000000000000014,1.2428571428571504,1.370000000000017,0.6,0.4,1.0,0.010029089328859023,0.0,0.0,0.894,0.10599999999999998,0.10599999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.942574679851532,0.8333333134651184,0.009546907618641853,,,,,0.05742528289556503,0.1666666716337204,212,0.0,0.0,0.0,212,0,0.0,0,0.0,0.045
1,Oracle-Min,-0.0029084040706572178,-0.5816808141314436,0.3,0.3,0.875,0.0,0.894,0.106,0.0,0.894,0.106,0.0,0.106,1.0,1.0,20.000000000000014,20.815407371521,1.2428571428571504,1.2428571428571504,20.000000000000014,1.2428571428571504,1.370000000000017,0.6,0.4,1.0,0.010029089328859023,0.0,0.0,0.894,0.10599999999999998,0.10599999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.942574679851532,0.8333333134651184,0.009546796791255474,,,,,0.05742528289556503,0.1666666716337204,212,0.0,0.0,0.0,212,0,0.0,0,0.0,0.045
1,EFT,-0.0034541912787229524,-0.6908382557445905,0.1,0.1,0.85,0.0,0.8965,0.1035,0.0,0.8965,0.1035,0.0,0.0,0.0,0.0,20.000000000000014,21.060582160949714,1.3400000000000074,1.3400000000000074,20.000000000000014,1.3400000000000074,1.460000000000018,0.8,0.19999999999999996,1.0,0.0013924371353954555,0.0,0.0,0.8965,0.10350000000000004,0.10350000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.9409204721450806,0.800000011920929,0.01032331120222807,,,,,0.059079479426145554,0.20000000298023224,207,0.0,0.0,0.0,207,0,0.0,0,0.0,0.055
1,CP-EFT,-0.0032604800992457085,-0.6520960198491417,0.2,0.2,0.825,0.0,0.902,0.098,0.0,0.902,0.098,0.0,0.0,0.0,0.0,20.000000000000014,21.110429382324224,1.3200000000000072,1.3200000000000072,20.000000000000014,1.3200000000000072,1.460000000000018,0.7,0.30000000000000004,1.0,0.0012419945965452543,0.0,0.0,0.899,0.10099999999999998,0.10099999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.9405730366706848,0.8166666626930237,0.010304390452802181,,,,,0.059426940977573395,0.18333333730697632,196,0.0,0.0,0.0,196,0,0.0,0,0.003,0.035
1,LB-Greedy,-0.0034541913590068513,-0.6908382718013703,0.1,0.1,0.85,0.0,0.8965,0.1035,0.0,0.8965,0.1035,0.0,0.0,0.0,0.0,20.000000000000014,21.060582160949714,1.3400000000000074,1.3400000000000074,20.000000000000014,1.3400000000000074,1.460000000000018,0.8,0.19999999999999996,1.0,0.0013924371353954555,0.0,0.0,0.8965,0.10350000000000004,0.10350000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.9409204721450806,0.800000011920929,0.01032331958413124,,,,,0.059079479426145554,0.20000000298023224,207,0.0,0.0,0.0,207,0,0.0,0,0.0,0.055
1,Static,-0.0032933010274619084,-0.6586602054923817,0.2,0.2,0.625,0.0,0.209,0.791,0.0,0.209,0.791,0.0,1.0,1.0,1.0,20.000000000000014,22.586437416076667,1.2666666666666724,1.2666666666666724,20.000000000000014,1.2666666666666724,1.3750000000000169,0.7,0.30000000000000004,1.0,0.00854725977875281,0.0,0.0,0.9125,0.08750000000000002,0.08750000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.9274513721466064,0.800000011920929,0.012481908313930035,,,,,0.07254857569932938,0.20000000298023224,161,0.0,0.0,0.0,161,0,0.0,0,0.0405,0.045
100,Random,-0.0057523291749092785,-1.1504658349818557,0.0,0.0,0.07058823529411765,0.5384615384615384,0.2465,0.248,0.5055,0.2465,0.248,0.5055,0.7112824158734705,0.6168313415706308,0.9656468109684112,20.000000000000014,37.47111129760742,0.0,0.0,20.000000000000014,0.0,0.0,0.9,0.09999999999999998,1.0,0.012471858028875661,0.0,0.0,0.9755,0.024499999999999966,0.024499999999999966,0.0,2.0085120531001827e-16,0.0,0.0,2.0085120531001827e-16,0.0,0.7906926274299622,0.7214285850524902,0.041917696595191956,,,,,0.18676047027111053,0.20000000298023224,33,0.0,0.0,0.0,22,4,0.18181818181818182,4,0.082,0.0
100,Local-Only,-0.005293050323434204,-1.0586100646868408,0.0,0.0,0.11602209944751381,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,20.000000000000014,24.23688316345215,0.0,0.0,20.000000000000014,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.967,0.03300000000000003,0.03300000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.2355,0.0
