episode,steps,elapsed_sec,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,reward_step_p95,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,200,3.4969241619110107,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,123,0.1454659104347229,1.2965131645614747e-05,1.5224823951721191,-0.9999565482139587,6.0057759284973145,0.1554654836654663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09030372774600982,-0.09030372774600982,-0.02185211098194149,0.011001680810004473,0.0,2.8743239890457988e-05,0.0,20.011235904693613,,,0.011235904693599252,0.9,0.9,0.991869918699187,0.1,0.0,0.0,0.2903225806451613,0.3387096774193548,0.3709677419354839,0.2903225806451613,0.3387096774193548,0.3709677419354839,,,1.4188127009073894,0.007395341419614851,0.13411458333333334,-0.0012622016109526157,24.638704439798992,0.3711887730161349,0.4143470621109009,1.4188127009073894,-1.4188127009073894,1.0,1.0,1.0,18.99975,172706918.82098302,1.0,0.0,,,,True,-1.0,0.011235904693599252,0.0
2,200,3.5515756607055664,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,121,0.11086574196815491,5.6723994930507615e-05,1.5030651092529297,-0.9999432563781738,2.547969102859497,0.12086517363786697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09023883247375487,-0.09023883247375487,-0.0003528251647984962,0.00859913345053792,0.0,3.119311668179933e-05,0.0,20.11892967224122,,,0.11892967224120454,0.8,0.8,0.9586776859504132,0.2,0.0,0.0,0.375,0.3333333333333333,0.2916666666666667,0.375,0.3333333333333333,0.2916666666666667,,,1.4014153146743775,0.00984633104565243,0.12776041666666665,-0.0019258962385356427,16.806851336161294,0.1789903947710991,0.44617861290772753,1.4014153146743775,-1.4014153146743775,1.0,1.0,1.0,18.602,156681932.0314187,1.0,0.0,,,,True,-1.0,0.11892967224120454,0.0
3,200,3.526762008666992,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,129,0.14660407602787018,1.0060402019007597e-05,1.5410679578781128,-0.946832537651062,4.56125545501709,0.15607240796089172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08885143566131591,-0.08885143566131591,0.00065079557895108,0.0121462968531996,0.0,5.394743226573117e-05,0.0,20.017838573455823,,,0.017838573455808415,0.9,0.9,0.9922480620155039,0.1,0.0,0.0,0.24031007751937986,0.4573643410852713,0.3023255813953488,0.24031007751937986,0.4573643410852713,0.3023255813953488,,,1.3642386166254679,0.013389213448390365,0.13609375,-0.003583005890250206,8.888147293726604,0.07926604434847832,0.46056038320064546,1.3642386166254679,-1.3642386166254679,1.0,1.0,1.0,18.636500000000037,162111439.3001048,1.0,0.0,,,,True,-1.0,0.017838573455808415,0.0
4,200,3.6222920417785645,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,122,0.11078529059886932,5.6779321312205866e-05,0.5902817845344543,-0.9982210993766785,3.117278575897217,0.1207675039768219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09099068224430082,-0.09099068224430082,0.020364747047418953,0.011135207979008556,0.0,2.4125742001656027e-05,0.0,20.103423595428474,,,0.10342359542845969,0.8,0.8,0.9672131147540983,0.2,0.0,0.0,0.30578512396694213,0.4628099173553719,0.23140495867768596,0.30578512396694213,0.4628099173553719,0.23140495867768596,,,1.4188770580291747,0.007837747591547668,0.11979166666666667,-0.003968492224812508,8.218020718892415,0.049742107302881776,0.38586722473303475,1.4188770580291747,-1.4188770580291747,1.0,1.0,1.0,18.869499999999988,156889503.8715847,1.0,0.0,,,,True,-1.0,0.10342359542845969,0.0
5,200,3.546464204788208,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,118,0.13810771703720093,4.3591662688413635e-05,1.5099791288375854,-0.9999564290046692,4.504733562469482,0.14810726046562195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08996347880363464,-0.08996347880363464,-0.006543448448181465,0.011928407857194543,0.0,1.8022501888577377e-05,0.0,20.07089490890504,,,0.07089490890502503,0.9,0.9,0.9661016949152542,0.1,0.0,0.0,0.20689655172413793,0.49137931034482757,0.3017241379310345,0.20689655172413793,0.49137931034482757,0.3017241379310345,,,1.4699252525965372,0.004428636739030481,0.05234375,-0.004952235519886017,6.887405417760213,0.047017734854792555,0.5815846739212672,1.4699252525965372,-1.4699252525965372,1.0,1.0,1.0,18.76149999999999,168824871.93136036,1.0,0.0,,,,True,-1.0,0.07089490890502503,0.0
