episode,total_reward,avg_step_reward,loss,veh_success_rate,vehicle_success_rate,task_success_rate,subtask_success_rate,v2v_subtask_success_rate,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_queue_len,ma_fairness,ma_reward_gap,ma_collaboration,max_agent_reward,min_agent_reward,avg_assigned_cpu_ghz,episode_vehicle_count,episode_task_count,duration
1,2.9208063449876165,0.011176851015228393,0.0021091356415879623,0.0,0.0,0.0,0.18,0.0,0.48148148148148145,0.5185185185185185,0.0,0.5009507251440879,0.0005369127516778523,1.0,0.0,0.1610738255033557,0.010863018555694385,0.010863018555694385,4.781779690785289,13,13,8.575250625610352
1,-25.047231920343393,-0.0834907730678113,0.0,0.0,0.0,0.1,1.0,0.07848761408083442,0.07379400260756193,0.8477183833116037,0.6059426906856668,0.005736636245110821,1.0,0.0,0.8477183833116037,-25.047231920343393,-25.047231920343393,0.0,0.0,0.0,Random
1,1.5731633325148244,0.0052438777750494145,0.0,0.0,0.0,0.0880503144654088,0.0,1.0,0.0,0.0,1.0,0.0005155968032998196,1.0,0.0,0.0,1.5731633325148244,1.5731633325148244,0.0,0.0,0.0,Local-Only
1,68.09534489405567,4.2559590558784794,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,68.09534489405567,68.09534489405567,0.0,0.0,0.0,Greedy
2,4.607388022139508,0.01656908692117728,0.006092897796971274,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.28104575163398693,0.0,0.2558139534883721,0.7441860465116279,0.0,0.4973960077162251,0.0005376344086021505,1.0,0.0,0.21505376344086022,0.016066517405645776,0.016066517405645776,5.097792673435348,13,13,8.004199981689453
3,3.6461193546130417,0.013588195562806943,-0.0019157302856910973,0.0,0.0,0.0,0.25301204819277107,0.0,0.35714285714285715,0.6428571428571429,0.0,0.5105040559772311,0.00025673940949935817,1.0,0.0,0.28241335044929394,0.013186855076321887,0.013186855076321887,4.976309734737117,15,15,8.485566854476929
4,4.356730572322376,0.015852069774809182,0.009696473506794843,0.0,0.0,0.0,0.28368794326241137,0.0,0.3,0.7,0.0,0.5186303777446867,0.0011111111111111111,1.0,0.0,0.25,0.01585206977480915,0.01585206977480915,4.923353051813958,12,12,7.942534446716309
5,7.356008162062299,0.025788266332844454,0.052074269825981845,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.3404255319148936,0.0,0.265625,0.734375,0.0,0.5368801357883912,0.0011552680221811461,1.0,0.0,0.30036968576709794,0.02232169306762384,0.02232169306762384,5.029205689413936,17,17,9.302791118621826
6,5.832408171815589,0.02079611470589816,0.0166122117829588,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.30120481927710846,0.0,0.3,0.7,0.0,0.5345805122024414,0.001579778830963665,1.0,0.0,0.210637177461822,0.02010133666850926,0.02010133666850926,4.51159623722846,15,15,8.110679864883423
7,4.3094315578727285,0.015673922703199002,-0.002651176007034687,0.0625,0.0625,0.0625,0.19402985074626866,0.0,0.38461538461538464,0.6153846153846154,0.0,0.5210504020625727,0.0004748338081671415,1.0,0.0,0.2136752136752137,0.013879883331229293,0.013879883331229293,4.666293663435398,16,16,9.506724834442139
