step,vehicle_id,delta_t,delta_t_norm,phi_prev,phi_next,delta_phi,r_base,r_shape,r_illegal,r_term,r_energy,r_total,base_clipped,shape_clipped,total_clipped,serving_rsu_id,rsu_id_used,f_local,f_serving_rsu,f_candidates_max,f_max
1,0,-0.07465622799356103,-0.14931245598712206,-1.746149632,-1.746149632,0.017461496319999936,-0.2239686839806831,0.0017461496319999938,0.0,0.0,0.0,-0.2222225343486831,False,False,False,-1,-1,7613234424.836191,12000000000.0,7739213940.023133,12000000000.0
1,1,0.0,0.0,-0.8942559466666666,-0.8942559466666666,0.008942559466666666,0.0,0.0008942559466666667,0.0,0.0,0.0,0.0008942559466666667,False,False,False,-1,-1,6500865889.669805,12000000000.0,7739213940.023133,12000000000.0
1,2,-0.03399556288155803,-0.06799112576311606,-1.5058956373333334,-1.5058956373333334,0.015058956373333432,-0.10198668864467408,0.0015058956373333434,0.0,0.0,0.0,-0.10048079300734074,False,False,False,-1,-1,7739213940.023133,12000000000.0,7613234424.836191,12000000000.0
1,3,0.0,0.0,-1.5953850026666667,-1.5953850026666667,0.015953850026666716,0.0,0.0015953850026666717,0.0,0.0,0.0,0.0015953850026666717,False,False,False,-1,-1,5230548165.679911,12000000000.0,7739213940.023133,12000000000.0
1,4,0.06975727630170192,0.13951455260340384,-0.9576793386666667,-0.9576793386666667,0.009576793386666727,0.20927182890510576,0.0009576793386666727,0.0,0.0,0.0,0.21022950824377243,False,False,False,-1,-1,5307949647.187717,12000000000.0,7739213940.023133,12000000000.0
1,5,-0.00681502540970666,-0.01363005081941332,-1.099091456,-1.099091456,0.010990914560000009,-0.02044507622911998,0.001099091456000001,0.0,0.0,0.0,-0.019345984773119978,False,False,False,-1,-1,7160167692.097328,12000000000.0,7739213940.023133,12000000000.0
1,6,0.13567842163127825,0.2713568432625565,-1.621291584,-1.5129492053333333,0.12347187071999999,0.40703526489383474,0.012347187071999999,0.0,0.0,0.0,0.41938245196583473,False,False,False,-1,-1,2728060734.444424,12000000000.0,7739213940.023133,12000000000.0
1,7,0.2929265310693335,0.585853062138667,-1.694153984,-1.694153984,0.01694153983999991,0.8787795932080005,0.001694153983999991,0.0,0.0,0.0,0.8804737471920004,False,False,False,-1,-1,3904174455.9329643,12000000000.0,7739213940.023133,12000000000.0
1,8,0.17420964727195548,0.34841929454391096,-1.4607775253333333,-1.4607775253333333,0.014607775253333344,0.5226289418158665,0.0014607775253333345,0.0,0.0,0.0,0.5240897193411999,False,False,False,-1,-1,2992436689.0775585,12000000000.0,7739213940.023133,12000000000.0
1,9,0.2614844798205528,0.5229689596411056,-2.082865632,-2.082865632,0.020828656319999972,0.7844534394616584,0.002082865631999997,0.0,0.0,0.0,0.7865363050936583,False,False,False,-1,-1,4127508144.766726,12000000000.0,7739213940.023133,12000000000.0
1,10,0.4230334876074776,0.8460669752149552,-1.4045338026666667,-1.4045338026666667,0.014045338026666743,1.2691004628224327,0.0014045338026666744,0.0,0.0,0.0,1.2705049966250994,False,False,False,-1,-1,3256957288.4460464,12000000000.0,7739213940.023133,12000000000.0
1,11,0.3604743978114285,0.720948795622857,-2.0331158186666665,-2.0331158186666665,0.02033115818666653,1.0814231934342855,0.0020331158186666534,0.0,0.0,0.0,1.083456309252952,False,False,False,-1,0,2781168324.735136,12000000000.0,7739213940.023133,12000000000.0
1,12,0.23974365891016008,0.47948731782032017,-1.674953792,-1.674953792,0.01674953792,0.7192309767304803,0.0016749537920000002,0.0,0.0,0.0,0.7209059305224803,False,False,False,-1,-1,3429265498.346855,12000000000.0,7739213940.023133,12000000000.0
1,13,0.165790319388737,0.331580638777474,-1.2057956373333334,-1.2057956373333334,0.0120579563733334,0.497370958166211,0.0012057956373333401,0.0,0.0,0.0,0.4985767538035444,False,False,False,-1,-1,2665347804.464175,12000000000.0,7739213940.023133,12000000000.0
1,14,0.09901812451302086,0.19803624902604172,-1.5430813226666666,-1.5430813226666666,0.015430813226666729,0.2970543735390626,0.0015430813226666729,0.0,0.0,0.0,0.2985974548617293,False,False,False,-1,-1,4357641601.842152,12000000000.0,7739213940.023133,12000000000.0
1,15,0.1723126508944466,0.3446253017888932,-2.1559252906666666,-2.1559252906666666,0.021559252906666604,0.5169379526833399,0.0021559252906666604,0.0,0.0,0.0,0.5190938779740065,False,False,False,-1,0,5819626400.011383,12000000000.0,7739213940.023133,12000000000.0
1,16,0.04316017241835454,0.08632034483670908,-1.3225427733333333,-1.3225427733333333,0.01322542773333324,0.12948051725506363,0.001322542773333324,0.0,0.0,0.0,0.13080306002839695,False,False,False,-1,0,6499149864.35686,12000000000.0,7739213940.023133,12000000000.0
