policy,episodes,task_sr,subtask_sr,time_limit_rate,decision_local,decision_rsu,decision_v2v,I_total_p95,rho_selected_p10,trust_failure_rate
Greedy,100,0.7075000000000001,0.9180469699116048,0.0,0.0,1.0,0.0,0.0,0.557062703922391,0.2370874877790358
Local-Only,100,0.6925,0.9206706096331465,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Static,100,0.6574999999999999,0.8995077316905475,0.0,0.24693124753662474,0.7530687524633752,0.0,0.0,0.5881047006249428,0.24672562164908743
CP-EFT,100,0.33,0.6524239222778195,0.8,0.6199516407510887,0.27603161436312756,0.10401674488578376,1.3279729762919092e-11,0.4612321264743805,0.22145058014089178
EFT,100,0.32900000000000007,0.6548232757148525,0.82,0.9152109030853246,0.049619676333926305,0.03516942058074914,9.459676534845734e-12,0.4599092625379562,0.22690502173871832
Random,100,0.0005,0.16667250932917518,1.0,0.0761375,0.11877500000000002,0.8050875000000001,1.7670572781592752e-10,0.45576601976156234,0.22889328772937437
