baseline,metric_id,metric_cn,direction,n_total,n_effective,matched_k,wins,losses,ties,win_rate,p_value_sign_test,welch_t,welch_p_value,bootstrap_ci95_low,bootstrap_ci95_high,mean_oriented_diff,median_oriented_diff,stat_basis
CP-EFT,deadline_miss_rate,超时失败率,lower,120,118,120,117,1,2,0.9915254237288136,7.162051980689339e-34,27.852435768687563,1.6019400445000683e-68,53.33333333333333,61.458333333333336,57.375,60.0,matched_tail_raw_baseline
EFT,deadline_miss_rate,超时失败率,lower,120,120,120,116,4,0,0.9666666666666667,1.27933974110726e-29,25.591280741693325,8.893871801594407e-65,49.728125000000006,58.10520833333332,54.041666666666664,60.0,matched_tail_raw_baseline
Greedy,deadline_miss_rate,超时失败率,lower,120,115,120,77,38,5,0.6695652173913044,0.0003509981791372683,4.58687542973075,7.286145690421473e-06,6.853125000000001,16.916666666666664,11.958333333333334,15.0,matched_tail_raw_baseline
LB-Greedy,deadline_miss_rate,超时失败率,lower,120,117,120,116,1,3,0.9914529914529915,1.4203733339857024e-33,30.099919569753734,2.7135416101500085e-73,57.375,65.68854166666667,61.75,65.0,matched_tail_raw_baseline
Local-Only,deadline_miss_rate,超时失败率,lower,120,115,120,86,29,5,0.7478260869565218,9.758911934869547e-08,5.713873161280518,4.6238272957231974e-08,7.4781249999999995,15.291666666666666,11.5,20.0,matched_tail_raw_baseline
Random,deadline_miss_rate,超时失败率,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,45.8585974277218,1.1900775341109249e-77,78.85312499999999,85.83333333333333,82.41666666666667,90.0,matched_tail_raw_baseline
Static,deadline_miss_rate,超时失败率,lower,120,113,120,84,29,7,0.7433628318584071,2.2007730621647808e-07,5.41779768719838,1.4773084166965212e-07,8.372916666666665,18.5,13.5,15.0,matched_tail_raw_baseline
CP-EFT,mean_cft_est,平均完工时间估计,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,44.66785236849429,2.0369657287070746e-117,10.789266604010283,11.811330675198652,11.312923728227636,11.910966377258323,matched_tail_raw_baseline
EFT,mean_cft_est,平均完工时间估计,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,45.444400367950266,2.9398743604455484e-119,11.49548800038697,12.512736366891879,12.006643086036066,12.516555476188682,matched_tail_raw_baseline
Greedy,mean_cft_est,平均完工时间估计,lower,120,120,120,81,39,0,0.675,0.00015803403060256986,5.639667020465796,4.855162315457284e-08,0.9064031584799276,1.8876621299445606,1.4071772499879194,1.6620866012573208,matched_tail_raw_baseline
LB-Greedy,mean_cft_est,平均完工时间估计,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,49.83895777941956,3.890608529725533e-126,11.634978041712463,12.549462216295819,12.128851580381411,12.588679018020652,matched_tail_raw_baseline
Local-Only,mean_cft_est,平均完工时间估计,lower,120,120,120,114,6,0,0.95,5.795583853506571e-27,17.876285046926647,3.39131389310534e-45,3.7494249601741587,4.667378836345666,4.225836497147873,4.529843864440915,matched_tail_raw_baseline
Random,mean_cft_est,平均完工时间估计,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,73.07373950235224,1.0345147785817404e-113,13.712174163494526,14.476898651556192,14.0998600505988,14.474805350303672,matched_tail_raw_baseline
Static,mean_cft_est,平均完工时间估计,lower,120,120,120,100,20,0,0.8333333333333334,5.508390850254072e-14,10.441400790493041,3.447563318695709e-21,2.0707059621771156,3.0408304256578256,2.5520978740056326,2.603801484107967,matched_tail_raw_baseline
CP-EFT,power_ratio_mean,远端功率比例,lower,120,120,120,0,120,0,0.0,1.5046327690525337e-36,-94.01315548626351,5.208511643566876e-150,-0.2925434364247741,-0.280889331332773,-0.28653487287984863,-0.2908067001708855,matched_tail_raw_baseline
EFT,power_ratio_mean,远端功率比例,lower,120,120,120,0,120,0,0.0,1.5046327690525337e-36,-79.33447884078673,1.0450687949146878e-132,-0.26756238618986306,-0.2551976053166338,-0.26122141327140774,-0.2568646114331262,matched_tail_raw_baseline
Greedy,power_ratio_mean,远端功率比例,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,423.7231062467287,5.230496817469993e-191,0.562338260355053,0.567533328110453,0.5649431955595584,0.5662934263739234,matched_tail_raw_baseline
LB-Greedy,power_ratio_mean,远端功率比例,lower,120,120,120,0,120,0,0.0,1.5046327690525337e-36,-70.10747829474302,9.744812409062943e-120,-0.25975819859537547,-0.24532072828301046,-0.2527154576400644,-0.25469391457458457,matched_tail_raw_baseline
Local-Only,power_ratio_mean,远端功率比例,lower,120,120,120,0,120,0,0.0,1.5046327690525337e-36,-326.3047011101586,1.616204939412873e-177,-0.43762055306995595,-0.4326303682813583,-0.43505680444044165,-0.4337065736260765,matched_tail_raw_baseline
Random,power_ratio_mean,远端功率比例,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,119.36299398786215,4.15234114622369e-139,0.16185840144711727,0.16743452800370548,0.16457978195797363,0.16588625655862335,matched_tail_raw_baseline
Static,power_ratio_mean,远端功率比例,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,423.7231062467287,5.230496817469993e-191,0.5622756126321213,0.567620458155525,0.5649431955595584,0.5662934263739234,matched_tail_raw_baseline
CP-EFT,reward_mean,平均步奖励,higher,120,120,120,120,0,0,1.0,1.5046327690525337e-36,17.372036602105783,1.871683482790163e-34,0.8937416112030648,1.1193673589661424,1.0037415386632869,0.8774460424890476,matched_tail_raw_baseline
EFT,reward_mean,平均步奖励,higher,120,120,120,120,0,0,1.0,1.5046327690525337e-36,20.37995709180842,1.0630340640162402e-40,0.6902938922972128,0.8336762324904204,0.7585176899998005,0.6596336916746222,matched_tail_raw_baseline
Greedy,reward_mean,平均步奖励,higher,120,120,120,63,57,0,0.525,0.6482600518209893,1.0465388743876478,0.2964484691822382,-0.002051491765146081,0.006644384917061291,0.0022553642116575415,0.001344104139772601,matched_tail_raw_baseline
LB-Greedy,reward_mean,平均步奖励,higher,120,120,120,120,0,0,1.0,1.5046327690525337e-36,18.471291372630358,8.887856678197666e-37,0.952679619368735,1.1723261123000537,1.058418848109339,0.9671016533471806,matched_tail_raw_baseline
Local-Only,reward_mean,平均步奖励,higher,120,120,120,120,0,0,1.0,1.5046327690525337e-36,44.82567393869348,1.9740097751798328e-82,0.3046063619808373,0.3320003526757128,0.31773634325700484,0.31613132663606824,matched_tail_raw_baseline
Random,reward_mean,平均步奖励,higher,120,120,120,120,0,0,1.0,1.5046327690525337e-36,26.211806879593713,2.6899743570506825e-51,1.6893301853437346,1.956021763134422,1.8155440713064457,1.6816996808026081,matched_tail_raw_baseline
Static,reward_mean,平均步奖励,higher,120,120,120,112,8,0,0.9333333333333333,1.3595881352715279e-24,15.221900897690924,8.34289332398022e-33,0.060132676153928095,0.07770756338084105,0.06849677517120556,0.06115304609406305,matched_tail_raw_baseline
CP-EFT,rho_selected_p10,远端信誉分位数(p10),higher,120,116,120,84,32,4,0.7241379310344828,1.481143728223162e-06,6.514403754649682,8.683950608283678e-10,0.0694477974077066,0.13323676872501777,0.10191892561813196,0.13196594417095187,matched_tail_raw_baseline
EFT,rho_selected_p10,远端信誉分位数(p10),higher,120,114,120,81,33,6,0.7105263157894737,8.004321800801425e-06,6.549385519269909,7.843622984268134e-10,0.07174136785976583,0.13198317644869287,0.1012546989073356,0.12522727251052862,matched_tail_raw_baseline
Greedy,rho_selected_p10,远端信誉分位数(p10),higher,120,119,120,58,61,1,0.48739495798319327,0.8546300421798089,-0.5960095042122472,0.5517401256721554,-0.04881345903500915,0.0263912401249011,-0.011560017963250473,-0.009581601619720437,matched_tail_raw_baseline
