phase,method,policy,metric_id,metric_cn,direction,mean,std,n,matched_k,stat_basis
后期,EFT,EFT,mean_cft_est,平均完工时间估计,lower,23.370050780614218,2.0695169289155735,120,120,matched_tail_raw_baseline
后期,Greedy,Greedy,mean_cft_est,平均完工时间估计,lower,12.770584944566073,1.8377328484107973,120,120,matched_tail_raw_baseline
后期,LB-Greedy,LB-Greedy,mean_cft_est,平均完工时间估计,lower,23.492259274959565,1.7358917093525554,120,120,matched_tail_raw_baseline
后期,Local-Only,Local-Only,mean_cft_est,平均完工时间估计,lower,15.589244191726028,1.6162308171661823,120,120,matched_tail_raw_baseline
后期,Random,Random,mean_cft_est,平均完工时间估计,lower,25.46326774517695,0.6116552277464851,120,120,matched_tail_raw_baseline
后期,Static,Static,mean_cft_est,平均完工时间估计,lower,13.915505568583786,1.7536748674040088,120,120,matched_tail_raw_baseline
后期,当前算法(MAPPO),MAPPO,mean_cft_est,平均完工时间估计,lower,11.363407694578152,2.0232698536549605,120,120,matched_tail_raw_baseline
中期,CP-EFT,CP-EFT,power_ratio_mean,远端功率比例,lower,0.1485219315605931,0.030023073466772403,120,120,matched_tail_raw_baseline
中期,EFT,EFT,power_ratio_mean,远端功率比例,lower,0.17383539116903393,0.03297992046533379,120,120,matched_tail_raw_baseline
中期,Greedy,Greedy,power_ratio_mean,远端功率比例,lower,1.0,0.0,120,120,matched_tail_raw_baseline
中期,LB-Greedy,LB-Greedy,power_ratio_mean,远端功率比例,lower,0.18234134680037725,0.03668697280873783,120,120,matched_tail_raw_baseline
中期,Local-Only,Local-Only,power_ratio_mean,远端功率比例,lower,0.0,0.0,120,120,matched_tail_raw_baseline
中期,Random,Random,power_ratio_mean,远端功率比例,lower,0.5996365863984152,0.003849545499073566,120,120,matched_tail_raw_baseline
中期,Static,Static,power_ratio_mean,远端功率比例,lower,1.0,0.0,120,120,matched_tail_raw_baseline
中期,当前算法(MAPPO),MAPPO,power_ratio_mean,远端功率比例,lower,0.42556380652969994,0.0204082718689566,120,120,matched_tail_raw_baseline
前期,CP-EFT,CP-EFT,power_ratio_mean,远端功率比例,lower,0.1485219315605931,0.030023073466772403,120,120,matched_tail_raw_baseline
前期,EFT,EFT,power_ratio_mean,远端功率比例,lower,0.17383539116903393,0.03297992046533379,120,120,matched_tail_raw_baseline
前期,Greedy,Greedy,power_ratio_mean,远端功率比例,lower,1.0,0.0,120,120,matched_tail_raw_baseline
前期,LB-Greedy,LB-Greedy,power_ratio_mean,远端功率比例,lower,0.18234134680037725,0.03668697280873783,120,120,matched_tail_raw_baseline
前期,Local-Only,Local-Only,power_ratio_mean,远端功率比例,lower,0.0,0.0,120,120,matched_tail_raw_baseline
前期,Random,Random,power_ratio_mean,远端功率比例,lower,0.5996365863984152,0.003849545499073566,120,120,matched_tail_raw_baseline
前期,Static,Static,power_ratio_mean,远端功率比例,lower,1.0,0.0,120,120,matched_tail_raw_baseline
前期,当前算法(MAPPO),MAPPO,power_ratio_mean,远端功率比例,lower,0.4915375738002383,0.009409825829825457,120,120,matched_tail_raw_baseline
后期,CP-EFT,CP-EFT,power_ratio_mean,远端功率比例,lower,0.1485219315605931,0.030023073466772403,120,120,matched_tail_raw_baseline
后期,EFT,EFT,power_ratio_mean,远端功率比例,lower,0.17383539116903393,0.03297992046533379,120,120,matched_tail_raw_baseline
后期,Greedy,Greedy,power_ratio_mean,远端功率比例,lower,1.0,0.0,120,120,matched_tail_raw_baseline
后期,LB-Greedy,LB-Greedy,power_ratio_mean,远端功率比例,lower,0.18234134680037725,0.03668697280873783,120,120,matched_tail_raw_baseline
后期,Local-Only,Local-Only,power_ratio_mean,远端功率比例,lower,0.0,0.0,120,120,matched_tail_raw_baseline
后期,Random,Random,power_ratio_mean,远端功率比例,lower,0.5996365863984152,0.003849545499073566,120,120,matched_tail_raw_baseline
后期,Static,Static,power_ratio_mean,远端功率比例,lower,1.0,0.0,120,120,matched_tail_raw_baseline
后期,当前算法(MAPPO),MAPPO,power_ratio_mean,远端功率比例,lower,0.43505680444044165,0.014605393350290603,120,120,matched_tail_raw_baseline
中期,CP-EFT,CP-EFT,reward_mean,平均步奖励,higher,-1.008799468576936,0.632660363065676,120,120,matched_tail_raw_baseline
中期,EFT,EFT,reward_mean,平均步奖励,higher,-0.7635756199134497,0.4072790708427612,120,120,matched_tail_raw_baseline
中期,Greedy,Greedy,reward_mean,平均步奖励,higher,-0.007313294125306721,0.014311153241882363,120,120,matched_tail_raw_baseline
中期,LB-Greedy,LB-Greedy,reward_mean,平均步奖励,higher,-1.0634767780229881,0.62741740761292,120,120,matched_tail_raw_baseline
中期,Local-Only,Local-Only,reward_mean,平均步奖励,higher,-0.322794273170654,0.07534396770603069,120,120,matched_tail_raw_baseline
中期,Random,Random,reward_mean,平均步奖励,higher,-1.820602001220095,0.7585207350475281,120,120,matched_tail_raw_baseline
中期,Static,Static,reward_mean,平均步奖励,higher,-0.07355470508485475,0.04557810714658265,120,120,matched_tail_raw_baseline
中期,当前算法(MAPPO),MAPPO,reward_mean,平均步奖励,higher,-0.005753825527585817,0.014587145546831805,120,120,matched_tail_raw_baseline
前期,CP-EFT,CP-EFT,reward_mean,平均步奖励,higher,-1.008799468576936,0.632660363065676,120,120,matched_tail_raw_baseline
前期,EFT,EFT,reward_mean,平均步奖励,higher,-0.7635756199134497,0.4072790708427612,120,120,matched_tail_raw_baseline
前期,Greedy,Greedy,reward_mean,平均步奖励,higher,-0.007313294125306721,0.014311153241882363,120,120,matched_tail_raw_baseline
前期,LB-Greedy,LB-Greedy,reward_mean,平均步奖励,higher,-1.0634767780229881,0.62741740761292,120,120,matched_tail_raw_baseline
前期,Local-Only,Local-Only,reward_mean,平均步奖励,higher,-0.322794273170654,0.07534396770603069,120,120,matched_tail_raw_baseline
前期,Random,Random,reward_mean,平均步奖励,higher,-1.820602001220095,0.7585207350475281,120,120,matched_tail_raw_baseline
前期,Static,Static,reward_mean,平均步奖励,higher,-0.07355470508485475,0.04557810714658265,120,120,matched_tail_raw_baseline
前期,当前算法(MAPPO),MAPPO,reward_mean,平均步奖励,higher,-0.03422223713678247,0.03036622476286896,120,120,matched_tail_raw_baseline
后期,CP-EFT,CP-EFT,reward_mean,平均步奖励,higher,-1.008799468576936,0.632660363065676,120,120,matched_tail_raw_baseline
后期,EFT,EFT,reward_mean,平均步奖励,higher,-0.7635756199134497,0.4072790708427612,120,120,matched_tail_raw_baseline
后期,Greedy,Greedy,reward_mean,平均步奖励,higher,-0.007313294125306721,0.014311153241882363,120,120,matched_tail_raw_baseline
后期,LB-Greedy,LB-Greedy,reward_mean,平均步奖励,higher,-1.0634767780229881,0.62741740761292,120,120,matched_tail_raw_baseline
后期,Local-Only,Local-Only,reward_mean,平均步奖励,higher,-0.322794273170654,0.07534396770603069,120,120,matched_tail_raw_baseline
后期,Random,Random,reward_mean,平均步奖励,higher,-1.820602001220095,0.7585207350475281,120,120,matched_tail_raw_baseline
后期,Static,Static,reward_mean,平均步奖励,higher,-0.07355470508485475,0.04557810714658265,120,120,matched_tail_raw_baseline
