sweep,value,policy,episode,task_success_rate,deadline_miss_rate,mean_cft_est,risk_penalty_mean,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,trust_failure_rate,rho_selected_mean,uncertainty_selected_mean,illegal_action_rate,time_limit_rate
main,0.0,mappo,1,0.9439944053686331,0.04511089962413738,2.669059586605019,1e-06,0.09701162123937564,0.8260864328590282,0.07690194590159605,0.5584817878087002,0.0,0.9818138125511815,0.0803300930928457,0.0,0.014115353629615066
main,0.0,mappo,2,0.9199410231259708,0.13198863221108484,2.692685483360718,1e-06,0.06081870382618,0.8846299807696526,0.054551315404167314,0.5008129054271557,0.0,0.9631773650374452,0.08948165164507524,0.0,0.042253820884810805
main,0.0,mappo,3,0.9190952712875387,0.0709837068455418,2.685793342770106,1e-06,0.07190521942687132,0.8816399460968019,0.04645483447632688,0.5355510146929086,0.0,0.9701515002947992,0.07910312518660148,0.0,0.005956615651744204
main,0.0,mappo,4,0.9536111784274246,0.06971409205279089,2.38370603099429,0.0008097557552416165,0.06899588827888042,0.8308315524966005,0.10017255922451908,0.5547604803856521,0.0,0.9795394854355461,0.0735700462329363,0.0,0.019824718497506964
main,0.0,mappo,5,0.9379055919787331,0.04553866871671808,2.7557327304357075,1e-06,0.0997776218506065,0.8332503108486344,0.06697206730075922,0.4940852542434933,0.0,0.9772253018538504,0.07723605263336586,0.0,0.0
main,0.0,mappo,6,0.9912927577795607,0.005702566551812163,2.5994785499334814,1e-06,0.06884058832722827,0.88847177456672,0.04268763710605169,0.5332417816787998,0.0,0.9661641429792572,0.08137134233070267,0.0,0.021837545696856652
main,0.0,mappo,7,0.9175588276063927,0.06350298980528252,2.601147201886244,0.001198332766072101,0.11057258814720988,0.8685071952860254,0.020920216566764783,0.5088392981028143,0.0,0.9676149855969322,0.06812333453260874,0.0,0.0217489667969293
main,0.0,mappo,8,0.9274111382434088,0.10666909569491867,2.578357000150046,9.934484467173566e-05,0.07786530225980733,0.8174936207851012,0.1046410769550914,0.4670671231777911,0.0,0.9788382624261561,0.08695033074113753,0.0,0.007862118494433065
main,0.0,mappo,9,0.8815426939627717,0.10671398449483821,2.5866402480932176,1e-06,0.08248847670394531,0.7958503350962532,0.12166118819980146,0.4896399128751458,0.0,0.9848553366008488,0.0739690780828543,0.0,0.04699810263305026
main,0.0,mappo,10,0.9343495710635145,0.03251922479442382,2.6190774728987374,0.0015850950970161138,0.05025227705017746,0.8907091948271797,0.05903852812264298,0.5322879380174298,0.0,0.9880293898405127,0.08831381611865936,0.0,0.05634150045912478
main,0.0,mappo,11,0.9221622208123319,0.0657881932694239,2.5415855421316382,1e-06,0.09750416899896497,0.8352177684163042,0.06727806258473058,0.5457695371488656,0.0,0.9759367400018856,0.09535720094462478,0.0,0.0
main,0.0,mappo,12,0.9314415050818988,0.04856781322172195,2.642130513962685,0.0020891519081528477,0.16153169898392014,0.78226550818629,0.056202792829789835,0.516207851126838,0.0,0.9753116988516375,0.07461125264461999,0.0,0.03539863670748053
main,0.0,mappo,13,0.9246973344638028,0.07769714140131863,2.726362056261643,0.001135026037830863,0.09012901342170274,0.8345317964788284,0.075339190099469,0.4983958331016573,0.0,0.9703655234394535,0.08049758092418124,0.0,0.011305963674582142
main,0.0,mappo,14,0.9593970981108745,0.054883392163279594,2.5664262951188634,0.0010833904130470359,0.05853969936229254,0.8296955435068961,0.11176475713081128,0.47293868153682794,0.0,0.9719606686787303,0.0878873477249619,0.0,0.03212942567511479
main,0.0,mappo,15,0.8807031218757136,0.10883961658504866,2.4161956154937667,6.111990275015005e-05,0.06167029309201023,0.889374399638079,0.04895530726991068,0.5523635533926954,0.0,0.9737730174173103,0.08133573271703472,0.0,0.0
main,0.0,mappo,16,0.9472793081252705,0.016029476586729374,2.6036148194495734,0.0015663185138126408,0.13834234506603285,0.7375020595164843,0.12415559541748286,0.4562576788502666,0.0,0.961317225150516,0.0954125072002126,0.0,0.018372528371999645
main,0.0,mappo,17,0.9393544769686277,0.034802436052162745,2.697136985444416,0.001685392208002003,0.08961010320280331,0.8140496643652465,0.09634023243195024,0.5214970912855483,0.0,0.9743393981651254,0.07761042163975028,0.0,0.009395031711012143
main,0.0,mappo,18,0.9622803811600537,0.04876125795840159,2.7222247506029156,1e-06,0.1365325977199787,0.7876282740821129,0.07583912819790836,0.6086700680582336,0.0,0.9562436641365372,0.07673564548916562,0.0,0.027589960198492858
main,0.0,mappo,19,0.9383712322204127,0.05930506564382458,2.6181285148311777,0.0008923493388698774,0.07592205577154458,0.8097808011740538,0.11429714305440164,0.5609925813718188,0.0,0.9835993504971239,0.07437412710603107,0.0,0.0026983323211904903
main,0.0,mappo,20,0.963530914749757,0.02383598234525469,2.6107004660714406,0.0003879505127718967,0.06593810886154919,0.872957786287527,0.061104104850923865,0.5706383932939587,0.0,0.99,0.07525484825505269,0.0,0.01787873492218596
