reward_mean,episode_reward,task_sr,deadline_miss_rate,mean_cft_completed,avg_rsu_queue,avg_power,decision_frac_local,decision_frac_rsu,decision_frac_v2v,subtask_sr,approx_kl,entropy,clip_frac,scenario_group,scenario_label,method,phase,episode_from,episode_to
0.009970051607713635,0.1980848778615795,0.8747,0.12510000000000002,1.6162365540767296,1.2045476191550237,0.484596061005659,0.6968137534502293,0.26740269315703097,0.03578355339273969,0.9675234510549429,0.012663680077819334,1.5719676061762704,0.08701072208587493,Default,默认场景,F-MAPPO,前期,1,500
0.010927032422274302,0.21764143887038268,0.934,0.0659,1.7338485262687269,1.6557010998755695,0.46257829504773973,0.7196382430544099,0.27635190635221873,0.004009850593371359,0.9904560431470443,0.016415496061108124,1.3771688165876599,0.08994792139397725,Default,默认场景,F-MAPPO,中期,501,1000
0.010262941296212325,0.209147387755906,0.913,0.0866,1.7425457715289958,1.6207866451627124,0.46159892372548683,0.6708533982888525,0.30223921608703863,0.02690738562410875,0.9760151431619623,0.01868485165294828,1.3833921782300587,0.08655591596175458,Default,默认场景,F-MAPPO,后期,1001,1500
0.011048500286065925,0.20929540413211986,0.8890999999999999,0.11080000000000001,1.540068409507448,0.8966728616716533,0.4898859940514886,0.7326316062830397,0.2358233395119506,0.0315450542050097,0.9716646941235754,0.012011416551511498,1.4192410325016294,0.0791204236230946,Default,默认场景,TERA-MAPPO,前期,1,500
0.012220635025761975,0.2250604052734965,0.9368,0.0632,1.555459196579864,1.0093059882805384,0.49257464580469157,0.7916752070583633,0.20517184211106146,0.0031529508305751922,0.9904065439338703,0.008603916728882622,1.2864867236812911,0.052664264133262126,Default,默认场景,TERA-MAPPO,中期,501,1000
0.012514830040745387,0.2308586658312736,0.9552999999999999,0.044700000000000004,1.55663306282117,0.8714297290715278,0.4518456569200073,0.7899451891271979,0.2067604772535691,0.0032943336192328677,0.9936594215594768,0.008331814724772223,1.236649434053898,0.05452619289644061,Default,默认场景,TERA-MAPPO,后期,1001,1500
0.010571822894024032,0.2056650094312612,0.877,0.12279999999999999,1.637155106594187,0.7252801691986512,0.48419522751718047,0.8039033249792454,0.17949472128650176,0.016601953734252703,0.9764877143282219,0.011713168206732388,1.2815612920045856,0.07745038927576192,Topology,拓扑-Parallel,F-MAPPO,前期,1,500
0.010687020332552442,0.21181887468523436,0.911,0.0887,1.6863016759586664,1.2580077842995225,0.49780512892376844,0.7232935129813776,0.2689005673844003,0.0078059196342219975,0.9845725484375858,0.01291654977497572,1.434481893634796,0.08329412534143775,Topology,拓扑-Parallel,F-MAPPO,中期,501,1000
0.011033404348418067,0.2218540654584883,0.9347,0.065,1.6889675119602763,1.1024638095540866,0.4308449991555797,0.756586133172329,0.23884300015918877,0.004570866668482255,0.9910582057405911,0.014061912316739669,1.3405103389978408,0.08420077021916707,Topology,拓扑-Parallel,F-MAPPO,后期,1001,1500
0.010361088882666031,0.1972628756441347,0.9188999999999999,0.081,1.4886094406392052,4.5864870396517174,0.4568594615110336,0.36084153667927304,0.606780654847359,0.032377808473368026,0.9758401125525595,0.010381300908128669,1.3275409099737803,0.07209635843199988,Topology,拓扑-Parallel,TERA-MAPPO,前期,1,500
