baseline,metric_id,metric_cn,direction,n_total,n_effective,wins,losses,ties,win_rate,p_value_sign_test,mean_oriented_diff,median_oriented_diff
LB-Greedy,rho_selected_p10,远端信誉分位数(p10),higher,1000,788,503,285,212,0.6383248730964467,7.269405162660531e-15,0.0412416149392724,0.0026761889457702
Local-Only,rho_selected_p10,远端信誉分位数(p10),higher,1000,1000,1000,0,0,1.0,1.8665272370065654e-301,0.5373455438032746,0.5
Random,rho_selected_p10,远端信誉分位数(p10),higher,1000,788,503,285,212,0.6383248730964467,7.269405162660531e-15,0.0408699736014008,0.0027678608894348
Static,rho_selected_p10,远端信誉分位数(p10),higher,1000,900,174,726,100,0.1933333333333333,8.756144339211345e-81,-0.1209889891430735,-0.1349423944950104
CP-EFT,task_success_rate,任务成功率,higher,1000,969,800,169,31,0.8255933952528379,9.929274490744025e-99,29.92,40.0
EFT,task_success_rate,任务成功率,higher,1000,974,854,120,26,0.8767967145790554,4.391366049236925e-137,43.345,55.0
Greedy,task_success_rate,任务成功率,higher,1000,948,495,453,52,0.5221518987341772,0.1829559902161305,-10.4,0.0
LB-Greedy,task_success_rate,任务成功率,higher,1000,986,877,109,14,0.8894523326572008,1.0537516300936013e-149,48.2,60.0
Local-Only,task_success_rate,任务成功率,higher,1000,969,684,285,31,0.7058823529411765,1.671389085933203e-38,7.025,20.0
Random,task_success_rate,任务成功率,higher,1000,957,957,0,43,1.0,1.6418147205193148e-288,72.75,85.0
Static,task_success_rate,任务成功率,higher,1000,830,231,599,170,0.2783132530120482,2.0313929759868406e-38,-19.045,-10.0
CP-EFT,trust_failure_rate,信誉失败率,lower,1000,1000,787,213,0,0.787,6.593615541268077e-78,0.0944734857002912,0.1115197683203223
EFT,trust_failure_rate,信誉失败率,lower,1000,1000,377,623,0,0.377,6.886984125175269e-15,-0.0450934958261406,-0.0343014778397286
Greedy,trust_failure_rate,信誉失败率,lower,1000,1000,729,271,0,0.729,4.588356871913981e-49,0.0724157139507723,0.0887179101222904
LB-Greedy,trust_failure_rate,信誉失败率,lower,1000,1000,235,765,0,0.235,5.024988146821802e-66,-0.0797602604497233,-0.0672994140613348
Local-Only,trust_failure_rate,信誉失败率,lower,1000,1000,0,1000,0,0.0,1.8665272370065654e-301,-0.2262194794754317,-0.212682751884748
Random,trust_failure_rate,信誉失败率,lower,1000,1000,648,352,0,0.648,5.5723127879982766e-21,0.0336106554618395,0.0477009284575074
Static,trust_failure_rate,信誉失败率,lower,1000,1000,369,631,0,0.369,1.0334008406552537e-16,-0.0458641715583412,-0.0375933068284596
