,reward_mean,reward_mean,reward_mean,task_sr,task_sr,task_sr,subtask_sr,subtask_sr,subtask_sr,deadline_miss_rate,deadline_miss_rate,deadline_miss_rate,time_limit_rate,time_limit_rate,time_limit_rate,mean_cft_est,mean_cft_est,mean_cft_est,ratio_local,ratio_local,ratio_local,ratio_rsu,ratio_rsu,ratio_rsu,ratio_v2v,ratio_v2v,ratio_v2v,trust_failure_rate,trust_failure_rate,trust_failure_rate,rho_selected_p10,rho_selected_p10,rho_selected_p10,uncertainty_selected_p90,uncertainty_selected_p90,uncertainty_selected_p90,I_total_p95,I_total_p95,I_total_p95,power_ratio_mean,power_ratio_mean,power_ratio_mean,avg_power,avg_power,avg_power
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP-EFT,-3.354438213883265,1.5988076571699616,120,0.26916666666666667,0.13271301781678843,120,0.5944817602512347,0.10928979342933716,120,0.7308333333333333,0.13271301781678846,120,0.875,0.33210558207753577,120,22.570087851842246,2.228554026001261,120,0.9386758858682595,0.018309541190865437,120,0.036723779704853854,0.011023315983925355,120,0.024600334426886663,0.00790008103922809,120,0.21445430351883632,0.07566754354951932,120,0.4622001390904188,0.06709564715769668,120,0.49861111119389534,0.015214514579398822,120,6.1983625109252755e-06,3.244315845170653e-05,120,0.1466123007318888,0.03486835029891495,120,0.008889116198379437,0.003117681362813394,120
EFT,-2.992285538378478,1.349461998770798,120,0.2504166666666667,0.10971617955444134,120,0.5733468287474106,0.10251122504301906,120,0.7495833333333334,0.10971617955444132,120,0.9166666666666666,0.2775442529128102,120,23.68301264293989,1.7745337186370578,120,0.9289041049641182,0.01504519216496729,120,0.04242605802728896,0.009473217237898948,120,0.02866983700859281,0.006825401064177073,120,0.2236689113631403,0.07800274893113555,120,0.45881829857826234,0.0658638476221873,120,0.5,0.0,120,5.193332748030034e-06,3.1260858763112564e-05,120,0.166523135526299,0.03578483912474256,120,0.01168578372077448,0.0029902964920367897,120
Greedy,-0.008400106430147858,0.014577576957352997,120,0.6958333333333333,0.20980015834735927,120,0.9094121799833522,0.10504804920860265,120,0.30416666666666664,0.20980015834735932,120,0.0,0.0,120,12.946485356171907,1.941929491074051,120,0.0,0.0,120,1.0,0.0,120,0.0,0.0,120,0.2447519680103901,0.13038508978553534,120,0.5659123157461484,0.15345639752523185,120,0.14635905226071674,0.035233776032258635,120,0.0,0.0,120,1.0,0.0,120,1.0,0.0,120
LB-Greedy,-3.0963557449716714,1.45562421053444,120,0.2125,0.10416736694442484,120,0.5160434650032475,0.10521371754296474,120,0.7875,0.10416736694442484,120,0.925,0.264495714886418,120,23.732529706557596,1.6526173649400935,120,0.9315190616774284,0.0146675613623156,120,0.03861780059973983,0.009282367396501175,120,0.029863137722831844,0.0065020369777163975,120,0.21698471995107882,0.06966642560555032,120,0.4675327405333519,0.06229216437646947,120,0.5,0.0,120,1.2277986421259478e-05,4.70623648591026e-05,120,0.18457589399587285,0.038358414098661295,120,0.012418913004404753,0.0028866996618807854,120
Local-Only,-0.32279427317065407,0.07534396770603069,120,0.7104166666666667,0.0995569667871332,120,0.9232782643962503,0.03079670385237655,120,0.28958333333333336,0.09955696678713319,120,0.0,0.0,120,15.589244191726026,1.616230817166182,120,1.0,0.0,120,0.0,0.0,120,0.0,0.0,120,0.0,0.0,120,0.0,0.0,120,0.0,0.0,120,0.0,0.0,120,0.0,0.0,120,1.0,0.0,120
Random,-7.597087666163273,2.280038395777859,120,0.0,0.0,120,0.11342786557729038,0.032201497377600655,120,1.0,0.0,120,1.0,0.0,120,25.53347256978353,0.6575999728014328,120,0.07602916666666666,0.006717450569737211,120,0.11929791666666666,0.007230834987388799,120,0.8046729166666666,0.012112948651547,120,0.21733445781059407,0.06804593731878385,120,0.4706297516822815,0.05792213848518259,120,0.5,0.0,120,3.648724261571582e-05,5.822972799134673e-05,120,0.5996440100058577,0.00384579482183244,120,0.6300825461082907,0.004466636369101853,120
Static,-0.07178190204141394,0.0438538851476292,120,0.6829166666666667,0.20015706367764302,120,0.9157718466316632,0.08458747693998604,120,0.31708333333333333,0.20015706367764297,120,0.0,0.0,120,13.999244620561578,1.8377405123852404,120,0.24792720577872004,0.07518584317345108,120,0.75207279422128,0.07518584317345108,120,0.0,0.0,120,0.23138528569071895,0.12772135217252045,120,0.5972320732971033,0.1538116948157818,120,0.1582703166330854,0.04509535390141576,120,0.0,0.0,120,1.0,0.0,120,1.0,0.0,120
