policy,metric,direction,oriented_diff_mean,win_rate_pair,boot95_lo,boot95_hi
CP-EFT,task_success_rate,higher,0.5562499999999999,0.9713194444444444,0.5153958333333333,0.5979166666666667
CP-EFT,deadline_miss_rate,lower,0.5562499999999999,0.9713194444444444,0.51375,0.5987499999999999
CP-EFT,mean_cft_est,lower,11.206680157264094,0.99625,10.63333226805133,11.71098707550965
CP-EFT,reward_mean,higher,3.3493802839696154,1.0,3.065269646676116,3.632555413369438
EFT,task_success_rate,higher,0.575,0.9813888888888889,0.5349895833333332,0.6145833333333333
EFT,deadline_miss_rate,lower,0.575,0.9813888888888889,0.5337395833333333,0.6116770833333333
EFT,mean_cft_est,lower,12.319604948361738,1.0,11.84207945399882,12.786939406901617
EFT,reward_mean,higher,2.987227608464829,1.0,2.7502789077564214,3.2361254114914524
Greedy,task_success_rate,higher,0.12958333333333327,0.6616666666666666,0.07623958333333326,0.18083333333333307
Greedy,deadline_miss_rate,lower,0.12958333333333327,0.6616666666666666,0.07581250000000003,0.18166666666666664
Greedy,mean_cft_est,lower,1.5830776615937552,0.715625,1.0930061478515452,2.079294410775107
Greedy,reward_mean,higher,0.0033421765164986794,0.5674305555555555,-0.0008001035109686606,0.00760000341102049
LB-Greedy,task_success_rate,higher,0.6129166666666666,0.9870138888888889,0.5741562499999998,0.6520833333333332
LB-Greedy,deadline_miss_rate,lower,0.6129166666666666,0.9870138888888889,0.5737395833333333,0.6529166666666666
LB-Greedy,mean_cft_est,lower,12.36912201197944,1.0,11.909544565639912,12.797890454039992
LB-Greedy,reward_mean,higher,3.0912978150580224,1.0,2.8444274523535675,3.3544019096269473
Local-Only,task_success_rate,higher,0.11499999999999988,0.7141666666666666,0.07374999999999998,0.1550104166666665
Local-Only,deadline_miss_rate,lower,0.11499999999999999,0.7141666666666666,0.07208333333333333,0.15583333333333335
Local-Only,mean_cft_est,lower,4.225836497147876,0.9383333333333334,3.758724923974269,4.669579550224533
Local-Only,reward_mean,higher,0.3177363432570049,1.0,0.30383086879016513,0.33195472155218564
Random,task_success_rate,higher,0.8254166666666666,1.0,0.7899999999999999,0.86
Random,deadline_miss_rate,lower,0.8254166666666667,1.0,0.79040625,0.8612604166666666
Random,mean_cft_est,lower,14.170064875205378,1.0,13.773353175338128,14.522865727581596
Random,reward_mean,higher,7.592029736249624,1.0,7.176767928344023,7.997419535221523
Static,task_success_rate,higher,0.14249999999999985,0.6884722222222223,0.09249999999999992,0.19376041666666668
Static,deadline_miss_rate,lower,0.14249999999999996,0.6884722222222223,0.09207291666666668,0.1900104166666666
Static,mean_cft_est,lower,2.6358369259834245,0.8249305555555555,2.1615204198479607,3.128920489960904
Static,reward_mean,higher,0.06672397212776475,0.9497916666666667,0.05812419010855371,0.07509939860133105
