policy,rl120_task_success_rate,baseline_task_sr,gap_rl_minus_baseline_task_success_rate,rl120_deadline_miss_rate,baseline_deadline_miss_rate,gap_rl_minus_baseline_deadline_miss_rate,rl120_mean_cft_est,baseline_mean_cft_est,gap_rl_minus_baseline_mean_cft_est,rl120_reward_mean,baseline_reward_mean,gap_rl_minus_baseline_reward_mean
CP-EFT,0.8254166666666666,0.26916666666666667,0.5562499999999999,0.17458333333333337,0.7308333333333333,-0.5562499999999999,11.363407694578152,22.570087851842246,-11.206680157264094,-0.005057929913649178,-3.3544382138832645,3.3493802839696154
EFT,0.8254166666666666,0.2504166666666667,0.575,0.17458333333333337,0.7495833333333333,-0.575,11.363407694578152,23.68301264293989,-12.319604948361738,-0.005057929913649178,-2.992285538378478,2.987227608464829
Greedy,0.8254166666666666,0.6958333333333333,0.12958333333333327,0.17458333333333337,0.30416666666666664,-0.12958333333333327,11.363407694578152,12.946485356171907,-1.5830776615937552,-0.005057929913649178,-0.008400106430147858,0.0033421765164986794
LB-Greedy,0.8254166666666666,0.2125,0.6129166666666666,0.17458333333333337,0.7875,-0.6129166666666666,11.363407694578152,23.732529706557592,-12.36912201197944,-0.005057929913649178,-3.0963557449716714,3.0912978150580224
Local-Only,0.8254166666666666,0.7104166666666667,0.11499999999999988,0.17458333333333337,0.28958333333333336,-0.11499999999999999,11.363407694578152,15.589244191726028,-4.225836497147876,-0.005057929913649178,-0.32279427317065407,0.3177363432570049
Random,0.8254166666666666,0.0,0.8254166666666666,0.17458333333333337,1.0,-0.8254166666666667,11.363407694578152,25.53347256978353,-14.170064875205378,-0.005057929913649178,-7.597087666163273,7.592029736249624
Static,0.8254166666666666,0.6829166666666667,0.14249999999999985,0.17458333333333337,0.31708333333333333,-0.14249999999999996,11.363407694578152,13.999244620561576,-2.6358369259834245,-0.005057929913649178,-0.07178190204141392,0.06672397212776475
