window,n,reward_mean,task_success_rate,subtask_success_rate,deadline_miss_rate,time_limit_rate,mean_cft_est,decision_frac_local,decision_frac_rsu,decision_frac_v2v,no_task_rate,illegal_action_rate,unified_illegal_trigger_rate,abs_ratio_r_time,abs_ratio_r_energy,abs_ratio_r_interf,abs_ratio_r_risk,abs_ratio_r_term,I_total_p95,I_caused_mean,trust_failure_rate,rho_selected_p10,uncertainty_selected_p90,power_ratio_mean,avg_power,avail_V,neighbor_count_mean,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu
全程,1000,-0.7795605748732387,0.7274999999999999,0.8926983555965619,0.2725,0.193,13.740548273859009,0.030609109851608866,0.8944506101069014,0.0749402800414897,0.7899704089145587,0.0,0.0,0.03516897542533887,0.07567651957364435,0.21877431078018678,0.3543169747456859,0.31089338262898325,1.8427995170578106e-06,5.462195407085844e-07,0.22621947947543175,0.5373455438032746,0.24181643989980225,0.45877505975637767,0.45876396264933283,0.6090018981804142,11.57103606542787,0.34302205345289943,-0.013413074036314584
末300,300,-0.00527936975578389,0.8375000000000001,0.9676943973778471,0.1625,0.0,11.38888203538257,0.00022734191430230302,0.9983320442926716,0.0014406137930258888,0.7575685291248823,0.0,0.0,0.048595360962966974,0.024191928481833862,0.0,0.4898160898786741,0.42986781072679825,0.0,0.0,0.22958759334133633,0.5633550999214253,0.14982453451553987,0.44583052708430454,0.44582911028831557,0.6098685539653921,11.587502525342451,0.4385692098844122,-0.08943977754300603
末200,200,-0.004975937632843849,0.83875,0.9671667075543918,0.16125,0.0,11.336349304199198,0.00020853337671040203,0.9987203847292315,0.0010710818940581944,0.7562281416531872,0.0,0.0,0.0484287018797776,0.019765669856318595,0.0,0.4873239526033174,0.43696748166142063,0.0,0.0,0.2282800982156106,0.5656667736619712,0.1491790619157255,0.43836838874951456,0.4383613636080469,0.60977767114038,11.585775751667223,0.44478819534917863,-0.09182579440002726
末120,120,-0.005057929913649178,0.8254166666666666,0.9628871603999697,0.17458333333333337,0.0,11.363407694578152,0.00025648756058735503,0.9987645445742478,0.0009789678651648049,0.7570893430672444,0.0,0.0,0.04816913536745934,0.021096290686542226,0.0,0.48367550444783647,0.4391881735380176,0.0,0.0,0.22637554287523537,0.5615665761381389,0.14973566355804604,0.43505680444044165,0.43505314144170104,0.6123020944485033,11.633739794521565,0.4536242595960614,-0.09522179534251578
末100,100,-0.005324480568815487,0.8205,0.9618808696014802,0.17950000000000002,0.0,11.33592985239027,0.0002538411985061,0.9986327685858077,0.0011133902156861921,0.7562859556917679,0.0,0.0,0.04822705206336255,0.0212275469157283,0.0,0.4852061141163739,0.43737531197209145,0.0,0.0,0.22703308514660234,0.5621523012220859,0.14849910157918936,0.4353003403801614,0.43530017784029523,0.6143026586219071,11.671750513816237,0.4585462433817147,-0.09806925294153786
末50,50,-0.006570863226079376,0.7980000000000002,0.9549415527240095,0.20200000000000004,0.0,11.451855926513659,0.000129462642269048,0.9987462735298953,0.001124263827835712,0.7567290327399925,0.0,0.0,0.047804128556730774,0.0190384535407462,0.0,0.49837379214321126,0.4266475592717216,0.0,0.0,0.23620753978211378,0.5480083706974984,0.1454855734407902,0.44869503125283394,0.44869613484181026,0.6182698990062416,11.747128081118593,0.4629464518214474,-0.10004672032458116
