episode,steps,elapsed_sec,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,reward_step_p95,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,active_ratio,active_samples,total_samples,adv_mean,adv_std,value_target_mean,value_target_std,value_pred_mean,value_pred_std,value_clip_fraction,skipped_update_count,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,t_L,t_R,t_V,t_a,t_alt,A_t,r_lat,cp_rem,f_max,d_cp_lb,rate_best,comm_lb,queue_lb,lb,phi,delta_phi,r_shape,overtime_ratio,r_timeout,e_tx,r_energy,r_power,avg_power,avg_rsu_queue,rsu_queue_p95,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used,r_total_mean,reward.abs_mean,reward.p95,r_step_mean,r_step.abs_mean,r_step.p95,r_term_mean,r_term_abs_mean,r_term.p95,r_pbrs_mean,r_pbrs_abs_mean,r_pbrs.p95,r_energy_mean,r_energy_abs_mean,r_energy.p95,energy_norm.mean,energy_norm.abs_mean,energy_norm.p95,r_risk_mean,r_risk_abs_mean,r_risk.p95,task_duration_mean,task_duration_p95,chain_tx_total,chain_p95_mean,chain_risk_cost_total,unified_nonfinite_count,unified_consistency_mismatch_count,unified_illegal_trigger_count,abs_ratio_r_energy,abs_ratio_r_risk,abs_ratio_r_pbrs,abs_ratio_r_term
1,200,24.94642543792725,42,False,True,time_limit,1.0,20.000000000000018,24.815689945220942,6.199999999999994,20,True,,,,20,20,415,-2.365428686141968,-2.1072328090667725,-2.0100847840309144,-4.984337329864502,-0.4049398601055145,2.365428686141968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119946844112046,1.0361153497520168,0.0,0.0,24.815689945220942,,,4.815689945220932,0.05,0.05,0.3349397590361446,0.95,0.0,0.0,0.2132701421800948,0.2559241706161137,0.5308056872037915,0.2132701421800948,0.2559241706161137,0.5308056872037915,,,1.8581589460372925,0.0046170509109894,0.0518518524865309,-0.0767941748102506,12.713287353515623,6.276132901509603,1.3194121917088826,1.8581589460372925,-1.8581589460372925,0.05275,211,4000,-39.283573150634766,33.19480514526367,-36.89923858642578,11.12070083618164,-0.1400521732866764,0.0510878687103589,0.0,0,1.0,1.0,0.8430937500000003,6.7447500000000025,28765197.639835153,1.0,0.0,0.3026932939438385,0.1716129546792527,0.4743062486230912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0704815607004836,0.0,0.4922396188229322,0.405,3.0,True,-1.0,4.815689945220932,0.0,-2.4909001661402743,2.4909001661402743,-1.9905617767381079,-1438571.6292163176,1438571.6292163176,-2.0013685838866584,0.00020183536814059912,0.0002320901420210438,0.0,0.0035648290311348064,0.0035997954490955856,0.010874304072589838,-0.07357865140829427,0.07357865140829427,-0.0,0.12432543026141164,0.12432543026141164,1.1029571533203124,-0.0051982948474092955,0.0051982948474092955,0.0,9.399999999999983,9.399999999999983,153,0.0,0.0,0,0,3816,0.8906874696488821,0.06292662335485368,0.043576399382702934,0.002809507613561267
2,200,23.493900299072266,42,False,True,time_limit,1.0,20.000000000000018,24.45412826538086,0.0,20,True,,,,20,20,420,-3.235783576965332,-2.2999132871627808,-1.7880199611186982,-7.286937236785889,-0.78928142786026,3.235783576965332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1634645239456386,1.208090320655314,0.0,0.0,24.45412826538086,,,4.454128265380845,0.0,0.0,0.4523809523809524,1.0,0.0,0.0,0.2244094488188976,0.2992125984251969,0.4763779527559055,0.2244094488188976,0.2992125984251969,0.4763779527559055,,,1.7107820510864258,0.0589066669344902,0.095238097012043,0.0119897639378905,4.114923000335693,2.0660300254821777,0.7992953658103943,1.7107820510864258,-1.7107820510864258,0.0635,254,4000,-55.36191177368164,48.14832305908203,-54.928001403808594,30.853778839111328,-0.4701932370662689,0.0432905852794647,0.0,0,1.0,1.0,0.709093749999999,5.672749999999992,29747878.27488293,1.0,0.0,0.2721667134448606,0.1736642393446953,0.445830952789556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1044404223248974,0.0,0.4977186213031527,0.79,5.0,True,-1.0,4.454128265380845,0.0,-2.9456286571486463,2.9456286571486463,-1.9895295402408535,-70.02644449826222,70.02644449826222,-2.001523520447759,-1.889613902685933e-05,1.889613902685933e-05,0.0,0.00422414060192792,0.004467861937147345,0.01148959509904414,-0.09522584217211753,0.09522584217211753,-0.0,0.13081116756402633,0.13081116756402633,0.17851956685384116,-0.005949331630016153,0.005949331630016153,0.0,0.0,0.0,158,0.0,0.0,0,0,7639,0.9012313184069951,0.05630534596762881,0.042284499797836696,0.0001788358275393094
3,200,23.37796425819397,42,False,True,time_limit,1.0,20.000000000000018,23.138501167297363,8.399999999999986,20,True,,,,20,20,421,-3.3857436180114746,-3.180297017097473,-1.8211554944515231,-6.843242168426514,-0.3800972998142242,3.3857436180114746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1721883449432029,1.084356252683954,0.0,0.0,23.138501167297363,,,3.138501167297349,0.15,0.15,0.4726840855106888,0.85,0.0,0.0,0.2093862815884476,0.335740072202166,0.4548736462093863,0.2093862815884476,0.335740072202166,0.4548736462093863,,,1.6927420496940613,-0.0177845694124698,0.119944698177278,-0.1128774639219045,2.3544638007879257,1.0609688758850098,1.1624150574207306,1.6927420496940613,-1.6927420496940613,0.06925,277,4000,-56.50302505493164,58.50262451171875,-50.52368879318237,46.22342562675476,-0.9860009178519248,0.0888912919908762,0.0,0,1.0,1.0,0.7850937499999986,6.280749999999989,29722059.850682102,1.0,0.0,0.2179736109401015,0.1699828458603744,0.387956456800476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1050997191988667,0.0,0.497175508393324,0.85,4.049999999999983,True,-1.0,3.138501167297349,0.0,-2.3875563984204033,2.388892568075347,-0.4349678651962443,-67.46719753296448,67.46719753296448,-0.4350375187251477,0.00387882577319166,0.003899081728680964,0.0,0.0015157800686767216,0.0016342966868793348,0.008848597521619586,-0.23852323911477297,0.23852323911477297,-0.0,0.3001474079140544,0.3001474079140544,2.6157877604166666,-0.011429350684619652,0.011429350684619652,0.0,9.069999999999986,11.239999999999975,361,0.0,0.0,0,0,10664,0.9336060245551006,0.04473572761930932,0.006396815834145227,0.015261431991444929
4,200,24.002520084381104,42,False,True,time_limit,1.0,20.000000000000018,23.96492624282837,8.099999999999987,20,True,,,,20,20,428,-3.218825101852417,-3.165030598640442,-1.9929416596889504,-5.971683979034424,-0.2588039040565491,3.218825101852417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1363446118123012,1.1385524818069352,0.0,0.0,23.96492624282837,,,3.964926242828355,0.05,0.05,0.455607476635514,0.95,0.0,0.0,0.1863117870722433,0.3041825095057034,0.5095057034220533,0.1863117870722433,0.3041825095057034,0.5095057034220533,,,1.9530662298202517,0.022801399230957,0.1739130467176437,0.0658970177173614,2.8346405029296875,1.479311227798462,1.36642324924469,1.9530662298202517,-1.9530662298202517,0.06575,263,4000,-52.00266647338867,47.04521560668945,-57.046112060546875,41.02238845825195,-1.5222848653793335,0.2147759199142456,0.0,0,1.0,1.0,0.8002499999999992,6.401999999999994,29292577.03333794,1.0,0.0,0.2495135338790367,0.1675903133617295,0.4171038472407663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0783608649022169,0.0,0.4978475256427191,0.7,4.0,True,-1.0,3.964926242828355,0.0,-2.1238184005714524,2.1270029193667916,-0.5097939298824591,-2.1393417623049027,2.1393417623049027,-0.5098157130646618,0.015263887563160626,0.015281715594851614,0.0,0.0002594741702650037,0.0002594741702650037,0.0010384737205930785,-0.48079733079712333,0.48079733079712333,-0.0,0.7386720483567947,0.7386720483567947,2.960441080729167,0.0,0.0,0.0,7.823529411764694,11.059999999999976,0,0.0,0.0,0,0,9336,0.9686883263714613,0.0,0.0005227766121619532,0.03078889701637678
5,200,24.263214111328125,42,False,True,time_limit,1.0,20.000000000000018,24.587621688842773,0.0,20,True,,,,20,20,414,-2.901033401489258,-2.0645188093185425,-1.9173892676830293,-5.968571186065674,-0.4002539217472076,2.901033401489258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1375442830386428,1.35064398132893,0.0,0.0,24.587621688842773,,,4.587621688842759,0.0,0.0,0.3743961352657005,1.0,0.0,0.0,0.1592920353982301,0.3053097345132743,0.5353982300884956,0.1592920353982301,0.3053097345132743,0.5353982300884956,,,1.9433669567108152,-0.0032127603888511,0.0632692322134971,0.1105520602315664,4.156071043014526,2.1847008943557737,1.6877218723297118,1.9433669567108152,-1.9433669567108152,0.0565,226,4000,-49.9132194519043,46.9627685546875,-56.41768798828125,37.78855934143066,-1.981726622581482,0.2873876899480819,0.0,0,1.0,1.0,0.813124999999999,6.504999999999992,27109894.883106824,1.0,0.0,0.3717027966746007,0.1622393272930594,0.5339421239676603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.087678514857598,0.0,0.5018912829612382,0.6,4.0,True,-1.0,4.587621688842759,0.0,-2.349110342094024,2.349110342094024,-1.9888992505748777,-2.402669731106834,2.402669731106834,-2.00144661007733,-1.705630667329654e-05,1.705630667329654e-05,0.0,0.004106804994183139,0.004133853309927026,0.01271598887415635,-0.08622839919206787,0.08622839919206787,-0.0,0.13393596778323624,0.13393596778323624,1.0276621500651042,-0.005683189428075983,0.005683189428075983,0.0,0.0,0.0,172,0.0,0.0,0,0,19069,0.8976281147671138,0.05916137444260373,0.043032956521068436,0.00017755426921400275
6,200,25.149786233901978,42,False,True,time_limit,1.0,20.000000000000018,23.54632568359375,0.0,20,True,,,,20,20,409,-3.2973132133483887,-3.149773359298706,-2.2135794281959544,-9.968242645263672,-0.442533940076828,3.2973132133483887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1340792719530931,1.1367875621146024,0.0,0.0,23.54632568359375,,,3.546325683593736,0.0,0.0,0.3447432762836185,1.0,0.0,0.0,0.1705069124423963,0.2949308755760368,0.5345622119815668,0.1705069124423963,0.2949308755760368,0.5345622119815668,,,1.9834762573242188,-0.0048278520815074,0.0619607865810394,0.307235124707222,3.648875379562378,2.127705693244934,1.8930956363677975,1.9834762573242188,-1.9834762573242188,0.05425,217,4000,-61.749359130859375,40.93118667602539,-75.09397354125977,44.585680389404295,-2.9643129825592043,0.552753871679306,0.0,0,1.0,1.0,0.9096562499999998,7.277249999999999,31733512.055984493,1.0,0.0,0.2396279236396526,0.1734121827183852,0.4130401063580378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.084579670550278,0.0,0.5020839370666071,0.62,5.0,True,-1.0,3.546325683593736,0.0,-2.34470365178137,2.349355137348885,-1.389117450254749,-12761901.151467446,12761901.151467446,-1.3892024645412242,0.004377421485753363,0.004398920597891486,0.0,0.002679683106638491,0.0026833385514029124,0.011675908057965527,-0.14143696446860482,0.14143696446860482,-0.0,0.18144089835873195,0.18144089835873195,1.9173583984375,-0.005525266878600737,0.005525266878600737,0.0,6.599999999999992,9.349999999999984,266,0.0,0.0,0,0,21570,0.9181565923762681,0.03586799411515647,0.017419243899955517,0.02855616960861988
7,200,24.467381477355957,42,False,True,time_limit,1.0,20.000000000000018,23.41441535949707,0.0,20,True,,,,20,20,425,-4.075727462768555,-4.326512813568115,-1.8709834039211273,-7.701621055603027,-0.6675894260406494,4.075727462768555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1427238240856644,1.1023662989036305,0.0,0.0,23.41441535949707,,,3.414415359497056,0.0,0.0,0.428235294117647,1.0,0.0,0.0,0.1705426356589147,0.3488372093023256,0.4806201550387597,0.1705426356589147,0.3488372093023256,0.4806201550387597,,,1.9962663650512695,0.0608270168304443,0.0,0.2563535571098327,2.8453052043914795,1.675013303756714,1.6828184127807615,1.9962663650512695,-1.9962663650512695,0.0645,258,4000,-36.77170944213867,23.4344425201416,-47.33048248291016,32.17182922363281,-3.778994083404541,0.5974903702735901,0.0,0,1.0,1.0,0.9233124999999992,7.386499999999995,35727158.41676284,1.0,0.0,0.2742494354271431,0.1703522033551688,0.4446016387823122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0837984801934836,0.0,0.5019396248827689,0.765,4.0,True,-1.0,3.414415359497056,0.0,-3.634338205041569,3.634338205041569,-1.9910820377312533,-117.77807560088712,117.77807560088712,-2.001474190025518,-1.3305497132519961e-05,1.3305497132519961e-05,0.0,0.0034382984258301175,0.0034478584299293233,0.010757024099615382,-0.09000839191760089,0.09000839191760089,-0.0,0.131233358070505,0.131233358070505,1.1176576301762964,-0.005529701561071435,0.005529701561071435,0.0,0.0,0.0,187,0.0,0.0,0,0,26667,0.9091824956697855,0.055855990297066074,0.03482711406408608,0.000134399969062286
8,200,24.65790295600891,42,False,True,time_limit,1.0,20.000000000000018,24.299694061279297,0.0,20,True,,,,20,20,432,-3.6298210620880127,-3.629385471343994,-2.11852445602417,-7.472725868225098,-0.8603025078773499,3.6298210620880127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1283006508629346,0.7549468821282688,0.0,0.0,24.299694061279297,,,4.299694061279283,0.0,0.0,0.3796296296296296,1.0,0.0,0.0,0.1491228070175438,0.3684210526315789,0.4824561403508772,0.1491228070175438,0.3684210526315789,0.4824561403508772,,,1.8458329836527507,0.0178652250518401,0.0537037042280038,0.1189401845137278,3.075245459874471,1.6528713305791218,1.5453073581059773,1.8458329836527507,-1.8458329836527507,0.057,228,4000,-51.862335205078125,41.54049301147461,-61.57603200276693,43.30035781860352,-4.559478123982747,0.3435688018798828,0.0,0,1.0,1.0,0.7607812500000003,6.086250000000002,31254464.43841013,1.0,0.0,0.2389673225484802,0.1658721466400664,0.4048394691885464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0914471925187779,0.0,0.4982508271101396,0.81,5.0,True,-1.0,4.299694061279283,0.0,-2.0506363364066256,2.0515619214146903,-0.3734736667160227,-12764528.773541365,12764528.773541365,-0.3735844210203625,0.0020948365670970786,0.0021243991215564133,0.0,0.0026688559614985925,0.002903222645848248,0.009723534937942204,-0.09571961116589933,0.09571961116589933,-0.0,0.14065300426735283,0.14065300426735283,1.6076416015625,-0.006930456473963968,0.006930456473963968,0.0,7.149999999999991,7.869999999999988,270,0.0,0.0,0,0,28934,0.8889456273886065,0.06436297539549711,0.02696215587304651,0.01972924134284982
9,200,23.570188283920288,42,False,True,time_limit,1.0,20.000000000000018,23.45160436630249,8.366666666666653,20,True,,,,20,20,410,-3.2925004959106445,-3.1231435537338257,-2.0006481170654298,-13.639172554016112,-0.8201791644096375,3.2925004959106445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1327959851551152,0.8053310976151143,0.0,0.0,23.45160436630249,,,3.451604366302476,0.15,0.15,0.4,0.85,0.0,0.0,0.1572052401746725,0.3406113537117904,0.5021834061135371,0.1572052401746725,0.3406113537117904,0.5021834061135371,,,1.870018780231476,0.0271867308765649,0.0333333350718021,-0.1746027916669845,5.662373065948486,2.6528435945510864,3.2265214920043945,1.870018780231476,-1.870018780231476,0.05725,229,4000,-65.92379760742188,52.86577606201172,-60.862300872802734,30.46332311630249,-5.358350515365601,0.4946208074688911,0.0,0,1.0,0.9977499999999996,0.8036250000000007,6.429000000000006,28796783.76784907,1.0,0.0,0.2195223788721278,0.1713892675738783,0.3909116464460066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0881200613600421,0.0,0.5057201979691163,0.76,5.0,True,-1.0,3.451604366302476,0.0,-2.4514974698966383,2.454286268195745,-0.2739827735852901,-42468884.679216936,42468884.679216936,-0.27405702584521646,0.0025699419033263443,0.002591768175056111,0.0,0.0024618287842762434,0.002462478276724473,0.010047318359172143,-0.13937093129128963,0.13937093129128963,-0.0,0.18817216854256702,0.18817216854256702,2.159527587890625,-0.01143363381742053,0.01143363381742053,0.0,6.66666666666666,7.25999999999999,320,0.0,0.0,0,0,32577,0.8942127165983045,0.07335891826034485,0.015799416485148515,0.01662894865620231
10,200,23.641941785812374,42,False,True,time_limit,1.0,20.000000000000018,23.530036449432373,9.599999999999982,20,True,,,,20,20,401,-2.42896032333374,-2.248270034790039,-2.0245225787162786,-6.928295135498047,-0.9484853744506836,2.42896032333374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1286461238506317,0.8148101726275788,0.0,0.0,23.530036449432373,,,3.530036449432359,0.05,0.05,0.3541147132169576,0.95,0.0,0.0,0.1601731601731601,0.3506493506493506,0.4891774891774891,0.1601731601731601,0.3506493506493506,0.4891774891774891,,,1.831037521362305,-0.0187692958861589,0.0833333358168602,-0.0764160404602686,9.642038186391195,4.740940650304158,5.004360755284627,1.831037521362305,-1.831037521362305,0.05775,231,4000,-42.44855499267578,22.98750686645508,-46.79695383707682,16.410194714864094,-6.672463734944661,0.4215540587902069,0.0,0,1.0,1.0,0.7694062499999977,6.155249999999982,33696567.03719997,1.0,0.0,0.2619712629296548,0.1638203583916401,0.4257916213212946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0845380633608044,0.0,0.4952853409726231,0.74,6.0,True,-1.0,3.530036449432359,0.0,-3.649768177939884,3.649768177939884,-1.991534168867106,-18.014939063795136,18.014939063795136,-2.001192950069021,-1.891963804226124e-05,1.891963804226124e-05,0.0,0.003910745895125821,0.0041451042832444706,0.011703883309693448,-0.08092048359170383,0.08092048359170383,-0.0,0.128254422069074,0.128254422069074,0.8620778401692708,-0.006323803304064479,0.006323803304064479,0.0,0.0,0.0,180,0.0,0.0,0,0,38063,0.8852639641668733,0.06918192938409029,0.04534712704122165,0.00020697940781475634
