episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,illegal_action_rate,no_task_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue,on_task_rate,has_task_available_rate
1,CP-EFT,-5.349614320114581,-1069.9228640229162,0.3,0.3,0.6153846153846154,0.8082191780821918,0.93925,0.04,0.02075,0.93925,0.04,0.02075,0.0077794533576949,0.128056845394156,0.9734379680822216,20.000000000000018,23.19406843185425,8.066666666666654,8.066666666666654,10.32499999999998,0.7,1.0,0.0,0.92075,0.0,5.926720859861234e-06,3.0553760476531577e-12,1.85098407712303e-08,5.926720859861234e-06,1.85098407712303e-08,0.7144201397895813,0.5,0.0847493037581443,,,,,0.1677491962909698,0.5,243,0.0,0.0,0.0,228,42,0.1842105263157894,42,0.1315,1.715,0.07925000000000004,0.07925000000000004
1,EFT,-5.1709792893058655,-1034.1958578611732,0.25,0.25,0.5,0.7402597402597403,0.943,0.03425,0.02275,0.943,0.03425,0.02275,0.0099256547068922,0.1741342931033721,1.0,20.000000000000018,25.56076974868775,6.679999999999993,6.679999999999993,7.2799999999999905,0.75,1.0,0.0,0.934,0.0,9.8554637588677e-06,0.0,2.373934648858267e-06,9.8554637588677e-06,2.373934648858267e-06,0.7098325490951538,0.5,0.0868472084403038,,,,,0.1968928426504135,0.5,225,0.0,0.0,0.0,204,34,0.1666666666666666,34,0.09825,1.79,0.06599999999999995,0.06599999999999995
1,Greedy,-0.000839482416393,-0.0931825482196301,0.85,0.85,0.9831730769230768,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,11.099999999999977,11.24542742729185,8.999999999999984,8.999999999999984,10.859999999999976,0.15,0.0,0.0,0.7788288288288289,0.0,0.0,0.0,0.0,0.0,0.0,0.7936198115348816,0.6153846383094788,0.0552758164703846,,,,,0.0609267950057983,0.1666666716337204,491,0.0,0.0,0.0,489,80,0.16359918200409,80,0.0,26.792792792792792,0.22117117117117113,0.22117117117117113
1,LB-Greedy,-6.31745433437865,-1263.49086687573,0.1,0.1,0.4759615384615384,0.7105263157894737,0.93875,0.0365,0.02475,0.93875,0.0365,0.02475,0.0115342651097409,0.1883145324039345,1.0,20.000000000000018,26.905438137054443,8.699999999999985,8.699999999999985,9.329999999999982,0.9,1.0,0.0,0.933,0.0,1.2892028280475644e-05,0.0,0.0001995262282434,1.2892028280475644e-05,0.0001995262282434,0.6934611797332764,0.5,0.0945767685770988,,,,,0.1810544282197952,0.5,240,0.0,0.0,0.0,218,46,0.2110091743119266,46,0.089,1.605,0.06699999999999995,0.06699999999999995
1,Local-Only,-0.1786154904621207,-30.00740239763629,0.6,0.6,0.8725961538461539,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.79999999999997,18.119022159576396,8.00833333333332,8.00833333333332,11.524999999999974,0.4,0.0,0.0,0.8866071428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,1.174404761904762,0.0,0.11339285714285718,0.11339285714285718
1,Random,-10.023899398109595,-2004.7798796219197,0.0,0.0,0.1153846153846153,0.4615384615384615,0.06975,0.11675,0.8135,0.06975,0.11675,0.8135,0.6340927672457541,0.6066570999685631,0.9577991293126672,20.000000000000018,26.072952270507812,0.0,0.0,0.0,1.0,1.0,0.0,0.9755,0.0,1.4435743651119992e-05,2.3767803697394285e-11,0.0001510607398813,1.4435743651119992e-05,0.0001510607398813,0.5607098340988159,0.5,0.1509847790002823,,,,,0.4046604931354522,0.5,90,0.0,0.0,0.0,55,11,0.2,11,0.0725,0.1,0.024499999999999966,0.024499999999999966
1,Static,-0.042288914769541,-6.385626130200702,0.8,0.8,0.9495192307692308,0.0,0.4281456953642384,0.5718543046357616,0.0,0.4281456953642384,0.5718543046357616,0.0,1.0,1.0,1.0,15.099999999999962,15.619332485198944,8.156249999999986,8.156249999999986,10.29999999999998,0.2,0.0,0.0,0.8423841059602649,0.0,0.0,0.0,0.0,0.0,0.0,0.7840501070022583,0.6666666865348816,0.0553161166608333,,,,,0.06470438092947,0.1428571492433548,373,0.0,0.0,0.0,373,72,0.1930294906166219,72,0.3771523178807947,12.344370860927151,0.15761589403973508,0.15761589403973508
2,CP-EFT,-2.273972310110041,-454.79446202200813,0.4,0.4,0.6627634660421545,0.7941176470588235,0.939,0.04025,0.02075,0.939,0.04025,0.02075,0.0118588793837068,0.1944078587492928,1.0,20.000000000000018,22.575051498413092,8.737499999999985,8.737499999999985,12.294999999999972,0.6,1.0,0.0,0.91725,0.0,1.8439649238644051e-06,0.0,1.1764626772770015e-10,1.8439649238644051e-06,1.1764626772770015e-10,0.7560663819313049,0.5,0.0686708986759185,,,,,0.1598831266164779,0.5,243,0.0,0.0,0.0,229,32,0.1397379912663755,32,0.1135,1.77,0.08274999999999999,0.08274999999999999
2,EFT,-1.9536325608585212,-390.72651217170426,0.5,0.5,0.7681498829039812,0.9391304347826088,0.91625,0.0485,0.03525,0.91625,0.0485,0.03525,0.0143415239803129,0.1712420773768705,1.0,20.000000000000018,21.82187023162842,8.189999999999987,8.189999999999987,10.529999999999978,0.5,1.0,0.0,0.90375,0.0,5.178580522624543e-06,0.0,8.990910238537706e-10,5.178580522624543e-06,8.990910238537706e-10,0.7137334942817688,0.5,0.0862562134861946,,,,,0.1588656455278396,0.5,332,0.0,0.0,0.0,324,46,0.1419753086419753,46,0.15525,2.465,0.09624999999999995,0.09624999999999995
2,Greedy,-0.0058948911218728,-0.7309664991122319,0.8,0.8,0.9601873536299764,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,12.399999999999972,12.661172456741312,9.61249999999998,9.61249999999998,12.099999999999971,0.2,0.0,0.0,0.7911290322580645,0.0,0.0,0.0,0.0,0.0,0.0,0.7681078910827637,0.6521367430686951,0.0606709793210029,,,,,0.0564098246395587,0.1666666716337204,518,0.0,0.0,0.0,514,104,0.2023346303501945,104,0.0,25.35483870967742,0.20887096774193548,0.20887096774193548
