source,metric,mean
Ours (MAPPO),best_v2v_valid_rate,0.9998874999999999
Ours (MAPPO),v2v_beats_rsu_rate,0.3269380873508672
Ours (MAPPO),mean_cost_gap_v2v_minus_rsu,-0.008219990539194146
Ours (MAPPO),mean_cost_rsu,0.3515657492827938
Ours (MAPPO),mean_cost_v2v,0.3433457587435997
Ours (MAPPO),t_L,0.0
Ours (MAPPO),t_R,0.0
Ours (MAPPO),t_V,0.0
Ours (MAPPO),t_a,0.0
Ours (MAPPO),t_alt,0.0
Ours (MAPPO),A_t,0.0
Ours (MAPPO),r_lat,0.0
Ours (MAPPO),cp_rem,0.0
Ours (MAPPO),f_max,0.0
Ours (MAPPO),d_cp_lb,0.0
Ours (MAPPO),rate_best,0.0
Ours (MAPPO),comm_lb,0.0
Ours (MAPPO),queue_lb,0.0
Ours (MAPPO),lb,0.0
Ours (MAPPO),phi,0.0
Ours (MAPPO),delta_phi,0.0
Ours (MAPPO),r_shape,0.0
Ours (MAPPO),overtime_ratio,0.0
Ours (MAPPO),r_timeout,0.0
Ours (MAPPO),e_tx,0.0
Ours (MAPPO),r_energy,-0.040964609332225156
Ours (MAPPO),r_power,0.0
Ours (MAPPO),avg_power,0.49838645028426953
Ours (MAPPO),avg_rsu_queue,13.337921142847621
Ours (MAPPO),rsu_queue_p95,23.366499999999995
Ours (MAPPO),time_limit_penalty_applied,0.485
Ours (MAPPO),time_limit_penalty_value,-0.485
Ours (MAPPO),remaining_time_seconds_used,1.8868136215209896
Ours (MAPPO),remaining_ratio_used,0.0
CP-EFT,reward_mean,-0.9442805932912672
EFT,reward_mean,-0.8383110079388587
Greedy,reward_mean,-0.007856369112832736
LB-Greedy,reward_mean,-0.9984543436057726
Local-Only,reward_mean,-0.30654761160626975
Random,reward_mean,-1.777590901471946
Static,reward_mean,-0.045137636987645204
CP-EFT,reward_total,-185.46170307529806
EFT,reward_total,-164.91679577902363
Greedy,reward_total,-1.1596877518969764
LB-Greedy,reward_total,-197.32976934882836
Local-Only,reward_total,-46.888000307455144
Random,reward_total,-355.5181802943892
Static,reward_total,-6.368287542780994
CP-EFT,vehicle_sr,0.23041666666666666
EFT,vehicle_sr,0.24666666666666667
Greedy,vehicle_sr,0.55625
LB-Greedy,vehicle_sr,0.16166666666666668
Local-Only,vehicle_sr,0.745
Random,vehicle_sr,0.0016666666666666668
Static,vehicle_sr,0.55875
CP-EFT,task_sr,0.23041666666666666
EFT,task_sr,0.24666666666666667
Greedy,task_sr,0.55625
LB-Greedy,task_sr,0.16166666666666668
Local-Only,task_sr,0.745
Random,task_sr,0.0016666666666666668
Static,task_sr,0.55875
CP-EFT,subtask_sr,0.5847669834070622
EFT,subtask_sr,0.582250619520605
Greedy,subtask_sr,0.8784801655202162
LB-Greedy,subtask_sr,0.49226997644223014
Local-Only,subtask_sr,0.9386725827422641
Random,subtask_sr,0.13593784478892046
Static,subtask_sr,0.8808902967181637
CP-EFT,v2v_subtask_sr,0.8063744910891025
EFT,v2v_subtask_sr,0.8281562114817123
Greedy,v2v_subtask_sr,0.0
LB-Greedy,v2v_subtask_sr,0.7665105607960032
Local-Only,v2v_subtask_sr,0.0
Random,v2v_subtask_sr,0.5113869342673947
Static,v2v_subtask_sr,0.0
CP-EFT,ratio_local,0.9406479822340506
EFT,ratio_local,0.9271777817499426
Greedy,ratio_local,0.0
