episode,steps,wall_time,sim_time,reward_mean,reward_total,reward_p95,reward_abs_mean,vehicle_sr,task_sr,subtask_sr,task_duration_mean,task_duration_p95,completed_tasks,mean_cft_est,episode_time_seconds,energy_mean,energy_p95,t_tx_mean,dT_eff_mean,deadline_misses,deadline_miss_rate,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_rsu_queue,rsu_queue_p95,power_ratio_mean,power_ratio_p95,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,trust_failure_rate,rho_selected_p10,uncertainty_selected_p90,tx_created,same_node_no_tx,service_rate_ghz,idle_fraction,time_limit_rate,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,hard_trigger_rate,actor_loss,critic_loss,entropy,approx_kl,clip_frac,grad_norm,active_ratio,actor_update_active_frac,value_clip_fraction,skipped_update_count,early_stop,lr,bias_rsu,bias_local
1,136,9.92034125328064,13.600000000000001,0.003987097647041082,0.5422452963103188,0.011173340491950512,0.0336797796189785,0.2,0.2,0.5877192982456141,2.250000000000001,2.670000000000001,4,15.451153106689446,13.599999999999968,0.0034136269645864666,0.0,0.001406662711155524,-0.0912727720246588,16,0.8,0.36046511627906974,0.3430232558139535,0.29651162790697677,0.36046511627906974,0.3430232558139535,0.29651162790697677,0.49588752746006803,0.8161764705882353,5.0,0.49360072922848114,0.8591892033815384,0.0,0.0,1.0359274202342839e-11,0.0,0.10416666666666667,0.5,0.5,100,62,24.099768850963024,0.007352941176470606,0.0,0.0,0.9367647058823529,0.06323529411764706,0.06323529411764706,0.0,0.0,-0.0676240455165195,0.9943210482597351,1.4842863082885742,-0.003114702645689249,0.15925959714998802,1.2711597581704457,0.06323529411764706,0.059895833333333336,0.023111979166666668,0,True,0.0002,0.04995466666666667,0.0
2,200,13.091185808181763,20.0,0.002664509927853942,-0.4670978685102325,0.012143386714160426,0.025777239352464676,0.2,0.2,0.6761133603238867,3.4750000000000014,4.010000000000002,4,21.667464923858642,20.000000000000014,0.00157410506628681,0.0,0.0004222740012909603,-0.09239859601855355,16,0.8,0.42783505154639173,0.31958762886597936,0.25257731958762886,0.42783505154639173,0.31958762886597936,0.25257731958762886,0.5064156210212968,0.65,5.0,0.5102200255217791,0.8858631253242493,0.0,0.0,8.917318272683161e-12,0.0,0.030612244897959183,0.5,0.5,108,83,18.713672735199985,0.0,1.0,0.0,0.9515,0.04849999999999999,0.04849999999999999,0.0,0.0,-0.007831066381186247,1.0188256800174713,1.414469063282013,0.02356726792640984,0.01785714365541935,1.7493023574352264,0.0485,0.0517578125,0.005859375,0,True,0.0002,0.049888,0.0
3,128,9.366796970367432,12.8,-0.012159750796854496,-1.556448065881508,0.007895288430154301,0.018023168668150902,0.05,0.05,0.6196581196581197,2.2000000000000006,2.2000000000000006,1,14.460295858383176,12.79999999999997,0.004591562214458633,0.0,0.0012610507224464264,-0.09012000339105708,19,0.95,0.3551912568306011,0.34972677595628415,0.29508196721311475,0.3551912568306011,0.34972677595628415,0.29508196721311475,0.4970121287031361,1.0390625,6.299999999999983,0.4952958483887014,0.8568519055843353,0.0,2.1547417035317947e-13,3.3803411458865895e-11,0.0,0.08571428571428572,0.5,0.5,109,65,27.575865280629973,0.007812500000000019,0.0,0.0,0.928515625,0.07148437500000004,0.07148437500000004,0.0,0.0,-0.015667878919177584,1.1015565858946905,1.4089255730311077,0.0019705858236799636,0.06493768013185924,2.4165602458847895,0.071484375,0.07074652777777778,0.4518229166666667,0,True,0.0002,0.04984533333333334,0.0
4,175,12.088498592376709,17.5,-0.007908663712441921,-1.384016121839058,0.00993597283959384,0.016475467011332512,0.15,0.15,0.6862745098039216,3.5000000000000018,3.9400000000000017,3,18.952223682403563,17.49999999999998,0.003383062161982893,0.0,0.003180204134041103,-0.0905002481256214,17,0.85,0.3188405797101449,0.42028985507246375,0.2608695652173913,0.3188405797101449,0.42028985507246375,0.2608695652173913,0.5037649285899741,1.16,9.0,0.505787110261269,0.88222918510437,0.0,0.0,2.1905860805859767e-11,0.0,0.05343511450381679,0.5,0.5,134,66,24.302879165977025,0.005714285714285721,0.0,0.0,0.9408571428571428,0.059142857142857164,0.059142857142857164,0.0,0.0,-0.03986448980867863,1.0420299172401428,1.311853438615799,0.03714971989393234,0.08033088501542807,2.184167981147766,0.05914285714285714,0.0615234375,0.2109375,0,True,0.0002,0.049787000000000005,0.0
5,51,3.6448605060577393,5.1000000000000005,0.02134179323911667,1.0884315926854002,0.2999831885099411,0.05577074736356735,0.2,0.2,0.7740585774058577,3.325000000000001,4.185000000000001,4,6.400401706695556,5.099999999999998,0.010557982063796843,0.0,0.004246499668978631,-0.06841405655823504,16,0.8,0.3584905660377358,0.41037735849056606,0.23113207547169812,0.3584905660377358,0.41037735849056606,0.23113207547169812,0.5096485554806742,3.6862745098039214,10.5,0.5148888450685138,0.8709834814071655,0.0,4.626670421781213e-10,7.750761837899134e-11,4.0425787856124244e-10,0.05555555555555555,0.5,0.5,129,76,84.54132773829924,0.019607843137254912,0.0,0.0,0.792156862745098,0.207843137254902,0.207843137254902,0.0,0.0,0.05954752117395401,1.053486943244934,1.4069995880126953,0.04812873527407646,0.072727270424366,0.8362895846366882,0.20784313725490197,0.21484375,0.0,0,True,0.0002,0.04977,0.0
6,66,4.486730575561523,6.6000000000000005,-0.0012813415378332138,-0.08456853317493378,0.023682863917201757,0.023288052529096603,0.2,0.2,0.6066350710900474,3.7250000000000014,4.3950000000000005,4,8.86539895057678,6.5999999999999925,0.010827509665998474,0.0,0.0038442074585850776,-0.08263886121186297,16,0.8,0.38650306748466257,0.3619631901840491,0.25153374233128833,0.38650306748466257,0.3619631901840491,0.25153374233128833,0.5116751081514821,1.7121212121212122,8.75,0.5183903851550793,0.8844355285167694,0.0,3.873144760438415e-15,4.171857304058335e-11,3.873144760438415e-15,0.034482758620689655,0.5,0.5,97,63,47.90096405588328,0.01515151515151517,0.0,0.0,0.8765151515151515,0.12348484848484853,0.12348484848484853,0.0,0.0,0.00849731732159853,1.0138979852199554,1.332817812760671,0.016350089746993035,0.07129731945072611,1.3263131529092789,0.12348484848484849,0.12532552083333334,0.19075520833333334,0,True,0.0002,0.049748,0.0
7,69,4.713621377944946,6.9,0.014420578256249428,0.9950198082891862,0.08334839046001387,0.04171861708164215,0.25,0.25,0.7768595041322314,3.560000000000001,4.639999999999999,5,8.316655373573301,6.8999999999999915,0.0026689472934117294,0.0,0.0010334251239308915,-0.0719811424828955,15,0.75,0.39814814814814814,0.4074074074074074,0.19444444444444445,0.39814814814814814,0.4074074074074074,0.19444444444444445,0.49577499626919735,2.3043478260869565,7.599999999999994,0.49288094609461824,0.8646818161010738,0.0,1.91446860448029e-10,5.598647934146328e-11,2.858400613425791e-10,0.072,0.5,0.5,121,86,63.97933280958654,0.014492753623188425,0.0,0.0,0.8434782608695652,0.15652173913043477,0.15652173913043477,0.0,0.0,-0.020754548292607068,1.0098072218894958,1.2860757732391357,0.010226670820266008,0.07974017471075058,0.8500332367420197,0.1565217391304348,0.15578125,0.10390625,0,False,0.0002,0.049725000000000005,0.0
8,75,5.018369197845459,7.5,-0.005812325980514288,-0.4359245238671504,0.013453608658164721,0.024899108335375786,0.1,0.1,0.6228813559322034,2.550000000000001,3.5850000000000017,2,9.715783023834227,7.499999999999989,0.004747243123888948,0.0,0.001204797714668844,-0.08351562821865055,18,0.9,0.4230769230769231,0.3901098901098901,0.18681318681318682,0.4230769230769231,0.3901098901098901,0.18681318681318682,0.5095640530157834,1.64,7.0,0.5166621132679153,0.8797157406806946,0.0,0.0,2.0640014003481255e-11,0.0,0.06382978723404255,0.5,0.5,99,77,47.44493991402066,0.013333333333333353,0.0,0.0,0.8786666666666667,0.1213333333333333,0.1213333333333333,0.0,0.0,0.006450660526752472,0.9877723157405853,1.273066798845927,0.02538584847934544,0.04837742540985346,1.1851488749186199,0.12133333333333333,0.11783854166666667,0.09440104166666667,0,True,0.0002,0.0497,0.0
9,63,4.3736841678619385,6.300000000000001,0.0171127300709486,1.078102050646205,0.15686871260404575,0.047307975590229034,0.25,0.25,0.7377049180327869,3.5400000000000005,5.339999999999996,5,7.530781793594359,6.299999999999994,0.010970893970693125,0.0,0.004583514635988387,-0.06910536705501481,15,0.75,0.39622641509433965,0.4528301886792453,0.1509433962264151,0.39622641509433965,0.4528301886792453,0.1509433962264151,0.5073524905741954,3.015873015873016,10.0,0.5120626798482893,0.8816201448440552,0.0,5.102357036879111e-10,6.642771055442864e-11,3.812628046606643e-10,0.058333333333333334,0.5,0.5,121,84,64.83895261427536,0.01587301587301589,0.0,0.0,0.8317460317460318,0.1682539682539682,0.1682539682539682,0.0,0.0,-0.0022841639901426706,1.0107136964797974,1.242317644032565,0.013611213572320676,0.1474068747325377,0.780323023145849,0.16825396825396827,0.16548295454545456,0.0014204545454545455,0,True,0.0002,0.049679,0.0
10,50,3.5696513652801514,5.0,0.1017938032746315,5.089690281984895,0.5874144554138182,0.11978647857904434,0.6,0.6,0.9083333333333333,3.3384615384615395,4.56,13,5.551510334014891,4.999999999999998,0.016907748443054236,0.12678852217162867,0.007003264497257916,-0.05181776189804108,8,0.4,0.24017467248908297,0.5895196506550219,0.1703056768558952,0.24017467248908297,0.5895196506550219,0.1703056768558952,0.5010933442479,6.78,16.0,0.5015845568810144,0.8629883110523223,0.0,4.978348788764461e-10,9.141831042169812e-11,5.483541593021002e-10,0.029411764705882353,0.5,0.5,169,55,95.31313528331047,0.020000000000000007,0.0,0.0,0.771,0.22899999999999998,0.22899999999999998,0.0,0.0,-0.04091563771168391,1.1399009148279826,1.1294726689656576,0.004482773598283529,0.0955731405566136,0.7548775156339009,0.229,0.23229166666666667,0.19453125,0,False,0.0002,0.049662333333333336,0.0
