strategy,eval_source,model_tag,policy_mode,episodes,task_success_rate,subtask_success_rate,deadline_miss_rate,mean_cft_est,reward_mean
Ours (MAPPO),training_log,best_model,stochastic,3000,0.5053833333333334,0.8794688346415711,0.4945833333333333,5.538456104665597,0.06501712229966503
CP-EFT,baseline_stats_log,N/A,deterministic,10,0.305,0.7451947036839309,0.69,16.9868833694458,-0.032217528589431825
EFT,baseline_stats_log,N/A,deterministic,10,0.315,0.783937317744049,0.68,14.543136794090262,-0.034637533087872666
Greedy,baseline_stats_log,N/A,deterministic,10,0.7,0.963233321978007,0.3,4.133456945657731,0.1476291984851217
LB-Greedy,baseline_stats_log,N/A,deterministic,10,0.265,0.7891342820785383,0.7350000000000001,16.531776353359216,-0.03658584744017175
Local-Only,baseline_stats_log,N/A,deterministic,10,0.23500000000000001,0.6691255127779648,0.765,8.572416432857512,-0.02040089303062475
Oracle-Min,baseline_stats_log,N/A,deterministic,10,0.22000000000000003,0.7091004116676761,0.77,22.434926257133487,-0.04104537485575944
Random,baseline_stats_log,N/A,deterministic,10,0.03,0.39657961349490606,0.96,20.510475847244265,-0.0515282139447512
Static,baseline_stats_log,N/A,deterministic,10,0.41500000000000004,0.8051406091358049,0.5850000000000001,5.572301730155944,0.03680976697999832
