episode,steps,elapsed_sec,reward_mode,seed,terminated,truncated,termination_reason,time_limit_rate,deadline_gamma,deadline_seconds,critical_path_cycles,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm
1,300,17.40913963317871,delta_cft,7,False,True,time_limit,1.0,2.887843063737857,1.4948118069612673,465613487.0957507,13,13,150,0.007843518629670143,-8.777324183029123e-06,8.10377168818377e-05,-1.0000540018081665,0.8498319387435913,0.0108898065186153,15.317743301391602,0.0007458062641217605,5.402514332406334e-06,0.3230654241641274,0.0,0.0,0.18,1.0,0.0,0.0,0.48148148148148145,0.5185185185185185,0.0,0.48148148148148145,0.5185185185185185,0.0,0.48054879117343163,0.8372069001197815,0.5845011511239512,0.019482847469746423,0.2013739224137931,0.0012159916343456455,0.04343295690667783,0.011242447320596668,0.500897470058809
2,300,18.28251075744629,delta_cft,7,False,True,time_limit,1.0,2.944258434670194,1.5777817789675226,464989884.9726582,14,14,157,0.017573464661836624,-4.981983693141956e-06,3.060356903006323e-05,-1.0000050067901611,1.6641805171966553,0.02145879701438025,15.287137031555188,0.001395379017989001,2.040237863981415e-06,0.29146687064789345,0.14285714285714285,0.14285714285714285,0.3057324840764331,0.8571428571428571,0.0,0.0,0.2708333333333333,0.7291666666666666,0.0,0.2708333333333333,0.7291666666666666,0.0,0.5156931033513198,0.841580331325531,0.5880074640588154,0.01091758469267497,0.18911210317460317,-0.0020527970045804977,0.12484907325068932,0.048611590705279796,0.5043061441549707
3,300,18.426576137542725,delta_cft,7,False,True,time_limit,1.0,2.866902475984378,1.696640368446975,425874317.39028305,14,14,153,0.011942326091229916,-3.6710431459141546e-06,0.06635487414896492,-1.0000067949295044,0.8397164344787598,0.014407760337426892,15.362712247031087,0.001019004544447888,0.004413949963817205,0.36648127114833806,0.14285714285714285,0.14285714285714285,0.24836601307189543,0.8571428571428571,0.0,0.0,0.34210526315789475,0.6578947368421053,0.0,0.34210526315789475,0.6578947368421053,0.0,0.4610871449112892,0.7331271767616272,0.5944988161830579,0.010740404520420578,0.1438029661016949,-0.00043998590386393714,0.0528849128947467,0.014112494039443969,0.48421737873705767
4,300,20.337474584579468,delta_cft,7,False,True,time_limit,1.0,3.102168211490559,1.6138400998406028,461933816.8562032,18,18,211,0.010395199991762638,-5.773538759967778e-06,0.035664164088666586,-1.0000083446502686,1.8077852725982666,0.013979597180466562,15.341729164123535,0.0009172411585801865,0.00233538956013186,0.32760798970857363,0.0,0.0,0.1990521327014218,0.9444444444444444,0.0,0.0,0.42857142857142855,0.5714285714285714,0.0,0.42857142857142855,0.5714285714285714,0.0,0.4470553197676227,0.7240886688232422,0.6064847549840585,0.010584309705838894,0.11368936567164178,-0.0016216260325441609,0.05665531927335715,0.014576338912680079,0.4812913132525647
5,300,17.814820289611816,delta_cft,7,False,True,time_limit,1.0,3.177580794647152,2.2659388303720838,494605320.87851286,12,12,149,0.017519919201731682,-3.4821287044906057e-06,2.2633803382632323e-05,-1.000009298324585,1.0631047487258911,0.020859843703602023,15.410815556844083,0.0013919929274663345,1.5089202191754957e-06,0.41388938118350943,0.08333333333333333,0.08333333333333333,0.3691275167785235,0.9166666666666666,0.0,0.0,0.2,0.8,0.0,0.2,0.8,0.0,0.5415995654734698,0.9458960890769958,0.5970245551850114,0.00975382907823327,0.13971819196428573,-0.005684545770886221,0.08189690450256291,0.02332341594904262,0.5332263482601515
6,300,16.32106614112854,delta_cft,7,False,True,time_limit,1.0,2.7013162028511983,1.4849765599948481,430851504.9041007,13,13,144,0.027888460084795952,2.7929206680710195e-06,0.16494511961936967,-1.3149951696395874,2.0474436283111572,0.03973154506908009,15.254990577697754,0.002084660911658511,0.010946729226156875,0.2587248202164879,0.0,0.0,0.5069444444444444,1.0,0.0,0.0,0.1780821917808219,0.821917808219178,0.0,0.1780821917808219,0.821917808219178,0.0,0.5532963126897812,0.8697038292884827,0.6050613279405394,0.00970030535041077,0.09258497807017543,0.0005066031018239364,0.16796852311674962,0.0723896384639502,0.7610922092408464
7,300,20.43625569343567,delta_cft,7,False,True,time_limit,1.0,3.1222061306808664,1.6858033269918358,449071800.2400651,20,20,234,0.07270095497369766,-6.147063800199248e-07,0.32795599400997205,-1.3137553930282593,1.8807182312011719,0.07574475301814826,15.195662927627584,0.0050735734292966265,0.02422968273233762,0.1753937826944837,0.25,0.25,0.49572649572649574,0.75,0.0,0.0,0.13793103448275862,0.853448275862069,0.008620689655172414,0.13793103448275862,0.853448275862069,0.008620689655172414,0.48756825275205334,0.8432427644729614,0.6032834325147711,0.005826254189689306,0.04444067028985507,-0.001350079787949073,0.813452324465565,0.39331041486002505,2.1958660049282988
8,300,20.935460329055786,delta_cft,7,False,True,time_limit,1.0,2.970575682955625,1.6416881277944708,466057930.8508115,16,16,184,0.0509033203125,-8.290848199976608e-06,0.256880456209183,-1.0000083446502686,1.8737986087799072,0.05017913846668432,15.194108664989482,0.003618808306367689,0.01605671671308799,0.20323866376950936,0.125,0.125,0.5163043478260869,0.875,0.0,0.0,0.15789473684210525,0.8421052631578947,0.0,0.15789473684210525,0.8421052631578947,0.0,0.5123407654268177,0.8206881284713745,0.6218054577492286,0.003639912876415242,0.07869112318840579,-0.0004777606117768564,0.3362745866449415,0.1552234236690877,1.61598926410079
9,300,19.45516037940979,delta_cft,7,False,True,time_limit,1.0,2.950602707009911,1.57701432549337,449258314.1506338,15,15,169,0.024568509310483932,-6.30409476798377e-06,0.08730900958180461,-1.0000097751617432,1.587810754776001,0.02715091210595599,15.272301673889165,0.0018626122958553821,0.005723073333277243,0.2692201571051948,0.06666666666666667,0.06666666666666667,0.378698224852071,0.9333333333333333,0.0,0.0,0.234375,0.765625,0.0,0.234375,0.765625,0.0,0.46164877101546153,0.7911019325256348,0.6137638197495388,0.009250975883780764,0.09645432692307693,0.0014654911982898528,0.1456999649759382,0.06204019716510979,1.084488903903044
10,300,19.589799642562866,delta_cft,7,False,True,time_limit,1.0,3.1622906169246683,1.548751610176387,462774468.3062573,16,16,184,0.03815818950533867,-1.1867910870932974e-05,0.23905258178710975,-1.159809947013855,1.7001698017120361,0.04656927069840021,15.2050263285637,0.002769699089485861,0.018073716080214332,0.22632830090184286,0.125,0.125,0.483695652173913,0.875,0.0,0.0,0.16853932584269662,0.8314606741573034,0.0,0.16853932584269662,0.8314606741573034,0.0,0.38383118977791136,0.7649134993553162,0.6180661806175786,0.010249130942317988,0.1299773185483871,0.0006253354461683381,0.223586693766617,0.10005735874085897,1.0176734439427815
