policy,episodes,task_sr_mean,task_sr_tail100,deadline_miss_mean,deadline_miss_tail100,time_limit_mean,cft_mean,reward_mean,ratio_rsu_mean,ratio_v2v_mean,I95_mean,trust_fail_mean
Local-Only,62,0.7209677419354839,0.7209677419354839,0.27903225806451615,0.27903225806451615,0.0,15.408813076019262,-0.3255494533973945,0.0,0.0,0.0,0.0
Static,61,0.6991803278688524,0.6991803278688524,0.3008196721311476,0.3008196721311476,0.0,13.877765356439035,-0.06873777309862826,0.7588982368405355,0.0,0.0,0.21874831002751519
Greedy,63,0.6968253968253969,0.6968253968253969,0.3031746031746032,0.3031746031746032,0.0,12.769575290528536,-0.007003744499413019,1.0,0.0,0.0,0.22780170546909084
CP-EFT,35,0.26999999999999996,0.26999999999999996,0.73,0.73,0.8,22.208037801470073,-3.06621784657387,0.03864590235904306,0.02485263703557791,5.976478708489999e-06,0.21431081687311238
EFT,34,0.24852941176470586,0.24852941176470586,0.7514705882352941,0.7514705882352941,0.9411764705882353,23.83024335103877,-3.099939018085563,0.0410133380496885,0.028596044179515594,6.0460215412195335e-06,0.2200375919416267
LB-Greedy,32,0.18125000000000002,0.18125000000000002,0.81875,0.81875,0.96875,24.029456368088724,-3.2445185697625774,0.038207887700534765,0.029767546791443847,2.0509177017336962e-05,0.24226311272983989
Random,28,0.0,0.0,1.0,1.0,1.0,25.298183849879674,-6.838696969307577,0.120375,0.8058303571428571,2.646617571287583e-05,0.2262829612337983
