episode_seed,episode_steps,active_ratio,no_task_ratio,decision_events_per_vehicle_mean,decision_events_per_vehicle_p50,decision_events_per_vehicle_p90,ready_subtask_count_mean,ready_subtask_count_p50,ready_subtask_count_p90,ready_subtask_count_p95,inflight_subtask_count_mean,inflight_subtask_count_p95,avg_subtask_service_steps_mean,avg_subtask_service_steps_p50,avg_subtask_service_steps_p90,phase_comm_ratio,phase_compute_ratio,phase_wait_ratio,phase_finished_ratio,queue_len_vehicle_mean,queue_len_vehicle_p95,queue_len_rsu_mean,queue_len_rsu_p95,task_success_rate,deadline_miss_rate,run_tag,config_overrides
42019,200,0.1085,0.8915,21.7,21.5,24.0,2.67,0.0,8.099999999999994,10.049999999999983,0.725,3.0,7.7301204819277105,7.0,13.0,0.085,0.515,0.485,0.0,0.6767012395648875,3.0,0.18333333333333332,2.0,0.95,0.05,nodes_xxl,"MIN_NODES=18,MAX_NODES=24"
42020,200,0.11125,0.88875,22.25,22.5,25.0,2.875,0.0,10.0,12.0,0.60475,3.0,6.678403755868545,6.0,11.0,0.095,0.45,0.0,0.55,0.5847008331229487,3.0,0.13833333333333334,1.0,1.0,0.0,nodes_xxl,"MIN_NODES=18,MAX_NODES=24"
42021,200,0.1065,0.8935,21.3,21.0,24.1,2.7,0.0,9.099999999999994,12.0,0.54575,2.0,6.324390243902439,6.0,11.0,0.055,0.39,0.0,0.61,0.5192160855179435,2.0,0.21166666666666667,2.0,1.0,0.0,nodes_xxl,"MIN_NODES=18,MAX_NODES=24"
42022,200,0.1075,0.8925,21.5,21.5,24.1,2.725,0.0,9.0,11.049999999999983,0.65575,3.0,7.245238095238095,7.0,13.0,0.055,0.485,0.0,0.515,0.641912512716175,3.0,0.14666666666666667,1.0,1.0,0.0,nodes_xxl,"MIN_NODES=18,MAX_NODES=24"
42023,200,0.1115,0.8885,22.3,23.5,25.0,2.83,0.0,9.0,10.049999999999983,0.68325,3.0,7.027906976744186,6.0,12.0,0.08,0.57,0.425,0.0,0.6294416243654822,3.0,0.16666666666666666,1.0,0.95,0.05,nodes_xxl,"MIN_NODES=18,MAX_NODES=24"
42024,200,0.10975,0.89025,21.95,22.0,24.0,2.81,0.0,9.099999999999994,11.0,0.62075,3.0,6.828638497652582,6.0,12.0,0.045,0.46,0.0,0.54,0.6018214014672401,3.0,0.15166666666666667,1.0,1.0,0.0,nodes_xxl,"MIN_NODES=18,MAX_NODES=24"
42025,200,0.1075,0.8925,21.5,22.0,24.0,2.725,0.0,10.0,11.049999999999983,0.514,2.0,6.002433090024331,6.0,11.0,0.095,0.4,0.0,0.6,0.49077117572692797,2.0,0.155,1.0,1.0,0.0,nodes_xxl,"MIN_NODES=18,MAX_NODES=24"
42026,200,0.111,0.889,22.2,22.0,25.0,2.845,0.0,9.099999999999994,12.049999999999983,0.57425,2.0,6.392018779342723,6.0,11.0,0.08,0.42,0.0,0.58,0.544599745870394,2.0,0.22666666666666666,1.0,1.0,0.0,nodes_xxl,"MIN_NODES=18,MAX_NODES=24"
42027,200,0.111,0.889,22.2,22.0,25.200000000000003,2.81,0.0,8.099999999999994,11.0,0.678,3.0,7.441805225653207,7.0,13.0,0.095,0.535,0.01,0.45,0.6651399491094148,3.0,0.125,1.0,1.0,0.0,nodes_xxl,"MIN_NODES=18,MAX_NODES=24"
42028,200,0.10525,0.89475,21.05,21.0,24.1,2.54,0.0,8.0,10.0,0.76575,3.0,8.133495145631068,7.5,15.0,0.04,0.54,0.46,0.0,0.7282828282828283,3.0,0.09833333333333333,1.0,0.95,0.05,nodes_xxl,"MIN_NODES=18,MAX_NODES=24"
42029,200,0.1125,0.8875,22.5,23.5,24.1,2.86,0.0,9.0,10.049999999999983,0.65225,3.0,6.876126126126126,7.0,12.0,0.025,0.475,0.0,0.525,0.623000761614623,3.0,0.24833333333333332,2.0,1.0,0.0,nodes_xxl,"MIN_NODES=18,MAX_NODES=24"
