phase,method,policy,metric_id,metric_cn,direction,mean,std,n,matched_k,stat_basis
后期,LB-Greedy,LB-Greedy,mean_cft_est,平均完工时间估计,lower,2.9707068333625806,0.28495372728421614,10,10,matched_tail_raw_baseline
后期,Local-Only,Local-Only,mean_cft_est,平均完工时间估计,lower,5.5254206438064575,0.42582378154804834,10,10,matched_tail_raw_baseline
后期,Oracle-Min,Oracle-Min,mean_cft_est,平均完工时间估计,lower,2.9775303115844736,0.27109275269445193,10,10,matched_tail_raw_baseline
后期,Random,Random,mean_cft_est,平均完工时间估计,lower,21.931880975723267,7.978524136880156,10,10,matched_tail_raw_baseline
后期,Static,Static,mean_cft_est,平均完工时间估计,lower,3.028194424629212,0.4407889112757776,10,10,matched_tail_raw_baseline
后期,当前算法(MAPPO),MAPPO,mean_cft_est,平均完工时间估计,lower,2.9484865560531626,0.27742824791257664,10,10,matched_tail_raw_baseline
中期,CP-EFT,CP-EFT,power_ratio_mean,远端功率比例,lower,0.00314665500936163,0.0023618651189794633,10,10,matched_tail_raw_baseline
中期,EFT,EFT,power_ratio_mean,远端功率比例,lower,0.0014649364077813,0.0014236086210133302,10,10,matched_tail_raw_baseline
中期,Greedy,Greedy,power_ratio_mean,远端功率比例,lower,1.0,0.0,10,10,matched_tail_raw_baseline
中期,LB-Greedy,LB-Greedy,power_ratio_mean,远端功率比例,lower,0.00137711532324505,0.0013077939578121504,10,10,matched_tail_raw_baseline
中期,Local-Only,Local-Only,power_ratio_mean,远端功率比例,lower,0.0,0.0,10,10,matched_tail_raw_baseline
中期,Oracle-Min,Oracle-Min,power_ratio_mean,远端功率比例,lower,1.0,0.0,10,10,matched_tail_raw_baseline
中期,Random,Random,power_ratio_mean,远端功率比例,lower,0.6010816146442701,0.0044262926241009385,10,10,matched_tail_raw_baseline
中期,Static,Static,power_ratio_mean,远端功率比例,lower,1.0,0.0,10,10,matched_tail_raw_baseline
中期,当前算法(MAPPO),MAPPO,power_ratio_mean,远端功率比例,lower,0.5319466471705807,0.02000691254601901,10,10,matched_tail_raw_baseline
前期,CP-EFT,CP-EFT,power_ratio_mean,远端功率比例,lower,0.00314665500936163,0.0023618651189794633,10,10,matched_tail_raw_baseline
前期,EFT,EFT,power_ratio_mean,远端功率比例,lower,0.0014649364077813,0.0014236086210133302,10,10,matched_tail_raw_baseline
前期,Greedy,Greedy,power_ratio_mean,远端功率比例,lower,1.0,0.0,10,10,matched_tail_raw_baseline
前期,LB-Greedy,LB-Greedy,power_ratio_mean,远端功率比例,lower,0.00137711532324505,0.0013077939578121504,10,10,matched_tail_raw_baseline
前期,Local-Only,Local-Only,power_ratio_mean,远端功率比例,lower,0.0,0.0,10,10,matched_tail_raw_baseline
前期,Oracle-Min,Oracle-Min,power_ratio_mean,远端功率比例,lower,1.0,0.0,10,10,matched_tail_raw_baseline
前期,Random,Random,power_ratio_mean,远端功率比例,lower,0.6010816146442701,0.0044262926241009385,10,10,matched_tail_raw_baseline
前期,Static,Static,power_ratio_mean,远端功率比例,lower,1.0,0.0,10,10,matched_tail_raw_baseline
前期,当前算法(MAPPO),MAPPO,power_ratio_mean,远端功率比例,lower,0.49242013827089537,0.02005743398279245,10,10,matched_tail_raw_baseline
后期,CP-EFT,CP-EFT,power_ratio_mean,远端功率比例,lower,0.00314665500936163,0.0023618651189794633,10,10,matched_tail_raw_baseline
后期,EFT,EFT,power_ratio_mean,远端功率比例,lower,0.0014649364077813,0.0014236086210133302,10,10,matched_tail_raw_baseline
后期,Greedy,Greedy,power_ratio_mean,远端功率比例,lower,1.0,0.0,10,10,matched_tail_raw_baseline
后期,LB-Greedy,LB-Greedy,power_ratio_mean,远端功率比例,lower,0.00137711532324505,0.0013077939578121504,10,10,matched_tail_raw_baseline
后期,Local-Only,Local-Only,power_ratio_mean,远端功率比例,lower,0.0,0.0,10,10,matched_tail_raw_baseline
后期,Oracle-Min,Oracle-Min,power_ratio_mean,远端功率比例,lower,1.0,0.0,10,10,matched_tail_raw_baseline
后期,Random,Random,power_ratio_mean,远端功率比例,lower,0.6010816146442701,0.0044262926241009385,10,10,matched_tail_raw_baseline
后期,Static,Static,power_ratio_mean,远端功率比例,lower,1.0,0.0,10,10,matched_tail_raw_baseline
后期,当前算法(MAPPO),MAPPO,power_ratio_mean,远端功率比例,lower,0.536580241954853,0.016069342992493376,10,10,matched_tail_raw_baseline
中期,CP-EFT,CP-EFT,reward_mean,平均步奖励,higher,0.03895771879957039,0.013037261006082752,10,10,matched_tail_raw_baseline
中期,EFT,EFT,reward_mean,平均步奖励,higher,0.03268648039386519,0.0077617451246819805,10,10,matched_tail_raw_baseline
中期,Greedy,Greedy,reward_mean,平均步奖励,higher,0.04719713729915159,0.006996068457593132,10,10,matched_tail_raw_baseline
中期,LB-Greedy,LB-Greedy,reward_mean,平均步奖励,higher,0.03262049536119669,0.007891495689927664,10,10,matched_tail_raw_baseline
中期,Local-Only,Local-Only,reward_mean,平均步奖励,higher,0.00019961684370323993,0.001972220997712009,10,10,matched_tail_raw_baseline
中期,Oracle-Min,Oracle-Min,reward_mean,平均步奖励,higher,0.031366539200189204,0.007576596965504307,10,10,matched_tail_raw_baseline
中期,Random,Random,reward_mean,平均步奖励,higher,-0.0021256616874038197,0.00027087307868986266,10,10,matched_tail_raw_baseline
