baseline,metric_id,metric_cn,direction,n_total,n_effective,matched_k,wins,losses,ties,win_rate,p_value_sign_test,welch_t,welch_p_value,bootstrap_ci95_low,bootstrap_ci95_high,mean_oriented_diff,median_oriented_diff,stat_basis
CP-EFT,deadline_miss_rate,超时失败率,lower,10,9,10,4,5,1,0.4444444444444444,0.9999999999999979,-1.3846153846153848,0.18330594003748404,-14.5,1.5,-6.0,-5.0,matched_tail_raw_baseline
EFT,deadline_miss_rate,超时失败率,lower,10,9,10,6,3,1,0.6666666666666666,0.507812499999999,1.6952973630520605,0.10773742077469385,-0.5,17.5,8.5,7.5,matched_tail_raw_baseline
Greedy,deadline_miss_rate,超时失败率,lower,10,7,10,0,7,3,0.0,0.015625000000000003,-2.7034653377128337,0.015152176752948478,-19.0,-4.0,-11.0,-10.0,matched_tail_raw_baseline
LB-Greedy,deadline_miss_rate,超时失败率,lower,10,9,10,6,3,1,0.6666666666666666,0.507812499999999,1.6952973630520605,0.10773742077469385,-0.5,17.5,8.5,7.5,matched_tail_raw_baseline
Local-Only,deadline_miss_rate,超时失败率,lower,10,10,10,10,0,0,1.0,0.001953125,11.92164071096673,5.702343868249725e-10,45.0,61.5,53.5,55.0,matched_tail_raw_baseline
Oracle-Min,deadline_miss_rate,超时失败率,lower,10,10,10,7,3,0,0.7,0.3437499999999996,1.5627711032415337,0.13700312693425395,-1.5,19.0,8.5,7.5,matched_tail_raw_baseline
Random,deadline_miss_rate,超时失败率,lower,10,10,10,10,0,0,1.0,0.001953125,22.122340725693416,1.142220068940865e-09,66.2375,78.5,73.0,75.0,matched_tail_raw_baseline
Static,deadline_miss_rate,超时失败率,lower,10,9,10,3,6,1,0.3333333333333333,0.507812499999999,-1.1050364372445782,0.284661424644616,-12.5,3.0,-4.5,-5.0,matched_tail_raw_baseline
CP-EFT,mean_cft_est,平均完工时间估计,lower,10,10,10,6,4,0,0.6,0.7539062499999993,0.2275713156471464,0.8238851457202433,-0.3736689710974692,0.5185375001668922,0.05410727405548066,0.14837402343749972,matched_tail_raw_baseline
EFT,mean_cft_est,平均完工时间估计,lower,10,10,10,4,6,0,0.4,0.7539062499999993,0.03883499770830505,0.9694499613154877,-0.2130284020066261,0.2383685367882252,0.0049060761928557016,-0.06191542625427271,matched_tail_raw_baseline
Greedy,mean_cft_est,平均完工时间估计,lower,10,10,10,2,8,0,0.2,0.10937499999999988,-2.6354445091859358,0.01832826782721884,-0.47700405017137565,-0.0861701314687733,-0.27644474196434043,-0.24982409000396744,matched_tail_raw_baseline
LB-Greedy,mean_cft_est,平均完工时间估计,lower,10,10,10,5,5,0,0.5,0.9999999999999988,0.17668277031518204,0.8617317479067451,-0.2059391196012497,0.26525612993240383,0.022220277309417735,-0.02402186274528484,matched_tail_raw_baseline
Local-Only,mean_cft_est,平均完工时间估计,lower,10,10,10,10,0,0,1.0,0.001953125,16.034209697428874,4.699136546876758e-11,2.292489599126577,2.8739509462475765,2.576934087753295,2.6064248394966105,matched_tail_raw_baseline
Oracle-Min,mean_cft_est,平均完工时间估计,lower,10,10,10,5,5,0,0.5,0.9999999999999988,0.2367802877621471,0.8155023854996541,-0.19046786748170833,0.2589480088293548,0.02904375553131109,-0.006251753568649265,matched_tail_raw_baseline
Random,mean_cft_est,平均完工时间估计,lower,10,10,10,10,0,0,1.0,0.001953125,7.519499200150541,3.570627188961528e-05,14.982979663097854,24.08536177244186,18.983394419670102,18.59256675720215,matched_tail_raw_baseline
Static,mean_cft_est,平均完工时间估计,lower,10,10,10,4,6,0,0.4,0.7539062499999993,0.48395756066827106,0.6353310958052567,-0.19985332386493665,0.39200521263480176,0.07970786857604995,-0.11908324241638235,matched_tail_raw_baseline
CP-EFT,power_ratio_mean,远端功率比例,lower,10,10,10,0,10,0,0.0,0.001953125,-103.85828762346931,1.0876838312988499e-15,-0.5433051723080236,-0.5241706962865293,-0.5334335869454915,-0.5345083791215677,matched_tail_raw_baseline
EFT,power_ratio_mean,远端功率比例,lower,10,10,10,0,10,0,0.0,0.001953125,-104.89423790535933,2.1294359281281917e-15,-0.5454034661523633,-0.5264333054008388,-0.5351153055470719,-0.5357153802286888,matched_tail_raw_baseline
Greedy,power_ratio_mean,远端功率比例,lower,10,10,10,10,0,0,1.0,0.001953125,91.1961334593069,1.1618803465338057e-14,0.4540548149293153,0.4723565098591322,0.46341975804514696,0.4635683105090478,matched_tail_raw_baseline
LB-Greedy,power_ratio_mean,远端功率比例,lower,10,10,10,0,10,0,0.0,0.001953125,-104.97527128196144,2.2640633443362033e-15,-0.5448235930980229,-0.5261899016128031,-0.535203126631608,-0.5357153802286888,matched_tail_raw_baseline
Local-Only,power_ratio_mean,远端功率比例,lower,10,10,10,0,10,0,0.0,0.001953125,-105.5933470842103,3.109627113871466e-15,-0.5466792031921781,-0.5276641049498335,-0.536580241954853,-0.5364316894909522,matched_tail_raw_baseline
Oracle-Min,power_ratio_mean,远端功率比例,lower,10,10,10,10,0,0,1.0,0.001953125,91.1961334593069,1.1618803465338057e-14,0.45332605860722536,0.4722267942841703,0.46341975804514696,0.4635683105090478,matched_tail_raw_baseline
Random,power_ratio_mean,远端功率比例,lower,10,10,10,10,0,0,1.0,0.001953125,12.237436378258954,1.727399972629646e-07,0.05375003997092336,0.07420991243483074,0.06450137268941694,0.06606794419724338,matched_tail_raw_baseline
Static,power_ratio_mean,远端功率比例,lower,10,10,10,10,0,0,1.0,0.001953125,91.1961334593069,1.1618803465338057e-14,0.45416316328993755,0.47219518283830436,0.46341975804514696,0.4635683105090478,matched_tail_raw_baseline
CP-EFT,reward_mean,平均步奖励,higher,10,10,10,4,6,0,0.4,0.7539062499999993,-0.2650045047462515,0.7944244662600033,-0.011145024969162236,0.007601545920962876,-0.0013202255989702802,-0.006933629493996202,matched_tail_raw_baseline
EFT,reward_mean,平均步奖励,higher,10,10,10,7,3,0,0.7,0.3437499999999996,1.330515301164991,0.200235660535576,-0.0020947216312276425,0.011842806987661415,0.004951012806734929,0.0037782782672711995,matched_tail_raw_baseline
Greedy,reward_mean,平均步奖励,higher,10,10,10,1,9,0,0.1,0.02148437500000002,-2.6807288917064587,0.01574427523198876,-0.016008548658620253,-0.0033050025927057335,-0.00955964409855148,-0.0130981318932935,matched_tail_raw_baseline
LB-Greedy,reward_mean,平均步奖励,higher,10,10,10,7,3,0,0.7,0.3437499999999996,1.3384673973840053,0.19761771421316124,-0.002011399599328033,0.01172396238942086,0.00501699783940342,0.003741550431467849,matched_tail_raw_baseline
Local-Only,reward_mean,平均步奖励,higher,10,10,10,10,0,0,1.0,0.001953125,13.064904190708601,1.459634848542715e-07,0.03197869812103098,0.04257921363895042,0.03743787635689687,0.037843978250697005,matched_tail_raw_baseline
Oracle-Min,reward_mean,平均步奖励,higher,10,10,10,7,3,0,0.7,0.3437499999999996,1.7027828442755384,0.1062173266111822,-0.0005785550520316865,0.013192081287852308,0.006270954000410908,0.005488878585425598,matched_tail_raw_baseline
Random,reward_mean,平均步奖励,higher,10,10,10,10,0,0,1.0,0.001953125,14.210523957487228,1.7679444139379107e-07,0.03451855176470664,0.04489553641339686,0.03976315488800393,0.0384581416027371,matched_tail_raw_baseline
