episode,total_reward,avg_step_reward,loss,veh_success_rate,vehicle_success_rate,task_success_rate,subtask_success_rate,v2v_subtask_success_rate,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_queue_len,ma_fairness,ma_reward_gap,ma_collaboration,max_agent_reward,min_agent_reward,avg_assigned_cpu_ghz,episode_vehicle_count,episode_task_count,duration
1,-103.37861063757636,-0.2559465265939409,369.22906896224833,0.0,0.0,0.0,0.19480519480519481,0.0,0.0625,0.9375,0.0,0.5006983021141991,0.0013197586726998493,1.0,0.0,6.372549019607843,-0.2775964387199418,-0.2775964387199418,10.897928410589463,15,15,12.5615873336792
1,-96.15747499453485,-0.24039368748633713,0.0,0.0,0.0,0.19402985074626866,0.9090909090909091,0.07430781758957655,0.07715798045602607,0.8485342019543974,0.5986384882461891,0.04723127035830619,1.0,0.0,0.8485342019543974,-96.15747499453485,-96.15747499453485,0.0,0.0,0.0,Random
1,32.1135416624243,0.08028385415606076,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.09854014598540146,1.0,0.0,0.0,32.1135416624243,32.1135416624243,0.0,0.0,0.0,Local-Only
1,-251.2428290953992,-0.628107072738498,0.0,0.0,0.0,0.203125,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-251.2428290953992,-251.2428290953992,0.0,0.0,0.0,Greedy
2,-292.81757954595537,-0.7295439488648884,2144.6290331901387,0.0,0.0,0.0,0.22077922077922077,1.0,0.05555555555555555,0.8888888888888888,0.05555555555555555,0.5124571891710199,0.0035977105478331973,1.0,0.0,5.314799672935404,-0.7975963031246485,-0.7975963031246485,11.02038355999472,17,17,14.168172597885132
3,-54.94221347788139,-0.13485553369470346,63.8239122542468,0.0,0.0,0.0,0.20192307692307693,1.0,0.08695652173913043,0.782608695652174,0.13043478260869565,0.4992604002252083,0.004525526799604016,1.0,0.0,6.887286098147362,-0.14655169524223577,-0.14655169524223577,10.81484281268598,21,21,16.66841745376587
4,-29.542565080381053,-0.07135641270095264,1.9957272863388063,0.0,0.0,0.0,0.20833333333333334,1.0,0.0625,0.875,0.0625,0.484680158662897,0.001143074871404077,1.0,0.0,7.582396646980377,-0.07171308795998665,-0.07171308795998665,10.766266533288416,15,15,12.100479364395142
5,-36.21031911558306,-0.08802579778895765,1.4776724295738415,0.0,0.0,0.0,0.2,1.0,0.0,0.8461538461538461,0.15384615384615385,0.4808657849997108,0.0011983223487118035,1.0,0.0,9.426802476532854,-0.08842618319715022,-0.08842618319715022,10.588750680190667,13,13,11.97596025466919
6,-286.5459954087539,-0.7138649885218848,1598.7130822432669,0.0,0.0,0.0,0.19696969696969696,0.0,0.0,1.0,0.0,0.48029978685098756,0.0,1.0,0.0,7.724719101123595,-0.7417168101878817,-0.7417168101878817,10.700075823521676,13,13,11.459677934646606
7,-34.63645646456613,-0.08409114116141532,11.746329935766616,0.0,0.0,0.0,0.19811320754716982,1.0,0.0,0.9523809523809523,0.047619047619047616,0.48301573567244244,0.0013123359580052493,1.0,0.0,7.232429279673375,-0.08809314778644003,-0.08809314778644003,10.839525155017082,21,21,16.21674370765686
8,-35.20452868994756,-0.0855113217248689,7.23781518911322,0.0,0.0,0.0,0.2087912087912088,1.0,0.05,0.8,0.15,0.48936574491807416,0.0062731220846067234,1.0,0.0,8.846710632137688,-0.08729235214091381,-0.08729235214091381,10.630088199067508,19,19,14.435783624649048
9,-30.972492083103152,-0.07493123020775788,2.3030220666527748,0.0,0.0,0.0,0.203125,1.0,0.13333333333333333,0.8,0.06666666666666667,0.516149839848124,0.0031013762357045937,1.0,0.0,9.420430315952704,-0.07578338012257803,-0.07578338012257803,10.526961224548081,13,13,12.23746109008789
10,-157.3917878221151,-0.3909794695552878,1073.3448612105171,0.0,0.0,0.0,0.19130434782608696,1.0,0.125,0.625,0.25,0.49952368032256567,0.008975868157739847,1.0,0.0,9.902884049440848,-0.456121602132605,-0.456121602132605,10.48454846902189,21,21,16.17562198638916
11,-118.29724497595568,-0.2932431124398892,411.44396724003116,0.0,0.0,0.0,0.19230769230769232,1.0,0.0,0.9333333333333333,0.06666666666666667,0.5006153033180231,0.0007514559458951719,1.0,0.0,10.539169641179786,-0.3061877684039556,-0.3061877684039556,10.390290410226916,15,15,12.752468347549438
12,-34.50636799662179,-0.08376591999155447,3.8458456522080957,0.0,0.0,0.0,0.21739130434782608,1.0,0.11764705882352941,0.8235294117647058,0.058823529411764705,0.4995388745292797,0.005829259119969913,1.0,0.0,10.962767957878903,-0.08477265015832501,-0.08477265015832501,10.39532719261189,15,15,12.466225862503052
13,-315.8665385393228,-0.787166346348307,1818.1910567543723,0.0,0.0,0.0,0.2125,1.0,0.0,0.8235294117647058,0.17647058823529413,0.49313128803655326,0.00558366777176758,1.0,0.0,9.125807014482639,-0.8977287436921066,-0.8977287436921066,10.615928287803579,17,17,13.065354824066162
14,-139.19883489470496,-0.3454970872367624,609.1958873112997,0.0,0.0,0.0,0.1935483870967742,0.0,0.1,0.9,0.0,0.5006250164876282,0.0011352578657152124,1.0,0.0,10.120012974375609,-0.39207682813185935,-0.39207682813185935,10.394402174177545,18,18,14.43515157699585
15,-156.46146245304564,-0.3886536561326141,743.7753637336549,0.0,0.0,0.0,0.19480519480519481,1.0,0.0625,0.875,0.0625,0.503614817118279,0.0038461538461538464,1.0,0.0,11.098901098901099,-0.41674037137965675,-0.41674037137965675,10.372506913740496,15,15,12.888695478439331
