phase,n,task_success_rate,subtask_success_rate,deadline_miss_rate,time_limit_rate,mean_cft_est,reward_mean,decision_local_frac,decision_rsu_frac,decision_v2v_frac,illegal_action_rate,no_task_rate,unified_illegal_trigger_rate,abs_ratio_r_time,abs_ratio_r_energy,abs_ratio_r_interf,abs_ratio_r_risk,abs_ratio_r_illegal,trust_failure_rate,rho_selected_p10,uncertainty_selected_p90,I_total_p95,I_caused_p95,avail_V,neighbor_count_mean,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu
前期,200,0.00775,0.22451848622425843,0.99225,0.875,19.980402697753906,-0.08775301936082539,0.31518778083904325,0.08534835195785918,0.5994638672030975,0.0,0.9719378868326971,0.0,0.4499277902567198,0.004952662454884054,0.4834940429099964,0.02821089533459966,0.0,0.20990718559445345,0.4899976196438074,0.5,1.540228459470915e-09,1.540228459470915e-09,0.522592789654541,9.929263003436281,0.0,0.1483884906897985
中期,200,0.34475,0.6425327466252614,0.6552500000000001,0.625,14.335742452168462,-0.029564878968521936,0.7426368776771933,0.05329359872447356,0.20406952359833305,0.0,0.7418010825357362,0.0,0.405902343329466,0.036708560695288266,0.2642835851338288,0.01749282786905277,0.0,0.1912488535113696,0.46346666717529295,0.47241666667163373,1.3900431545275492e-09,1.3900431545275492e-09,0.5221804396579509,9.921428353501065,0.0,0.07111389663018755
后期,200,0.8835,0.9948705584062963,0.1165,0.0,1.5845185102105146,0.08685666725970802,0.9981743808826968,0.0009006632574717144,0.0009249558598313807,0.0,0.2502430555555556,0.0,0.15716159192939536,0.08975702185963141,0.0,0.000797416328369874,0.0,0.07529761904761904,0.14475000002980232,0.14491666667163372,0.0,0.0,0.5298600536267138,10.067341018907562,0.0,0.008331265366265909
