metric,Random_mean,Random_std,EFT_mean,EFT_std,CP-First+EFT_mean,CP-First+EFT_std
success_rate,0.1,0.0,0.4,0.0,0.5,0.0
T_finish_mean,8.599999999999985,0.0,6.024999999999995,0.0,7.17999999999999,0.0
T_finish_p50,8.599999999999985,0.0,6.349999999999993,0.0,7.099999999999991,0.0
delta_T_p50,-5.791658771786343,0.0,-5.420557274058341,0.0,-4.554788812219163,0.0
delta_T_p95,-5.791658771786343,0.0,-4.828404003071014,0.0,-2.488749965022301,0.0
power_mean_W,0.09259796359214134,0.0,0.11150478701515582,0.0,0.12322841690654585,0.0
E_tx_total,4848.7740565722,0.0,5486.96652576827,0.0,6896.28261244948,0.0
sinr_p50,13.973442410976297,0.0,10.000000270988764,0.0,29.408550422652077,0.0
i_caused_mean,9.040349460128289e-13,0.0,4.963743684871015e-07,0.0,7.890359495305491e-13,0.0
jain_fairness,1.0,0.0,0.9805017219258562,0.0,0.9690665062596336,0.0
worst10_mean,0.0,0.0,6.799999999999992,0.0,8.799999999999985,0.0
T_tx_svc,0.0,0.0,0.0,0.0,0.0,0.0
T_tx_wait,0.15613667795979042,0.0,0.0,0.0,0.0,0.0
T_cpu_svc,3.4392478466033936,0.0,2.0259110897779466,0.0,3.1121456623077393,0.0
T_cpu_wait,0.0,0.0,0.0,0.0,0.0,0.0
trust_failures,40.0,0.0,40.0,0.0,56.0,0.0
ho_events,8.0,0.0,7.0,0.0,6.0,0.0
