episode_seed,episode_steps,active_ratio,no_task_ratio,decision_events_per_vehicle_mean,decision_events_per_vehicle_p50,decision_events_per_vehicle_p90,ready_subtask_count_mean,ready_subtask_count_p50,ready_subtask_count_p90,ready_subtask_count_p95,inflight_subtask_count_mean,inflight_subtask_count_p95,avg_subtask_service_steps_mean,avg_subtask_service_steps_p50,avg_subtask_service_steps_p90,phase_comm_ratio,phase_compute_ratio,phase_wait_ratio,phase_finished_ratio,queue_len_vehicle_mean,queue_len_vehicle_p95,queue_len_rsu_mean,queue_len_rsu_p95,task_success_rate,deadline_miss_rate,run_tag,config_overrides
42013,200,0.0295,0.9705,5.9,6.0,8.0,2.57,2.0,2.0,5.049999999999983,0.28775,1.0,2.769911504424779,2.0,5.0,0.0,0.085,0.915,0.0,0.05557122708039492,0.0,0.02,0.0,0.6,0.4,grain_high,"MIN_COMP=200000000.0,MAX_COMP=1400000000.0,MIN_DATA=80000.0,MAX_DATA=400000.0,MIN_EDGE_DATA=40000.0,MAX_EDGE_DATA=200000.0"
42014,200,0.0285,0.9715,5.7,6.0,8.0,2.56,2.0,2.0,5.049999999999983,0.33525,1.0,2.675925925925926,2.0,5.0,0.0,0.085,0.915,0.0,0.06334699023006618,0.0,0.016666666666666666,0.0,0.5,0.5,grain_high,"MIN_COMP=200000000.0,MAX_COMP=1400000000.0,MIN_DATA=80000.0,MAX_DATA=400000.0,MIN_EDGE_DATA=40000.0,MAX_EDGE_DATA=200000.0"
42015,200,0.028,0.972,5.6,5.5,7.0,3.43,3.0,3.0,6.0,0.23675,1.0,2.7264150943396226,2.0,5.0,0.01,0.09,0.91,0.0,0.04851409702819406,0.0,0.01,0.0,0.5,0.5,grain_high,"MIN_COMP=200000000.0,MAX_COMP=1400000000.0,MIN_DATA=80000.0,MAX_DATA=400000.0,MIN_EDGE_DATA=40000.0,MAX_EDGE_DATA=200000.0"
42016,200,0.032,0.968,6.4,6.5,8.0,0.775,0.0,0.0,4.049999999999983,0.04325,0.0,2.3951612903225805,2.0,4.0,0.015,0.085,0.0,0.915,0.04141226440138041,0.0,0.021666666666666667,0.0,0.85,0.15,grain_high,"MIN_COMP=200000000.0,MAX_COMP=1400000000.0,MIN_DATA=80000.0,MAX_DATA=400000.0,MIN_EDGE_DATA=40000.0,MAX_EDGE_DATA=200000.0"
42017,200,0.0315,0.9685,6.3,6.5,8.0,0.795,0.0,0.0,7.049999999999983,0.23575,1.0,2.4833333333333334,2.0,4.0,0.01,0.085,0.915,0.0,0.04655493482309125,0.0,0.025,0.0,0.65,0.35,grain_high,"MIN_COMP=200000000.0,MAX_COMP=1400000000.0,MIN_DATA=80000.0,MAX_DATA=400000.0,MIN_EDGE_DATA=40000.0,MAX_EDGE_DATA=200000.0"
42018,200,0.0315,0.9685,6.3,7.0,8.0,2.68,2.0,2.0,4.049999999999983,0.23825,1.0,2.557377049180328,2.0,4.0,0.0,0.08,0.92,0.0,0.05064969504110316,0.0,0.025,0.0,0.55,0.45,grain_high,"MIN_COMP=200000000.0,MAX_COMP=1400000000.0,MIN_DATA=80000.0,MAX_DATA=400000.0,MIN_EDGE_DATA=40000.0,MAX_EDGE_DATA=200000.0"
42019,200,0.0315,0.9685,6.3,6.5,8.0,1.735,1.0,1.0,4.149999999999949,0.088,1.0,2.347457627118644,2.0,4.0,0.02,0.08,0.92,0.0,0.04352976014213799,0.0,0.016666666666666666,0.0,0.65,0.35,grain_high,"MIN_COMP=200000000.0,MAX_COMP=1400000000.0,MIN_DATA=80000.0,MAX_DATA=400000.0,MIN_EDGE_DATA=40000.0,MAX_EDGE_DATA=200000.0"
42020,200,0.029,0.971,5.8,6.0,8.0,3.605,3.0,3.0,6.099999999999966,0.091,1.0,2.4956521739130433,2.0,4.0,0.0,0.075,0.925,0.0,0.04333953735708588,0.0,0.02,0.0,0.75,0.25,grain_high,"MIN_COMP=200000000.0,MAX_COMP=1400000000.0,MIN_DATA=80000.0,MAX_DATA=400000.0,MIN_EDGE_DATA=40000.0,MAX_EDGE_DATA=200000.0"
42021,200,0.02625,0.97375,5.25,5.0,7.100000000000001,3.53,3.0,3.0,3.099999999999966,0.2845,1.0,2.727272727272727,2.0,4.0,0.005,0.07,0.93,0.0,0.05667655786350148,0.0,0.005,0.0,0.6,0.4,grain_high,"MIN_COMP=200000000.0,MAX_COMP=1400000000.0,MIN_DATA=80000.0,MAX_DATA=400000.0,MIN_EDGE_DATA=40000.0,MAX_EDGE_DATA=200000.0"
42022,200,0.02825,0.97175,5.65,6.0,8.0,2.59,2.0,2.0,4.099999999999966,0.18625,1.0,2.4272727272727272,2.0,4.0,0.0,0.08,0.92,0.0,0.05260029717682021,0.0,0.016666666666666666,0.0,0.7,0.3,grain_high,"MIN_COMP=200000000.0,MAX_COMP=1400000000.0,MIN_DATA=80000.0,MAX_DATA=400000.0,MIN_EDGE_DATA=40000.0,MAX_EDGE_DATA=200000.0"
42023,200,0.03075,0.96925,6.15,6.0,8.0,4.51,4.0,4.0,5.0,0.2495,1.0,2.907563025210084,3.0,5.0,0.0,0.095,0.905,0.0,0.06396588486140725,0.0,0.013333333333333334,0.0,0.5,0.5,grain_high,"MIN_COMP=200000000.0,MAX_COMP=1400000000.0,MIN_DATA=80000.0,MAX_DATA=400000.0,MIN_EDGE_DATA=40000.0,MAX_EDGE_DATA=200000.0"
42024,200,0.02725,0.97275,5.45,5.5,7.0,3.435,3.0,3.0,4.0,0.33625,1.0,3.0098039215686274,3.0,5.0,0.005,0.09,0.91,0.0,0.05831230726100364,0.0,0.023333333333333334,0.0,0.5,0.5,grain_high,"MIN_COMP=200000000.0,MAX_COMP=1400000000.0,MIN_DATA=80000.0,MAX_DATA=400000.0,MIN_EDGE_DATA=40000.0,MAX_EDGE_DATA=200000.0"
42025,200,0.0315,0.9685,6.3,7.0,8.0,3.63,3.0,3.0,7.099999999999966,0.19625,1.0,2.6363636363636362,2.0,5.0,0.005,0.085,0.915,0.0,0.05518705226850624,0.0,0.008333333333333333,0.0,0.65,0.35,grain_high,"MIN_COMP=200000000.0,MAX_COMP=1400000000.0,MIN_DATA=80000.0,MAX_DATA=400000.0,MIN_EDGE_DATA=40000.0,MAX_EDGE_DATA=200000.0"
42026,200,0.03,0.97,6.0,6.0,8.0,2.645,2.0,2.0,6.049999999999983,0.18625,1.0,2.543859649122807,2.0,4.0,0.015,0.07,0.93,0.0,0.04484704484704485,0.0,0.045,0.0,0.7,0.3,grain_high,"MIN_COMP=200000000.0,MAX_COMP=1400000000.0,MIN_DATA=80000.0,MAX_DATA=400000.0,MIN_EDGE_DATA=40000.0,MAX_EDGE_DATA=200000.0"
42027,200,0.02925,0.97075,5.85,6.0,8.0,1.69,1.0,1.0,5.0,0.28975,1.0,2.7477477477477477,3.0,5.0,0.005,0.09,0.91,0.0,0.05875769445998881,0.0,0.006666666666666667,0.0,0.7,0.3,grain_high,"MIN_COMP=200000000.0,MAX_COMP=1400000000.0,MIN_DATA=80000.0,MAX_DATA=400000.0,MIN_EDGE_DATA=40000.0,MAX_EDGE_DATA=200000.0"
42028,200,0.034,0.966,6.8,7.0,9.0,2.755,2.0,2.0,5.0,0.141,1.0,2.376923076923077,2.0,4.0,0.02,0.075,0.925,0.0,0.0533082470994042,0.0,0.016666666666666666,0.0,0.7,0.3,grain_high,"MIN_COMP=200000000.0,MAX_COMP=1400000000.0,MIN_DATA=80000.0,MAX_DATA=400000.0,MIN_EDGE_DATA=40000.0,MAX_EDGE_DATA=200000.0"
42029,200,0.027,0.973,5.4,5.0,8.0,4.445,4.0,4.0,5.199999999999932,0.2295,1.0,2.485148514851485,2.0,5.0,0.005,0.075,0.925,0.0,0.04600771742356782,0.0,0.013333333333333334,0.0,0.5,0.5,grain_high,"MIN_COMP=200000000.0,MAX_COMP=1400000000.0,MIN_DATA=80000.0,MAX_DATA=400000.0,MIN_EDGE_DATA=40000.0,MAX_EDGE_DATA=200000.0"
