episode,steps,elapsed_sec,reward_mode,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,5,0.06154608726501465,delta_cft,42,False,True,time_limit,1.0,0.5,0.7349813679854075,,12,True,6.588212857444439,2.353509177019365,622866708.5431815,12,12,60,-0.7567857503890991,-0.8217063546180725,-0.5075328946113586,-0.9999999403953552,-0.5071556568145752,0.7567857580859804,-0.07529785235722862,-0.04900056123733523,0.007614469027388094,0.08758624491417256,0.00198564127682721,0.5,0.024702147642771455,0.05099943876266477,0.2552085021138188,0.08333333333333333,0.08333333333333333,0.38333333333333336,0.0,0.0,0.0,0.5217391304347826,0.4782608695652174,0.0,0.5217391304347826,0.4782608695652174,0.0,0.4839750319395376,0.7976601719856262,0.575204387307167,0.01761850726325065,0.10416666883975267,-0.017014365643262863,8.744351387023926,4.343657195568085,7.205634355545044,0.575204387307167,-0.575204387307167,1.0,1.0,1.0,11.0,184000955.7348497,1.0,0.0,0.045580029949275784,0.016139426955572325,0.061719456885445584,True,-1.0,0.2552085021138188,0.0
2,5,0.05790591239929199,delta_cft,42,False,True,time_limit,1.0,0.5,0.6873632123072942,,12,True,6.436904478264952,2.287137342824225,603296253.6490687,12,12,59,-0.6685515642166138,-0.7460290193557739,-0.35967379808425903,-0.8839188814163208,-0.3000590205192566,0.6685515529097269,-0.07034495025873184,-0.03000590205192563,0.018438305821069614,0.14441538979327187,0.0036214357130557955,0.5,0.03460795183976495,0.06999409794807437,0.23193027863899884,0.25,0.25,0.5254237288135594,0.0,0.0,0.0,0.3548387096774194,0.6451612903225806,0.0,0.3548387096774194,0.6451612903225806,0.0,0.5108322585302014,0.8352824449539185,0.5744251161813736,0.010254441294819117,0.09583333507180214,-0.0040195026667788625,5.659063339233398,2.8140236139297485,8.927147388458252,0.5744251161813736,-0.5744251161813736,1.0,1.0,0.9987373737373737,10.986111111111109,167904904.75557804,1.0,0.0,0.04090371704144056,0.015922576161004717,0.05682629316364017,True,-1.0,0.23193027863899884,0.0
3,5,0.07608914375305176,delta_cft,42,False,True,time_limit,1.0,0.5,0.7342373728752136,,12,True,7.046318657919302,2.303042149914383,626270326.8903204,12,12,61,-0.8225721120834351,-0.9644594788551331,-0.5454521179199219,-1.000000238418579,-0.5262863039970398,0.8225721058587224,-0.07415885229905447,-0.03000590205192563,0.015429231921863323,0.13386305909983606,0.003087211255392693,0.5,0.01821334362030036,0.049724137783050515,0.24321674704551682,0.0,0.0,0.2786885245901639,0.0,0.0,0.0,0.7058823529411765,0.29411764705882354,0.0,0.7058823529411765,0.29411764705882354,0.0,0.49656716186334104,0.7801510691642761,0.5756323039531708,-0.004057185258716345,0.1750000026077032,0.0034705211874097586,7.537307262420654,3.7606114745140076,12.848500728607178,0.5756323039531708,-0.5756323039531708,1.0,1.0,1.0,11.0,160736326.2179069,1.0,0.0,0.04514733724810296,0.015483580398498252,0.060630917620731126,True,-1.0,0.24321674704551682,0.0
4,5,0.0571291446685791,delta_cft,42,False,True,time_limit,1.0,0.5,0.7814434170722961,,12,True,6.700591503586154,2.9140887688681882,727684940.1289684,12,12,67,-0.7060134410858154,-0.6825476884841919,-0.4457869827747345,-0.9622132778167725,-0.3892531394958496,0.706013429199081,-0.07309693917632103,-0.035201163589954496,0.01502263950033437,0.13386305909983606,0.003005403466873051,0.5,0.030088800191879338,0.06452540159225462,0.3142781555652616,0.0,0.0,0.34328358208955223,0.0,0.0,0.0,0.5217391304347826,0.4782608695652174,0.0,0.5217391304347826,0.4782608695652174,0.0,0.48065470871718036,0.8050054311752319,0.5628236383199692,-0.005563667422393337,0.11666667275130749,0.018544536898843944,4.243228197097778,2.1289022266864777,12.588844537734985,0.5628236383199692,-0.5628236383199692,1.0,1.0,1.0,11.0,172413394.72356135,1.0,0.0,0.050162467607373556,0.01669082340033439,0.06685329096243532,True,-1.0,0.3142781555652616,0.0
5,5,0.056250810623168945,delta_cft,42,False,True,time_limit,1.0,0.5,0.8169571757316589,,12,True,6.591669885427655,2.649716138946006,657843671.1684327,12,12,61,-0.8235559463500977,-0.9999990463256836,-0.5202805995941162,-1.000000238418579,-0.4945409595966339,0.8235558908862868,-0.07493626058101654,-0.03547459840774539,0.01226628315558785,0.11102809992323645,0.002451064455627892,0.5,0.017706453800201482,0.050856119394302346,0.32449244856834386,0.0,0.0,0.22950819672131148,0.0,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0,0.8571428571428571,0.14285714285714285,0.0,0.4870982159461294,0.7373258471488953,0.5396293103694916,-0.026131910737603903,0.09166667051613331,-0.0028593396418727934,5.663478970527649,2.8180875182151794,16.88162875175476,0.5396293103694916,-0.5396293103694916,1.0,1.0,1.0,11.0,171882457.08423743,1.0,0.0,0.05261211365060855,0.015797537929463715,0.06840965158007224,True,-1.0,0.32449244856834386,0.0
