phase,n,task_success_rate,subtask_success_rate,deadline_miss_rate,time_limit_rate,mean_cft_est,reward_mean,decision_local_frac,decision_rsu_frac,decision_v2v_frac,illegal_action_rate,no_task_rate,unified_illegal_trigger_rate,abs_ratio_r_time,abs_ratio_r_energy,abs_ratio_r_interf,abs_ratio_r_risk,abs_ratio_r_illegal,trust_failure_rate,rho_selected_p10,uncertainty_selected_p90,I_total_p95,I_caused_p95,avail_V,neighbor_count_mean,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu
前期,200,0.012,0.29652788996596213,0.988,0.895,20.21536709275246,-0.08398010766133662,0.25271368528292143,0.20460644514410753,0.5426798695729709,0.0,0.9689456283059253,0.0,0.480316081359659,0.0055109296018809786,0.43327473437831854,0.042611261504122845,0.0,0.1359698314107148,0.4984448179602623,0.25,3.3394238038641502e-09,3.3394238038641502e-09,0.5225723141801469,9.928873969422794,1.25e-06,0.13607425923159486
中期,200,0.44475000000000003,0.6640528544455812,0.55525,0.465,11.39491557083726,0.009201046833768487,0.7121115935575318,0.06666643821062582,0.2212219682318424,0.0,0.6298122811375165,0.0,0.3393020261108813,0.04113718937946659,0.20564937472632475,0.020062673990492635,0.0,0.1056095937161593,0.37160000005364424,0.18625,9.59907799972358e-10,9.59907799972358e-10,0.5258719367355424,9.991566797975308,0.0,0.071093144275042
后期,200,0.8817500000000001,0.9946326952604453,0.11825,0.0,1.584545952367783,0.11740188257768747,0.9993681972486412,0.00033871726188699645,0.000293085489471839,0.0,0.2483469275210084,0.0,0.13807832768839085,0.07556341881505868,0.0,0.0002898444390182865,0.0,0.015,0.0675,0.03375,0.0,0.0,0.520222121480171,9.88422030812325,0.0,0.008015833275965611
