episode,steps,wall_time,sim_time,termination_reason_raw,termination_reason_bucket,reward_mean,reward_total,episode_reward,reward_p95,reward_abs_mean,vehicle_sr,task_sr,subtask_sr,task_duration_mean,task_duration_p95,completed_tasks,mean_cft_est,episode_time_seconds,energy_mean,energy_p95,t_tx_mean,dT_eff_mean,deadline_misses,deadline_miss_rate,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_rsu_queue,rsu_queue_p95,power_ratio_mean,power_ratio_p95,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,trust_failure_rate,rho_selected_p10,uncertainty_selected_p90,tx_created,same_node_no_tx,service_rate_ghz,idle_fraction,time_limit_rate,illegal_action_rate,illegal_action_ratio,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,hard_trigger_rate,r_margin,r_margin_raw,r_margin_norm,abs_ratio_r_time,abs_ratio_r_energy,abs_ratio_r_interf,abs_ratio_r_term,abs_ratio_r_margin,margin_valid_count,margin_skip_count,reward_clip_hit_count,reward_clip_hit_rate,abs_ratio_basis,r_prog_on_task_mean,r_margin_on_task_mean,r_time_on_task_mean,r_prog_on_task_abs_mean,r_margin_on_task_abs_mean,r_time_on_task_abs_mean,abs_ratio_on_task_r_prog,abs_ratio_on_task_r_margin,abs_ratio_on_task_r_time,abs_ratio_on_task_r_term,actor_loss,critic_loss,critic_loss_raw_mean,normalized_value_loss,entropy,approx_kl,clip_frac,grad_norm,active_ratio,actor_update_active_frac,value_clip_fraction,critic_loss_active,critic_loss_inactive,ppo_epochs_executed,num_minibatches_executed,mb_kl_max,mb_kl_p95,early_stop_epoch_idx,early_stop_batch_idx,skipped_update_count,early_stop,lr,bias_rsu,bias_local
1,200,17.40167546272278,20.0,time_limit,time_limit,-0.0008970755152404308,-1.1794151131118635,-1.1794151131118635,0.0008425025705946596,0.0022832329850643873,0.15,0.15,0.5921052631578947,1.5000000000000002,1.8700000000000006,3,21.46869239807129,20.000000000000014,0.0018843217243934172,0.0,0.0006368562288225188,-0.09749709102511481,17,0.85,0.3584905660377358,0.37735849056603776,0.2641509433962264,0.3584905660377358,0.37735849056603776,0.2641509433962264,0.49990192191442473,0.015,0.0,0.4998457891736238,0.8593127340078354,0.0,0.0,5.998432653364638e-12,0.0,0.0,0.800000011920929,0.20000000298023224,102,57,2.409966782799998,0.0,1.0,0.0,0.0,0.96025,0.03974999999999995,0.03974999999999995,0.0,0.0,0.0021117362736336838,0.0009824797383861962,0.0070391209121123555,0.45406098646032667,0.0,0.001032301832835954,0.25373943715212577,0.2911672745547117,4000,0,0,0.0,unified_margin_term_illegal,0.0,-0.014844844754141832,-0.01401042135583878,0.0,0.08112781031552972,0.01401042135583878,0.0,0.4736131478742021,0.08179093871232662,0.44459591341347127,-0.07675681232164304,1.3041981061299641,1.3041981061299641,1.3041981558005016,1.9734438061714172,0.015957200511669118,0.13316250902911028,2.307370364665985,0.03975,0.04296875,0.24853336438536644,3.1516065895557404,0.9357980191707611,1,6,0.09008098393678665,0.07802331447601318,0,5,0,True,0.0002,0.0,0.0998
2,200,15.833899974822998,20.0,time_limit,time_limit,-0.0012626716634258628,-1.252534333948001,-1.252534333948001,0.0006894290767377099,0.0016864973586052656,0.05,0.05,0.75,2.500000000000001,2.500000000000001,1,20.925698471069335,20.000000000000014,0.0010546685972840763,0.0,0.0004288803062946322,-0.09512817759811901,19,0.95,0.4393939393939394,0.3333333333333333,0.22727272727272727,0.4393939393939394,0.3333333333333333,0.22727272727272727,0.497446894299821,0.01,0.0,0.4958042634343813,0.8577599167823791,0.0,0.0,3.8268702443056135e-12,0.0,0.009615384615384616,0.800000011920929,0.20000000298023224,110,87,3.130592993999998,0.0,1.0,0.0,0.0,0.9505,0.04949999999999999,0.04949999999999999,0.0,0.0,0.003018980235021599,0.001820570925284983,0.010063267450072163,0.5268451089140074,0.0,0.0007187839545925167,0.1346111955249115,0.33782491160648864,4000,0,0,0.0,unified_margin_term_illegal,0.0,-0.007715230386280552,-0.013252924587780135,0.0,0.09115464965777048,0.013252924587780135,0.0,0.7612951082166293,0.1106842788175955,0.12802061296577527,-0.003546562045812607,1.646095911661784,1.646095911661784,1.6460959513982136,1.8883140881856282,0.008323078664640585,0.10697751492261887,2.963403125603994,0.0495,0.045572916666666664,0.49222061472634476,2.18292036652565,1.5121790170669556,1,6,0.08477278053760529,0.07756948564201593,0,5,0,True,0.0002,0.0,0.09960000000000001
3,200,16.52725100517273,20.0,time_limit,time_limit,-0.0011285827495157719,-1.225716553093038,-1.225716553093038,0.0013527783972676843,0.0016976462211459875,0.1,0.1,0.7165991902834008,2.700000000000001,2.8800000000000012,2,21.120059394836424,20.000000000000014,0.0009118798713957426,0.0,0.0003657563489664195,-0.09688934040069629,18,0.9,0.42857142857142855,0.3054187192118227,0.2660098522167488,0.42857142857142855,0.3054187192118227,0.2660098522167488,0.49696975328435655,0.04,0.0,0.4950098860178782,0.8434236764907835,0.0,0.0,4.014191756773755e-12,0.0,0.009523809523809525,0.800000011920929,0.20000000298023224,115,87,3.3400991039999974,0.0,1.0,0.0,0.0,0.94925,0.05074999999999996,0.05074999999999996,0.0,0.0,0.0023801888843778614,0.0011191132258682832,0.007933962947926218,0.47416587480596817,0.0,0.0006293936417379839,0.12725434986508904,0.3979503816872048,4000,0,0,0.0,unified_margin_term_illegal,0.0,-0.027172840856557464,-0.013089925809077543,0.0,0.09470333482380185,0.013089925809077543,0.0,0.8785645249784306,0.12143547502156939,0.0,0.041379764676094055,1.4790232578913372,1.4790232578913372,1.4790233373641968,1.8756903409957886,0.07097770009810726,0.12698413183291754,2.686044375101725,0.05075,0.044270833333333336,0.008333334078391394,3.55694317817688,0.9514422218004862,1,3,0.1607990264892578,0.1504167716950178,0,2,0,True,0.0002,0.0,0.0994
4,84,7.04313325881958,8.4,idle,terminated,-0.00041598023381084204,-0.034942340478316396,-0.034942340478316396,0.002590005623642351,0.002372609218582511,0.15,0.15,0.7024793388429752,1.8000000000000005,2.2500000000000004,3,9.56959033966064,8.399999999999986,0.00566357645580562,0.0,0.0014996690235117786,-0.09100096244187543,17,0.85,0.36597938144329895,0.3711340206185567,0.26288659793814434,0.36597938144329895,0.3711340206185567,0.26288659793814434,0.4933578510857409,0.03571428571428571,0.0,0.4887056577166444,0.8571144729852677,0.0,3.290049292031729e-11,2.285800194956611e-11,0.0,0.017543859649122806,0.800000011920929,0.20000000298023224,121,71,7.7278912414457945,0.011904761904761925,0.0,0.0,0.0,0.8845238095238095,0.11547619047619051,0.11547619047619051,0.0,0.0,0.00567601948613929,0.0035801682457874046,0.01892006495379769,0.26757151183659994,0.0,0.002493710835058968,0.23432747348688404,0.495607303841457,1680,0,0,0.0,unified_margin_term_illegal,0.0,-0.022019231207936547,-0.01389281197058364,0.0,0.09721449387317319,0.01389281197058364,0.0,0.5893883064772266,0.08422880779723345,0.3263828857255399,0.0394420629988114,2.452187180519104,2.452187180519104,2.4521872202555337,1.7223448554674785,0.011800761334598064,0.13321352253357568,3.8507192134857178,0.11547619047619048,0.11067708333333333,0.7293664111445347,4.824925502141316,1.0944941540559132,1,6,0.08361610770225525,0.07037302386015654,0,5,0,True,0.0002,0.0,0.099316
5,36,2.7925186157226562,3.6,idle,terminated,0.0022821875754743814,0.08215874626388397,0.08215874626388397,0.019302725326269865,0.005700487643480301,0.3,0.3,0.812206572769953,2.271428571428572,2.910000000000001,7,4.283671352863313,3.600000000000002,0.0053899610279539165,0.0,0.0020996785799096917,-0.0646610128548412,14,0.7,0.46113989637305697,0.36787564766839376,0.17098445595854922,0.46113989637305697,0.36787564766839376,0.17098445595854922,0.5005693801833938,0.19444444444444445,1.25,0.5009902264059022,0.8497656017541885,0.0,4.314850185482829e-10,3.570053974666365e-11,2.7351470255343404e-10,0.04,0.800000011920929,0.20000000298023224,100,89,17.93811841267593,0.027777777777777766,0.0,0.0,0.0,0.7319444444444444,0.2680555555555556,0.2680555555555556,0.0,0.0,0.01976568232053914,0.014270668863752079,0.0658856077351303,0.1305586161426043,0.0,0.0013199513467404298,0.3613107054284495,0.5068107270822059,720,0,0,0.0,unified_margin_term_illegal,0.0,-0.004369950818926164,-0.01476063787190031,0.0,0.09442258614932643,0.01476063787190031,0.0,0.46572156433159456,0.07280405717083434,0.46147437849757117,-0.06621890682727098,2.0312936544418334,2.0312936544418334,2.031293547153473,1.6675177335739135,0.0010429601185023784,0.11064763441681862,2.2758258402347566,0.26805555555555555,0.26953125,0.5578160285949707,2.727012848854065,0.7642510116100312,5,10,0.020167499780654907,0.01846577730029821,-1,-1,0,False,0.0002,0.0,0.09928000000000001
6,43,3.289710521697998,4.3,idle,terminated,0.0005771161522716284,0.0248159962685696,0.0248159962685696,0.013386459462344633,0.003466513007879257,0.25,0.25,0.8266666666666667,2.400000000000001,2.780000000000001,5,4.915014672279358,4.300000000000001,0.011908945698752683,0.01240676358905236,0.004524468310233338,-0.07881139225738001,15,0.75,0.45544554455445546,0.3811881188118812,0.16336633663366337,0.45544554455445546,0.3811881188118812,0.16336633663366337,0.4901793362832693,0.23255813953488372,1.0,0.48286861907426293,0.8391500115394592,0.0,4.2853705584100405e-10,3.113291222045511e-11,1.6213280856769424e-10,0.009708737864077669,0.800000011920929,0.20000000298023224,109,92,16.604060492567505,0.02325581395348837,0.0,0.0,0.0,0.7651162790697674,0.23488372093023258,0.23488372093023258,0.0,0.0,0.01370662935376511,0.008340770717850722,0.04568876451255065,0.16650389335782945,0.0,0.001848714644280874,0.3113396269424781,0.5203077650554115,860,0,0,0.0,unified_margin_term_illegal,0.0,-0.011251648651355016,-0.013802639070595044,0.0,0.08564727810025885,0.013802639070595044,0.0,0.7843954133471719,0.12641063463088037,0.0891939520219477,-0.023336517810821533,1.9825963815053305,1.9825963815053305,1.9825963894526164,1.6808604796727498,0.026324241360028585,0.07826383250455062,2.102497180302938,0.23488372093023255,0.23515625,0.5129666614967088,1.6470095713933308,2.4950894355773925,5,15,0.04677869752049446,0.044566541165113445,-1,-1,0,False,0.0002,0.0,0.099237
7,200,14.961355686187744,20.0,time_limit,time_limit,-0.0009428824414499104,-1.1885764872371993,-1.1885764872371993,0.0008452524343738304,0.0018432211363688111,0.3,0.3,0.7918367346938775,2.9000000000000012,3.950000000000001,7,20.680376911163336,20.000000000000014,0.0049153884032965755,0.0,0.0019933818133231166,-0.09599450859427615,14,0.7,0.43661971830985913,0.36619718309859156,0.19718309859154928,0.43661971830985913,0.36619718309859156,0.19718309859154928,0.497623097081203,0.055,0.0,0.4960219198011766,0.8495822608470914,0.0,0.0,7.788362836602669e-12,0.0,0.017543859649122806,0.800000011920929,0.20000000298023224,118,93,3.3325419155999985,0.0,1.0,0.0,0.0,0.94675,0.05325000000000002,0.05325000000000002,0.0,0.0,0.0022944919223255042,0.001387821420210852,0.007648306407751644,0.4905160656966809,0.0,0.0015266687722879514,0.20540303098794793,0.3025542345430833,4000,0,0,0.0,unified_margin_term_illegal,0.0,-0.007307203947341067,-0.013165860959438868,0.0,0.0664210964942135,0.013165860959438868,0.0,0.6115558156771974,0.12122140800315835,0.2672227763196443,-0.07016877540283734,1.2275945478015475,1.2275945478015475,1.2275945478015475,1.7726529439290364,0.011674156698669927,0.1419183611869812,1.941428992483351,0.05325,0.054253472222222224,0.11539371808369954,2.2268275817235312,0.966658525996738,1,9,0.08077720552682877,0.06669587790966033,0,8,0,True,0.0002,0.0,0.099037
8,88,7.231509447097778,8.8,idle,terminated,-0.0006133562419563532,-0.053975349417427126,-0.053975349417427126,0.0034691527369432123,0.0025257982779294252,0.15,0.15,0.6978723404255319,1.9333333333333336,2.3700000000000006,3,9.997606487274167,8.799999999999985,0.003878001782371321,0.0,0.0016598898899343481,-0.09090950649570294,17,0.85,0.5526315789473685,0.3,0.14736842105263157,0.5526315789473685,0.3,0.14736842105263157,0.4947944283993407,0.10227272727272728,0.0,0.49032544243172077,0.8587682604789733,0.0,0.0,6.7041702050962826e-12,0.0,0.02531645569620253,0.800000011920929,0.20000000298023224,83,105,7.3719227678161054,0.011363636363636385,0.0,0.0,0.0,0.8920454545454546,0.10795454545454541,0.10795454545454541,0.0,0.0,0.007371749086540617,0.0034589267533177005,0.024572496955135432,0.2820835970155617,0.0,0.00044680934730448156,0.2300474912897106,0.4874221023474232,1760,0,0,0.0,unified_margin_term_illegal,0.0,-0.01615422492113278,-0.014412001795206655,0.0,0.0954669707148495,0.014412001795206655,0.0,0.6711415509290295,0.10131769306598973,0.22754075600498078,0.01822298442801604,2.201684465775123,2.201684465775123,2.201684447435232,1.724911391735077,0.008850072698596004,0.08356570989753191,1.645293918939737,0.10795454545454546,0.10501802884615384,0.6406653443924509,5.102403246439421,0.539686279801222,5,26,0.10246577113866806,0.05735884886234999,4,1,0,True,0.0002,0.0,0.09894900000000001
9,200,16.515936374664307,20.0,time_limit,time_limit,-0.0007991125457920134,-1.1598225163280604,-1.1598225163280604,0.0012485958519391658,0.002190575934946537,0.15,0.15,0.6506024096385542,1.8000000000000005,2.0800000000000005,3,21.50920763015747,20.000000000000014,0.0016058710437873772,0.0,0.0004222014581244699,-0.09709016019105986,17,0.85,0.4639175257731959,0.33505154639175255,0.20103092783505155,0.4639175257731959,0.33505154639175255,0.20103092783505155,0.49890212979179344,0.01,0.0,0.4981192801572478,0.8610214054584503,0.0,0.0,6.539895361368231e-12,0.0,0.011363636363636364,0.800000011920929,0.20000000298023224,103,90,3.0152586607999985,0.0,1.0,0.0,0.0,0.9515,0.04849999999999999,0.04849999999999999,0.0,0.0,0.0020523689279302966,0.0009637231784141791,0.006841229759767639,0.41940926886442786,0.0,0.0009638440712310852,0.2421096098445226,0.3375172772198184,4000,0,0,0.0,unified_margin_term_illegal,0.0,-0.023518425274232053,-0.01339489980369182,0.0,0.09526531207691996,0.01339489980369182,0.0,0.6025873812224767,0.08472756156959713,0.3126850572079263,-0.255085825920105,2.0628325939178467,2.0628325939178467,2.0628326336542764,1.723341743151347,0.05024473244945208,0.041666666666666664,3.0318225224812827,0.0485,0.04296875,0.0,5.27048397064209,1.3599669138590496,1,3,0.12158873677253723,0.11122347600758074,0,2,0,True,0.0002,0.0,0.098749
10,200,15.599137306213379,20.0,time_limit,time_limit,-0.0007334302645176649,-1.1466860449960186,-1.1466860449960186,0.0009179275541100619,0.002160510513931513,0.15,0.15,0.7546296296296297,1.7000000000000004,2.2200000000000006,3,20.870520210266115,20.000000000000014,0.0023845096270217114,0.0,0.0005793184652220837,-0.09542004086077283,17,0.85,0.425531914893617,0.34574468085106386,0.22872340425531915,0.425531914893617,0.34574468085106386,0.22872340425531915,0.4992226623459719,0.025,0.0,0.49872776161370197,0.8600864350795744,0.0,0.0,5.118617335542197e-12,0.0,0.02040816326530612,0.800000011920929,0.20000000298023224,106,80,3.1281049611999974,0.0,1.0,0.0,0.0,0.953,0.04700000000000004,0.04700000000000004,0.0,0.0,0.002267610862966188,0.0016744521118716442,0.007558702876554081,0.44473364101639257,0.0,0.0008527667657145501,0.263195872173166,0.2912177200447269,4000,0,0,0.0,unified_margin_term_illegal,0.0,-0.006080895142230439,-0.013467875833025717,0.0,0.08637950959864055,0.013467875833025717,0.0,0.3645029463769481,0.056831538467706555,0.5786655151553454,-0.22083451598882675,2.711303234100342,2.711303234100342,2.7113033533096313,1.64276784658432,0.023055407451465726,0.043560607358813286,3.1833924651145935,0.047,0.0419921875,0.005000000353902578,3.388814330101013,2.580886662006378,1,4,0.07779892534017563,0.07091973088681697,0,3,0,True,0.0002,0.0,0.09854900000000001
