episode,policy,total_reward,avg_step_reward,loss,veh_success_rate,vehicle_success_rate,task_success_rate,subtask_success_rate,v2v_subtask_success_rate,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_queue_len,avg_veh_queue,avg_rsu_queue,ma_fairness,ma_reward_gap,ma_collaboration,max_agent_reward,min_agent_reward,avg_assigned_cpu_ghz,episode_vehicle_count,episode_task_count,duration
1,,28.093182720354193,0.14546591360177097,0.3711887730161349,0.9,0.9,0.9,0.991869918699187,1.0,0.2903225806451613,0.3387096774193548,0.3709677419354839,0.5067988136571366,0.082,0.082,0.67,0.8606945332186734,54.16875327272177,27.925,36.635791253799106,-17.532962018922664,8.161926409282344,20,20,3.4969241619110107
1,Random,27.85125018615367,0.13925625093076835,0.0,0.85,0.85,0.85,0.9919354838709677,0.9891304347826086,0.15075,0.1455,0.70375,0.6022064806964071,0.124,0.124,0.125,1.0,0.0,70.375,27.85125018615367,27.85125018615367,0.0,20,20,0.0
1,Local-Only,15.178762988023017,0.07589381494011509,0.0,0.7,0.7,0.7,0.925,0.0,1.0,0.0,0.0,1.0,0.15875,0.15875,0.0,1.0,0.0,0.0,15.178762988023017,15.178762988023017,0.0,20,20,0.0
1,Greedy,12.973429307767349,0.06486714653883674,0.0,0.6,0.6,0.6,0.7758620689655172,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.55,1.0,0.0,0.0,12.973429307767349,12.973429307767349,0.0,20,20,0.0
2,,21.17314853479439,0.11086574267397195,0.1789903947710991,0.8,0.8,0.8,0.9586776859504132,0.9142857142857143,0.375,0.3333333333333333,0.2916666666666667,0.5016860293555073,0.10325,0.10325,0.635,0.5407265854765162,53.95059917321046,28.849999999999998,34.31150563475384,-19.63909353845662,7.768265066865959,20,20,3.5515756607055664
2,Random,17.392612241692152,0.08696306120846076,0.0,0.7,0.7,0.7,0.9339622641509434,0.9506172839506173,0.14675,0.1435,0.70975,0.6016563647991372,0.11675,0.11675,0.03,1.0,0.0,70.975,17.392612241692152,17.392612241692152,0.0,20,20,0.0
2,Local-Only,17.668978517752652,0.08834489258876327,0.0,0.75,0.75,0.75,0.9122807017543859,0.0,1.0,0.0,0.0,1.0,0.18225,0.18225,0.0,1.0,0.0,0.0,17.668978517752652,17.668978517752652,0.0,20,20,0.0
2,Greedy,17.77712283653334,0.0888856141826667,0.0,0.7,0.7,0.7,0.8,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.775,1.0,0.0,0.0,17.77712283653334,17.77712283653334,0.0,20,20,0.0
3,,28.320818965917038,0.1466040948295852,0.07926604434847832,0.9,0.9,0.9,0.9922480620155039,1.0,0.24031007751937986,0.4573643410852713,0.3023255813953488,0.5094791894278023,0.06825,0.06825,0.985,0.8653959932100685,53.20828903062406,26.650000000000002,35.786121264042016,-17.42216776658204,7.944644211689978,20,20,3.526762008666992
3,Random,21.181167263606085,0.10590583631803042,0.0,0.75,0.75,0.75,0.9596774193548387,0.967391304347826,0.157,0.13725,0.70575,0.5933008016540431,0.13625,0.13625,0.07,1.0,0.0,70.575,21.181167263606085,21.181167263606085,0.0,20,20,0.0
3,Local-Only,8.177667916531389,0.040888339582656946,0.0,0.5,0.5,0.5,0.923728813559322,0.0,1.0,0.0,0.0,1.0,0.19925,0.19925,0.0,1.0,0.0,0.0,8.177667916531389,8.177667916531389,0.0,20,20,0.0
3,Greedy,12.916038755629703,0.06458019377814851,0.0,0.6,0.6,0.6,0.78125,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.02,1.0,0.0,0.0,12.916038755629703,12.916038755629703,0.0,20,20,0.0
4,,21.157061524890022,0.1107853076244501,0.049742107302881776,0.8,0.8,0.8,0.9672131147540983,0.9642857142857143,0.30578512396694213,0.4628099173553719,0.23140495867768596,0.49622700754739346,0.0605,0.0605,0.925,0.5592740870106044,52.75461032784063,27.85,34.09830220874558,-18.65630811909505,8.332930949866522,20,20,3.6222920417785645
4,Random,30.821725945368865,0.15410862972684433,0.0,0.95,0.95,0.95,1.0,1.0,0.142,0.13475,0.72325,0.6025447879328062,0.10425,0.10425,0.2,1.0,0.0,72.32499999999999,30.821725945368865,30.821725945368865,0.0,20,20,0.0
4,Local-Only,7.698043168916856,0.03849021584458428,0.0,0.55,0.55,0.55,0.8688524590163934,0.0,1.0,0.0,0.0,1.0,0.19375,0.19375,0.0,1.0,0.0,0.0,7.698043168916856,7.698043168916856,0.0,20,20,0.0
4,Greedy,12.645159726068991,0.06322579863034496,0.0,0.6,0.6,0.6,0.7982456140350878,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.695,1.0,0.0,0.0,12.645159726068991,12.645159726068991,0.0,20,20,0.0
5,,26.621546413662276,0.1381077320683114,0.047017734854792555,0.9,0.9,0.9,0.9661016949152542,1.0,0.20689655172413793,0.49137931034482757,0.3017241379310345,0.5031640330393565,0.0495,0.0495,1.115,0.7709046669413899,55.2170014641635,29.075,35.51673203621024,-19.700269427953263,8.127137054149186,20,20,3.546464204788208
5,Random,21.634186353793257,0.10817093176896629,0.0,0.75,0.75,0.75,0.9541284403669725,0.9746835443037974,0.14625,0.145,0.70875,0.5919502341378169,0.11975,0.11975,0.14,1.0,0.0,70.875,21.634186353793257,21.634186353793257,0.0,20,20,0.0
5,Local-Only,20.183226838342538,0.10091613419171269,0.0,0.8,0.8,0.8,0.9421487603305785,0.0,1.0,0.0,0.0,1.0,0.17425,0.17425,0.0,1.0,0.0,0.0,20.183226838342538,20.183226838342538,0.0,20,20,0.0
5,Greedy,13.02042470978574,0.06510212354892869,0.0,0.6,0.6,0.6,0.7094017094017094,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.75,1.0,0.0,0.0,13.02042470978574,13.02042470978574,0.0,20,20,0.0
