episode,r_total,reward_mean,task_success_rate,subtask_success_rate,mean_cft_est,energy_norm_mean,I_caused_mean,risk_penalty_mean,decision_frac_local,decision_frac_rsu,decision_frac_v2v
1,0.0002508444196796,0.0002508444304112,0.1,0.6198347107438017,21.2183367729187,0.0019424824025021,3.2339777557288674e-12,0.0054361554794013,0.3736263736263736,0.2967032967032967,0.3296703296703296
2,0.000510165962024,0.0005101659335196,0.15,0.618421052631579,21.2215238571167,0.0032857223201285,6.900529626874263e-12,0.02265365421772,0.3373493975903614,0.3674698795180723,0.2951807228915662
3,-0.0001064062388888,-0.0001064062525983,0.05,0.5805084745762712,21.418194007873534,0.0020203722987461,2.0638163487213257e-12,0.0248809102922678,0.4142011834319526,0.2366863905325443,0.3491124260355029
4,0.0007273613632416,0.0007273613591678,0.2,0.6437246963562753,17.37392601013183,0.0023117373456804,5.533120402828606e-12,0.0224169231951236,0.3263157894736842,0.3,0.3736842105263158
5,0.0008528222944441,0.000852822267916,0.1,0.6776859504132231,8.689724993705749,0.0047414466949013,3.832597000180682e-12,0.023785388097167,0.46,0.235,0.305
6,0.0001007832102174,0.0001007832179311,0.05,0.596244131455399,7.100932607650757,0.0074893087202743,1.6473182193332825e-11,0.0226289313286542,0.5192307692307693,0.2435897435897435,0.2371794871794871
7,0.0025729030364987,0.0025729031767696,0.2,0.7777777777777778,5.09144024848938,0.0049335754619078,1.8456897468710487e-11,0.0198482945561409,0.5505050505050505,0.2323232323232323,0.2171717171717171
8,0.0054466633656023,0.0054466635920107,0.5,0.8979591836734694,4.655790748596191,0.0045233389764106,1.527756740560271e-11,0.0123656513169407,0.4273504273504273,0.3504273504273504,0.2222222222222222
9,0.000785307995324,0.0007853080169297,0.2,0.6991525423728814,21.320756435394287,0.0027998700938729,6.4990248425933475e-12,0.0149613646790385,0.4427860696517413,0.3184079601990049,0.2388059701492537
10,0.0001691370479774,0.0001691370416665,0.05,0.7108433734939759,10.669214496612543,0.0024494227947442,1.1029279919916311e-11,0.0210132300853729,0.4902912621359223,0.2475728155339805,0.2621359223300971
11,0.0003863581343539,0.0003863581514451,0.25,0.7962962962962963,20.83026008605957,0.0021287971196307,3.4621112400545773e-12,0.0191151369363069,0.4554973821989528,0.3193717277486911,0.225130890052356
12,0.0003379687308979,0.0003379687259439,0.15,0.6798245614035088,21.11826515197754,0.0014841725968005,4.869013178754322e-12,0.0237220432609319,0.4777777777777778,0.2444444444444444,0.2777777777777778
13,8.867818790431767e-05,8.867816359270364e-05,0.05,0.5753968253968254,14.01432409286499,0.0027540105751894,5.737637361752368e-12,0.024209065362811,0.4886363636363636,0.2556818181818182,0.2556818181818182
14,0.0035720358996679,0.0035720360465347,0.2,0.7922077922077922,4.75326786518097,0.0066703008846438,3.5336164549981675e-11,0.0197434592992067,0.3557692307692308,0.3365384615384615,0.3076923076923077
15,0.0003321023770658,0.0003321024123579,0.05,0.7071129707112971,7.708858428001403,0.0119492176904033,2.2351672596121475e-11,0.0115160010755062,0.4079601990049751,0.3134328358208955,0.2786069651741293
16,0.0004995692808166,0.0004995692288503,0.1,0.5970149253731343,21.293919944763186,0.0036703274192175,6.277642034674402e-12,0.018841141834855,0.3724489795918367,0.3316326530612244,0.2959183673469387
17,0.0001323653030794,0.0001323653559666,0.0,0.6593886462882096,6.035531520843506,0.0115205499945517,1.9828735875471185e-11,0.0227838736027479,0.2954545454545454,0.3522727272727273,0.3522727272727273
18,0.0003507977365636,0.000350797723513,0.15,0.6027397260273972,14.740149221420284,0.0053111061857935,8.970948116304722e-12,0.0171849709004163,0.2982456140350877,0.3157894736842105,0.3859649122807017
19,2.3659966689819655e-05,2.3659949874854647e-05,0.0,0.6371308016877637,8.823207635879516,0.0087151688763544,1.6552200582387044e-11,0.0213543698191642,0.247191011235955,0.3595505617977528,0.3932584269662921
20,0.0005013158022145,0.0005013158661313,0.15,0.6175298804780877,21.458208751678463,0.0037317587858332,7.046978452163177e-12,0.0216359980404377,0.2864864864864865,0.372972972972973,0.3405405405405405
21,0.0015376478573416,0.00153764791321,0.15,0.7361702127659574,7.125136651992797,0.0081517960548084,1.6663972285391182e-11,0.0213686227798461,0.2857142857142857,0.3265306122448979,0.3877551020408163
22,-5.150033749857594e-05,-5.150033030076884e-05,0.0,0.5353982300884956,21.632970809936523,0.0039188097242494,7.71053013104428e-12,0.0216659326106309,0.2981366459627329,0.3229813664596273,0.3788819875776397
23,0.0007963475189823,0.0007963476236909,0.1,0.759656652360515,10.688345956802369,0.005069128130842,1.3025440101510632e-11,0.0195919834077358,0.2385786802030456,0.4619289340101523,0.299492385786802
24,-0.0001029712953145,-0.0001029712948366,0.0,0.6779661016949152,17.95334243774414,0.0039471029106775,8.965807263283665e-12,0.0218462496995925,0.2513089005235602,0.3821989528795811,0.3664921465968586
25,4.467026395818989e-05,4.467025428311899e-05,0.05,0.5126050420168067,21.672903633117677,0.0029248785967419,2.7955686810604567e-12,0.0234308708459138,0.2222222222222222,0.3395061728395062,0.4382716049382716
26,0.0006062770642343,0.0006062769680283,0.2,0.6808510638297872,17.495611171722405,0.0047070086659983,6.552852011010302e-12,0.0220110435038805,0.2108108108108108,0.4,0.3891891891891892
27,0.0003152003073469,0.0003152003337163,0.15,0.7290836653386454,20.524366664886475,0.0022189142217947,6.297108234160076e-12,0.0193607341498136,0.1835748792270531,0.4347826086956521,0.3816425120772946
28,0.0030866133744721,0.0030866132583469,0.4,0.7777777777777778,6.961013460159299,0.0138547997510532,2.4207857940439223e-11,0.0181086603552103,0.1458333333333333,0.5416666666666666,0.3125
29,0.001450511917421,0.0014505117433145,0.05,0.7533632286995515,4.6913688039779675,0.0268103071639297,3.950430954580142e-11,0.0199462007731199,0.1308900523560209,0.518324607329843,0.3507853403141361
30,0.0017433773524484,0.0017433773027732,0.3,0.7916666666666666,10.783497190475456,0.0151066845879199,2.5512857451670534e-11,0.011740275658667,0.1469194312796208,0.5497630331753555,0.3033175355450237
31,0.0003478350473065,0.0003478350990917,0.15,0.6991869918699187,21.14858274459839,0.0075367212857886,8.515197227887406e-12,0.0194173604249954,0.1538461538461538,0.4666666666666667,0.3794871794871794
32,0.003770186724286,0.003770186798647,0.3,0.8050847457627118,4.974046463966371,0.0153637994893514,3.9187032091492207e-11,0.0182018987834453,0.1627906976744186,0.5674418604651162,0.2697674418604651
33,0.0004354703875341,0.0004354703996796,0.35,0.7338709677419355,18.38674798965453,0.0061157682196165,1.408938851005237e-11,0.012182904407382,0.1428571428571428,0.5467980295566502,0.3103448275862069
34,0.0017908032284221,0.0017908030422404,0.4,0.7869565217391304,12.240510911941518,0.0062493971934678,1.995417199529559e-11,0.0195546243339777,0.18,0.465,0.355
35,0.0023909018502873,0.0023909015581011,0.35,0.7972972972972973,6.446913504600525,0.0291981417092022,4.193612124225865e-11,0.0195351671427488,0.1776649746192893,0.4923857868020304,0.3299492385786802
36,0.0015831375748605,0.0015831376658752,0.25,0.7489878542510121,6.964847493171692,0.0133965459910144,2.5533396577626096e-11,0.016583202406764,0.1715686274509804,0.4754901960784313,0.3529411764705882
37,0.0022151493887944,0.002215149346739,0.25,0.6666666666666666,7.318654370307921,0.0118769072264927,1.860153177324353e-11,0.0184381287544965,0.1589743589743589,0.4923076923076923,0.3487179487179487
38,0.0045766857028966,0.0045766858384013,0.3,0.8464566929133859,4.633721408843995,0.0219219809454101,3.722736008349159e-11,0.0134310601279139,0.1428571428571428,0.6017316017316018,0.2554112554112554
39,0.0023263735507643,0.0023263739421963,0.3,0.8093385214007782,8.536032757759092,0.0133056661121682,3.15984460819152e-11,0.0108011765405535,0.141025641025641,0.5683760683760684,0.2905982905982906
40,0.000284718574929,0.0002847185824066,0.15,0.7543859649122807,20.997506523132323,0.0056534350876714,8.582664960676833e-12,0.0184410344809293,0.1675392670157068,0.518324607329843,0.3141361256544502
41,0.0004892536797152,0.0004892536089755,0.15,0.7845528455284553,20.92611064910889,0.0041546566505432,9.284515864460552e-12,0.0176203213632106,0.2546296296296296,0.5324074074074074,0.2129629629629629
42,0.0045675900987475,0.0045675905421376,0.35,0.7872340425531915,4.972225904464723,0.0361935655834924,4.695184172009981e-11,0.0165605302900075,0.1504854368932038,0.6019417475728155,0.2475728155339805
43,0.0036474903922004,0.0036474904045462,0.25,0.7874015748031497,5.68100576877594,0.0156901122695985,3.9065094908918845e-11,0.0105604203417897,0.2093023255813953,0.6232558139534884,0.1674418604651162
44,0.0029982276288603,0.0029982274863868,0.25,0.7426160337552743,5.191226482391358,0.02090774190541,4.3291925599930885e-11,0.0134634217247366,0.2010050251256281,0.6231155778894473,0.1758793969849246
45,0.0019780814335505,0.0019780814182013,0.35,0.8377192982456141,9.33191214561462,0.0038843183424535,1.188115144462598e-11,0.0124852322041988,0.144927536231884,0.5797101449275363,0.2753623188405797
46,0.0067067747645152,0.0067067751660943,0.4,0.8582677165354331,4.2509824609756475,0.0237184117296077,7.939994495220759e-11,0.0143338711932301,0.2284482758620689,0.6293103448275862,0.1422413793103448
47,0.0047030846429594,0.0047030844725668,0.55,0.8361344537815126,5.156426229476928,0.0174848976413523,3.445910570776256e-11,0.0109345251694321,0.2270531400966183,0.5893719806763285,0.1835748792270531
48,0.0065860952160929,0.0065860953181982,0.5,0.7890295358649789,4.889999985694885,0.0206043784156116,3.2134978705800066e-11,0.014472622424364,0.25,0.545,0.205
49,0.0009115138893205,0.0009115138673223,0.35,0.7797356828193832,14.265672521591176,0.0076400712191887,1.5686962145933236e-11,0.0142239434644579,0.2474747474747475,0.4848484848484848,0.2676767676767677
50,0.0042175879917031,0.0042175874114036,0.25,0.853448275862069,4.128041744232179,0.0333338203992224,6.080489584059379e-11,0.0185437947511672,0.1761904761904762,0.5571428571428572,0.2666666666666666
51,0.0008264330196839,0.0008264330099336,0.35,0.8325991189427313,20.593581199646003,0.003392007155312,9.459742017492444e-12,0.0109708821401,0.1739130434782608,0.5362318840579711,0.2898550724637681
52,0.0012846202888482,0.0012846202589571,0.15,0.8165938864628821,7.544676170349119,0.0113007433169112,2.0819542270733568e-11,0.0200877785682678,0.2623762376237624,0.4554455445544554,0.2821782178217821
