window,method,policy,n,on_task_rate_mean,illegal_action_rate_all_steps_mean,illegal_action_rate_on_task_mean,unified_illegal_trigger_rate_all_steps_mean,unified_illegal_trigger_rate_on_task_mean,decision_frac_local_all_steps_mean,decision_frac_local_on_task_mean,decision_frac_rsu_all_steps_mean,decision_frac_rsu_on_task_mean,decision_frac_v2v_all_steps_mean,decision_frac_v2v_on_task_mean
全程,CP-EFT,CP-EFT,120,0.08074915987931214,0.0,0.0,0.0,0.0,0.9406479822340504,0.9406479822340504,0.030078278730831815,0.030078278730831815,0.02927373903511769,0.02927373903511769
全程,EFT,EFT,120,0.08382328892821476,0.0,0.0,0.0,0.0,0.9271777817499426,0.9271777817499426,0.03684040578490508,0.03684040578490508,0.035981812465152335,0.035981812465152335
全程,Greedy,Greedy,120,0.18052681876262128,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
全程,LB-Greedy,LB-Greedy,120,0.07271596375208186,0.0,0.0,0.0,0.0,0.9348488320706125,0.9348488320706125,0.03054711069159227,0.03054711069159227,0.03460405723779521,0.03460405723779521
全程,Local-Only,Local-Only,120,0.1314449002254446,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
全程,Random,Random,120,0.028041666666666624,0.0,0.0,0.0,0.0,0.08957916666666667,0.08957916666666667,0.10496666666666667,0.10496666666666667,0.8054541666666667,0.8054541666666667
全程,Static,Static,120,0.16952493640654503,0.0,0.0,0.0,0.0,0.1314373779234508,0.1314373779234508,0.8685626220765492,0.8685626220765492,0.0,0.0
全程,当前算法(MAPPO),MAPPO,800,0.12993669371355512,0.0,0.0,0.0,0.0,0.11396356811822775,0.11396356811822775,0.6360232804785776,0.6360232804785776,0.2500131514031945,0.2500131514031945
末100,CP-EFT,CP-EFT,100,0.08128053258092102,0.0,0.0,0.0,0.0,0.9401707117116223,0.9401707117116223,0.030331555273419252,0.030331555273419252,0.02949773301495835,0.02949773301495835
末100,EFT,EFT,100,0.08388141445579322,0.0,0.0,0.0,0.0,0.9270445477773503,0.9270445477773503,0.03686550307091835,0.03686550307091835,0.03608994915173119,0.03608994915173119
末100,Greedy,Greedy,100,0.1800934567674545,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
末100,LB-Greedy,LB-Greedy,100,0.07293665650249825,0.0,0.0,0.0,0.0,0.9347110984847352,0.9347110984847352,0.03058153282991072,0.03058153282991072,0.03470736868535423,0.03470736868535423
末100,Local-Only,Local-Only,100,0.13109529560533778,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
末100,Random,Random,100,0.027917499999999956,0.0,0.0,0.0,0.0,0.08992500000000002,0.08992500000000002,0.10521749999999999,0.10521749999999999,0.8048575000000001,0.8048575000000001
末100,Static,Static,100,0.1681662246291684,0.0,0.0,0.0,0.0,0.13229806816626058,0.13229806816626058,0.8677019318337392,0.8677019318337392,0.0,0.0
末100,当前算法(MAPPO),MAPPO,100,0.19569364663305755,0.0,0.0,0.0,0.0,0.000294141411423713,0.000294141411423713,0.9986277927071484,0.9986277927071484,0.001078065881427807,0.001078065881427807
末300,CP-EFT,CP-EFT,120,0.08074915987931214,0.0,0.0,0.0,0.0,0.9406479822340504,0.9406479822340504,0.030078278730831815,0.030078278730831815,0.02927373903511769,0.02927373903511769
末300,EFT,EFT,120,0.08382328892821476,0.0,0.0,0.0,0.0,0.9271777817499426,0.9271777817499426,0.03684040578490508,0.03684040578490508,0.035981812465152335,0.035981812465152335
末300,Greedy,Greedy,120,0.18052681876262128,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
末300,LB-Greedy,LB-Greedy,120,0.07271596375208186,0.0,0.0,0.0,0.0,0.9348488320706125,0.9348488320706125,0.03054711069159227,0.03054711069159227,0.03460405723779521,0.03460405723779521
末300,Local-Only,Local-Only,120,0.1314449002254446,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
末300,Random,Random,120,0.028041666666666624,0.0,0.0,0.0,0.0,0.08957916666666667,0.08957916666666667,0.10496666666666667,0.10496666666666667,0.8054541666666667,0.8054541666666667
末300,Static,Static,120,0.16952493640654503,0.0,0.0,0.0,0.0,0.1314373779234508,0.1314373779234508,0.8685626220765492,0.8685626220765492,0.0,0.0
末300,当前算法(MAPPO),MAPPO,300,0.19547910469699128,0.0,0.0,0.0,0.0,0.0004052311142017647,0.0004052311142017647,0.9976405913748636,0.9976405913748636,0.0019541775109347525,0.0019541775109347525
末500,CP-EFT,CP-EFT,120,0.08074915987931214,0.0,0.0,0.0,0.0,0.9406479822340504,0.9406479822340504,0.030078278730831815,0.030078278730831815,0.02927373903511769,0.02927373903511769
末500,EFT,EFT,120,0.08382328892821476,0.0,0.0,0.0,0.0,0.9271777817499426,0.9271777817499426,0.03684040578490508,0.03684040578490508,0.035981812465152335,0.035981812465152335
末500,Greedy,Greedy,120,0.18052681876262128,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
末500,LB-Greedy,LB-Greedy,120,0.07271596375208186,0.0,0.0,0.0,0.0,0.9348488320706125,0.9348488320706125,0.03054711069159227,0.03054711069159227,0.03460405723779521,0.03460405723779521
末500,Local-Only,Local-Only,120,0.1314449002254446,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
末500,Random,Random,120,0.028041666666666624,0.0,0.0,0.0,0.0,0.08957916666666667,0.08957916666666667,0.10496666666666667,0.10496666666666667,0.8054541666666667,0.8054541666666667
末500,Static,Static,120,0.16952493640654503,0.0,0.0,0.0,0.0,0.1314373779234508,0.1314373779234508,0.8685626220765492,0.8685626220765492,0.0,0.0
末500,当前算法(MAPPO),MAPPO,500,0.18201303552308354,0.0,0.0,0.0,0.0,0.019495722438321293,0.019495722438321293,0.9046839630947101,0.9046839630947101,0.0758203144669686,0.0758203144669686
