phase,method,policy,metric_id,metric_cn,direction,mean,std,n,matched_k,stat_basis
后期,当前算法(MAPPO),MAPPO,mean_cft_est,平均完工时间估计,lower,13.642842901309312,1.855588116112515,120,120,matched_tail_raw_baseline
中期,CP-EFT,CP-EFT,power_ratio_mean,远端功率比例,lower,0.14570051250460375,0.029249685628621413,120,120,matched_tail_raw_baseline
中期,EFT,EFT,power_ratio_mean,远端功率比例,lower,0.1726962794433827,0.03101514796362264,120,120,matched_tail_raw_baseline
中期,Greedy,Greedy,power_ratio_mean,远端功率比例,lower,1.0,0.0,120,120,matched_tail_raw_baseline
中期,LB-Greedy,LB-Greedy,power_ratio_mean,远端功率比例,lower,0.17809187362840243,0.036218837387885915,120,120,matched_tail_raw_baseline
中期,Local-Only,Local-Only,power_ratio_mean,远端功率比例,lower,0.0,0.0,120,120,matched_tail_raw_baseline
中期,Random,Random,power_ratio_mean,远端功率比例,lower,0.6003429079528269,0.0037613271860862177,120,120,matched_tail_raw_baseline
中期,Static,Static,power_ratio_mean,远端功率比例,lower,1.0,0.0,120,120,matched_tail_raw_baseline
中期,当前算法(MAPPO),MAPPO,power_ratio_mean,远端功率比例,lower,0.47877643541884896,0.018384785580140825,120,120,matched_tail_raw_baseline
前期,CP-EFT,CP-EFT,power_ratio_mean,远端功率比例,lower,0.14570051250460375,0.029249685628621413,120,120,matched_tail_raw_baseline
前期,EFT,EFT,power_ratio_mean,远端功率比例,lower,0.1726962794433827,0.03101514796362264,120,120,matched_tail_raw_baseline
前期,Greedy,Greedy,power_ratio_mean,远端功率比例,lower,1.0,0.0,120,120,matched_tail_raw_baseline
前期,LB-Greedy,LB-Greedy,power_ratio_mean,远端功率比例,lower,0.17809187362840243,0.036218837387885915,120,120,matched_tail_raw_baseline
前期,Local-Only,Local-Only,power_ratio_mean,远端功率比例,lower,0.0,0.0,120,120,matched_tail_raw_baseline
前期,Random,Random,power_ratio_mean,远端功率比例,lower,0.6003429079528269,0.0037613271860862177,120,120,matched_tail_raw_baseline
前期,Static,Static,power_ratio_mean,远端功率比例,lower,1.0,0.0,120,120,matched_tail_raw_baseline
前期,当前算法(MAPPO),MAPPO,power_ratio_mean,远端功率比例,lower,0.4727295254024008,0.01121617724133074,120,120,matched_tail_raw_baseline
后期,CP-EFT,CP-EFT,power_ratio_mean,远端功率比例,lower,0.14570051250460375,0.029249685628621413,120,120,matched_tail_raw_baseline
后期,EFT,EFT,power_ratio_mean,远端功率比例,lower,0.1726962794433827,0.03101514796362264,120,120,matched_tail_raw_baseline
后期,Greedy,Greedy,power_ratio_mean,远端功率比例,lower,1.0,0.0,120,120,matched_tail_raw_baseline
后期,LB-Greedy,LB-Greedy,power_ratio_mean,远端功率比例,lower,0.17809187362840243,0.036218837387885915,120,120,matched_tail_raw_baseline
后期,Local-Only,Local-Only,power_ratio_mean,远端功率比例,lower,0.0,0.0,120,120,matched_tail_raw_baseline
后期,Random,Random,power_ratio_mean,远端功率比例,lower,0.6003429079528269,0.0037613271860862177,120,120,matched_tail_raw_baseline
后期,Static,Static,power_ratio_mean,远端功率比例,lower,1.0,0.0,120,120,matched_tail_raw_baseline
后期,当前算法(MAPPO),MAPPO,power_ratio_mean,远端功率比例,lower,0.5573420215009612,0.014785127292866133,120,120,matched_tail_raw_baseline
中期,CP-EFT,CP-EFT,reward_mean,平均步奖励,higher,-0.9442805932912672,0.4705456630300921,120,120,matched_tail_raw_baseline
中期,EFT,EFT,reward_mean,平均步奖励,higher,-0.8383110079388587,0.4175538835790985,120,120,matched_tail_raw_baseline
中期,Greedy,Greedy,reward_mean,平均步奖励,higher,-0.007856369112832736,0.012494840980851709,120,120,matched_tail_raw_baseline
中期,LB-Greedy,LB-Greedy,reward_mean,平均步奖励,higher,-0.9984543436057727,0.5973117968881811,120,120,matched_tail_raw_baseline
中期,Local-Only,Local-Only,reward_mean,平均步奖励,higher,-0.30654761160626975,0.06921399236228186,120,120,matched_tail_raw_baseline
中期,Random,Random,reward_mean,平均步奖励,higher,-1.777590901471946,0.8272904179023277,120,120,matched_tail_raw_baseline
中期,Static,Static,reward_mean,平均步奖励,higher,-0.045137636987645204,0.028938515869122394,120,120,matched_tail_raw_baseline
中期,当前算法(MAPPO),MAPPO,reward_mean,平均步奖励,higher,-0.057230880132253,0.07414477177938456,120,120,matched_tail_raw_baseline
前期,CP-EFT,CP-EFT,reward_mean,平均步奖励,higher,-0.9442805932912672,0.4705456630300921,120,120,matched_tail_raw_baseline
前期,EFT,EFT,reward_mean,平均步奖励,higher,-0.8383110079388587,0.4175538835790985,120,120,matched_tail_raw_baseline
前期,Greedy,Greedy,reward_mean,平均步奖励,higher,-0.007856369112832736,0.012494840980851709,120,120,matched_tail_raw_baseline
前期,LB-Greedy,LB-Greedy,reward_mean,平均步奖励,higher,-0.9984543436057727,0.5973117968881811,120,120,matched_tail_raw_baseline
前期,Local-Only,Local-Only,reward_mean,平均步奖励,higher,-0.30654761160626975,0.06921399236228186,120,120,matched_tail_raw_baseline
前期,Random,Random,reward_mean,平均步奖励,higher,-1.777590901471946,0.8272904179023277,120,120,matched_tail_raw_baseline
前期,Static,Static,reward_mean,平均步奖励,higher,-0.045137636987645204,0.028938515869122394,120,120,matched_tail_raw_baseline
前期,当前算法(MAPPO),MAPPO,reward_mean,平均步奖励,higher,-1.4318039581179618,0.7420450906126845,120,120,matched_tail_raw_baseline
后期,CP-EFT,CP-EFT,reward_mean,平均步奖励,higher,-0.9442805932912672,0.4705456630300921,120,120,matched_tail_raw_baseline
后期,EFT,EFT,reward_mean,平均步奖励,higher,-0.8383110079388587,0.4175538835790985,120,120,matched_tail_raw_baseline
后期,Greedy,Greedy,reward_mean,平均步奖励,higher,-0.007856369112832736,0.012494840980851709,120,120,matched_tail_raw_baseline
后期,LB-Greedy,LB-Greedy,reward_mean,平均步奖励,higher,-0.9984543436057727,0.5973117968881811,120,120,matched_tail_raw_baseline
后期,Local-Only,Local-Only,reward_mean,平均步奖励,higher,-0.30654761160626975,0.06921399236228186,120,120,matched_tail_raw_baseline
后期,Random,Random,reward_mean,平均步奖励,higher,-1.777590901471946,0.8272904179023277,120,120,matched_tail_raw_baseline
后期,Static,Static,reward_mean,平均步奖励,higher,-0.045137636987645204,0.028938515869122394,120,120,matched_tail_raw_baseline
后期,当前算法(MAPPO),MAPPO,reward_mean,平均步奖励,higher,-0.010317103270305458,0.014033406400572204,120,120,matched_tail_raw_baseline
中期,CP-EFT,CP-EFT,rho_selected_p10,远端信誉分位数(p10),higher,0.47053379935522877,0.05867985786583806,120,120,matched_tail_raw_baseline
中期,EFT,EFT,rho_selected_p10,远端信誉分位数(p10),higher,0.46507791755100086,0.06442626466591964,120,120,matched_tail_raw_baseline
中期,Greedy,Greedy,rho_selected_p10,远端信誉分位数(p10),higher,0.6189810937643051,0.1531062501828787,120,120,matched_tail_raw_baseline
