window,n,task_success_rate,subtask_success_rate,deadline_miss_rate,time_limit_rate,mean_cft_est,reward_mean,decision_local_frac,decision_rsu_frac,decision_v2v_frac,illegal_action_rate,no_task_rate,unified_illegal_trigger_rate,abs_ratio_r_time,abs_ratio_r_energy,abs_ratio_r_interf,abs_ratio_r_risk,abs_ratio_r_illegal,trust_failure_rate,rho_selected_p10,uncertainty_selected_p90,I_total_p95,I_caused_p95,avail_V,neighbor_count_mean,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu
全程,600,0.5765,0.7665455335425507,0.42350000000000004,0.31166666666666665,8.563505676323176,-0.08665881429255631,0.8208034082657059,0.024964447785524757,0.15423214394876933,0.0,0.5336017163204752,0.0,0.17848673388963066,0.05758170427554923,0.30151043329551364,0.003782233215098577,0.0,0.11840201175041941,0.2503414023866256,0.25583333333333336,2.121714237875185e-06,2.121714237875185e-06,0.52363216647784,9.94901116307896,0.0009316013908672586,0.03684183976519006
末500,500,0.6905,0.8799828558332208,0.3095,0.222,6.459320764148236,-0.009295735974796137,0.9168366561511162,0.016946360478229092,0.0662169833706547,0.0,0.445473747453041,0.0,0.19600334190663923,0.06889654602567595,0.18267900105186063,0.003514699824596574,0.0,0.10206817231239308,0.20077634950876236,0.207,6.080938024377444e-07,6.080938024377444e-07,0.5232145175592857,9.94107583362643,0.0010822207330607025,0.021378884745564427
末300,300,0.8771666666666665,0.9940150084904961,0.12283333333333331,0.0,1.5832995721499128,0.08438100567708408,0.9996351577574564,8.559468709388e-05,0.000279247555449914,0.0,0.2454561741363212,0.0,0.16437906934877097,0.09086191525359853,0.0,0.00016353282119032633,0.0,0.03166666666666667,0.04,0.04,0.0,0.0,0.5241916451668386,9.959641258169935,0.0013376809056956096,0.005792428149720076
末200,200,0.8780000000000001,0.9942055771359997,0.122,0.0,1.583124974280596,0.08463615149259564,0.9996022551556116,6.46294164945525e-05,0.0003331154278937835,0.0,0.24496461834733893,0.0,0.1643780581035526,0.09032885852127308,0.0,0.0001814439176118865,0.0,0.0475,0.045,0.045,0.0,0.0,0.5192546356700575,9.865838077731093,0.0013428308823529383,0.005749669866578523
末100,100,0.8740000000000002,0.9942399556610428,0.126,0.0,1.585625953006745,0.08473367813974617,0.9997539219586712,3.8461538461538e-05,0.00020761650286726499,0.0,0.24781470588235296,0.0,0.16477869006529422,0.08918629187961445,0.0,0.00012375168872430698,0.0,0.05,0.03,0.03,0.0,0.0,0.519766447368421,9.8755625,0.0015794117647058787,0.005750412349535313
末50,50,0.8740000000000001,0.9941310608892454,0.126,0.0,1.5846176312923435,0.08577780157327648,0.9996734931388253,7.6923076923076e-05,0.000249583784251576,0.0,0.2479669117647059,0.0,0.16548804392920907,0.08460956332424159,0.0,0.000172988475281904,0.0,0.08,0.04,0.04,0.0,0.0,0.5201083333333333,9.882058333333333,0.001321323529411762,0.005784242271134793
