window,method,policy,metric_id,metric_cn,direction,mean,std,p10,p50,p90,ci95_low,ci95_high,n,matched_k,stat_basis,rank
末500,EFT,EFT,deadline_miss_rate,超时失败率,lower,74.95833333333333,10.971617955444131,60.0,75.0,85.50000000000004,73.0,76.83333333333333,120,120,matched_tail_raw_baseline,6.0
末500,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,78.75,10.416736694442484,65.0,80.0,90.0,76.875,80.58333333333333,120,120,matched_tail_raw_baseline,7.0
末500,Random,Random,deadline_miss_rate,超时失败率,lower,100.0,0.0,100.0,100.0,100.0,100.0,100.0,120,120,matched_tail_raw_baseline,8.0
全程,当前算法(MAPPO),MAPPO,mean_cft_est,平均完工时间估计,lower,11.363407694578152,2.0232698536549605,9.089999999999984,10.913370976448043,14.19081600379942,11.01838727545339,11.736964321772238,120,120,matched_tail_raw_baseline,1.0
全程,Greedy,Greedy,mean_cft_est,平均完工时间估计,lower,12.946485356171907,1.9419294910740517,10.456673868179301,12.754724507331826,15.554769865036011,12.601815019601565,13.297417884045819,120,120,matched_tail_raw_baseline,2.0
全程,Static,Static,mean_cft_est,平均完工时间估计,lower,13.999244620561576,1.83774051238524,11.588816027641279,13.95916125297544,16.30644328880307,13.671790028295893,14.339845145038742,120,120,matched_tail_raw_baseline,3.0
全程,Local-Only,Local-Only,mean_cft_est,平均完工时间估计,lower,15.589244191726028,1.6162308171661823,13.560783787727331,15.487709255218482,17.785798133850083,15.312411540245987,15.878483587598778,120,120,matched_tail_raw_baseline,4.0
全程,CP-EFT,CP-EFT,mean_cft_est,平均完工时间估计,lower,22.570087851842246,2.228554026001261,19.886417360305774,23.19856886863709,24.138834629058838,22.184341225568456,22.968184232626356,120,120,matched_tail_raw_baseline,5.0
全程,EFT,EFT,mean_cft_est,平均完工时间估计,lower,23.68301264293989,1.7745337186370578,22.213193588256843,23.875440359115604,25.396185712814333,23.354907653601963,23.97907557114363,120,120,matched_tail_raw_baseline,6.0
全程,LB-Greedy,LB-Greedy,mean_cft_est,平均完工时间估计,lower,23.732529706557592,1.6526173649400933,22.541061546325686,23.834211874008183,25.456740074157718,23.44168308921655,24.002129614806172,120,120,matched_tail_raw_baseline,7.0
全程,Random,Random,mean_cft_est,平均完工时间估计,lower,25.53347256978353,0.6575999728014331,24.7397289276123,25.47254467010498,26.30179958343506,25.417930618127187,25.645128925641377,120,120,matched_tail_raw_baseline,8.0
末100,当前算法(MAPPO),MAPPO,mean_cft_est,平均完工时间估计,lower,11.33592985239027,2.014605270262882,8.990617335319502,10.913370976448043,14.19081600379942,10.959232157783491,11.73831997462986,100,100,matched_tail_raw_baseline,1.0
末100,Greedy,Greedy,mean_cft_est,平均完工时间估计,lower,13.101088199806192,1.9946866136728647,10.821966212272624,12.846161241531355,16.177735162734976,12.730707609992008,13.512004049005489,100,100,matched_tail_raw_baseline,2.0
末100,Static,Static,mean_cft_est,平均完工时间估计,lower,14.048312020587899,1.8095112366814916,11.995832153320285,14.029297189712501,16.3385468521118,13.703477443225362,14.408592248663881,100,100,matched_tail_raw_baseline,3.0
末100,Local-Only,Local-Only,mean_cft_est,平均完工时间估计,lower,15.615557783985114,1.581304628699933,13.81783426284788,15.486764087676981,17.785798133850083,15.333306230797742,15.924800994214989,100,100,matched_tail_raw_baseline,4.0
末100,CP-EFT,CP-EFT,mean_cft_est,平均完工时间估计,lower,22.61285504980087,2.1936093521247035,21.294996829986577,23.169443464279176,24.176891527175904,22.144740141968732,23.0156969357419,100,100,matched_tail_raw_baseline,5.0
末100,EFT,EFT,mean_cft_est,平均完工时间估计,lower,23.56975980195999,1.8559157974597436,22.094003896713264,23.77283110618592,25.3130054473877,23.218461365237236,23.920162297751904,100,100,matched_tail_raw_baseline,6.0
末100,LB-Greedy,LB-Greedy,mean_cft_est,平均完工时间估计,lower,23.610856414318086,1.7236023414566284,22.46238988685608,23.739107036590582,24.952629251480104,23.270315376543998,23.93310460162878,100,100,matched_tail_raw_baseline,7.0
末100,Random,Random,mean_cft_est,平均完工时间估计,lower,25.572516803741454,0.664292380076477,24.756037330627443,25.499110221862793,26.363780212402347,25.45134686231613,25.69749223613739,100,100,matched_tail_raw_baseline,8.0
末300,当前算法(MAPPO),MAPPO,mean_cft_est,平均完工时间估计,lower,11.363407694578152,2.0232698536549605,9.089999999999984,10.913370976448043,14.19081600379942,11.026223922449331,11.737133875588556,120,120,matched_tail_raw_baseline,1.0
