source,metric,mean
Ours (MAPPO),f_max,0.0
Ours (MAPPO),d_cp_lb,0.0
Ours (MAPPO),rate_best,0.0
Ours (MAPPO),comm_lb,0.0
Ours (MAPPO),queue_lb,0.0
Ours (MAPPO),lb,0.0
Ours (MAPPO),phi,0.0
Ours (MAPPO),delta_phi,0.0
Ours (MAPPO),r_shape,0.0
Ours (MAPPO),overtime_ratio,0.0
Ours (MAPPO),r_timeout,0.0
Ours (MAPPO),e_tx,0.0
Ours (MAPPO),r_energy,-0.01625150873539712
Ours (MAPPO),r_power,0.0
Ours (MAPPO),avg_power,0.3371006222150502
Ours (MAPPO),avg_rsu_queue,20.801645010001902
Ours (MAPPO),rsu_queue_p95,35.56166666666666
Ours (MAPPO),time_limit_penalty_applied,0.056
Ours (MAPPO),time_limit_penalty_value,-0.056
Ours (MAPPO),remaining_time_seconds_used,0.16817058302561377
Ours (MAPPO),remaining_ratio_used,0.0
Ours (MAPPO),r_total_mean,-1.569013137896661
Ours (MAPPO),reward.abs_mean,1.581850900923046
Ours (MAPPO),reward.p95,-0.07077625099691177
Ours (MAPPO),r_step_mean,-309710.31596804113
Ours (MAPPO),r_step.abs_mean,309710.31596804113
Ours (MAPPO),r_step.p95,-0.0728393701592159
Ours (MAPPO),r_term_mean,0.017683734427699153
Ours (MAPPO),r_term_abs_mean,0.017692216311301925
Ours (MAPPO),r_term.p95,0.0
Ours (MAPPO),r_pbrs_mean,0.00036919001503647584
Ours (MAPPO),r_pbrs_abs_mean,0.00036962461919991284
Ours (MAPPO),r_pbrs.p95,0.0018808288563313767
Ours (MAPPO),r_time_mean,-0.0018059680327259802
Ours (MAPPO),r_time_abs_mean,0.0018059680327259802
Ours (MAPPO),r_time.p95,-0.0014291160829226165
Ours (MAPPO),r_time_abs.mean,0.0018059680327259802
Ours (MAPPO),r_time_abs.abs_mean,0.0018059680327259802
Ours (MAPPO),r_time_abs.p95,0.002288271421554026
Ours (MAPPO),r_energy_mean,-0.01625150873539712
Ours (MAPPO),r_energy_abs_mean,0.01625150873539712
Ours (MAPPO),r_energy.p95,0.0
Ours (MAPPO),r_energy_abs.mean,0.01625150873539712
Ours (MAPPO),r_energy_abs.abs_mean,0.01625150873539712
Ours (MAPPO),r_energy_abs.p95,0.06658846965946028
Ours (MAPPO),r_interf_mean,-309708.7635115641
Ours (MAPPO),r_interf_abs_mean,309708.7635115641
Ours (MAPPO),r_interf.p95,0.0
Ours (MAPPO),r_interf_abs.mean,309708.7635115641
Ours (MAPPO),r_interf_abs.abs_mean,309708.7635115641
Ours (MAPPO),r_interf_abs.p95,1.3861026225367232
Ours (MAPPO),r_risk_mean,-0.018031511948590928
Ours (MAPPO),r_risk_abs_mean,0.018031511948590928
Ours (MAPPO),r_risk.p95,0.0
Ours (MAPPO),r_risk_abs.mean,0.018031511948590928
Ours (MAPPO),r_risk_abs.abs_mean,0.018031511948590928
Ours (MAPPO),r_risk_abs.p95,0.11103830169393825
Ours (MAPPO),r_illegal_mean,-1.5163674862592824
Ours (MAPPO),r_illegal_abs_mean,1.5163674862592824
Ours (MAPPO),r_illegal.p95,-0.030666666666666665
Ours (MAPPO),r_illegal_abs.mean,1.5163674862592824
Ours (MAPPO),r_illegal_abs.abs_mean,1.5163674862592824
Ours (MAPPO),r_illegal_abs.p95,2.0
Ours (MAPPO),r_term_abs.mean,0.017692216311301925
Ours (MAPPO),r_term_abs.abs_mean,0.017692216311301925
Ours (MAPPO),r_term_abs.p95,0.0
Ours (MAPPO),r_pbrs_abs.mean,0.00036962461919991284
Ours (MAPPO),r_pbrs_abs.abs_mean,0.00036962461919991284
Ours (MAPPO),r_pbrs_abs.p95,0.001880845740465127
Ours (MAPPO),r_step_abs.mean,309710.31596804113
Ours (MAPPO),r_step_abs.abs_mean,309710.31596804113
Ours (MAPPO),r_step_abs.p95,3.4291600306964445
Ours (MAPPO),energy_norm.mean,0.02666048305405558
Ours (MAPPO),energy_norm.abs_mean,0.02666048305405558
Ours (MAPPO),energy_norm.p95,0.13279020024699661
Ours (MAPPO),I_total.mean,1.2733082589443986e-09
Ours (MAPPO),I_total.abs_mean,1.2733082589443986e-09
Ours (MAPPO),I_total.p95,3.5807539712524606e-12
Ours (MAPPO),I_total_abs.mean,1.2733082589443986e-09
Ours (MAPPO),I_total_abs.abs_mean,1.2733082589443986e-09
Ours (MAPPO),I_total_abs.p95,3.5807539712524606e-12
Ours (MAPPO),rho_selected.mean,0.7430462615011041
Ours (MAPPO),rho_selected.abs_mean,0.7430462615011041
Ours (MAPPO),rho_selected.p95,0.9132160604264566
Ours (MAPPO),risk_penalty.mean,0.07648439241972495
Ours (MAPPO),risk_penalty.abs_mean,0.07648439241972495
Ours (MAPPO),risk_penalty.p95,0.18613894682306337
Ours (MAPPO),task_duration_mean,8.054806348089462
Ours (MAPPO),task_duration_p95,9.98018999999998
Ours (MAPPO),unified_nonfinite_count,0.0
Ours (MAPPO),unified_consistency_mismatch_count,0.0
Ours (MAPPO),unified_illegal_trigger_count,1398764.1006666666
CP-EFT,reward_mean,-2.7170079940305767
EFT,reward_mean,-2.7261346196178566
Greedy,reward_mean,-1.7108708383181945
Local-Only,reward_mean,-2.047793310202393
Random,reward_mean,-4.414967481374089
Static,reward_mean,-1.7772699460711787
CP-EFT,reward_total,-542.5703444756866
EFT,reward_total,-543.8610864250804
Greedy,reward_total,-241.9815032092051
Local-Only,reward_total,-312.1082928638943
Random,reward_total,-882.9934962748177
Static,reward_total,-261.9149670077953
CP-EFT,vehicle_sr,0.1857555555555555
EFT,vehicle_sr,0.18171111111111107
Greedy,vehicle_sr,0.27859999999999996
Local-Only,vehicle_sr,0.7022444444444443
Random,vehicle_sr,0.0003777777777777775
