episode_seed,episode_steps,active_ratio,no_task_ratio,decision_events_per_vehicle_mean,decision_events_per_vehicle_p50,decision_events_per_vehicle_p90,ready_subtask_count_mean,ready_subtask_count_p50,ready_subtask_count_p90,ready_subtask_count_p95,inflight_subtask_count_mean,inflight_subtask_count_p95,avg_subtask_service_steps_mean,avg_subtask_service_steps_p50,avg_subtask_service_steps_p90,phase_comm_ratio,phase_compute_ratio,phase_wait_ratio,phase_finished_ratio,queue_len_vehicle_mean,queue_len_vehicle_p95,queue_len_rsu_mean,queue_len_rsu_p95,task_success_rate,deadline_miss_rate,run_tag,config_overrides
42023,200,0.032,0.968,6.4,7.0,8.0,2.585,2.0,3.0999999999999943,7.049999999999983,0.2025,1.0,5.976,6.0,11.0,0.01,0.23,0.77,0.0,0.1524822695035461,1.0,0.045,0.0,0.85,0.15,baseline,
42024,200,0.02725,0.97275,5.45,5.0,7.0,1.445,1.0,2.0,5.0,0.4215,1.0,7.267326732673268,7.0,11.0,0.005,0.205,0.795,0.0,0.16560671584838463,1.0,0.03,0.0,0.65,0.35,baseline,
42025,200,0.033,0.967,6.6,7.0,8.100000000000001,1.67,1.0,3.0999999999999943,6.049999999999983,0.325,1.0,5.733870967741935,5.0,10.0,0.02,0.235,0.765,0.0,0.15485074626865672,1.0,0.05,0.0,0.75,0.25,baseline,
42026,200,0.0315,0.9685,6.3,6.0,8.100000000000001,0.755,0.0,2.0,5.049999999999983,0.182,1.0,5.661016949152542,5.0,10.0,0.035,0.165,0.835,0.0,0.12525458248472504,1.0,0.09333333333333334,0.0,0.9,0.1,baseline,
42027,200,0.031,0.969,6.2,6.0,8.100000000000001,0.75,0.0,3.0,5.099999999999966,0.292,1.0,6.228813559322034,6.0,11.0,0.015,0.19,0.81,0.0,0.15477996965098634,1.0,0.023333333333333334,0.0,0.85,0.15,baseline,
42028,200,0.03475,0.96525,6.95,7.0,8.0,0.805,0.0,2.0,6.049999999999983,0.19225,1.0,5.402985074626866,5.0,11.0,0.02,0.185,0.815,0.0,0.14888535031847133,1.0,0.04833333333333333,0.0,0.95,0.05,baseline,
42029,200,0.029,0.971,5.8,6.0,8.0,1.495,1.0,2.0,4.049999999999983,0.29475,1.0,5.226415094339623,5.0,8.0,0.02,0.16,0.84,0.0,0.11524064171122994,1.0,0.045,0.0,0.75,0.25,baseline,
42030,200,0.0285,0.9715,5.7,5.0,8.100000000000001,0.665,0.0,2.0,5.049999999999983,0.34375,1.0,5.427184466019417,5.0,9.799999999999997,0.025,0.17,0.83,0.0,0.13291517323775387,1.0,0.05333333333333334,0.0,0.7,0.3,baseline,
42031,200,0.03175,0.96825,6.35,7.0,9.0,1.685,1.0,2.0999999999999943,8.0,0.29825,1.0,5.0265486725663715,5.0,8.799999999999997,0.03,0.17,0.83,0.0,0.11863503065849107,1.0,0.06166666666666667,0.0,0.7,0.3,baseline,
42032,200,0.031,0.969,6.2,6.0,8.0,1.57,1.0,1.0999999999999943,6.0,0.10775,1.0,4.747826086956522,5.0,8.0,0.04,0.145,0.855,0.0,0.10364071219771459,1.0,0.05333333333333334,0.0,0.95,0.05,baseline,
42033,200,0.03125,0.96875,6.25,6.0,8.0,0.74,0.0,2.0999999999999943,5.049999999999983,0.2265,1.0,5.466666666666667,5.0,10.0,0.015,0.17,0.83,0.0,0.13414958743678468,1.0,0.07333333333333333,0.0,0.85,0.15,baseline,
42034,200,0.02925,0.97075,5.85,5.5,8.0,0.645,0.0,2.0,5.0,0.208,1.0,5.035087719298246,5.0,8.0,0.005,0.16,0.84,0.0,0.12555786968164237,1.0,0.07666666666666666,0.0,0.9,0.1,baseline,
42035,200,0.0325,0.9675,6.5,6.5,8.0,1.575,1.0,2.0,5.0,0.23775,1.0,6.008333333333334,5.0,11.0,0.035,0.17,0.83,0.0,0.14549128567820158,1.0,0.04,0.0,0.8,0.2,baseline,
42036,200,0.0305,0.9695,6.1,6.0,8.100000000000001,0.71,0.0,1.0999999999999943,5.0,0.1155,1.0,4.948717948717949,4.0,8.0,0.02,0.14,0.0,0.86,0.10422463951429294,1.0,0.075,0.0,0.95,0.05,baseline,
42037,200,0.031,0.969,6.2,6.0,8.0,0.68,0.0,2.0999999999999943,6.0,0.23525,1.0,5.957983193277311,5.0,10.0,0.015,0.185,0.815,0.0,0.15284075753534276,1.0,0.043333333333333335,0.0,0.9,0.1,baseline,
42038,200,0.03125,0.96875,6.25,6.5,9.100000000000001,1.615,1.0,3.0,7.0,0.264,1.0,5.460176991150442,5.0,9.0,0.045,0.155,0.845,0.0,0.12634271099744246,1.0,0.035,0.0,0.8,0.2,baseline,
42039,200,0.028,0.972,5.6,5.0,8.0,0.62,0.0,2.0,4.049999999999983,0.43575,1.0,5.702970297029703,5.0,10.0,0.02,0.21,0.79,0.0,0.13952835485682202,1.0,0.023333333333333334,0.0,0.65,0.35,baseline,
42040,200,0.0275,0.9725,5.5,5.5,7.100000000000001,0.62,0.0,1.0999999999999943,5.0,0.34775,1.0,5.5588235294117645,5.0,9.900000000000006,0.015,0.18,0.82,0.0,0.120222728423184,1.0,0.025,0.0,0.75,0.25,baseline,
42041,200,0.0305,0.9695,6.1,6.0,8.100000000000001,0.67,0.0,2.0999999999999943,5.0,0.2775,1.0,5.885964912280702,5.0,11.0,0.025,0.225,0.775,0.0,0.14702894870492636,1.0,0.035,0.0,0.8,0.2,baseline,
42042,200,0.0325,0.9675,6.5,6.5,8.0,0.795,0.0,2.0,5.049999999999983,0.32225,1.0,5.796747967479675,5.0,10.0,0.015,0.19,0.81,0.0,0.14815756035578145,1.0,0.05,0.0,0.75,0.25,baseline,
42043,200,0.02825,0.97175,5.65,6.0,8.0,0.67,0.0,1.0,6.0,0.24125,2.0,4.838095238095238,4.0,9.0,0.02,0.145,0.855,0.0,0.10287485907553551,1.0,0.07166666666666667,0.0,0.9,0.1,baseline,
42044,200,0.02925,0.97075,5.85,5.5,8.0,0.635,0.0,2.0,6.0,0.25075,1.0,5.305555555555555,5.0,9.0,0.025,0.16,0.84,0.0,0.1198611852642819,1.0,0.03666666666666667,0.0,0.85,0.15,baseline,
42045,200,0.033,0.967,6.6,7.0,8.200000000000003,1.615,1.0,3.0,5.049999999999983,0.38325,1.0,6.279661016949152,5.0,10.299999999999997,0.045,0.225,0.775,0.0,0.15464968152866243,1.0,0.08333333333333333,0.0,0.75,0.25,baseline,
42046,200,0.02925,0.97075,5.85,5.5,8.0,0.67,0.0,2.0,4.099999999999966,0.2195,1.0,5.587719298245614,5.0,9.700000000000003,0.005,0.18,0.82,0.0,0.1419220470098185,1.0,0.08,0.0,0.9,0.1,baseline,
42047,200,0.02575,0.97425,5.15,5.0,7.0,1.47,1.0,2.0,5.0,0.287,1.0,5.446808510638298,5.0,10.0,0.025,0.16,0.84,0.0,0.12936958470271887,1.0,0.02,0.0,0.7,0.3,baseline,
42048,200,0.033,0.967,6.6,7.0,8.100000000000001,0.81,0.0,2.0,7.0,0.27575,1.0,5.705882352941177,5.0,10.0,0.035,0.18,0.82,0.0,0.14426142401700318,1.0,0.03333333333333333,0.0,0.85,0.15,baseline,
42049,200,0.0305,0.9695,6.1,6.0,8.0,1.65,1.0,2.0999999999999943,5.049999999999983,0.3055,1.0,5.415929203539823,5.0,9.0,0.025,0.155,0.845,0.0,0.12509554140127388,1.0,0.03,0.0,0.75,0.25,baseline,
