episode,ratio_local__lr_c=2e-4__raw,ratio_local__lr_c=2e-4__smooth,ratio_local__lr_c=2e-4__band_low,ratio_local__lr_c=2e-4__band_high,ratio_local__lr_c=3e-4__raw,ratio_local__lr_c=3e-4__smooth,ratio_local__lr_c=3e-4__band_low,ratio_local__lr_c=3e-4__band_high,ratio_local__lr_c=5e-4__raw,ratio_local__lr_c=5e-4__smooth,ratio_local__lr_c=5e-4__band_low,ratio_local__lr_c=5e-4__band_high,ratio_rsu__lr_c=2e-4__raw,ratio_rsu__lr_c=2e-4__smooth,ratio_rsu__lr_c=2e-4__band_low,ratio_rsu__lr_c=2e-4__band_high,ratio_rsu__lr_c=3e-4__raw,ratio_rsu__lr_c=3e-4__smooth,ratio_rsu__lr_c=3e-4__band_low,ratio_rsu__lr_c=3e-4__band_high,ratio_rsu__lr_c=5e-4__raw,ratio_rsu__lr_c=5e-4__smooth,ratio_rsu__lr_c=5e-4__band_low,ratio_rsu__lr_c=5e-4__band_high,ratio_v2v__lr_c=2e-4__raw,ratio_v2v__lr_c=2e-4__smooth,ratio_v2v__lr_c=2e-4__band_low,ratio_v2v__lr_c=2e-4__band_high,ratio_v2v__lr_c=3e-4__raw,ratio_v2v__lr_c=3e-4__smooth,ratio_v2v__lr_c=3e-4__band_low,ratio_v2v__lr_c=3e-4__band_high,ratio_v2v__lr_c=5e-4__raw,ratio_v2v__lr_c=5e-4__smooth,ratio_v2v__lr_c=5e-4__band_low,ratio_v2v__lr_c=5e-4__band_high
1,0.2830188679245283,,,,0.3018867924528302,,,,0.2909090909090909,,,,0.5031446540880503,,,,0.4465408805031446,,,,0.4909090909090909,,,,0.2138364779874214,,,,0.2515723270440251,,,,0.2181818181818181,,,
2,0.2807017543859649,,,,0.3225806451612903,,,,0.3805309734513274,,,,0.5263157894736842,,,,0.4112903225806452,,,,0.3097345132743362,,,,0.1929824561403508,,,,0.2661290322580645,,,,0.3097345132743362,,,
3,0.3409090909090909,,,,0.4285714285714285,,,,0.4099099099099099,,,,0.3545454545454545,,,,0.2472527472527472,,,,0.2297297297297297,,,,0.3045454545454545,,,,0.3241758241758242,,,,0.3603603603603603,,,
4,0.2263157894736842,,,,0.3904382470119522,,,,0.2863636363636364,,,,0.3894736842105263,,,,0.2629482071713147,,,,0.2863636363636364,,,,0.3842105263157894,,,,0.3466135458167331,,,,0.4272727272727272,,,
5,0.3491124260355029,,,,0.3096774193548387,,,,0.2576687116564417,,,,0.378698224852071,,,,0.2903225806451613,,,,0.3190184049079754,,,,0.272189349112426,,,,0.4,,,,0.4233128834355828,,,
6,0.3884297520661157,,,,0.3770491803278688,,,,0.175438596491228,,,,0.2975206611570248,,,,0.2868852459016393,,,,0.3333333333333333,,,,0.3140495867768595,,,,0.3360655737704918,,,,0.4912280701754385,,,
7,0.2868852459016393,,,,0.3471074380165289,,,,0.2121212121212121,,,,0.2950819672131147,,,,0.2148760330578512,,,,0.2651515151515151,,,,0.4180327868852459,,,,0.4380165289256198,,,,0.5227272727272727,,,
8,0.3837209302325581,,,,0.391304347826087,,,,0.1444444444444444,,,,0.3430232558139535,,,,0.2554347826086957,,,,0.3111111111111111,,,,0.2732558139534883,,,,0.3532608695652174,,,,0.5444444444444444,,,
9,0.4695121951219512,,,,0.436046511627907,,,,0.1538461538461538,,,,0.2439024390243902,,,,0.2790697674418604,,,,0.2628205128205128,,,,0.2865853658536585,,,,0.2848837209302325,,,,0.5833333333333334,,,
10,0.4043715846994535,,,,0.3626373626373626,,,,0.1222222222222222,,,,0.3278688524590163,,,,0.3901098901098901,,,,0.2944444444444444,,,,0.2677595628415301,,,,0.2472527472527472,,,,0.5833333333333334,,,
11,0.3619047619047619,,,,0.4666666666666667,,,,0.1275510204081632,,,,0.2952380952380952,,,,0.3095238095238095,,,,0.3163265306122449,,,,0.3428571428571428,,,,0.2238095238095238,,,,0.5561224489795918,,,
12,0.3605769230769231,0.34462161014434783,0.2782800297735316,0.41096319051516406,0.4411764705882353,0.381261875853583,0.32673272258752584,0.4357910291196402,0.1206896551724138,0.2234746355830203,0.12227956158563884,0.32466970958040176,0.3605769230769231,0.35961583342935866,0.2762168163127305,0.4430148505459868,0.3697478991596639,0.3136668471630352,0.24056379541009165,0.3867698989159788,0.3333333333333333,0.31268967966593864,0.24849247135979124,0.376886887972086,0.2788461538461538,0.2957625564262934,0.2318770469444556,0.3596480659081312,0.1890756302521008,0.3050712769833817,0.23106442962493473,0.3790781243418287,0.5459770114942529,0.463835684751041,0.34616169838041877,0.5815096711216632
13,0.3578431372549019,0.3456386506913135,0.28201565950033824,0.40926164188228875,0.4541062801932367,0.38686529157201793,0.3308847563548799,0.44284582678915596,0.096045197740113,0.2136723711335659,0.1105405632389803,0.3168041790281515,0.3872549019607843,0.36174191562408375,0.2815263145884906,0.4419575166596769,0.2850241545893719,0.31146356311890727,0.24102333208231025,0.3819037941555043,0.2542372881355932,0.3081933418559121,0.24462713131208613,0.371759552399738,0.2549019607843137,0.2926194336846027,0.23041272186284004,0.3548261455063653,0.2608695652173913,0.30167114530907474,0.22976226332516475,0.37358002729298473,0.6497175141242938,0.47813428701052196,0.3542347840865926,0.6020337899344513
14,0.4836065573770491,0.3554935011688661,0.28410609100907025,0.4268809113286619,0.4921875,0.39438830645973094,0.3336833003776676,0.4550933125417943,0.0757575757575757,0.20382131432099518,0.09810182994613324,0.3095407986958571,0.3442622950819672,0.36049337129964687,0.28328325595631765,0.4377034866429761,0.3671875,0.31544384432469963,0.24614778272903193,0.38473990592036733,0.2954545454545454,0.307283427827243,0.24611616458755947,0.3684506910669265,0.1721311475409836,0.28401312753148705,0.21612375600153155,0.35190249906144255,0.140625,0.2901678492155694,0.20876951851882541,0.37156617991231333,0.6287878787878788,0.4888952578517617,0.3632313692426458,0.6145591464608775
15,0.384,0.357393934424275,0.28821066019744146,0.4265772086511085,0.4705882352941176,0.3994683017153567,0.3377514339111242,0.46118516951958916,0.0842696629213483,0.19585120422768537,0.0894034707675443,0.30229893768782645,0.456,0.36686047987967035,0.2884787947476226,0.4452421650117181,0.3823529411764705,0.3199044507814844,0.2509305188129488,0.38887838275001996,0.3146067415730337,0.30777164874362906,0.2487990771965246,0.3667442202907335,0.16,0.27574558569605456,0.2029098899498597,0.3485812814422494,0.1470588235294117,0.2806272475031589,0.19392216685612015,0.3673323281501977,0.601123595505618,0.49637714702868546,0.3718655619416379,0.620888732115733
16,0.453125,0.3633771260227578,0.2923840673632753,0.43437018468224026,0.5263157894736842,0.40739626970025217,0.33986343959488885,0.4749290998056155,0.0952380952380952,0.189562884915836,0.08369315686370456,0.29543261296796747,0.421875,0.37029888738719097,0.29333609335309574,0.4472616814212862,0.3308270676691729,0.3205871143369649,0.25389603889004675,0.38727818978388306,0.2142857142857142,0.3019287778400094,0.24034842793117095,0.3635091277488478,0.125,0.26632398659005113,0.18650147214745777,0.3461465010326445,0.1428571428571428,0.27201661596278287,0.18144689759955313,0.3625863343260126,0.6904761904761905,0.5085083372441546,0.37880003020023867,0.6382166442880705
17,0.4517766497461929,0.3685770980064893,0.2965723167350245,0.4405818792779541,0.5634517766497462,0.4165760054031636,0.3410234491628709,0.49212856164345625,0.0718562874251497,0.18263896741638386,0.07623001511144627,0.28904791972132143,0.4213197969543147,0.37330011736172763,0.2977607721861198,0.4488394625373355,0.3197969543147208,0.32054063433565644,0.25596699382043736,0.3851142748508755,0.3053892215568862,0.30213233335276685,0.24250150937003792,0.36176315733549574,0.1269035532994923,0.258122784631783,0.17376152676291867,0.34248404250064735,0.116751269035533,0.26288336026118,0.1674460909074063,0.35832062961495365,0.6227544910179641,0.5152286992308492,0.38661880412987376,0.6438385943318248
18,0.5550847457627118,0.37893863399294614,0.2964025052254188,0.4614747627604735,0.5486725663716814,0.4239147032347479,0.3442790975618007,0.503550308907695,0.0659340659340659,0.17615536177847732,0.06932145893008726,0.28298926462686735,0.2415254237288135,0.365979301048788,0.2863851266136382,0.44557347548393783,0.2566371681415929,0.31699044176931956,0.2525595101351542,0.3814213734034849,0.3241758241758242,0.3033569717318256,0.24527372372441153,0.3614402197392396,0.2033898305084746,0.25508206495826585,0.17222910591985707,0.33793502399667463,0.1946902654867256,0.2590948549959325,0.1651222975550726,0.3530674124367924,0.6098901098901099,0.520487666489697,0.3937384831079883,0.6472368498714057
