episode,approx_kl__lr_c=2e-4__raw,approx_kl__lr_c=2e-4__smooth,approx_kl__lr_c=2e-4__band_low,approx_kl__lr_c=2e-4__band_high,approx_kl__lr_c=3e-4__raw,approx_kl__lr_c=3e-4__smooth,approx_kl__lr_c=3e-4__band_low,approx_kl__lr_c=3e-4__band_high,approx_kl__lr_c=5e-4__raw,approx_kl__lr_c=5e-4__smooth,approx_kl__lr_c=5e-4__band_low,approx_kl__lr_c=5e-4__band_high,entropy__lr_c=2e-4__raw,entropy__lr_c=2e-4__smooth,entropy__lr_c=2e-4__band_low,entropy__lr_c=2e-4__band_high,entropy__lr_c=3e-4__raw,entropy__lr_c=3e-4__smooth,entropy__lr_c=3e-4__band_low,entropy__lr_c=3e-4__band_high,entropy__lr_c=5e-4__raw,entropy__lr_c=5e-4__smooth,entropy__lr_c=5e-4__band_low,entropy__lr_c=5e-4__band_high,clip_frac__lr_c=2e-4__raw,clip_frac__lr_c=2e-4__smooth,clip_frac__lr_c=2e-4__band_low,clip_frac__lr_c=2e-4__band_high,clip_frac__lr_c=3e-4__raw,clip_frac__lr_c=3e-4__smooth,clip_frac__lr_c=3e-4__band_low,clip_frac__lr_c=3e-4__band_high,clip_frac__lr_c=5e-4__raw,clip_frac__lr_c=5e-4__smooth,clip_frac__lr_c=5e-4__band_low,clip_frac__lr_c=5e-4__band_high
1,0.0230462509207427,,,,0.0086552518652752,,,,0.0162446456379257,,,,2.004983913898468,,,,2.1225213527679445,,,,2.0956697940826414,,,,0.132421875,,,,0.028125,,,,0.133203125,,,
2,-0.0005338279530405,,,,0.0057296810671687,,,,0.0136775948107242,,,,1.8390293359756469,,,,1.9661673069000245,,,,1.9571834087371829,,,,0.00625,,,,0.040625,,,,0.0515625,,,
3,0.0036930412519723,,,,0.0058058108358333,,,,0.0145028565389414,,,,1.7429833889007569,,,,1.7721515814463298,,,,1.8265850782394408,,,,0.014453125,,,,0.0734375,,,,0.0997395833333333,,,
4,0.0049833177123218,,,,0.0033430061458299,,,,0.0120596712144712,,,,1.8278251767158509,,,,1.97512636979421,,,,1.9582981189092,,,,0.023828125,,,,0.04921875,,,,0.0932291666666666,,,
5,0.0076528553501702,,,,0.0078642156440764,,,,0.005448875867296,,,,1.9893815994262696,,,,2.069858741760254,,,,2.1003570556640625,,,,0.01328125,,,,0.055078125,,,,0.063671875,,,
6,0.0088058925699442,,,,0.0030358984135091,,,,0.0152141962200403,,,,1.935032057762146,,,,1.995378589630127,,,,2.098809576034546,,,,0.01015625,,,,0.046875,,,,0.075,,,
7,0.0032087033614516,,,,0.0048023149371147,,,,0.0066858974751085,,,,1.9294719457626344,,,,1.9453117609024049,,,,2.1272786140441893,,,,0.01328125,,,,0.0484375,,,,0.06171875,,,
8,0.0064720592228695,,,,0.0110370781039819,,,,0.0052725130226463,,,,1.8122752904891968,,,,1.831954050064087,,,,2.073288655281067,,,,0.012890625,,,,0.041015625,,,,0.074609375,,,
9,0.0078722512582317,,,,0.0065766921266913,,,,0.0018618235364556,,,,1.785155475139618,,,,1.7576387524604795,,,,2.129145860671997,,,,0.01875,,,,0.028125,,,,0.069140625,,,
10,-0.0006732878973707,,,,0.0127275985199958,,,,0.0104996236506849,,,,1.6598547101020813,,,,1.7073520064353942,,,,2.0298325538635256,,,,0.026171875,,,,0.047265625,,,,0.05625,,,
