label,episodes_used,tail_window,reward_mean_last_tail,reward_total_last_tail,task_sr_last_tail,deadline_miss_rate_last_tail,avg_rsu_queue_last_tail,avg_power_last_tail,ratio_local_last_tail,ratio_rsu_last_tail,ratio_v2v_last_tail,approx_kl_last_tail,entropy_last_tail,clip_frac_last_tail
lr_c=2e-4,1500,100,0.012325932746753055,0.2306331633144641,0.9530000000000001,0.04699999999999999,0.9400460880934968,0.4791189561263141,0.781888030553836,0.21612367228376747,0.001988297162396492,0.00744295111481183,1.2438401397466659,0.04530579876340925
lr_c=3e-4,1500,100,0.010659028864465608,0.21451513208671,0.907,0.09300000000000001,1.6584266532861158,0.44027861241539495,0.6747057399663848,0.3244761200089061,0.0008181400247092291,0.014756569401069152,1.3129879548814563,0.05975841382270057
lr_c=5e-4,1500,100,0.005833964963021521,0.146562934237462,0.7040000000000001,0.28850000000000003,4.749532366324832,0.4285816837459452,0.008293635176612543,0.8022370327216154,0.18946933210177197,0.01064963114866983,1.8083334747155504,0.06078586647287011
